mot,poids_tfidf,langue,serie
riley,0.1900785659623696,en,melroseplace
auggie,0.1349465655987136,en,melroseplace
lauren,0.0974272046641291,en,melroseplace
sydney,0.09651180839939,en,melroseplace
ella,0.0889677224232838,en,melroseplace
wpk,0.0871962423868611,en,melroseplace
night,0.0731766493871175,en,melroseplace
work,0.0711551949841585,en,melroseplace
talk,0.0614522138499551,en,melroseplace
little,0.0610479229693632,en,melroseplace
happen,0.0602393412081796,en,melroseplace
life,0.0570050141634451,en,melroseplace
actually,0.0553878506410779,en,melroseplace
love,0.0541749779993025,en,melroseplace
violet,0.046418765864576,en,melroseplace
friend,0.0432591242233236,en,melroseplace
sure,0.04245054246214,en,melroseplace
girl,0.0408333789397727,en,melroseplace
help,0.0384076336562219,en,melroseplace
marcello,0.0382435032720935,en,melroseplace
publicist,0.0372515782539317,en,melroseplace
guess,0.0355775974920792,en,melroseplace
new,0.0355775974920792,en,melroseplace
anton,0.0335240693189185,en,melroseplace
hear,0.0331518522085284,en,melroseplace
place,0.0327475613279365,en,melroseplace
great,0.0327475613279365,en,melroseplace
meet,0.0323432704473447,en,melroseplace
job,0.0315346886861611,en,melroseplace
live,0.0307261069249775,en,melroseplace
money,0.0307261069249775,en,melroseplace
real,0.0303218160443857,en,melroseplace
fine,0.0301578278626667,en,melroseplace
big,0.0297502896483063,en,melroseplace
tonight,0.0295784526683263,en,melroseplace
party,0.0294019658210371,en,melroseplace
today,0.0287046525220185,en,melroseplace
break,0.0285276750052252,en,melroseplace
simms,0.028366520192931,en,melroseplace
dad,0.0283460171404794,en,melroseplace
bad,0.0283003616414266,en,melroseplace
pretty,0.0281201367908649,en,melroseplace
caleb,0.0278923084458111,en,melroseplace
home,0.027491779880243,en,melroseplace
start,0.0266831981190594,en,melroseplace
win,0.0262789072384676,en,melroseplace
care,0.0258746163578758,en,melroseplace
idea,0.0258746163578758,en,melroseplace
client,0.0258470571668131,en,melroseplace
pay,0.0256749075047027,en,melroseplace
drink,0.0244522928616216,en,melroseplace
long,0.0242574528355085,en,melroseplace
exactly,0.0242574528355085,en,melroseplace
stop,0.0242574528355085,en,melroseplace
doctor,0.0242115032035542,en,melroseplace
date,0.0238270868717073,en,melroseplace
end,0.0234488710743249,en,melroseplace
coal,0.0234450294553112,en,melroseplace
totally,0.0230898494898859,en,melroseplace
run,0.0230445801937331,en,melroseplace
like,0.0230445801937331,en,melroseplace
turn,0.0230445801937331,en,melroseplace
kavi,0.0228371111013207,en,melroseplace
school,0.0227761707064372,en,melroseplace
miss,0.0226402893131413,en,melroseplace
andrew,0.022625471332754,en,melroseplace
kid,0.0223620585117747,en,melroseplace
kill,0.0222359984325495,en,melroseplace
heller,0.0221901904290031,en,melroseplace
courtyard,0.0218892761318204,en,melroseplace
bring,0.0218317075519577,en,melroseplace
trust,0.0215995253610991,en,melroseplace
mom,0.0214605368758998,en,melroseplace
believe,0.0214274166713659,en,melroseplace
franz,0.0212152470347527,en,melroseplace
course,0.0211919871467387,en,melroseplace
sound,0.0210231257907741,en,melroseplace
hand,0.0206188349101823,en,melroseplace
perfect,0.020376910718018,en,melroseplace
sleep,0.0202145440295904,en,melroseplace
morning,0.0198102531489986,en,melroseplace
play,0.0198102531489986,en,melroseplace
cause,0.0198102531489986,en,melroseplace
die,0.0198102531489986,en,melroseplace
movie,0.0194274190818538,en,melroseplace
person,0.0194059622684068,en,melroseplace
deal,0.0191542960749369,en,melroseplace
probably,0.019001671387815,en,melroseplace
filmmaker,0.0189224113909327,en,melroseplace
sarling,0.0186849090828988,en,melroseplace
happy,0.0185973805072232,en,melroseplace
