mot,poids_tfidf,langue,serie
gallagher,0.1607107976682924,en,mental
leeza,0.1361722802238624,en,mental
conor,0.1274644007253764,en,mental
work,0.0675567366749845,en,mental
talk,0.0669253653041903,en,mental
liam,0.0667775683746583,en,mental
patient,0.0635731105266019,en,mental
doctor,0.0632348415436271,en,mental
happen,0.0568234233714823,en,mental
gideon,0.0563784849362241,en,mental
becky,0.0544857899934267,en,mental
chuckle,0.0543718465711678,en,mental
jack,0.0538385767847845,en,mental
sigh,0.0515101704358432,en,mental
arturo,0.0473386115416519,en,mental
life,0.0467214814387743,en,mental
sure,0.0467214814387743,en,mental
little,0.0460901100679801,en,mental
heather,0.0425898474284957,en,mental
help,0.0423018818432146,en,mental
hospital,0.0420572934037156,en,mental
home,0.0416705104724203,en,mental
play,0.0404077677308318,en,mental
door,0.0397763963600376,en,mental
believe,0.0372509108768606,en,mental
hand,0.0353567967644778,en,mental
course,0.0324585753565094,en,mental
new,0.0321999399105066,en,mental
hour,0.0321999399105066,en,mental
laugh,0.0317965767695366,en,mental
surgery,0.0316625706475272,en,mental
long,0.0315685685397124,en,mental
actually,0.0315685685397124,en,mental
start,0.0309371971689181,en,mental
family,0.0309371971689181,en,mental
bleep,0.0308687566644847,en,mental
ward,0.03009967242638,en,mental
fine,0.0299128047403126,en,mental
great,0.0296744544273296,en,mental
kahane,0.0291797743336848,en,mental
kid,0.0291019086630832,en,mental
hear,0.0290430830565354,en,mental
trey,0.0289394593729544,en,mental
father,0.0288699750348022,en,mental
dad,0.0288699750348022,en,mental
month,0.0284117116857411,en,mental
love,0.0284117116857411,en,mental
real,0.0277803403149469,en,mental
win,0.0277803403149469,en,mental
disorder,0.0276325846054024,en,mental
hansen,0.0274421097075724,en,mental
old,0.0271489689441526,en,mental
wife,0.0265175975733584,en,mental
night,0.0265175975733584,en,mental
remember,0.0265175975733584,en,mental
malcolm,0.0263640919323032,en,mental
cut,0.0260941488160173,en,mental
chloe,0.0260510002691401,en,mental
bagdoni,0.0259375771854976,en,mental
care,0.0258862262025641,en,mental
problem,0.0258862262025641,en,mental
indistinct,0.0253582881016259,en,mental
bad,0.0246234834609756,en,mental
close,0.0246234834609756,en,mental
stay,0.0246234834609756,en,mental
place,0.0246234834609756,en,mental
today,0.0246234834609756,en,mental
clinic,0.0242739293761129,en,mental
stop,0.0239921120901814,en,mental
sit,0.0239921120901814,en,mental
like,0.0239921120901814,en,mental
girl,0.0239921120901814,en,mental
treatment,0.0239399924408133,en,mental
mum,0.023795854650568,en,mental
tomorrow,0.0235483781998205,en,mental
pretty,0.0235483781998205,en,mental
change,0.0233607407193871,en,mental
wrong,0.0233607407193871,en,mental
rebecca,0.0229942997469999,en,mental
hell,0.0227293693485929,en,mental
live,0.0227293693485929,en,mental
beep,0.0226927053153256,en,mental
later,0.0222754928917221,en,mental
psychiatric,0.0222419690075251,en,mental
lose,0.0220979979777986,en,mental
open,0.0220979979777986,en,mental
nice,0.0220979979777986,en,mental
friend,0.0220979979777986,en,mental
understand,0.0214666266070044,en,mental
fire,0.0214666266070044,en,mental
case,0.0214666266070044,en,mental
bring,0.0214666266070044,en,mental
billy,0.0211720730288212,en,mental
run,0.0208352552362101,en,mental
meet,0.0208352552362101,en,mental
head,0.0208352552362101,en,mental
therapy,0.0204519219621503,en,mental
game,0.0203661649295745,en,mental
question,0.0202038838654159,en,mental
morning,0.0202038838654159,en,mental
medication,0.0201219552592736,en,mental
clay,0.0199833194350021,en,mental
vincent,0.0198421883701904,en,mental
couple,0.0197297222755253,en,mental
boy,0.0195725124946216,en,mental
highgard,0.0194531828891232,en,mental
ocd,0.0192929729153029,en,mental
exhale,0.0189620523327453,en,mental
ago,0.0189411411238274,en,mental
room,0.0189411411238274,en,mental
clear,0.0189411411238274,en,mental
drug,0.0188476441598369,en,mental
sonny,0.0183889413664519,en,mental
sleep,0.0183097697530332,en,mental
guess,0.0183097697530332,en,mental
happy,0.0183097697530332,en,mental
away,0.0183097697530332,en,mental
grunt,0.0181239488570559,en,mental
rani,0.0179171885224302,en,mental
cingulotomy,0.0179171885224302,en,mental
truitt,0.0179171885224302,en,mental
break,0.0178203943133777,en,mental
mind,0.0176783983822389,en,mental
world,0.0176783983822389,en,mental
exactly,0.0176783983822389,en,mental
brain,0.0173219850208813,en,mental
bipolar,0.0172823472277944,en,mental
child,0.0171839516593285,en,mental
blood,0.0171839516593285,en,mental
melissa,0.0168000028968937,en,mental
breathe,0.0166939185690892,en,mental
baby,0.0166804300201079,en,mental
kill,0.0164156556406504,en,mental
job,0.0164156556406504,en,mental
die,0.0164156556406504,en,mental
speak,0.0164156556406504,en,mental
misattribution,0.016210985740936,en,mental
sansa,0.016210985740936,en,mental
major,0.0161162226654125,en,mental
brian,0.0161111390940225,en,mental
son,0.0159110663512301,en,mental
turn,0.0157842842698562,en,mental
probably,0.0157842842698562,en,mental
easy,0.0157842842698562,en,mental
ready,0.0157842842698562,en,mental
miss,0.0157842842698562,en,mental
hope,0.0157842842698562,en,mental
med,0.0157476171594315,en,mental
file,0.0156066426074914,en,mental
school,0.0155210179536443,en,mental
body,0.0152746236971809,en,mental
soon,0.0152746236971809,en,mental
sound,0.0151529128990619,en,mental
chance,0.0151529128990619,en,mental
cause,0.0151529128990619,en,mental
intake,0.015117092251538,en,mental
carl,0.0149874895762516,en,mental
rawlin,0.0149309904353585,en,mental
laney,0.0149309904353585,en,mental
tvsubtitle,0.0147984020448043,en,mental
high,0.0147557650177878,en,mental
idea,0.0145215415282677,en,mental
person,0.0145215415282677,en,mental
end,0.0145215415282677,en,mental
possible,0.0145215415282677,en,mental
mental,0.0143791769117416,en,mental
accident,0.0143419228243278,en,mental
medical,0.0142416340359538,en,mental
psychotherapy,0.0140952363295499,en,mental
big,0.0140017383890825,en,mental
leonard,0.0139843462472206,en,mental
psych,0.0139643303653553,en,mental
different,0.0138901701574734,en,mental
use,0.0138901701574734,en,mental
murder,0.0138000493980941,en,mental
mom,0.0138000493980941,en,mental
scale,0.0137925110453006,en,mental
mcbride,0.0137553944424235,en,mental
heavily,0.0135934004506232,en,mental
knock,0.0135808907094388,en,mental
fact,0.0133652957350332,en,mental
hurt,0.0133652957350332,en,mental
face,0.0133652957350332,en,mental
ultrasound,0.0133518734744117,en,mental
memorandum,0.0133183870637887,en,mental
throat,0.0133134013322972,en,mental
money,0.0132587987866792,en,mental
suppose,0.0132587987866792,en,mental
sick,0.0131429041886611,en,mental
past,0.0130381116584798,en,mental
service,0.0130381116584798,en,mental
hygard,0.0129687885927488,en,mental
preese,0.0129687885927488,en,mental
edolie,0.0129687885927488,en,mental
set,0.0128311000154676,en,mental
psychiatrist,0.0127676853858291,en,mental
research,0.0127146221053203,en,mental
symptom,0.0126742146589567,en,mental
nora,0.0126655890958026,en,mental
reason,0.0126274274158849,en,mental
defendant,0.0124484640632178,en,mental
marcie,0.0123623690514071,en,mental
surgeon,0.0122918820458013,en,mental
lightning,0.0121890488381468,en,mental
sniffle,0.0120936738012304,en,mental
matter,0.0119960560450907,en,mental
week,0.0119960560450907,en,mental
facility,0.011970474889653,en,mental
ding,0.0119694260274474,en,mental
tms,0.0119447923482868,en,mental
somatoform,0.0119447923482868,en,mental
artis,0.0119447923482868,en,mental
finger,0.0119237162885762,en,mental
moon,0.0118723333838148,en,mental
condition,0.011816582808172,en,mental
treat,0.0117343004926318,en,mental
choice,0.0115479900139208,en,mental
werewolf,0.0115326707424319,en,mental
psychotic,0.0114971498734999,en,mental
deal,0.0114559677728856,en,mental
scream,0.0114432125256152,en,mental
relationship,0.0114432125256152,en,mental
police,0.0114432125256152,en,mental
house,0.0113646846742964,en,mental
second,0.0113646846742964,en,mental
point,0.0113646846742964,en,mental
hard,0.0113646846742964,en,mental
word,0.0113646846742964,en,mental
scoff,0.0113628228026271,en,mental
gun,0.0112612876058775,en,mental
parent,0.0112612876058775,en,mental
wail,0.0111209845037625,en,mental
fear,0.0109940543838314,en,mental
crazy,0.0109064350131475,en,mental
shouting,0.0108767137478382,en,mental
history,0.0108567948573853,en,mental
figure,0.0108195251188364,en,mental
consider,0.0108195251188364,en,mental
present,0.0108195251188364,en,mental
shrink,0.0107706487426664,en,mental
board,0.0107700823770496,en,mental
fight,0.0107333133035022,en,mental
lie,0.0107333133035022,en,mental
late,0.0107333133035022,en,mental
mother,0.0107333133035022,en,mental
jenkin,0.0107268824637636,en,mental
attorney,0.0107237335582815,en,mental
diagnosis,0.0106661544371692,en,mental
moonrise,0.010654709651031,en,mental
ainsley,0.010654709651031,en,mental
cry,0.0105988589231788,en,mental
self,0.0105988589231788,en,mental
sex,0.0105955184211003,en,mental
schizophrenia,0.0105456367729213,en,mental
normal,0.0105143233509289,en,mental
ass,0.0104304893267838,en,mental
raise,0.0104304893267838,en,mental
net,0.0103803435097385,en,mental
state,0.0103473453024295,en,mental
nurse,0.0102965590038427,en,mental
order,0.0102648800123741,en,mental
control,0.0102648800123741,en,mental
book,0.0102648800123741,en,mental
agree,0.0102648800123741,en,mental
deeply,0.0102051720118947,en,mental
young,0.0101830824647872,en,mental
husband,0.0101830824647872,en,mental
assume,0.0101830824647872,en,mental
business,0.0101830824647872,en,mental
apartment,0.0101313355168413,en,mental
bet,0.0101019419327079,en,mental
bit,0.0101019419327079,en,mental
afraid,0.0101019419327079,en,mental
watch,0.0101019419327079,en,mental
walk,0.0101019419327079,en,mental
lieutenant,0.0100653680584308,en,mental
sharply,0.0100397893824888,en,mental
cellphone,0.0099210941850952,en,mental
director,0.0098988309768753,en,mental
release,0.0098571781414958,en,mental
elli,0.0098502253304497,en,mental
leech,0.0098000016898546,en,mental
decision,0.0097785837438598,en,mental
dog,0.0097785837438598,en,mental
hypersexuality,0.0097265914445616,en,mental
resident,0.0097057351348717,en,mental
sister,0.0097006362210277,en,mental
lead,0.0096233250116007,en,mental
office,0.0096233250116007,en,mental
cold,0.0096233250116007,en,mental
damn,0.0096233250116007,en,mental
report,0.0096233250116007,en,mental
picture,0.009546639810738,en,mental
act,0.009546639810738,en,mental
actor,0.009538920451082,en,mental
tumor,0.0094810261663726,en,mental
check,0.0094705705619137,en,mental
step,0.0094705705619137,en,mental
offer,0.0094705705619137,en,mental
buy,0.0094705705619137,en,mental
piano,0.0093981763882749,en,mental
memory,0.0092740015577815,en,mental
conversation,0.0092740015577815,en,mental
meeting,0.0092000329320627,en,mental
calm,0.0092000329320627,en,mental
marry,0.0092000329320627,en,mental
suggest,0.0091266781609358,en,mental
write,0.0091266781609358,en,mental
siren,0.0090588312525877,en,mental
disease,0.0090431428701734,en,mental
anymore,0.0089817700108273,en,mental
charge,0.0089817700108273,en,mental
burn,0.0089817700108273,en,mental
early,0.0089817700108273,en,mental
water,0.0089817700108273,en,mental
illness,0.0089770695205856,en,mental
thinking,0.0089638942513,en,mental
risperdal,0.0089585942612151,en,mental
psychiatry,0.0089420542082657,en,mental
pay,0.0089101971566888,en,mental
story,0.0089101971566888,en,mental
throw,0.0089101971566888,en,mental
glad,0.0089101971566888,en,mental
spend,0.0089101971566888,en,mental
jury,0.0088990098187367,en,mental
diary,0.0088431202265269,en,mental
sign,0.0088391991911194,en,mental
catch,0.0088391991911194,en,mental
read,0.0088391991911194,en,mental
eye,0.0088391991911194,en,mental
judge,0.0088211458216255,en,mental
crap,0.0088211458216255,en,mental
continue,0.0088211458216255,en,mental
ohh,0.0087582279598828,en,mental
convince,0.0087506919313528,en,mental
improve,0.0087486761996842,en,mental
staff,0.0086840018715783,en,mental
contraction,0.0086105127270375,en,mental
operation,0.0085449804215723,en,mental
click,0.0085296815167484,en,mental
janitorial,0.0084437260638684,en,mental
dsm,0.0084136915879046,en,mental
feeling,0.008407218058224,en,mental
notice,0.0083402150100539,en,mental
begin,0.0083402150100539,en,mental
panel,0.0082897753816207,en,mental
bed,0.0082737545026396,en,mental
trust,0.0082737545026396,en,mental
plan,0.0082737545026396,en,mental
ptsd,0.0082415793676047,en,mental
enlargement,0.0082415793676047,en,mental
hire,0.0082081935783495,en,mental
true,0.0082078278203252,en,mental
answer,0.0082078278203252,en,mental
expect,0.0082078278203252,en,mental
observe,0.008147709423615,en,mental
autistic,0.0081138077817444,en,mental
regression,0.0080544207597428,en,mental
pregnant,0.0080249409574223,en,mental
shutter,0.008011124084647,en,mental
experience,0.0079491441923841,en,mental
admit,0.0079491441923841,en,mental
crane,0.0079198370596075,en,mental
obviously,0.0078857425131966,en,mental
tough,0.0078857425131966,en,mental
denny,0.0078801802643598,en,mental
residency,0.007879859521917,en,mental
ring,0.0078228669950878,en,mental
completely,0.0078228669950878,en,mental
test,0.0078228669950878,en,mental
beautiful,0.0077605089768221,en,mental
behavior,0.0077225782067139,en,mental
beethoven,0.0077171891661211,en,mental
push,0.0076986600092805,en,mental
light,0.0076986600092805,en,mental
elevator,0.0076767133650735,en,mental
ill,0.0076767133650735,en,mental
bite,0.0076460241699936,en,mental
psychosexual,0.0076456944045582,en,mental
louisa,0.0076456944045582,en,mental
wake,0.0076373118485904,en,mental
stuff,0.0076373118485904,en,mental
drink,0.0076373118485904,en,mental
mention,0.0076373118485904,en,mental
shut,0.0076373118485904,en,mental
magical,0.0076311363608656,en,mental
discharge,0.007590396568679,en,mental
ice,0.0075848335972538,en,mental
pick,0.0075764564495309,en,mental
stand,0.0075764564495309,en,mental
save,0.0075764564495309,en,mental
drop,0.0075764564495309,en,mental
fall,0.0075764564495309,en,mental
truth,0.0075764564495309,en,mental
pom,0.0075640825638006,en,mental
autism,0.0075640825638006,en,mental
bury,0.0075241774468203,en,mental
institution,0.0075185315772105,en,mental
diagnose,0.0075185315772105,en,mental
perform,0.0074749498524428,en,mental
gunshot,0.0074330336774487,en,mental
card,0.0074044316342216,en,mental
court,0.0074044316342216,en,mental
mood,0.0073546850027447,en,mental
lightly,0.007309692746436,en,mental
mentally,0.007309692746436,en,mental
trip,0.0072867155096854,en,mental
security,0.0072867155096854,en,mental
auditory,0.0072831838369726,en,mental
delusion,0.0072593466373421,en,mental
monitor,0.0072417864443527,en,mental
badge,0.0072417864443527,en,mental
exercise,0.0071822849337918,en,mental
healthy,0.0071784769046379,en,mental
punishable,0.0071536433666125,en,mental
daughter,0.0071137998954203,en,mental
company,0.0071137998954203,en,mental
tick,0.0070651190851579,en,mental
date,0.0070571050085072,en,mental
tonight,0.0070571050085072,en,mental
involve,0.0070571050085072,en,mental
short,0.0070571050085072,en,mental
knife,0.007007053332788,en,mental
build,0.0070008691945412,en,mental
street,0.0070008691945412,en,mental
wish,0.0070008691945412,en,mental
forget,0.0070008691945412,en,mental
touch,0.0070008691945412,en,mental
hit,0.0069450850787367,en,mental
shoot,0.0069450850787367,en,mental
line,0.0069450850787367,en,mental
divorce,0.0068937791997669,en,mental
madeline,0.0068776972212117,en,mental
disorganize,0.0068776972212117,en,mental
consult,0.0068576611862291,en,mental
occur,0.0068377950785707,en,mental
invasive,0.0068006766100435,en,mental
budget,0.0067967002253116,en,mental
purpose,0.0067854967858658,en,mental
desk,0.0067854967858658,en,mental
music,0.0067854967858658,en,mental
hopefully,0.00678235715263,en,mental
class,0.006731301485656,en,mental
rare,0.0067274548671985,en,mental
transfer,0.0067274548671985,en,mental
stat,0.0066970977848333,en,mental
gary,0.0066970977848333,en,mental
ellis,0.0066931929216592,en,mental
hearst,0.0066781323816163,en,mental
park,0.0066775674276357,en,mental
witness,0.0066775674276357,en,mental
describe,0.0066730779705462,en,mental
honey,0.0066242868269867,en,mental
voice,0.0066242868269867,en,mental
tech,0.0065992206512502,en,mental
building,0.0065714520943305,en,mental
physical,0.0065658607833455,en,mental
telephone,0.0065609323505617,en,mental
appreciate,0.0065190558292399,en,mental
support,0.0065190558292399,en,mental
handle,0.0065190558292399,en,mental
groan,0.0065060542017248,en,mental
richard,0.0065060542017248,en,mental
gyn,0.0064976040249952,en,mental
skoff,0.0064843942963744,en,mental
hypersexual,0.0064843942963744,en,mental
buchelle,0.0064843942963744,en,mental
sportive,0.0064843942963744,en,mental
malc,0.0064843942963744,en,mental
bostock,0.0064843942963744,en,mental
naobi,0.0064843942963744,en,mental
depakote,0.0064843942963744,en,mental
bagdonis,0.0064843942963744,en,mental
