mot,poids_tfidf,langue,serie
merlin,0.3434463114211152,en,merlin
uther,0.2708647042881011,en,merlin
gaius,0.2048342649551863,en,merlin
sire,0.1891748569073093,en,merlin
camelot,0.1775684982742185,en,merlin
magic,0.1180473863133292,en,merlin
arthur,0.1097410974980865,en,merlin
gwen,0.1076499966743426,en,merlin
sorcerer,0.0924080960406647,en,merlin
druid,0.0786277407935736,en,merlin
kill,0.0785652898617042,en,merlin
life,0.0763443629398185,en,merlin
king,0.0751632783639862,en,merlin
help,0.0735682042874615,en,merlin
die,0.0735682042874615,en,merlin
father,0.0716517839391949,en,merlin
knight,0.0710503939129521,en,merlin
kingdom,0.0641434006067692,en,merlin
boy,0.0616307220823262,en,merlin
lancelot,0.0614040374965024,en,merlin
servant,0.0576174740913559,en,merlin
happen,0.0541350937209622,en,merlin
believe,0.0541350937209622,en,merlin
win,0.0535798619904908,en,merlin
sure,0.0521917826643123,en,merlin
save,0.049693239877191,en,merlin
great,0.0494156240119552,en,merlin
catrina,0.0484705260305023,en,merlin
tauren,0.0456193186169433,en,merlin
fight,0.0446961543029483,en,merlin
destiny,0.0441850547978759,en,merlin
kanen,0.0427681112033843,en,merlin
goblet,0.0425832372166876,en,merlin
lady,0.0414171670826119,en,merlin
honour,0.0412441454489767,en,merlin
anhora,0.0399169037898254,en,merlin
emry,0.0399169037898254,en,merlin
stop,0.0396990687287056,en,merlin
long,0.03747814180682,en,merlin
sorcery,0.0364261239386031,en,merlin
guinevere,0.0355679554343978,en,merlin
hear,0.0355348307501701,en,merlin
bayard,0.0354520843191668,en,merlin
bring,0.0344243672892272,en,merlin
valiant,0.0342560107942555,en,merlin
enchantment,0.033279139077982,en,merlin
love,0.032758672097813,en,merlin
hope,0.032758672097813,en,merlin
son,0.0327419496531459,en,merlin
understand,0.0324810562325773,en,merlin
dead,0.0322034403673416,en,merlin
sword,0.0318442414359847,en,merlin
sophia,0.0315965207112747,en,merlin
death,0.0310628753119589,en,merlin
wish,0.0302233381413654,en,merlin
aredian,0.029937677842369,en,merlin
work,0.0291496658497489,en,merlin
warlock,0.0287736683944994,en,merlin
wrong,0.028039202388806,en,merlin
friend,0.0272063547930989,en,merlin
course,0.0271450351825226,en,merlin
power,0.027080989205365,en,merlin
rest,0.0265853437354603,en,merlin
water,0.0259526146551414,en,merlin
dragonlord,0.0256608667220306,en,merlin
speak,0.025263043736449,en,merlin
true,0.0249854278712133,en,merlin
face,0.0249062693942733,en,merlin
live,0.0247078120059776,en,merlin
young,0.024346577947211,en,merlin
old,0.0241525802755062,en,merlin
search,0.0231955550794304,en,merlin
armour,0.0230200926040423,en,merlin
morteaus,0.0228096593084716,en,merlin
morgause,0.0228096593084716,en,merlin
mother,0.0227645009493277,en,merlin
potion,0.0225461813181014,en,merlin
promise,0.0224644322660709,en,merlin
night,0.0222092692188563,en,merlin
chamber,0.0220831734956485,en,merlin
guard,0.0220786627303113,en,merlin
care,0.0219316533536206,en,merlin
cure,0.0217320995395562,en,merlin
trust,0.0215481207118994,en,merlin
fine,0.0209884292648371,en,merlin
curse,0.0208786367595222,en,merlin
talk,0.0208211898926777,en,merlin
bad,0.0208211898926777,en,merlin
bear,0.0207582728534579,en,merlin
creature,0.0206745904305077,en,merlin
return,0.0205928355415796,en,merlin
execute,0.0205622680519305,en,merlin
chance,0.020543574027442,en,merlin
use,0.020543574027442,en,merlin
food,0.0202659581622063,en,merlin
physician,0.020021234741795,en,merlin
ygraine,0.0199584518949127,en,merlin
worry,0.0198690463707124,en,merlin
stand,0.0197107264317349,en,merlin
troll,0.019643486110095,en,merlin
prove,0.0195892006471813,en,merlin
antidote,0.0195613513149973,en,merlin
word,0.0194331105664992,en,merlin
lie,0.0194331105664992,en,merlin
land,0.0193595628038611,en,merlin
end,0.0191554947012635,en,merlin
girl,0.0188778788360278,en,merlin
mind,0.0188778788360278,en,merlin
practise,0.0187099071159162,en,merlin
place,0.0186002629707921,en,merlin
like,0.0183226471055564,en,merlin
remember,0.0180450312403207,en,merlin
fear,0.0179146738324363,en,merlin
protect,0.0179146738324363,en,merlin
shield,0.0178201898547814,en,merlin
matter,0.017767415375085,en,merlin
unicorn,0.0172363592921096,en,merlin
truth,0.0172121836446136,en,merlin
aulfric,0.0171072444813537,en,merlin
afanc,0.0171072444813537,en,merlin
heart,0.0170705891354008,en,merlin
challenge,0.0168645178118993,en,merlin
tournament,0.0166753413553662,en,merlin
choice,0.0166435246157972,en,merlin
sleep,0.0163793360489065,en,merlin
poison,0.016228120913337,en,merlin
hand,0.0161017201836708,en,merlin
lose,0.0161017201836708,en,merlin
myth,0.0160704679549866,en,merlin
pass,0.0159241545177211,en,merlin
beast,0.0159066601911161,en,merlin
dragon,0.0157052467658626,en,merlin
forget,0.015671360517745,en,merlin
realise,0.015625207645104,en,merlin
today,0.0155464884531994,en,merlin
stay,0.0155464884531994,en,merlin
prince,0.0155074318592923,en,merlin
change,0.0152688725879637,en,merlin
tomorrow,0.0151116690706827,en,merlin
child,0.0151116690706827,en,merlin
morning,0.014991256722728,en,merlin
turn,0.014991256722728,en,merlin
start,0.014991256722728,en,merlin
little,0.014991256722728,en,merlin
meet,0.014991256722728,en,merlin
test,0.014905530600546,en,merlin
drink,0.0148318233471515,en,merlin
dangerous,0.0147867149093125,en,merlin
griffin,0.0147641709141106,en,merlin
mortal,0.0147236688429962,en,merlin
enchant,0.0147150839433725,en,merlin
break,0.0145519776236204,en,merlin
mordre,0.0144434417596605,en,merlin
eye,0.0144360249922566,en,merlin
ready,0.0144360249922566,en,merlin
serve,0.0142723210144561,en,merlin
pay,0.0142721319000892,en,merlin
witchfinder,0.0142560370677947,en,merlin
escape,0.014206911539257,en,merlin
dream,0.0141046818777942,en,merlin
religion,0.0138903895985251,en,merlin
apologise,0.0138591904562342,en,merlin
send,0.0137124404530269,en,merlin
shoulder,0.0136434838890276,en,merlin
suppose,0.0136031773965494,en,merlin
eldre,0.0131304015996914,en,merlin
able,0.013047945666078,en,merlin
run,0.013047945666078,en,merlin
head,0.013047945666078,en,merlin
away,0.013047945666078,en,merlin
conjure,0.0130395845491063,en,merlin
tvsubtitle,0.0130138025821667,en,merlin
spell,0.0129084832107557,en,merlin
alive,0.0128729032824334,en,merlin
balinor,0.0128304333610153,en,merlin
future,0.0128159617272667,en,merlin
idea,0.0127703298008423,en,merlin
safe,0.0126942136900148,en,merlin
evil,0.0125241774909367,en,merlin
