mot,poids_tfidf,langue,serie
vampire,0.249673804727602,en,moonlight
tierney,0.2449303345702731,en,moonlight
mick,0.2232175668601792,en,moonlight
coraline,0.2187764268060588,en,moonlight
buzzwire,0.1236133658180149,en,moonlight
blood,0.077077945297295,en,moonlight
kill,0.0736317834554901,en,moonlight
haggan,0.0702899531122045,en,moonlight
work,0.0613598195462417,en,moonlight
human,0.0580157674879113,en,moonlight
dominic,0.054191685506503,en,moonlight
turn,0.0523918459202525,en,moonlight
vamp,0.0508925962114497,en,moonlight
sure,0.0429518736823692,en,moonlight
talk,0.0410638792347925,en,moonlight
love,0.0405918806228984,en,moonlight
happen,0.03964788339911,en,moonlight
josef,0.0379510128132959,en,moonlight
help,0.0377598889515334,en,moonlight
dead,0.036815891727745,en,moonlight
little,0.0363438931158508,en,moonlight
friend,0.0363438931158508,en,moonlight
story,0.0356842339339328,en,moonlight
hear,0.0353998958920625,en,moonlight
shepherd,0.0353060135550606,en,moonlight
night,0.0344558986682742,en,moonlight
long,0.0344558986682742,en,moonlight
stop,0.0325679042206975,en,moonlight
murder,0.0314410583451186,en,moonlight
simone,0.0308060691477942,en,moonlight
girl,0.0287919153255442,en,moonlight
die,0.0287919153255442,en,moonlight
police,0.0286833408914342,en,moonlight
life,0.0278479181017558,en,moonlight
movie,0.0278357526212156,en,moonlight
live,0.0273759194898617,en,moonlight
new,0.0269039208779675,en,moonlight
stay,0.0264319222660733,en,moonlight
maureen,0.0247724746150342,en,moonlight
meet,0.0245439278184967,en,moonlight
sire,0.0245190654124764,en,moonlight
moonlight,0.0242759834224852,en,moonlight
verdolino,0.0242379148662774,en,moonlight
wife,0.0240719292066025,en,moonlight
old,0.0240719292066025,en,moonlight
office,0.0225417479154618,en,moonlight
logan,0.022385041716464,en,moonlight
start,0.0217119361471317,en,moonlight
check,0.0217119361471317,en,moonlight
pay,0.0214105403603597,en,moonlight
dean,0.0212792071363333,en,moonlight
bad,0.0212399375352375,en,moonlight
actually,0.0207679389233433,en,moonlight
case,0.0207679389233433,en,moonlight
run,0.0202959403114492,en,moonlight
believe,0.019823941699555,en,moonlight
cure,0.0196289499844987,en,moonlight
death,0.0195073812172166,en,moonlight
tejada,0.0193903318930219,en,moonlight
understand,0.0193519430876608,en,moonlight
close,0.0193519430876608,en,moonlight
like,0.0193519430876608,en,moonlight
killer,0.0187068781934198,en,moonlight
guess,0.0184079458638725,en,moonlight
paparazzi,0.0180878354495905,en,moonlight
family,0.0179359472519783,en,moonlight
win,0.0179359472519783,en,moonlight
bring,0.0179359472519783,en,moonlight
morrow,0.0176731206939651,en,moonlight
care,0.0174639486400841,en,moonlight
place,0.0174639486400841,en,moonlight
away,0.0174639486400841,en,moonlight
emma,0.0173842995365308,en,moonlight
silver,0.0171592640985738,en,moonlight
couple,0.0171284322882877,en,moonlight
home,0.01699195002819,en,moonlight
audrey,0.0169839453045788,en,moonlight
date,0.0167864080221524,en,moonlight
freshie,0.0167730158365207,en,moonlight
cop,0.0167398447251571,en,moonlight
big,0.016652642502502,en,moonlight
exactly,0.0165199514162958,en,moonlight
miss,0.0165199514162958,en,moonlight
hour,0.0165199514162958,en,moonlight
party,0.0164378007882415,en,moonlight
tonight,0.0163067963643766,en,moonlight
fine,0.0161768527167162,en,moonlight
body,0.0161768527167162,en,moonlight
drink,0.0161768527167162,en,moonlight
pretty,0.0161768527167162,en,moonlight
camera,0.0161029282197525,en,moonlight
room,0.0160479528044016,en,moonlight
wrong,0.0160479528044016,en,moonlight
com,0.0158469228438703,en,moonlight
save,0.0155759541925075,en,moonlight
sleep,0.0155759541925075,en,moonlight
remember,0.0151039555806133,en,moonlight
hit,0.0151039555806133,en,moonlight
eye,0.0151039555806133,en,moonlight
car,0.0149874066010437,en,moonlight
forever,0.0147379960992743,en,moonlight
great,0.0146319569687191,en,moonlight
kid,0.0145039418719778,en,moonlight
probably,0.014159958356825,en,moonlight
world,0.014159958356825,en,moonlight
end,0.014159958356825,en,moonlight
ago,0.014159958356825,en,moonlight
watch,0.014159958356825,en,moonlight
kent,0.0141368322809582,en,moonlight
private,0.0139087380754977,en,moonlight
course,0.0137979037877873,en,moonlight
investigator,0.0137942444501317,en,moonlight
pollock,0.0137109523453435,en,moonlight
fire,0.0136879597449308,en,moonlight
feed,0.0133221140020016,en,moonlight
hearst,0.013313112208232,en,moonlight
lose,0.0132159611330366,en,moonlight
head,0.0132159611330366,en,moonlight
matter,0.0132159611330366,en,moonlight
phone,0.0131584368573061,en,moonlight
sound,0.0127439625211425,en,moonlight
job,0.0127439625211425,en,moonlight
accident,0.0126710873440725,en,moonlight
chloe,0.0126015510584455,en,moonlight
spalde,0.0125797618773905,en,moonlight
boyfriend,0.0125719458291579,en,moonlight
hot,0.0125700829557141,en,moonlight
ray,0.012495455406983,en,moonlight
hide,0.0124699031021703,en,moonlight
crime,0.0123714456094291,en,moonlight
son,0.01237053443043,en,moonlight
money,0.0122719639092483,en,moonlight
hand,0.0122719639092483,en,moonlight
house,0.0122719639092483,en,moonlight
pranic,0.0121189574331387,en,moonlight
lusitania,0.0121189574331387,en,moonlight
break,0.0118947446446442,en,moonlight
worry,0.0118947446446442,en,moonlight
forget,0.0118947446446442,en,moonlight
trust,0.0118947446446442,en,moonlight
hurt,0.0118947446446442,en,moonlight
picture,0.0118947446446442,en,moonlight
renee,0.0118255106628386,en,moonlight
file,0.0116671645054125,en,moonlight
photo,0.0116174140719408,en,moonlight
safe,0.0115106797866188,en,moonlight
business,0.0114189548588585,en,moonlight
smell,0.0114189548588585,en,moonlight
suppose,0.01132796668546,en,moonlight
different,0.01132796668546,en,moonlight
pick,0.01132796668546,en,moonlight
week,0.01132796668546,en,moonlight
real,0.01132796668546,en,moonlight
change,0.01132796668546,en,moonlight
month,0.01132796668546,en,moonlight
thinkin,0.0112393598034133,en,moonlight
scene,0.0111598964834381,en,moonlight
town,0.0111196887685163,en,moonlight
deal,0.0109431650730727,en,moonlight
number,0.0109431650730727,en,moonlight
nice,0.0108559680735658,en,moonlight
clear,0.0108559680735658,en,moonlight
word,0.0108559680735658,en,moonlight
mortal,0.0108476228774824,en,moonlight
reporter,0.010828513482328,en,moonlight
freezer,0.0108282267959334,en,moonlight
secret,0.0107216892911383,en,moonlight
bloodline,0.0106957961517308,en,moonlight
daughter,0.0106362240394504,en,moonlight
send,0.0104673752872869,en,moonlight
face,0.0104673752872869,en,moonlight
child,0.0104673752872869,en,moonlight
studio,0.0104394099152576,en,moonlight
ready,0.0103839694616716,en,moonlight
easy,0.0103839694616716,en,moonlight
speak,0.0103839694616716,en,moonlight
second,0.0103839694616716,en,moonlight
walk,0.0103839694616716,en,moonlight
question,0.0103839694616716,en,moonlight
eat,0.0103839694616716,en,moonlight
lance,0.010340203756541,en,moonlight
curse,0.0102396825726157,en,moonlight
hire,0.010227092311418,en,moonlight
morgan,0.0101710691991996,en,moonlight
drug,0.0100643301373453,en,moonlight
sex,0.0100332212439489,en,moonlight
figure,0.0099915855015012,en,moonlight
follow,0.0099915855015012,en,moonlight
talbot,0.0099565176654582,en,moonlight
boy,0.0099119708497775,en,moonlight
catch,0.0099119708497775,en,moonlight
truth,0.0099119708497775,en,moonlight
move,0.0099119708497775,en,moonlight
rule,0.0099119708497775,en,moonlight
hope,0.0099119708497775,en,moonlight
stake,0.009896745863097,en,moonlight
celebrity,0.0097243366509217,en,moonlight
name,0.0095922331555156,en,moonlight
involve,0.0095922331555156,en,moonlight
cover,0.0095922331555156,en,moonlight
finally,0.0095922331555156,en,moonlight
alive,0.0095157957157154,en,moonlight
plan,0.0095157957157154,en,moonlight
hard,0.0094399722378833,en,moonlight
idea,0.0094399722378833,en,moonlight
use,0.0094399722378833,en,moonlight
shoot,0.0094399722378833,en,moonlight
person,0.0094399722378833,en,moonlight
play,0.0094399722378833,en,moonlight
investor,0.0093369167009558,en,moonlight
doctor,0.0092596407514376,en,moonlight
book,0.0091126214977398,en,moonlight
later,0.0090400059299296,en,moonlight
drive,0.0089679736259891,en,moonlight
lie,0.0089679736259891,en,moonlight
problem,0.0089679736259891,en,moonlight
expect,0.0089679736259891,en,moonlight
suspect,0.0088338035913371,en,moonlight
write,0.008772291238204,en,moonlight
professor,0.0087057119543076,en,moonlight
ander,0.0085693452158397,en,moonlight
paparazzo,0.0085693452158397,en,moonlight
hate,0.0085642161441438,en,moonlight
relationship,0.0085546806167435,en,moonlight
buy,0.008495975014095,en,moonlight
scoff,0.0084945831219629,en,moonlight
type,0.0084863910436817,en,moonlight
monster,0.0084505551711051,en,moonlight
victim,0.008449028415957,en,moonlight
sync,0.0084214539096521,en,moonlight
weird,0.008418677760806,en,moonlight
wound,0.008418677760806,en,moonlight
hospital,0.0083515311229221,en,moonlight
careful,0.0082849417249705,en,moonlight
paralyze,0.0082261999371656,en,moonlight
fun,0.0081533981821883,en,moonlight
crazy,0.0081533981821883,en,moonlight
foster,0.0081287470965546,en,moonlight
tmz,0.0080957637673098,en,moonlight
spend,0.0080884263583581,en,moonlight
stuff,0.0080884263583581,en,moonlight
afraid,0.0080239764022008,en,moonlight
answer,0.0080239764022008,en,moonlight
open,0.0080239764022008,en,moonlight
trace,0.0080167572242383,en,moonlight
club,0.0079234614219351,en,moonlight
previously,0.0078848531194281,en,moonlight
sigh,0.0078441835695485,en,moonlight
turner,0.0078053980802148,en,moonlight
track,0.0077975922117369,en,moonlight
past,0.0077975922117369,en,moonlight
wear,0.0077354356650548,en,moonlight
proudly,0.007734447711381,en,moonlight
set,0.0076737865244125,en,moonlight
choice,0.0076737865244125,en,moonlight
report,0.0076737865244125,en,moonlight
evidence,0.0076703192335635,en,moonlight
realize,0.0076703192335635,en,moonlight
kidnap,0.0076291502063137,en,moonlight
harlow,0.007620992045466,en,moonlight
