mot,poids_tfidf,langue,serie
randy,0.2336575728193115,en,mynameisearl
darnell,0.2054089465393264,en,mynameisearl
joy,0.1352010232461362,en,mynameisearl
little,0.0914244619912309,en,mynameisearl
billie,0.0697479899592517,en,mynameisearl
ernie,0.0692525559508144,en,mynameisearl
list,0.0679262456893947,en,mynameisearl
camden,0.0587911791733061,en,mynameisearl
work,0.0586496548622991,en,mynameisearl
kid,0.053890282157737,en,mynameisearl
life,0.0537621836237741,en,mynameisearl
talk,0.0523246920830315,en,mynameisearl
bad,0.0523246920830315,en,mynameisearl
help,0.052037193774883,en,mynameisearl
happen,0.0468622242282095,en,mynameisearl
brother,0.045999729303764,en,mynameisearl
crab,0.0456146713478771,en,mynameisearl
love,0.0451372343793184,en,mynameisearl
start,0.0445622377630213,en,mynameisearl
turn,0.0439872411467243,en,mynameisearl
big,0.0428915165004925,en,mynameisearl
baby,0.0417753733775732,en,mynameisearl
car,0.0400496085980996,en,mynameisearl
kill,0.0385247732919023,en,mynameisearl
friend,0.0382372749837538,en,mynameisearl
hickey,0.0377761781958968,en,mynameisearl
sure,0.0376622783674567,en,mynameisearl
like,0.0365122851348626,en,mynameisearl
prison,0.0354496059670451,en,mynameisearl
live,0.0347872952859715,en,mynameisearl
stop,0.0347872952859715,en,mynameisearl
cause,0.034499796977823,en,mynameisearl
night,0.034499796977823,en,mynameisearl
steal,0.0344870977267473,en,mynameisearl
great,0.0342122986696744,en,mynameisearl
hell,0.0336373020533774,en,mynameisearl
real,0.0336373020533774,en,mynameisearl
long,0.0333498037452289,en,mynameisearl
trailer,0.0331562455533887,en,mynameisearl
hand,0.0330623054370803,en,mynameisearl
remember,0.0330623054370803,en,mynameisearl
new,0.0324873088207833,en,mynameisearl
crazy,0.0318427671199684,en,mynameisearl
win,0.0316248138963377,en,mynameisearl
loky,0.0315596641531629,en,mynameisearl
old,0.0313373155881892,en,mynameisearl
stuff,0.0312992147436026,en,mynameisearl
raynard,0.031274966784189,en,mynameisearl
nice,0.0307623189718921,en,mynameisearl
hear,0.0298998240474466,en,mynameisearl
pretty,0.0298501770239914,en,mynameisearl
money,0.0281748341985554,en,mynameisearl
wife,0.0281748341985554,en,mynameisearl
break,0.0281113317604579,en,mynameisearl
camdenite,0.0280506822453619,en,mynameisearl
bring,0.0267373426578128,en,mynameisearl
boy,0.0264498443496643,en,mynameisearl
dad,0.0262921930348363,en,mynameisearl
karma,0.0261578634389221,en,mynameisearl
believe,0.0258748477333672,en,mynameisearl
warden,0.0255923737748763,en,mynameisearl
eat,0.0252998511170702,en,mynameisearl
watch,0.0252998511170702,en,mynameisearl
belcher,0.0250979788511133,en,mynameisearl
shack,0.0249256602108625,en,mynameisearl
mom,0.0248364686881927,en,mynameisearl
damn,0.0242472446876823,en,mynameisearl
guess,0.0241498578844761,en,mynameisearl
home,0.0241498578844761,en,mynameisearl
chaz,0.0240305970278037,en,mynameisearl
stick,0.0236629737313526,en,mynameisearl
lose,0.023574861268179,en,mynameisearl
girl,0.023574861268179,en,mynameisearl
cop,0.0234825712956623,en,mynameisearl
place,0.0232873629600305,en,mynameisearl
chubby,0.0232564785363461,en,mynameisearl
bitch,0.023109060124776,en,mynameisearl
world,0.022999864651882,en,mynameisearl
head,0.022999864651882,en,mynameisearl
run,0.0227123663437334,en,mynameisearl
walk,0.0227123663437334,en,mynameisearl
lady,0.022315180882013,en,mynameisearl
away,0.0221373697274364,en,mynameisearl
care,0.0221373697274364,en,mynameisearl
stay,0.0221373697274364,en,mynameisearl
dead,0.0221373697274364,en,mynameisearl
cross,0.0219668016347203,en,mynameisearl
eye,0.0218498714192879,en,mynameisearl
son,0.0217355657941685,en,mynameisearl
week,0.0215623731111393,en,mynameisearl
hard,0.0215623731111393,en,mynameisearl
pick,0.0215623731111393,en,mynameisearl
decide,0.0214457582502462,en,mynameisearl
drive,0.0212748748029908,en,mynameisearl
job,0.0212748748029908,en,mynameisearl
die,0.0209873764948423,en,mynameisearl
house,0.0209873764948423,en,mynameisearl
hope,0.0204123798785452,en,mynameisearl
miss,0.0204123798785452,en,mynameisearl
mind,0.0204123798785452,en,mynameisearl
figure,0.0202865280745572,en,mynameisearl
face,0.0202865280745572,en,mynameisearl
sleep,0.0201248815703967,en,mynameisearl
end,0.0201248815703967,en,mynameisearl
buddy,0.0199404033564628,en,mynameisearl
realize,0.019934104297549,en,mynameisearl
actually,0.0195498849540997,en,mynameisearl
hate,0.0194171054427905,en,mynameisearl
turtle,0.0193364601854621,en,mynameisearl
finally,0.0192809415588799,en,mynameisearl
hit,0.0192623866459511,en,mynameisearl
buy,0.0192623866459511,en,mynameisearl
fine,0.0191272978988683,en,mynameisearl
jarick,0.0190369363034194,en,mynameisearl
turner,0.019017333406825,en,mynameisearl
problem,0.0189748883378026,en,mynameisearl
change,0.0189748883378026,en,mynameisearl
hot,0.0188468746343998,en,mynameisearl
sweet,0.018837490354946,en,mynameisearl
frank,0.0187789196814513,en,mynameisearl
dog,0.0187014662565862,en,mynameisearl
wear,0.0185523922182373,en,mynameisearl
bag,0.0184045351243854,en,mynameisearl
throw,0.0182578752671015,en,mynameisearl
use,0.018112393413357,en,mynameisearl
cool,0.0179634273859123,en,mynameisearl
catalina,0.0178790227758157,en,mynameisearl
