mot,poids_tfidf,langue,serie
gibb,0.3279559521704972,fr,ncis
mcgee,0.2676839405454232,fr,ncis
dinozzo,0.2225806820960111,fr,ncis
nci,0.207329334169317,fr,ncis
taire,0.2025567915091007,fr,ncis
ziva,0.1656960529085194,fr,ncis
tre,0.1113553416637971,fr,ncis
jethro,0.091826545201302,fr,ncis
agent,0.0863456891441872,fr,ncis
tony,0.0837131358746931,fr,ncis
ici,0.079699481282224,fr,ncis
ouai,0.0795136586087232,fr,ncis
patron,0.0719679450409144,fr,ncis
mme,0.0679430443881028,fr,ncis
gibbs,0.061831350943422,fr,ncis
ducky,0.0581533405506111,fr,ncis
marine,0.0551576657172745,fr,ncis
heure,0.0517588585338581,fr,ncis
mort,0.0515552838690248,fr,ncis
trouv,0.0506391978772751,fr,ncis
besoin,0.0482980892316926,fr,ncis
apr,0.0405113583018201,fr,ncis
quelqu,0.0383229306548625,fr,ncis
palmer,0.0379199687361133,fr,ncis
petit,0.0364907586713631,fr,ncis
duck,0.0361402251102397,fr,ncis
appel,0.0357782473444466,fr,ncis
voiture,0.0355762790261612,fr,ncis
abby,0.0353301267395803,fr,ncis
mourir,0.0346076930216554,fr,ncis
directeur,0.0345307883431271,fr,ncis
appeler,0.0340987563595722,fr,ncis
arme,0.0336407133636973,fr,ncis
corps,0.0335539689517167,fr,ncis
nom,0.0335389260312807,fr,ncis
lieutenant,0.0318694816139654,fr,ncis
trs,0.031503179382948,fr,ncis
affaire,0.0311978173856981,fr,ncis
team,0.0304213330323422,fr,ncis
bizut,0.0299358946192114,fr,ncis
aimer,0.0297219010656569,fr,ncis
regarder,0.0281441974131991,fr,ncis
travailler,0.0273298987538661,fr,ncis
fille,0.0268718557579912,fr,ncis
problme,0.0263120254296997,fr,ncis
com,0.0260660895396864,fr,ncis
sortir,0.0254468331041583,fr,ncis
gaillot,0.0250132035840723,fr,ncis
kat,0.0245433193057019,fr,ncis
tuer,0.0245307471124086,fr,ncis
dsol,0.0244798534462003,fr,ncis
raison,0.0243271724475754,fr,ncis
