mot,poids_tfidf,langue,serie
callen,0.1294349576659325,en,ncislosangeles
dom,0.0988311945690312,en,ncislosangeles
work,0.0754425407145147,en,ncislosangeles
hetty,0.0734630840806643,en,ncislosangeles
kill,0.0698952950737415,en,ncislosangeles
agent,0.0636371706935053,en,ncislosangeles
safar,0.0588711292795016,en,ncislosangeles
keelson,0.0588711292795016,en,ncislosangeles
lapd,0.0567633791350389,en,ncislosangeles
nate,0.0541706383195175,en,ncislosangeles
phone,0.0496397180429439,en,ncislosangeles
talk,0.048445945262752,en,ncislosangeles
car,0.048107626870909,en,ncislosangeles
keshwar,0.0474767171608884,en,ncislosangeles
undercover,0.0461551773079579,en,ncislosangeles
place,0.0458572306303913,en,ncislosangeles
holgate,0.0455776484744528,en,ncislosangeles
deek,0.0443537507173638,en,ncislosangeles
run,0.0432685159980305,en,ncislosangeles
moe,0.0419014004717669,en,ncislosangeles
friend,0.0417892504938243,en,ncislosangeles
dead,0.0410496177417212,en,ncislosangeles
help,0.0403099849896181,en,ncislosangeles
little,0.0403099849896181,en,ncislosangeles
money,0.039570352237515,en,ncislosangeles
vance,0.0388123806500197,en,ncislosangeles
aubrey,0.0387659634851251,en,ncislosangeles
mcellon,0.0384806630898718,en,ncislosangeles
marine,0.0377474389839283,en,ncislosangeles
hear,0.0369816376051542,en,ncislosangeles
salerno,0.0367315420403321,en,ncislosangeles
valdivia,0.0360823050422752,en,ncislosangeles
shoot,0.0355023721009481,en,ncislosangeles
team,0.0350270846496679,en,ncislosangeles
turn,0.034762739348845,en,ncislosangeles
night,0.0340231065967419,en,ncislosangeles
happen,0.0340231065967419,en,ncislosangeles
case,0.0336532902206903,en,ncislosangeles
bad,0.0336532902206903,en,ncislosangeles
home,0.0329136574685873,en,ncislosangeles
long,0.0321740247164842,en,ncislosangeles
start,0.0321740247164842,en,ncislosangeles
brother,0.0318042083404326,en,ncislosangeles
sure,0.0318042083404326,en,ncislosangeles
stop,0.0314343919643811,en,ncislosangeles
mcguire,0.0305006752526407,en,ncislosangeles
check,0.0303249428362265,en,ncislosangeles
ncis,0.0298556774230921,en,ncislosangeles
security,0.0283245645743543,en,ncislosangeles
tariq,0.0280837686341559,en,ncislosangeles
wyler,0.0279264356368587,en,ncislosangeles
job,0.0277362282038657,en,ncislosangeles
hour,0.0277362282038657,en,ncislosangeles
house,0.0273664118278141,en,ncislosangeles
old,0.0273664118278141,en,ncislosangeles
stay,0.0273664118278141,en,ncislosangeles
head,0.0269965954517626,en,ncislosangeles
hand,0.0269965954517626,en,ncislosangeles
tedrow,0.0262837041288082,en,ncislosangeles
olin,0.0262837041288082,en,ncislosangeles
drive,0.0262569626996595,en,ncislosangeles
ago,0.0258871463236079,en,ncislosangeles
away,0.0258871463236079,en,ncislosangeles
camera,0.0256279372782249,en,ncislosangeles
calvin,0.0254828473739985,en,ncislosangeles
cam,0.0252486848901558,en,ncislosangeles
second,0.0247776971954533,en,ncislosangeles
raspen,0.0246878929236619,en,ncislosangeles
pargo,0.0244876946935548,en,ncislosangeles
botulinum,0.0244876946935548,en,ncislosangeles
lose,0.0244078808194018,en,ncislosangeles
meet,0.0244078808194018,en,ncislosangeles
big,0.0242311423042291,en,ncislosangeles
guess,0.0240380644433502,en,ncislosangeles
question,0.0240380644433502,en,ncislosangeles
hard,0.0240380644433502,en,ncislosangeles
probably,0.0240380644433502,en,ncislosangeles
hit,0.0236682480672987,en,ncislosangeles
month,0.0236682480672987,en,ncislosangeles
kid,0.0234856131180815,en,ncislosangeles
send,0.0234855686948682,en,ncislosangeles
pull,0.0234855686948682,en,ncislosangeles
deal,0.0231127818901878,en,ncislosangeles
pay,0.0231127818901878,en,ncislosangeles
wendell,0.0229300661850796,en,ncislosangeles
week,0.0229286153151956,en,ncislosangeles
pretty,0.0227399950855073,en,ncislosangeles
terrorist,0.0227070199660813,en,ncislosangeles
close,0.0225587989391441,en,ncislosangeles
girl,0.0225587989391441,en,ncislosangeles
donnelly,0.0221658272330463,en,ncislosangeles
morning,0.0210795334349379,en,ncislosangeles
new,0.0210795334349379,en,ncislosangeles
address,0.0210014191720147,en,ncislosangeles
arkady,0.0209894525944755,en,ncislosangeles
gun,0.0209524176303442,en,ncislosangeles
drug,0.0208966257807065,en,ncislosangeles
walder,0.0208897555507909,en,ncislosangeles
buddy,0.0207641621092219,en,ncislosangeles
love,0.0207097170588863,en,ncislosangeles
believe,0.0207097170588863,en,ncislosangeles
bring,0.0207097170588863,en,ncislosangeles
weapon,0.0204552114254258,en,ncislosangeles
live,0.0203399006828348,en,ncislosangeles
clear,0.0203399006828348,en,ncislosangeles
number,0.0201304874527442,en,ncislosangeles
gale,0.0200504671988297,en,ncislosangeles
hope,0.0199700843067833,en,ncislosangeles
door,0.0199700843067833,en,ncislosangeles
federal,0.0199619623029753,en,ncislosangeles
file,0.0198725183555722,en,ncislosangeles
system,0.0196305639245391,en,ncislosangeles
bank,0.0196032887613636,en,ncislosangeles
buy,0.0196002679307317,en,ncislosangeles
life,0.0196002679307317,en,ncislosangeles
record,0.0195406268524897,en,ncislosangeles
video,0.0194459902246991,en,ncislosangeles
murder,0.0192456509064109,en,ncislosangeles
kalil,0.0192403315449359,en,ncislosangeles
problem,0.0192304515546802,en,ncislosangeles
watch,0.0192304515546802,en,ncislosangeles
cop,0.0190776176213493,en,ncislosangeles
street,0.0190121270387028,en,ncislosangeles
mackaye,0.0189906868643553,en,ncislosangeles
alvare,0.0189906868643553,en,ncislosangeles
cell,0.018940010579098,en,ncislosangeles
like,0.0188606351786286,en,ncislosangeles
family,0.0188606351786286,en,ncislosangeles
magda,0.018665093529875,en,ncislosangeles
king,0.0186185012789673,en,ncislosangeles
card,0.0185309700319473,en,ncislosangeles
room,0.0184908188025771,en,ncislosangeles
save,0.0184908188025771,en,ncislosangeles
hell,0.0184908188025771,en,ncislosangeles
safe,0.0184132829956153,en,ncislosangeles
director,0.0183606271994308,en,ncislosangeles
end,0.0181210024265255,en,ncislosangeles
nice,0.0181210024265255,en,ncislosangeles
real,0.0181210024265255,en,ncislosangeles
seal,0.0180801494653524,en,ncislosangeles
body,0.0178937666246615,en,ncislosangeles
die,0.017751186050474,en,ncislosangeles
boy,0.017751186050474,en,ncislosangeles
miss,0.017751186050474,en,ncislosangeles
riley,0.0174743994579088,en,ncislosangeles
idea,0.0173813696744225,en,ncislosangeles
game,0.0171481930153006,en,ncislosangeles
blood,0.0171481930153006,en,ncislosangeles
footage,0.017130556892419,en,ncislosangeles
citdential,0.0170916181779198,en,ncislosangeles
suntiago,0.0170916181779198,en,ncislosangeles
plan,0.0167754062106201,en,ncislosangeles
win,0.0166417369223194,en,ncislosangeles
walk,0.0166417369223194,en,ncislosangeles
open,0.0166417369223194,en,ncislosangeles
stringer,0.0164921240234808,en,ncislosangeles
club,0.0162963248236011,en,ncislosangeles
catch,0.0162719205462678,en,ncislosangeles
drone,0.01623624306589,en,ncislosangeles
corporal,0.0161586429751574,en,ncislosangeles
hide,0.0161585952818665,en,ncislosangeles
traffic,0.0160689192119962,en,ncislosangeles
stuff,0.0160298326012592,en,ncislosangeles
access,0.015878476907052,en,ncislosangeles
operation,0.0158494675091875,en,ncislosangeles
bulgarian,0.015793540679125,en,ncislosangeles
high,0.0157828139962417,en,ncislosangeles
forensic,0.0157280995766368,en,ncislosangeles
cause,0.0155322877941647,en,ncislosangeles
pick,0.0155322877941647,en,ncislosangeles
late,0.0155322877941647,en,ncislosangeles
drop,0.0155322877941647,en,ncislosangeles
fast,0.0155322877941647,en,ncislosangeles
shot,0.0155308086748604,en,ncislosangeles
photo,0.0153085454960397,en,ncislosangeles
break,0.0152842589918983,en,ncislosangeles
sign,0.0151624714181132,en,ncislosangeles
navy,0.0151190113622618,en,ncislosangeles
information,0.0150312514249921,en,ncislosangeles
humvee,0.0149848227036442,en,ncislosangeles
crime,0.0149436383798516,en,ncislosangeles
stanhope,0.014927838711546,en,ncislosangeles
dobbs,0.014927838711546,en,ncislosangeles
wrong,0.0147926550420617,en,ncislosangeles
fire,0.0147926550420617,en,ncislosangeles
blye,0.0147845835724546,en,ncislosangeles
gang,0.0147318526463351,en,ncislosangeles
business,0.0145386853825375,en,ncislosangeles
play,0.0144228386660101,en,ncislosangeles
great,0.0144228386660101,en,ncislosangeles
chance,0.0144228386660101,en,ncislosangeles
suspect,0.0142499151729954,en,ncislosangeles
speak,0.0140530222899586,en,ncislosangeles
move,0.0140530222899586,en,ncislosangeles
line,0.0140530222899586,en,ncislosangeles
stand,0.0140530222899586,en,ncislosangeles
gunny,0.0140418843170779,en,ncislosangeles
country,0.0139682784202295,en,ncislosangeles
scene,0.0139107628489005,en,ncislosangeles
face,0.0137931117731766,en,ncislosangeles
use,0.013683205913907,en,ncislosangeles
remember,0.013683205913907,en,ncislosangeles
center,0.013653567604576,en,ncislosangeles
hacker,0.0136518708582223,en,ncislosangeles
gps,0.0135824214792292,en,ncislosangeles
leon,0.0135101802123103,en,ncislosangeles
list,0.0134719556344876,en,ncislosangeles
killer,0.0134356343059671,en,ncislosangeles
far,0.0133133895378555,en,ncislosangeles
cartel,0.0133071177442472,en,ncislosangeles
jeffcoat,0.0132934808050487,en,ncislosangeles
kaleem,0.0132934808050487,en,ncislosangeles
wear,0.0132580074053686,en,ncislosangeles
lead,0.0131523449968681,en,ncislosangeles
set,0.0131523449968681,en,ncislosangeles
apartment,0.0131401889284392,en,ncislosangeles
missile,0.0130554110521954,en,ncislosangeles
phantom,0.0129956919633121,en,ncislosangeles
point,0.0129435731618039,en,ncislosangeles
cool,0.0128792071937866,en,ncislosangeles
father,0.0127765637112433,en,ncislosangeles
name,0.0127765637112433,en,ncislosangeles
track,0.0126008515032088,en,ncislosangeles
actually,0.0125737567857524,en,ncislosangeles
partner,0.0125203456696054,en,ncislosangeles
vail,0.0124775489669894,en,ncislosangeles
din,0.0124306286640851,en,ncislosangeles
driver,0.0124123341859782,en,ncislosangeles
report,0.0124007824256185,en,ncislosangeles
naval,0.0123964562603069,en,ncislosangeles
target,0.0123921999411704,en,ncislosangeles
military,0.0123134929466745,en,ncislosangeles
son,0.0123019645544548,en,ncislosangeles
mangold,0.0122438473467774,en,ncislosangeles
sound,0.0122039404097009,en,ncislosangeles
care,0.0122039404097009,en,ncislosangeles
easy,0.0122039404097009,en,ncislosangeles
suppose,0.0122039404097009,en,ncislosangeles
surveillance,0.0121947669610824,en,ncislosangeles
date,0.0120250011399937,en,ncislosangeles
fallujah,0.0119514896146104,en,ncislosangeles
uav,0.0119422709692368,en,ncislosangeles
figure,0.0119291777497743,en,ncislosangeles
death,0.0119291777497743,en,ncislosangeles
couple,0.0119291777497743,en,ncislosangeles
spend,0.0119291777497743,en,ncislosangeles
hollywood,0.0118409291014497,en,ncislosangeles
service,0.0118371635333173,en,ncislosangeles
search,0.0117338569714755,en,ncislosangeles
vehicle,0.0116858789403628,en,ncislosangeles
baby,0.0116492198543689,en,ncislosangeles
steal,0.0115563909450939,en,ncislosangeles
throw,0.0115563909450939,en,ncislosangeles
building,0.0115473905438465,en,ncislosangeles
cherise,0.0114991205563535,en,ncislosangeles
taro,0.0114991205563535,en,ncislosangeles
renny,0.0114991205563535,en,ncislosangeles
eye,0.0114643076575978,en,ncislosangeles
change,0.0114643076575978,en,ncislosangeles
read,0.0114643076575978,en,ncislosangeles
