mot,poids_tfidf,langue,serie
sean,0.1821395633893403,fr,niptuck
taire,0.1333502834858092,fr,niptuck
tre,0.1259000201227406,fr,niptuck
mcnamara,0.113595590177252,fr,niptuck
kimber,0.1076175104726671,fr,niptuck
julia,0.0989842338527638,fr,niptuck
troy,0.0949911818373869,fr,niptuck
mme,0.0943071311780829,fr,niptuck
ici,0.0721449553512334,fr,niptuck
besoin,0.0681840558417539,fr,niptuck
aimer,0.0666751417429046,fr,niptuck
petit,0.0547924432144661,fr,niptuck
opration,0.0471808572031422,fr,niptuck
fille,0.0465877228019729,fr,niptuck
apr,0.0463048014084387,fr,niptuck
trs,0.0452674229654797,fr,niptuck
heure,0.0452674229654797,fr,niptuck
enfant,0.0448901944407674,fr,niptuck
mal,0.0416837519807126,fr,niptuck
matt,0.0403295740877911,fr,niptuck
mcnamarer,0.0381985014664304,fr,niptuck
regarder,0.0379114667335893,fr,niptuck
accord,0.0379114667335893,fr,niptuck
appeler,0.0377228524712331,fr,niptuck
yellow,0.0369817070551377,fr,niptuck
mieux,0.036496859765918,fr,niptuck
veux,0.0362139383723838,fr,niptuck
dieu,0.0361196312412057,fr,niptuck
liz,0.0353276801912284,fr,niptuck
dsol,0.0347050242735345,fr,niptuck
sentir,0.034139181486466,fr,niptuck
chirurgien,0.0338358617369267,fr,niptuck
problme,0.0309327390264111,fr,niptuck
aider,0.0309327390264111,fr,niptuck
annie,0.0293338696280771,fr,niptuck
quelqu,0.0288579821404933,fr,niptuck
pre,0.0286693678781372,fr,niptuck
tai,0.0270000946601694,fr,niptuck
famille,0.0268775323857536,fr,niptuck
mari,0.0266198116367867,fr,niptuck
perdre,0.026217382467507,fr,niptuck
fils,0.0261230753363289,fr,niptuck
patient,0.0256575194713804,fr,niptuck
semaine,0.0256515396804385,fr,niptuck
essayer,0.0256515396804385,fr,niptuck
wilber,0.0256268427559596,fr,niptuck
sai,0.0255572325492604,fr,niptuck
titre,0.0255379949143335,fr,niptuck
docteur,0.0253238557780927,fr,niptuck
sub,0.0250666202592213,fr,niptuck
fait,0.0247084683686577,fr,niptuck
raison,0.0244255469751234,fr,niptuck
sortir,0.0242369327127673,fr,niptuck
argent,0.0240483184504111,fr,niptuck
tuck,0.0237739545354456,fr,niptuck
chrie,0.0236710899256988,fr,niptuck
ouai,0.0234778845905697,fr,niptuck
salut,0.0232938614009864,fr,niptuck
meilleur,0.0229166328762741,fr,niptuck
attendre,0.022822325745096,fr,niptuck
finir,0.0224450972203837,fr,niptuck
ava,0.0222701248809875,fr,niptuck
visage,0.021961344600349,fr,niptuck
main,0.0218792544333152,fr,niptuck
mois,0.021690640170959,fr,niptuck
lipo,0.0216553466224192,fr,niptuck
grand,0.0215963330397809,fr,niptuck
nouveau,0.0215020259086029,fr,niptuck
changer,0.0214859908211207,fr,niptuck
aime,0.0211247973838905,fr,niptuck
merde,0.0210849351356516,fr,niptuck
chirurgie,0.0210628231034971,fr,niptuck
air,0.0207475688591782,fr,niptuck
peur,0.0207475688591782,fr,niptuck
vrai,0.0206532617280001,fr,niptuck
maison,0.0204646474656439,fr,niptuck
devenir,0.0203703403344659,fr,niptuck
lifting,0.0201707313660153,fr,niptuck
grubman,0.0201356731752319,fr,niptuck
conor,0.0200959469377243,fr,niptuck
ami,0.0198988046785754,fr,niptuck
laisse,0.0198988046785754,fr,niptuck
mourir,0.0198044975473974,fr,niptuck
dsole,0.019679646460053,fr,niptuck
sein,0.0196623636331513,fr,niptuck
pass,0.0196158832850412,fr,niptuck
chance,0.019427269022685,fr,niptuck
mdecin,0.0192684928836453,fr,niptuck
traduction,0.0191371426016772,fr,niptuck
soir,0.019109221924979,fr,niptuck
oprer,0.0188997203032321,fr,niptuck
affaire,0.0187671191044385,fr,niptuck
dcoupeur,0.0186344235240716,fr,niptuck
plat,0.0184437266340594,fr,niptuck
comprend,0.0183898905797261,fr,niptuck
super,0.0183571937127911,fr,niptuck
payer,0.0182097167080627,fr,niptuck
travail,0.0181069691861919,fr,niptuck
gros,0.0179183549238357,fr,niptuck
coup,0.0178733020989854,fr,niptuck
papa,0.0177297406614795,fr,niptuck
arrte,0.0176354335303015,fr,niptuck
transcript,0.0174986091826166,fr,niptuck
mec,0.0174775763037181,fr,niptuck
faon,0.0174468192679453,fr,niptuck
travailler,0.0173525121367672,fr,niptuck
bite,0.0170855455743388,fr,niptuck
amour,0.0167527045916613,fr,niptuck
corps,0.0167324530288374,fr,niptuck
bel,0.0166762668800153,fr,niptuck
implant,0.0164550483374908,fr,niptuck
mariage,0.0162334541315918,fr,niptuck
donne,0.0162208265626302,fr,niptuck
sang,0.016032212300274,fr,niptuck
anne,0.0158435980379179,fr,niptuck
oeil,0.0158435980379179,fr,niptuck
aide,0.0156549837755617,fr,niptuck
point,0.0156549837755617,fr,niptuck
miami,0.0155873106467719,fr,niptuck
dur,0.0154965332028437,fr,niptuck
occuper,0.0154663695132055,fr,niptuck
question,0.0152777552508494,fr,niptuck
vien,0.0151834481196713,fr,niptuck
plasticien,0.0151695053537161,fr,niptuck
vivre,0.0150891409884932,fr,niptuck
revenir,0.0150891409884932,fr,niptuck
ensembl,0.0150211794236153,fr,niptuck
voiture,0.0149466559382339,fr,niptuck
douleur,0.0147282946379647,fr,niptuck
mlle,0.0146191982913363,fr,niptuck
voil,0.0146176053326028,fr,niptuck
nol,0.0145005386816996,fr,niptuck
mort,0.0144289910702466,fr,niptuck
nom,0.0144289910702466,fr,niptuck
prend,0.0142403768078905,fr,niptuck
commencer,0.0141460696767124,fr,niptuck
heureux,0.0139927296809324,fr,niptuck
minute,0.013975401109313,fr,niptuck
cabinet,0.0138898622187901,fr,niptuck
tte,0.0138631482831781,fr,niptuck
cul,0.0138445969596868,fr,niptuck
attend,0.0137852595976217,fr,niptuck
ressembler,0.0137688411520001,fr,niptuck
confiance,0.0137688411520001,fr,niptuck
esthtique,0.0135433186095911,fr,niptuck
demain,0.0135000473300847,fr,niptuck
nuit,0.0134859197584658,fr,niptuck
souvenir,0.0134859197584658,fr,niptuck
partie,0.0134859197584658,fr,niptuck
manger,0.0134176859954146,fr,niptuck
dernire,0.0133916126272877,fr,niptuck
apprendre,0.0133916126272877,fr,niptuck
merrill,0.013297142662889,fr,niptuck
vieux,0.0131086912337535,fr,niptuck
associ,0.0130636781831808,fr,niptuck
boulot,0.0130343235384028,fr,niptuck
donn,0.0129200769713973,fr,niptuck
compte,0.0129200769713973,fr,niptuck
nip,0.0129133254325088,fr,niptuck
prt,0.012834552039165,fr,niptuck
arrter,0.0128257698402192,fr,niptuck
bonjour,0.0127314627090411,fr,niptuck
beau,0.0126444105274737,fr,niptuck
appel,0.0126371555778631,fr,niptuck
trouv,0.0126371555778631,fr,niptuck
propre,0.0126371555778631,fr,niptuck
bureau,0.0125681447577299,fr,niptuck
cause,0.012542848446685,fr,niptuck
demande,0.012542848446685,fr,niptuck
chri,0.0124711885481818,fr,niptuck
jeune,0.0123591982599367,fr,niptuck
silvio,0.0123104901278696,fr,niptuck
christian,0.0122674359488477,fr,niptuck
mauvais,0.0122599270531507,fr,niptuck
demand,0.0122599270531507,fr,niptuck
relation,0.0121750905986938,fr,niptuck
plutt,0.0121690567482453,fr,niptuck
porte,0.0121656199219726,fr,niptuck
avaliz,0.0120881333754526,fr,niptuck
peau,0.0120759173958731,fr,niptuck
parl,0.0120713127907946,fr,niptuck
arriv,0.0120713127907946,fr,niptuck
scalpel,0.0120208557240548,fr,niptuck
sexuel,0.0119891724568478,fr,niptuck
pense,0.0118826985284384,fr,niptuck
tard,0.0117887737248627,fr,niptuck
colleen,0.0117205061865944,fr,niptuck
chercher,0.0116940842660822,fr,niptuck
liposuccion,0.0116660395801018,fr,niptuck
client,0.01165499163667,fr,niptuck
dernier,0.0115054700037261,fr,niptuck
aujourd,0.0115054700037261,fr,niptuck
orgasme,0.0114573658557331,fr,niptuck
eden,0.0113567190164455,fr,niptuck
connard,0.0113030715180628,fr,niptuck
sexe,0.0112854486787655,fr,niptuck
doi,0.0112183491897887,fr,niptuck
consultation,0.011165901874832,fr,niptuck
parfaire,0.0111175112533435,fr,niptuck
michell,0.0109914346580377,fr,niptuck
tomber,0.0109396272166576,fr,niptuck
premire,0.0109331369222517,fr,niptuck
garder,0.0108453200854795,fr,niptuck
jouer,0.010838066166406,fr,niptuck
amie,0.0108299894105846,fr,niptuck
nez,0.0107244658006306,fr,niptuck
cest,0.010590467883772,fr,niptuck
veu,0.0105623986919452,fr,niptuck
parent,0.0105191400924385,fr,niptuck
choisir,0.0104577831430233,fr,niptuck
garde,0.0103737844295891,fr,niptuck
connerie,0.010339286338933,fr,niptuck
rentrer,0.010279477298411,fr,niptuck
matin,0.010267641631332,fr,niptuck
prochain,0.010267641631332,fr,niptuck
fort,0.0101851701672329,fr,niptuck
tier,0.0101851701672329,fr,niptuck
vite,0.0100908630360548,fr,niptuck
ide,0.0100908630360548,fr,niptuck
sens,0.0100908630360548,fr,niptuck
rendez,0.0100775001196407,fr,niptuck
dawn,0.0100585756100025,fr,niptuck
garon,0.0099965559048767,fr,niptuck
oublier,0.009982429363795,fr,niptuck
offrir,0.009967423882308,fr,niptuck
vrit,0.0099515313285131,fr,niptuck
montrer,0.0099022487736987,fr,niptuck
marlowe,0.009878060943871,fr,niptuck
difficile,0.0098549145194984,fr,niptuck
utiliser,0.0098079416425206,fr,niptuck
