mot,poids_tfidf,langue,serie
beecher,0.1877147988770813,fr,oz
schillinger,0.1631794745199055,fr,oz
cyril,0.1529816888981683,fr,oz
adebisi,0.1470154699684054,fr,oz
mcmanu,0.1304684417727232,fr,oz
taire,0.1207010414583222,fr,oz
tre,0.1115433753775291,fr,oz
ouai,0.0947422810660389,fr,oz
putain,0.0885561818141532,fr,oz
ici,0.0824189947271379,fr,oz
mme,0.0804673609722148,fr,oz
glynn,0.075846284463733,fr,oz
mort,0.0731112029728892,fr,oz
mourir,0.0645540395859186,fr,oz
merde,0.063010086377225,fr,oz
encul,0.0567176572788596,fr,oz
petit,0.0537449910971136,fr,oz
keller,0.049646898842404,fr,oz
cest,0.0476185977885328,fr,oz
city,0.0474909963086417,fr,oz
rebadow,0.046182870147143,fr,oz
vern,0.0459636290489589,fr,oz
dtenu,0.0453209037697619,fr,oz
dieu,0.0448875763632317,fr,oz
veux,0.0445873250163205,fr,oz
kareem,0.043544490677961,fr,oz
pre,0.0435364453021311,fr,oz
tobia,0.0430063867261009,fr,oz
jai,0.041112245098618,fr,oz
besoin,0.0406840575064742,fr,oz
robson,0.0406049742251842,fr,oz
tuer,0.0402336804861074,fr,oz
omar,0.0397198780638143,fr,oz
aimer,0.0396331777922849,fr,oz
ryan,0.0389092962999371,fr,oz
accord,0.0388825494250067,fr,oz
augustu,0.0387501328238252,fr,oz
burr,0.0379423529645164,fr,oz
prison,0.0375020045396318,fr,oz
mal,0.0372311670169949,fr,oz
fils,0.0357299102824386,fr,oz
frre,0.035579784608983,fr,oz
allah,0.0354025000133996,fr,oz
apr,0.0349792819151605,fr,oz
sortir,0.0340785278744268,fr,oz
problme,0.0336281508540599,fr,oz
arif,0.0323280091030001,fr,oz
scibetta,0.0323280091030001,fr,oz
wangler,0.0323280091030001,fr,oz
busmali,0.0323280091030001,fr,oz
emerald,0.0322399427016801,fr,oz
cloutier,0.031189126321535,fr,oz
prisonnier,0.0311796561465732,fr,oz
hoyt,0.0310449751387698,fr,oz
appeler,0.030775763058403,fr,oz
isolement,0.0302726727216414,fr,oz
nathan,0.0298187542157987,fr,oz
leo,0.0296756149793226,fr,oz
heure,0.029574757670758,fr,oz
directeur,0.0289511460269387,fr,oz
trs,0.0288241293034799,fr,oz
finir,0.0286740036300243,fr,oz
condamn,0.0286286888950788,fr,oz
oswald,0.0284946951327363,fr,oz
gouverneur,0.0282938309083985,fr,oz
aider,0.0282236266096574,fr,oz
raison,0.0279233752627461,fr,oz
alvarer,0.0273545733334926,fr,oz
cellule,0.0270451519013532,fr,oz
pass,0.0270226212220124,fr,oz
mieux,0.0270226212220124,fr,oz
vahue,0.0269400075858334,fr,oz
redding,0.0267169784457107,fr,oz
nouveau,0.0265722442016455,fr,oz
ros,0.0265581887235643,fr,oz
matricule,0.0259514262997455,fr,oz
grand,0.0258216158343674,fr,oz
quelqu,0.0258216158343674,fr,oz
aryen,0.0255608308198209,fr,oz
meurtre,0.0254776427595162,fr,oz
musulman,0.0254422418806662,fr,oz
essayer,0.0252211131405449,fr,oz
peine,0.0251735211918695,fr,oz
dsol,0.0250709874670893,fr,oz
attendre,0.0250709874670893,fr,oz
foutre,0.0249627710979961,fr,oz
wittlesey,0.0246308640784763,fr,oz
mobay,0.0246308640784763,fr,oz
conditionnelle,0.0244113791983669,fr,oz
regarder,0.0243203590998111,fr,oz
nom,0.0241702334263555,fr,oz
sai,0.0240201077528999,fr,oz
gloria,0.0239689983891781,fr,oz
poet,0.0238611495760239,fr,oz
connerie,0.0238128870791111,fr,oz
vrai,0.023569730732533,fr,oz
tai,0.0234578972522108,fr,oz
question,0.0231193537121661,fr,oz
alvarez,0.0230254412431425,fr,oz
maton,0.0229240046803833,fr,oz
coup,0.0228525321618311,fr,oz
