mot,poids_tfidf,langue,serie
neurologie,0.2143772476163575,fr,painkillerjane
vasco,0.2026865044276243,fr,painkillerjane
taire,0.1717074979542933,fr,painkillerjane
connor,0.169082649682261,fr,painkillerjane
neuro,0.1572170181721071,fr,painkillerjane
tre,0.1469778854771804,fr,painkillerjane
ici,0.1105833614542595,fr,painkillerjane
mme,0.0919195029809668,fr,painkillerjane
andr,0.0865948253022715,fr,painkillerjane
mcbrid,0.0693107284414665,fr,painkillerjane
baumgartner,0.0662042477255214,fr,painkillerjane
quipe,0.0656249213574778,fr,painkillerjane
seth,0.0607188247920223,fr,painkillerjane
accord,0.0592577506527044,fr,painkillerjane
maureen,0.0556918536826379,fr,painkillerjane
quelqu,0.0522588037252197,fr,painkillerjane
ouai,0.0473243646263705,fr,painkillerjane
jan,0.0470586115337006,fr,painkillerjane
sortir,0.0457264532595672,fr,painkillerjane
besoin,0.0433934709504056,fr,painkillerjane
agent,0.0419838357862749,fr,painkillerjane
gars,0.0407797864471232,fr,painkillerjane
mourir,0.0391941027939147,fr,painkillerjane
pass,0.0391941027939147,fr,painkillerjane
travailler,0.0391941027939147,fr,painkillerjane
kristoff,0.0382768442144137,fr,painkillerjane
vono,0.0382768442144137,fr,painkillerjane
bolnar,0.0382768442144137,fr,painkillerjane
trs,0.0363945240229208,fr,painkillerjane
scurit,0.0355637672503981,fr,painkillerjane
problme,0.0354613310992562,fr,painkillerjane
robeson,0.033492238687612,fr,painkillerjane
apr,0.0326617523282623,fr,painkillerjane
porte,0.03219515586643,fr,painkillerjane
attendre,0.03219515586643,fr,painkillerjane
trouv,0.03219515586643,fr,painkillerjane
hyde,0.032056375658808,fr,painkillerjane
essayer,0.0317285594045976,fr,painkillerjane
maison,0.0317285594045976,fr,painkillerjane
affaire,0.0317285594045976,fr,painkillerjane
mort,0.0317285594045976,fr,painkillerjane
endroit,0.0315150976289972,fr,painkillerjane
heure,0.0312619629427653,fr,painkillerjane
mal,0.0312619629427653,fr,painkillerjane
dyle,0.0310999359242112,fr,painkillerjane
aider,0.0303287700191007,fr,painkillerjane
mieux,0.0303287700191007,fr,painkillerjane
chef,0.0298735644903344,fr,painkillerjane
appeler,0.0298621735572684,fr,painkillerjane
arriv,0.0298621735572684,fr,painkillerjane
zhang,0.0294714712484795,fr,painkillerjane
premire,0.0282224754886542,fr,painkillerjane
raison,0.0279957877099391,fr,painkillerjane
howi,0.0275909667185311,fr,painkillerjane
question,0.0275291912481068,fr,painkillerjane
puce,0.0270839029693886,fr,painkillerjane
petit,0.0270625947862744,fr,painkillerjane
oaks,0.0270480891478893,fr,painkillerjane
rponse,0.026340977122744,fr,painkillerjane
donne,0.0261294018626098,fr,painkillerjane
aimer,0.0256628054007775,fr,painkillerjane
nuit,0.0256628054007775,fr,painkillerjane
ville,0.0256059124202866,fr,painkillerjane
lento,0.0248265928970705,fr,painkillerjane
fait,0.0247296124771129,fr,painkillerjane
lyse,0.0244364780722191,fr,painkillerjane
travail,0.0242630160152805,fr,painkillerjane
chance,0.0242630160152805,fr,painkillerjane
harold,0.0237102690575661,fr,painkillerjane
test,0.0235074345161114,fr,painkillerjane
howie,0.0233441120190674,fr,painkillerjane
partie,0.0233298230916159,fr,painkillerjane
minute,0.023048354982401,fr,painkillerjane
point,0.0228632266297836,fr,painkillerjane
esprit,0.0227608110402548,fr,painkillerjane
farka,0.0227577101556479,fr,painkillerjane
mutation,0.0226793877941937,fr,painkillerjane
pucer,0.0220311417856113,fr,painkillerjane
dsol,0.0219300337061189,fr,painkillerjane
faon,0.0219300337061189,fr,painkillerjane
ethan,0.0219169760835154,fr,painkillerjane
bower,0.0216124122488849,fr,painkillerjane
vonotek,0.0215307248706077,fr,painkillerjane
regarder,0.0214634372442866,fr,painkillerjane
arrter,0.0214634372442866,fr,painkillerjane
fair,0.0211552936099901,fr,painkillerjane
bizarre,0.0210330509450535,fr,painkillerjane
meilleur,0.0209968407824543,fr,painkillerjane
ami,0.0209968407824543,fr,painkillerjane
samuel,0.020873310555729,fr,painkillerjane
rafferty,0.0206766357224109,fr,painkillerjane
arme,0.020530244320622,fr,painkillerjane
peur,0.020530244320622,fr,painkillerjane
ordre,0.0204036282590123,fr,painkillerjane
wander,0.020286066860917,fr,painkillerjane
tuer,0.0200636478587897,fr,painkillerjane
veux,0.0200636478587897,fr,painkillerjane
utiliser,0.0200636478587897,fr,painkillerjane
tek,0.0198280276070502,fr,painkillerjane
docteur,0.019757739162971,fr,painkillerjane
expliquer,0.019755732842058,fr,painkillerjane
moyen,0.0195970513969573,fr,painkillerjane
voiture,0.0195895287634262,fr,painkillerjane
tosrona,0.0191384221072068,fr,painkillerjane
sang,0.019130454935125,fr,painkillerjane
nouveau,0.019130454935125,fr,painkillerjane
perdre,0.019130454935125,fr,painkillerjane
boulot,0.0189673425335456,fr,painkillerjane
bureau,0.0189462262405114,fr,painkillerjane
capacit,0.0188079376892646,fr,painkillerjane
secteur,0.0187983980793618,fr,painkillerjane
ide,0.0186638584732927,fr,painkillerjane
feu,0.0186638584732927,fr,painkillerjane
pense,0.0186638584732927,fr,painkillerjane
dernire,0.0181972620114604,fr,painkillerjane
riley,0.0180547920071234,fr,painkillerjane
alvin,0.0180547920071234,fr,painkillerjane
rapport,0.0178742344761477,fr,painkillerjane
swsub,0.0177423139723696,fr,painkillerjane
laisse,0.0177306655496281,fr,painkillerjane
main,0.0177306655496281,fr,painkillerjane
revenir,0.0177306655496281,fr,painkillerjane
tte,0.0177306655496281,fr,painkillerjane
semaine,0.0177306655496281,fr,painkillerjane
vrit,0.0176868837492496,fr,painkillerjane
tage,0.0174789888336853,fr,painkillerjane
stocker,0.0174417289290382,fr,painkillerjane
changer,0.0174038598846701,fr,painkillerjane
soir,0.0169334852931925,fr,painkillerjane
tai,0.0169334852931925,fr,painkillerjane
air,0.0167974726259634,fr,painkillerjane
tour,0.0167974726259634,fr,painkillerjane
devenir,0.0167974726259634,fr,painkillerjane
morgan,0.0165696424825863,fr,painkillerjane
systme,0.0165578900074629,fr,painkillerjane
douleur,0.0165172228763433,fr,painkillerjane
arrt,0.016463110701715,fr,painkillerjane
prescott,0.0164134472792031,fr,painkillerjane
souvenir,0.0163308761641311,fr,painkillerjane
appel,0.0163308761641311,fr,painkillerjane
icefr,0.0162699119530773,fr,painkillerjane
recherche,0.0159927361102374,fr,painkillerjane
continuer,0.0159927361102374,fr,painkillerjane
fdrau,0.0159126506481769,fr,painkillerjane
voil,0.0158642797022988,fr,painkillerjane
nom,0.0158642797022988,fr,painkillerjane
enfant,0.0158642797022988,fr,painkillerjane
aspirine,0.0155421770975707,fr,painkillerjane
shannon,0.0155415840895929,fr,painkillerjane
arlne,0.0154217992499279,fr,painkillerjane
dangereux,0.0154206744686603,fr,painkillerjane
place,0.0153976832404665,fr,painkillerjane
fille,0.0153976832404665,fr,painkillerjane
chercher,0.0153976832404665,fr,painkillerjane
sai,0.0153976832404665,fr,painkillerjane
ascenceur,0.0152814397592243,fr,painkillerjane
chasser,0.0152376378696578,fr,painkillerjane
agence,0.0152363657854081,fr,painkillerjane
supposer,0.0151738740268365,fr,painkillerjane
coup,0.0150519869272822,fr,painkillerjane
matin,0.0150519869272822,fr,painkillerjane
dernier,0.0149310867786342,fr,painkillerjane
grand,0.0149310867786342,fr,painkillerjane
demande,0.0149310867786342,fr,painkillerjane
instant,0.0145816123358047,fr,painkillerjane
seriesub,0.0144821791899578,fr,painkillerjane
important,0.0144644903168018,fr,painkillerjane
subxpacio,0.0143538165804051,fr,painkillerjane
hazen,0.0143538165804051,fr,painkillerjane
hennesy,0.0143538165804051,fr,painkillerjane
pkj,0.0143538165804051,fr,painkillerjane
tusserie,0.0143538165804051,fr,painkillerjane
sarah,0.0141913929699262,fr,painkillerjane
rsultat,0.0141632217110325,fr,painkillerjane
zone,0.014049118794211,fr,painkillerjane
adn,0.0140214821378486,fr,painkillerjane
vivre,0.0139978938549695,fr,painkillerjane
comprend,0.0139978938549695,fr,painkillerjane
aide,0.0139978938549695,fr,painkillerjane
sens,0.0139978938549695,fr,painkillerjane
bte,0.0139933617269686,fr,painkillerjane
essaye,0.0139360037938277,fr,painkillerjane
tard,0.0136408631528495,fr,painkillerjane
team,0.0135906986231834,fr,painkillerjane
donn,0.0135312973931372,fr,painkillerjane
magie,0.0134783235793995,fr,painkillerjane
btiment,0.0133849346117803,fr,painkillerjane
gurir,0.0133671130647928,fr,painkillerjane
don,0.0132584492419287,fr,painkillerjane
dossier,0.0132229319153127,fr,painkillerjane
contrle,0.013170488561372,fr,painkillerjane
corps,0.013170488561372,fr,painkillerjane
cours,0.013170488561372,fr,painkillerjane
tier,0.0130647009313049,fr,painkillerjane
essay,0.0130647009313049,fr,painkillerjane
dernir,0.0130111940829321,fr,painkillerjane
cauchemar,0.0129568164138599,fr,painkillerjane
monstre,0.0129568164138599,fr,painkillerjane
neurologique,0.0129285608915278,fr,painkillerjane
fdral,0.0128485726290768,fr,painkillerjane
marqu,0.0126389171669344,fr,painkillerjane
mission,0.0126308174936743,fr,painkillerjane
rentrer,0.0125981044694726,fr,painkillerjane
finir,0.0125981044694726,fr,painkillerjane
garder,0.0125981044694726,fr,painkillerjane
mois,0.0125981044694726,fr,painkillerjane
aujourd,0.0125981044694726,fr,painkillerjane
tirer,0.0125981044694726,fr,painkillerjane
sloane,0.0124501930768359,fr,painkillerjane
disparaître,0.0124286210129862,fr,painkillerjane
danger,0.0124286210129862,fr,painkillerjane
phillips,0.0124160973321249,fr,painkillerjane
king,0.0124005338037757,fr,painkillerjane
tmoin,0.0123427319193113,fr,painkillerjane
heureux,0.0123287726468046,fr,painkillerjane
briefing,0.0122478015636785,fr,painkillerjane
train,0.0122297393784168,fr,painkillerjane
choix,0.0122297393784168,fr,painkillerjane
plutt,0.0122297393784168,fr,painkillerjane
preuve,0.0122297393784168,fr,painkillerjane
secrt,0.0122047554069847,fr,painkillerjane
larsen,0.0121514119232683,fr,painkillerjane
lieu,0.0121315080076402,fr,painkillerjane
oeil,0.0121315080076402,fr,painkillerjane
propre,0.0121315080076402,fr,painkillerjane
mauvais,0.0121315080076402,fr,painkillerjane
taient,0.0121315080076402,fr,painkillerjane
incendie,0.0120047785538294,fr,painkillerjane
beeman,0.0119615138170043,fr,painkillerjane
brian,0.0119506467115168,fr,painkillerjane
sre,0.0119505971278713,fr,painkillerjane
cerveau,0.0119451461089952,fr,painkillerjane
angelo,0.0118613223534779,fr,painkillerjane
demarco,0.0118335390022016,fr,painkillerjane
dyl,0.0117885884993918,fr,painkillerjane
terre,0.0117593647869392,fr,painkillerjane
risque,0.0117593647869392,fr,painkillerjane
chantillon,0.0117202813733908,fr,painkillerjane
prend,0.0116649115458079,fr,painkillerjane
vrai,0.0116649115458079,fr,painkillerjane
craindre,0.011659216148007,fr,painkillerjane
patient,0.011540347580959,fr,painkillerjane
position,0.011447431687787,fr,painkillerjane
newman,0.0113763415797272,fr,painkillerjane
police,0.0113553133657664,fr,painkillerjane
revoir,0.0112889901954617,fr,painkillerjane
dieu,0.0111983150839756,fr,painkillerjane
sentir,0.0111983150839756,fr,painkillerjane
anne,0.0111983150839756,fr,painkillerjane
nico,0.0111781133467291,fr,painkillerjane
mec,0.0111734154751734,fr,painkillerjane
exprience,0.0110836097743496,fr,painkillerjane
marquer,0.0109974905966832,fr,painkillerjane
rouge,0.010861604088994,fr,painkillerjane
rawling,0.0108466079687182,fr,painkillerjane
chemin,0.0108186156039841,fr,painkillerjane
douzaine,0.0108149021814763,fr,painkillerjane
gurison,0.010803682587122,fr,painkillerjane
transcript,0.0107430795918942,fr,painkillerjane
henry,0.0107373545917658,fr,painkillerjane
apprendre,0.0107317186221433,fr,painkillerjane
pre,0.0107317186221433,fr,painkillerjane
vite,0.0107317186221433,fr,painkillerjane
occuper,0.0107317186221433,fr,painkillerjane
face,0.0107317186221433,fr,painkillerjane
ressembler,0.0107317186221433,fr,painkillerjane
atteindre,0.0106876148023398,fr,painkillerjane
scuris,0.0106846403092772,fr,painkillerjane
than,0.0106324854328598,fr,painkillerjane
diffrent,0.0105165254725267,fr,painkillerjane
intrieur,0.0105165254725267,fr,painkillerjane
aiguillage,0.0104727763166653,fr,painkillerjane
robert,0.0104691092886113,fr,painkillerjane
devrai,0.0104320383934501,fr,painkillerjane
plan,0.0104320383934501,fr,painkillerjane
fichier,0.010373109504187,fr,painkillerjane
tumeur,0.0103688466091204,fr,painkillerjane
hpital,0.0103678948122215,fr,painkillerjane
travers,0.0103482410125065,fr,painkillerjane
dur,0.0103482410125065,fr,painkillerjane
erreur,0.0103482410125065,fr,painkillerjane
plat,0.0103482410125065,fr,painkillerjane
conduire,0.0103482410125065,fr,painkillerjane
demain,0.0103482410125065,fr,painkillerjane
vrifier,0.0103482410125065,fr,painkillerjane
lewis,0.0103350228988879,fr,painkillerjane
tunnel,0.0102847588471342,fr,painkillerjane
bordel,0.0102845026007987,fr,painkillerjane
mannequin,0.0102674591225851,fr,painkillerjane
pice,0.010265122160311,fr,painkillerjane
confiance,0.010265122160311,fr,painkillerjane
presque,0.010265122160311,fr,painkillerjane
fort,0.010265122160311,fr,painkillerjane
rappeler,0.010265122160311,fr,painkillerjane
suspect,0.0102557934778235,fr,painkillerjane
cole,0.0101198176200583,fr,painkillerjane
capable,0.0101198176200583,fr,painkillerjane
dcouvert,0.0101198176200583,fr,painkillerjane
victime,0.0101165869364517,fr,painkillerjane
base,0.0100385015874119,fr,painkillerjane
bel,0.0099578548301114,fr,painkillerjane
personnel,0.0099578548301114,fr,painkillerjane
intuition,0.0098934476447594,fr,painkillerjane
magicien,0.0098167735064006,fr,painkillerjane
montrer,0.0097985256984786,fr,painkillerjane
chrie,0.0097985256984786,fr,painkillerjane
tomber,0.0097985256984786,fr,painkillerjane
garde,0.0097985256984786,fr,painkillerjane
joe,0.0097247901601753,fr,painkillerjane
ultrasonique,0.0095692110536034,fr,painkillerjane
blenheim,0.0095692110536034,fr,painkillerjane
helios,0.0095692110536034,fr,painkillerjane
mentir,0.009560477702297,fr,painkillerjane
apparemment,0.009560477702297,fr,painkillerjane
sujet,0.0094836712667728,fr,painkillerjane
journe,0.0094074918295514,fr,painkillerjane
srement,0.0094074918295514,fr,painkillerjane
chang,0.0094074918295514,fr,painkillerjane
retrouver,0.0094074918295514,fr,painkillerjane
suite,0.0094074918295514,fr,painkillerjane
loin,0.0093319292366463,fr,painkillerjane
long,0.0093319292366463,fr,painkillerjane
propos,0.0093319292366463,fr,painkillerjane
agir,0.0093319292366463,fr,painkillerjane
tat,0.0093319292366463,fr,painkillerjane
second,0.0093319292366463,fr,painkillerjane
entrer,0.0093319292366463,fr,painkillerjane
doute,0.0093319292366463,fr,painkillerjane
susan,0.0093050682974311,fr,painkillerjane
centre,0.0093050261626274,fr,painkillerjane
prison,0.0093050261626274,fr,painkillerjane
sembler,0.0092302127838389,fr,painkillerjane
gnial,0.0092302127838389,fr,painkillerjane
boss,0.0091762362696315,fr,painkillerjane
seconde,0.009156025465767,fr,painkillerjane
balle,0.009156025465767,fr,painkillerjane
bohmien,0.0091135589424512,fr,painkillerjane
arrire,0.0090824538171822,fr,painkillerjane
