mot,poids_tfidf,langue,serie
anomalie,0.2270565523453931,fr,primeval
cutter,0.2115166450828532,fr,primeval
connor,0.1642424361725914,fr,primeval
ici,0.1325234986597259,fr,primeval
taire,0.1296779020627379,fr,primeval
leek,0.1232471558048055,fr,primeval
tre,0.1227671674700528,fr,primeval
lester,0.0845716348660509,fr,primeval
stephen,0.0751728305219586,fr,primeval
crature,0.0638757763776401,fr,primeval
claudia,0.0622979180872943,fr,primeval
helen,0.0618025661886555,fr,primeval
nick,0.0533551313597363,fr,primeval
sortir,0.0528467939440625,fr,primeval
ouai,0.0499763684602346,fr,primeval
fait,0.0467490869505168,fr,primeval
rex,0.0464509019648035,fr,primeval
mme,0.0451230317522379,fr,primeval
jenny,0.0446668627564707,fr,primeval
pass,0.0439034903535288,fr,primeval
abby,0.0438755922737706,fr,primeval
dsol,0.0434969765539591,fr,primeval
valrie,0.0397001239438222,fr,primeval
becker,0.038857102474104,fr,primeval
mourir,0.0386188109591225,fr,primeval
accord,0.0378057833599831,fr,primeval
petit,0.0373992695604134,fr,primeval
besoin,0.036586241961274,fr,primeval
trs,0.0361797281617043,fr,primeval
quelqu,0.0353667005625649,fr,primeval
raptor,0.0343906463050236,fr,primeval
prdateur,0.0336776260350316,fr,primeval
regarder,0.0329276177651466,fr,primeval
vite,0.0329276177651466,fr,primeval
tuer,0.0329276177651466,fr,primeval
appeler,0.0321145901660072,fr,primeval
aide,0.0317080763664375,fr,primeval
revenir,0.0292689935690192,fr,primeval
dieu,0.0292689935690192,fr,primeval
chercher,0.0288624797694495,fr,primeval
attendre,0.0288624797694495,fr,primeval
aider,0.0288624797694495,fr,primeval
porte,0.0284559659698798,fr,primeval
mal,0.02804945217031,fr,primeval
endroit,0.0278667690541756,fr,primeval
raison,0.0276429383707403,fr,primeval
essayer,0.0272364245711706,fr,primeval
heure,0.0272364245711706,fr,primeval
brown,0.0266614539444,fr,primeval
caroline,0.0265315872430442,fr,primeval
mammouth,0.0258642310291091,fr,primeval
gars,0.0256136833929214,fr,primeval
trouv,0.0256103693728918,fr,primeval
chance,0.0252038555733221,fr,primeval
danny,0.0249568496405957,fr,primeval
dinosaure,0.0248234700114859,fr,primeval
artefact,0.0247043468277201,fr,primeval
vien,0.0243908279741826,fr,primeval
animal,0.024042941207907,fr,primeval
mieux,0.0239843141746129,fr,primeval
apr,0.0239843141746129,fr,primeval
ministre,0.023641254728512,fr,primeval
ami,0.0235778003750432,fr,primeval
darkevil,0.02356516259774,fr,primeval
professeur,0.0234052831756595,fr,primeval
dtecteur,0.0233868190689078,fr,primeval
problme,0.0231712865754735,fr,primeval
permien,0.0230330846169504,fr,primeval
cra,0.0224534203299079,fr,primeval
mort,0.0219517451767644,fr,primeval
futur,0.0218572192799154,fr,primeval
perdre,0.0215452313771947,fr,primeval
rentrer,0.0211387175776249,fr,primeval
allez,0.0211387175776249,fr,primeval
evarin,0.0208425087976919,fr,primeval
sprat,0.0208425087976919,fr,primeval
nouveau,0.0207322037780552,fr,primeval
air,0.0203256899784855,fr,primeval
jame,0.0199132780900339,fr,primeval
scurit,0.0198299484332295,fr,primeval
retrouver,0.0196706605088298,fr,primeval
plat,0.0196706605088298,fr,primeval
mnk,0.0196517978885849,fr,primeval
coutez,0.0194168245075372,fr,primeval
plutt,0.0192608550815625,fr,primeval
silurien,0.019194237180792,fr,primeval
aimer,0.0191061485797764,fr,primeval
ide,0.0191061485797764,fr,primeval
minute,0.0188510496542952,fr,primeval
raptors,0.0188294265812897,fr,primeval
grand,0.0186996347802067,fr,primeval
eau,0.0185905766561526,fr,primeval
boulot,0.0185905766561526,fr,primeval
expliquer,0.0184412442270279,fr,primeval
donne,0.0174800933814975,fr,primeval
anarwen,0.0172748134627128,fr,primeval
tard,0.0172118279452261,fr,primeval
arme,0.0170735795819278,fr,primeval
arrter,0.0170735795819278,fr,primeval
continuer,0.0168020225179588,fr,primeval
coup,0.0168020225179588,fr,primeval
veux,0.0166670657823581,fr,primeval
arrte,0.0166670657823581,fr,primeval
tai,0.0163922170906915,fr,primeval
attend,0.0163922170906915,fr,primeval
voil,0.0162605519827884,fr,primeval
tirer,0.0162605519827884,fr,primeval
laisse,0.0162605519827884,fr,primeval
fille,0.0158540381832187,fr,primeval
finir,0.0158540381832187,fr,primeval
voiture,0.0157869987006945,fr,primeval
canal,0.0156176799421161,fr,primeval
suite,0.0155726062361569,fr,primeval
travail,0.015447524383649,fr,primeval
marche,0.015447524383649,fr,primeval
nagez,0.0153553897446336,fr,primeval
gros,0.0150410105840793,fr,primeval
occuper,0.0150410105840793,fr,primeval
ryan,0.0148583910115721,fr,primeval
chien,0.0146945160261446,fr,primeval
question,0.0146344967845096,fr,primeval
ammut,0.0145897561583843,fr,primeval
dodo,0.0145589102107915,fr,primeval
quipe,0.0145069717790166,fr,primeval
dsole,0.014343189954355,fr,primeval
confiance,0.0142279829849399,fr,primeval
important,0.0142279829849399,fr,primeval
point,0.0142279829849399,fr,primeval
crtac,0.0141748690093732,fr,primeval
disparaître,0.0141599710637331,fr,primeval
ouvrir,0.0139333845270878,fr,primeval
fort,0.0138214691853701,fr,primeval
cool,0.0136615371578256,fr,primeval
lion,0.0134399380757167,fr,primeval
net,0.0134175407387443,fr,primeval
garder,0.0134149553858004,fr,primeval
lewi,0.0132431914787715,fr,primeval
transcript,0.0132137159029477,fr,primeval
ramener,0.0131137736725532,fr,primeval
sentir,0.0130084415862307,fr,primeval
interfrence,0.0129540674003677,fr,primeval
mammifre,0.012889224431854,fr,primeval
recherche,0.0127039682452859,fr,primeval
sauver,0.012601927786661,fr,primeval
appel,0.012601927786661,fr,primeval
odonate,0.0125998835638873,fr,primeval
ptranodon,0.0125055052786151,fr,primeval
nagata,0.0125055052786151,fr,primeval
skunky,0.0125055052786151,fr,primeval
silurian,0.0125055052786151,fr,primeval
ferme,0.0123937177707684,fr,primeval
changer,0.0122941628180186,fr,primeval
cause,0.0121954139870913,fr,primeval
feu,0.0121954139870913,fr,primeval
prend,0.0121954139870913,fr,primeval
probablement,0.0118843573907513,fr,primeval
traduction,0.0118550290518834,fr,primeval
dernire,0.0117889001875216,fr,primeval
faon,0.0117889001875216,fr,primeval
arriv,0.0117889001875216,fr,primeval
peur,0.0117889001875216,fr,primeval
skunk,0.01178258129887,fr,primeval
bte,0.0117399296943725,fr,primeval
intrieur,0.0116611526407214,fr,primeval
lzard,0.0116407390515674,fr,primeval
dragon,0.0115903166787652,fr,primeval
plan,0.0115674699193838,fr,primeval
temporel,0.011534845435712,fr,primeval
centre,0.0115202422951014,fr,primeval
maitland,0.0115165423084752,fr,primeval
travers,0.011474551963484,fr,primeval
prt,0.011474551963484,fr,primeval
retourner,0.011474551963484,fr,primeval
train,0.011474551963484,fr,primeval
ressembler,0.0113823863879519,fr,primeval
