mot,poids_tfidf,langue,serie
baby,0.1248604533975855,en,privatepractice
naomi,0.1117503375687302,en,privatepractice
violet,0.103444218103644,en,privatepractice
talk,0.1024837275099854,en,privatepractice
cooper,0.070088190831279,en,privatepractice
pete,0.0657957746460154,en,privatepractice
help,0.0636061940640332,en,privatepractice
patient,0.0627476705221687,en,privatepractice
work,0.0609293802857873,en,privatepractice
love,0.0576152298936734,en,privatepractice
happen,0.0489474519450676,en,privatepractice
dell,0.0484981999494104,en,privatepractice
addison,0.0453965767086613,en,privatepractice
life,0.0442311610024439,en,privatepractice
kid,0.0391691541775056,en,privatepractice
little,0.0390050007687258,en,privatepractice
die,0.0382401968320841,en,privatepractice
fine,0.0368769635502296,en,privatepractice
doctor,0.0354038881091127,en,privatepractice
wrong,0.0345436444716493,en,privatepractice
friend,0.033651373212234,en,privatepractice
surgery,0.032585364275451,en,privatepractice
bad,0.0323766999844978,en,privatepractice
stop,0.0322492326617242,en,privatepractice
sex,0.0318016602873718,en,privatepractice
practice,0.0314343857889025,en,privatepractice
like,0.0313569614023089,en,privatepractice
great,0.03033722282012,en,privatepractice
betsey,0.0294430405147054,en,privatepractice
girl,0.0290625495923839,en,privatepractice
mother,0.0285526803012894,en,privatepractice
away,0.0282977456557422,en,privatepractice
child,0.0281395645209069,en,privatepractice
win,0.028042811010195,en,privatepractice
care,0.0275329417191005,en,privatepractice
sleep,0.026385735814138,en,privatepractice
long,0.0258758665230435,en,privatepractice
sure,0.0254934645547227,en,privatepractice
start,0.0243462586497602,en,privatepractice
run,0.0242187913269866,en,privatepractice
hard,0.0240913240042129,en,privatepractice
sheldon,0.0238658084217153,en,privatepractice
freedman,0.0236618274864519,en,privatepractice
stay,0.0231990527447977,en,privatepractice
mom,0.0224213640381908,en,privatepractice
home,0.0215419775487407,en,privatepractice
problem,0.0212870429031934,en,privatepractice
old,0.0212870429031934,en,privatepractice
night,0.0211595755804198,en,privatepractice
believe,0.0211595755804198,en,privatepractice
live,0.0210321082576462,en,privatepractice
walk,0.020777173612099,en,privatepractice
hurt,0.0204300947891515,en,privatepractice
hear,0.0202673043210045,en,privatepractice
date,0.0200761102454624,en,privatepractice
hospital,0.0200332897619338,en,privatepractice
family,0.0193750330615892,en,privatepractice
pregnant,0.0189999671520808,en,privatepractice
save,0.0186102291249476,en,privatepractice
nice,0.0186102291249476,en,privatepractice
blood,0.0185027273562127,en,privatepractice
lie,0.0184827618021739,en,privatepractice
big,0.0182457450318209,en,privatepractice
happy,0.0182278271566267,en,privatepractice
understand,0.0182278271566267,en,privatepractice
change,0.0178454251883059,en,privatepractice
lose,0.0178454251883059,en,privatepractice
hate,0.0177317803830372,en,privatepractice
daughter,0.0176261193798775,en,privatepractice
push,0.0176151676992444,en,privatepractice
kayla,0.0174731811658987,en,privatepractice
meet,0.017463023219985,en,privatepractice
place,0.0172080885744378,en,privatepractice
wife,0.0172080885744378,en,privatepractice
ready,0.0169531539288906,en,privatepractice
job,0.0166982192833434,en,privatepractice
heart,0.0165753599232739,en,privatepractice
actually,0.0165707519605697,en,privatepractice
coop,0.0165633309274578,en,privatepractice
father,0.0164494580720885,en,privatepractice
today,0.0164432846377961,en,privatepractice
suppose,0.0164432846377961,en,privatepractice
week,0.0163158173150225,en,privatepractice
husband,0.0161898864366861,en,privatepractice
test,0.0160567819677016,en,privatepractice
person,0.0159334153467017,en,privatepractice
parent,0.0159147591093558,en,privatepractice
new,0.0158059480239281,en,privatepractice
head,0.0158059480239281,en,privatepractice
sick,0.0156551535887959,en,privatepractice
archer,0.0155802034720951,en,privatepractice
bring,0.0155510133783808,en,privatepractice
room,0.01516861141006,en,privatepractice
charlotte,0.0151028457844862,en,privatepractice
hope,0.0150411440872864,en,privatepractice
check,0.0149136767645128,en,privatepractice
figure,0.0149049748147269,en,privatepractice
break,0.014776483652531,en,privatepractice
crazy,0.0147656552773078,en,privatepractice
hour,0.0144038074734183,en,privatepractice
kill,0.0142763401506447,en,privatepractice
heather,0.0140701874512703,en,privatepractice
son,0.0140055366793554,en,privatepractice
cause,0.0138939381823238,en,privatepractice
office,0.0138589922339643,en,privatepractice
turn,0.013511536214003,en,privatepractice
idea,0.0133840688912294,en,privatepractice
marry,0.0132670793125389,en,privatepractice
morning,0.0132566015684558,en,privatepractice
sit,0.0132566015684558,en,privatepractice
tess,0.0132114296620209,en,privatepractice
boy,0.0130016669229086,en,privatepractice
addie,0.0129064513562465,en,privatepractice
chance,0.0127467322773613,en,privatepractice
medical,0.0126510472352971,en,privatepractice
door,0.0124917976318141,en,privatepractice
mind,0.0123643303090405,en,privatepractice
pain,0.0123383837606612,en,privatepractice
dad,0.0123047127310898,en,privatepractice
dink,0.0122434552145776,en,privatepractice
bizzy,0.0120576476235176,en,privatepractice
nai,0.0117821867937218,en,privatepractice
house,0.0115995263723988,en,privatepractice
abortion,0.01159193452797,en,privatepractice
surgeon,0.0114535538307522,en,privatepractice
month,0.011217124404078,en,privatepractice
choice,0.0111390031039339,en,privatepractice
matter,0.0110896570813043,en,privatepractice
remember,0.0110896570813043,en,privatepractice
face,0.0110502399488492,en,privatepractice
answer,0.0109621897585307,en,privatepractice
miss,0.0109621897585307,en,privatepractice
anymore,0.0108799565201215,en,privatepractice
real,0.0108347224357571,en,privatepractice
fight,0.0107072551129835,en,privatepractice
afraid,0.0107072551129835,en,privatepractice
decide,0.0106647664622615,en,privatepractice
move,0.0103248531446627,en,privatepractice
money,0.0103248531446627,en,privatepractice
hand,0.0103248531446627,en,privatepractice
point,0.010197385821889,en,privatepractice
end,0.010197385821889,en,privatepractice
amelia,0.0101631493981615,en,privatepractice
use,0.0100699184991154,en,privatepractice
pos,0.0099764096478215,en,privatepractice
different,0.0099424511763418,en,privatepractice
com,0.0098965728915321,en,privatepractice
body,0.0098938194890859,en,privatepractice
eat,0.0098149838535682,en,privatepractice
deal,0.00976532832689,en,privatepractice
business,0.00976532832689,en,privatepractice
fun,0.0097142468929656,en,privatepractice
stand,0.0096875165307946,en,privatepractice
watch,0.009560049208021,en,privatepractice
pick,0.009560049208021,en,privatepractice
second,0.009560049208021,en,privatepractice
wilder,0.0095444357141319,en,privatepractice
cut,0.0095083460024982,en,privatepractice
pregnancy,0.0094646360007321,en,privatepractice
breathe,0.0094369206050502,en,privatepractice
question,0.0094325818852474,en,privatepractice
probably,0.0094325818852474,en,privatepractice
sister,0.0094005970026013,en,privatepractice
sperm,0.0093801249675135,en,privatepractice
treatment,0.0093546500312299,en,privatepractice
mad,0.0093154650545644,en,privatepractice
open,0.0093051145624738,en,privatepractice
sound,0.0093051145624738,en,privatepractice
school,0.009270033155343,en,privatepractice
course,0.0092513636781063,en,privatepractice
couple,0.0092513636781063,en,privatepractice
hell,0.0091776472397001,en,privatepractice
clear,0.0091776472397001,en,privatepractice
guess,0.0091776472397001,en,privatepractice
promise,0.0091394693080846,en,privatepractice
trust,0.0091228725159104,en,privatepractice
funny,0.0089943813537145,en,privatepractice
stuff,0.0089943813537145,en,privatepractice
marriage,0.0089854116051336,en,privatepractice
maya,0.0089435714703821,en,privatepractice
close,0.0089227125941529,en,privatepractice
reason,0.0089227125941529,en,privatepractice
easy,0.0089227125941529,en,privatepractice
brother,0.0089227125941529,en,privatepractice
treat,0.008818068785541,en,privatepractice
speak,0.0087952452713793,en,privatepractice
exactly,0.0087952452713793,en,privatepractice
normal,0.0086236015531503,en,privatepractice
scared,0.0086172139190512,en,privatepractice
fix,0.0085548428516443,en,privatepractice
dead,0.0085403106258321,en,privatepractice
ambrose,0.0085235030077554,en,privatepractice
pressure,0.0084256751523139,en,privatepractice
cancer,0.0084191850281069,en,privatepractice
case,0.0084128433030585,en,privatepractice
drink,0.0083519255427349,en,privatepractice
fall,0.0082853759802848,en,privatepractice
angie,0.0082724813738425,en,privatepractice
risk,0.0082255891737741,en,privatepractice
worry,0.008223434380539,en,privatepractice
wedding,0.008166589867388,en,privatepractice
grow,0.0081600039507992,en,privatepractice
deliver,0.0081392606060551,en,privatepractice
car,0.0080949585300178,en,privatepractice
feeling,0.0080949585300178,en,privatepractice
wish,0.008094943218343,en,privatepractice
zoe,0.0080871954819475,en,privatepractice
fault,0.0080304440981849,en,privatepractice
able,0.0080304413347376,en,privatepractice
soon,0.0079664520561471,en,privatepractice
sonya,0.0079269724462668,en,privatepractice
brendon,0.0078547911958145,en,privatepractice
brain,0.0077713975143725,en,privatepractice
laugh,0.0077567733474171,en,privatepractice
plan,0.0077094697317553,en,privatepractice
forget,0.0077094697317553,en,privatepractice
fife,0.0076711527069799,en,privatepractice
world,0.0076480393664168,en,privatepractice
tonight,0.0076418742224663,en,privatepractice
cody,0.0076355485713055,en,privatepractice
tomorrow,0.0075809785695593,en,privatepractice
choose,0.0075727031409844,en,privatepractice
screw,0.0075495364840402,en,privatepractice
important,0.0075205720436432,en,privatepractice
labor,0.0075187451322719,en,privatepractice
consult,0.007515805976058,en,privatepractice
kiss,0.0074743892480204,en,privatepractice
therapy,0.0074322551601591,en,privatepractice
derek,0.0074051890278729,en,privatepractice
ago,0.0073931047208695,en,privatepractice
drug,0.0073384912616927,en,privatepractice
wake,0.0073239962451675,en,privatepractice
sign,0.0072656373980959,en,privatepractice
sloan,0.0072537711427402,en,privatepractice
high,0.0072533043467477,en,privatepractice
birth,0.0072437507784437,en,privatepractice
decision,0.0072387131821605,en,privatepractice
cry,0.0072218234613883,en,privatepractice
strong,0.0071810115992093,en,privatepractice
protect,0.0071810115992093,en,privatepractice
wellness,0.0071678805329465,en,privatepractice
step,0.0071381700753223,en,privatepractice
lung,0.0071123159818528,en,privatepractice
later,0.0070670139207757,en,privatepractice
ray,0.0070557857145512,en,privatepractice
word,0.0070107027525487,en,privatepractice
play,0.0070107027525487,en,privatepractice
truth,0.0070107027525487,en,privatepractice
ass,0.0069754872482638,en,privatepractice
send,0.0069385227585797,en,privatepractice
rest,0.0069385227585797,en,privatepractice
line,0.0068832354297751,en,privatepractice
girlfriend,0.0068762718913224,en,privatepractice
procedure,0.0068711156618857,en,privatepractice
secret,0.0068438742813154,en,privatepractice
pretty,0.0068100315963838,en,privatepractice
perfect,0.0068100315963838,en,privatepractice
spend,0.0068100315963838,en,privatepractice
pediatrician,0.0067564306998743,en,privatepractice
late,0.0067557681070015,en,privatepractice
read,0.0067557681070015,en,privatepractice
pay,0.0066815404341879,en,privatepractice
healthy,0.0066665957070346,en,privatepractice
mistake,0.0066283007842279,en,privatepractice
safe,0.0066056878872166,en,privatepractice
sharbat,0.0065456593298454,en,privatepractice
measle,0.0064798329956243,en,privatepractice
private,0.0064761645953104,en,privatepractice
montgomery,0.0064334346871666,en,privatepractice
doug,0.0064178304908231,en,privatepractice
beautiful,0.0063976285156592,en,privatepractice
chemo,0.0063957314093698,en,privatepractice
contraction,0.0063740346879481,en,privatepractice
fast,0.0063733661386806,en,privatepractice
lab,0.0063382819311383,en,privatepractice
awful,0.0063255236176485,en,privatepractice
shut,0.0062960669476001,en,privatepractice
bed,0.0062960669476001,en,privatepractice
alive,0.0062960669476001,en,privatepractice
glad,0.0062960669476001,en,privatepractice
katie,0.0062852467954265,en,privatepractice
meg,0.0062804275608497,en,privatepractice
nal,0.0062283354934953,en,privatepractice
control,0.006217118011498,en,privatepractice
sync,0.0061730640050947,en,privatepractice
throw,0.0061675757854042,en,privatepractice
issue,0.0061519236893308,en,privatepractice
hit,0.0061184314931334,en,privatepractice
adoption,0.0061174291129897,en,privatepractice
damn,0.0060875947195918,en,privatepractice
disease,0.0060857220987083,en,privatepractice
uterus,0.0060807876298869,en,privatepractice
stupid,0.0060390846232083,en,privatepractice
touch,0.0060390846232083,en,privatepractice
divorce,0.0060310571809514,en,privatepractice
carley,0.0060288238117588,en,privatepractice
cop,0.0060276538588358,en,privatepractice
eye,0.0059909641703598,en,privatepractice
agree,0.0059580714276856,en,privatepractice
freak,0.0059381173890461,en,privatepractice
amazing,0.0059225835126768,en,privatepractice
embryo,0.0058971366961023,en,privatepractice
carry,0.0058753731266258,en,privatepractice
emily,0.0058548089949293,en,privatepractice
daddy,0.0058467785055628,en,privatepractice
team,0.0058375148975171,en,privatepractice
janine,0.005823612490263,en,privatepractice
realize,0.0058000216358125,en,privatepractice
turner,0.0057967676627373,en,privatepractice
hang,0.0057821022988164,en,privatepractice
sigh,0.0057774269231767,en,privatepractice
single,0.0057448092793675,en,privatepractice
therapist,0.0057267769153761,en,privatepractice
relationship,0.005707715425761,en,privatepractice
charge,0.0056990248438732,en,privatepractice
ovarian,0.0056844613496253,en,privatepractice
worried,0.0056593575787801,en,privatepractice
fact,0.0056536111366205,en,privatepractice
bit,0.005608562202039,en,privatepractice
rule,0.005608562202039,en,privatepractice
tammy,0.0055826022763109,en,privatepractice
implantation,0.0055541425676779,en,privatepractice
condom,0.0055156498833204,en,privatepractice
tumor,0.0055030970687342,en,privatepractice
force,0.0054836815848507,en,privatepractice
buy,0.0054810948792653,en,privatepractice
book,0.0054399782600607,en,privatepractice
ahead,0.0054399782600607,en,privatepractice
hide,0.0054399782600607,en,privatepractice
angry,0.0054291514694511,en,privatepractice
sylvie,0.0054259414305829,en,privatepractice
sam,0.0054089301290508,en,privatepractice
floor,0.0053966288122287,en,privatepractice
arm,0.0053961316448833,en,privatepractice
chuckle,0.0053922651282983,en,privatepractice
fire,0.0053536275564917,en,privatepractice
dreamy,0.0053448839999138,en,privatepractice
rape,0.0053318251422063,en,privatepractice
dream,0.0053104549681545,en,privatepractice
chocolate,0.005285159225002,en,privatepractice
kara,0.0052848376870439,en,privatepractice
handle,0.0052645186779349,en,privatepractice
catch,0.0052261602337181,en,privatepractice
far,0.0052261602337181,en,privatepractice
weird,0.0052157613887804,en,privatepractice
infection,0.0052068164015199,en,privatepractice
cold,0.0051809316762483,en,privatepractice
attack,0.0051809316762483,en,privatepractice
set,0.0051809316762483,en,privatepractice
exam,0.005142393562566,en,privatepractice
ultrasound,0.0051216487230695,en,privatepractice
lauren,0.0051195750139415,en,privatepractice
hire,0.0051095428696443,en,privatepractice
drop,0.0050986929109445,en,privatepractice
ginsberg,0.0050959108583144,en,privatepractice
yesterday,0.0050919900430757,en,privatepractice
clot,0.0050876191673739,en,privatepractice
antibiotic,0.0050765454886137,en,privatepractice
medicine,0.0050301415442577,en,privatepractice
bleed,0.0050282254941228,en,privatepractice
proudly,0.0050130114016011,en,privatepractice
mess,0.0050012927440382,en,privatepractice
raise,0.0050012927440382,en,privatepractice
outta,0.0049961779294154,en,privatepractice
mommy,0.0049945434303738,en,privatepractice
elevator,0.0049939569329583,en,privatepractice
cat,0.0049512795410503,en,privatepractice
voice,0.004948286445766,en,privatepractice
fluid,0.0049198838157404,en,privatepractice
ytet,0.0049087432859059,en,privatepractice
shrink,0.0048925847803015,en,privatepractice
finish,0.004882664163445,en,privatepractice
pull,0.004882664163445,en,privatepractice
monitor,0.0048734715829695,en,privatepractice
discuss,0.0048532734540258,en,privatepractice
option,0.0048532734540258,en,privatepractice
focus,0.0048532734540258,en,privatepractice
lillie,0.0048399192585924,en,privatepractice
needle,0.0048334291261682,en,privatepractice
cake,0.004790133831983,en,privatepractice
present,0.0047541730012491,en,privatepractice
cord,0.004746824826984,en,privatepractice
page,0.0047331064092651,en,privatepractice
upset,0.0047184603025251,en,privatepractice
result,0.0047184603025251,en,privatepractice
magic,0.0047131701462526,en,privatepractice
married,0.0047060752891626,en,privatepractice
king,0.0047060752891626,en,privatepractice
bald,0.0046815528323139,en,privatepractice
oceanside,0.0046307588920364,en,privatepractice
follow,0.0046256818390531,en,privatepractice
pill,0.0045960945471828,en,privatepractice
pulse,0.0045922938541206,en,privatepractice
med,0.0045922938541206,en,privatepractice
possible,0.00458882361985,en,privatepractice
learn,0.00458882361985,en,privatepractice
coffee,0.0045836471510244,en,privatepractice
shimmon,0.0045819615308918,en,privatepractice
daron,0.0045819615308918,en,privatepractice
braden,0.0045819615308918,en,privatepractice
mnemba,0.0045819615308918,en,privatepractice
sexology,0.0045819615308918,en,privatepractice
hot,0.0045697346540423,en,privatepractice
tissue,0.0045692719891933,en,privatepractice
record,0.0045333152167173,en,privatepractice
fertility,0.0045223281487768,en,privatepractice
implant,0.0045109103952167,en,privatepractice
tube,0.0044915441584859,en,privatepractice
sad,0.0044846335488122,en,privatepractice
past,0.0044748408762447,en,privatepractice
neonatal,0.0044539163218846,en,privatepractice
rhythmically,0.0044539163218846,en,privatepractice
surgical,0.0044295034568814,en,privatepractice
vote,0.0044185970121118,en,privatepractice
name,0.0044037919248111,en,privatepractice
order,0.0044037919248111,en,privatepractice
early,0.0044037919248111,en,privatepractice
bailey,0.0043916799549183,en,privatepractice
file,0.0043837482609715,en,privatepractice
judge,0.0043837482609715,en,privatepractice
stripper,0.0043783492530481,en,privatepractice
survive,0.0043781361731378,en,privatepractice
miracle,0.0043764327619764,en,privatepractice
act,0.0043686995146613,en,privatepractice
phone,0.0043432279092963,en,privatepractice
dog,0.0043432279092963,en,privatepractice
slow,0.0043432279092963,en,privatepractice
shoot,0.0043338889743028,en,privatepractice
paternity,0.0043312923347889,en,privatepractice
cool,0.0043086069595256,en,privatepractice
larsen,0.0043021504520821,en,privatepractice
advice,0.0042809683502425,en,privatepractice
fly,0.0042795990882301,en,privatepractice
relax,0.0042795990882301,en,privatepractice
tired,0.0042742686329049,en,privatepractice
vanessa,0.0042727775017764,en,privatepractice
sinclair,0.0042617515038777,en,privatepractice
renee,0.0042581090894135,en,privatepractice
claudia,0.0042581090894135,en,privatepractice
crap,0.0042467561278161,en,privatepractice
usually,0.0042454653800124,en,privatepractice
calm,0.0042454653800124,en,privatepractice
law,0.0042454653800124,en,privatepractice
boyfriend,0.0042439538923288,en,privatepractice
professional,0.0042369236634878,en,privatepractice
write,0.0042116149423479,en,privatepractice
allow,0.0042116149423479,en,privatepractice
clean,0.0042064216515292,en,privatepractice
expect,0.0042064216515292,en,privatepractice
offer,0.0042064216515292,en,privatepractice
insulin,0.0041965046080158,en,privatepractice
porter,0.0041869517072331,en,privatepractice
mark,0.0041792076965222,en,privatepractice
amy,0.0041780792843128,en,privatepractice
pass,0.0041780431122672,en,privatepractice
honey,0.0041458616167229,en,privatepractice
fetus,0.0041362406869212,en,privatepractice
health,0.004124023877971,en,privatepractice
tough,0.004112794586887,en,privatepractice
young,0.0041117171902695,en,privatepractice
consider,0.0041117171902695,en,privatepractice
free,0.0041117171902695,en,privatepractice
seizure,0.0041014039555433,en,privatepractice
genetic,0.0040801297719944,en,privatepractice
age,0.0040800019753996,en,privatepractice
true,0.0040789543287556,en,privatepractice
scare,0.0040443945450215,en,privatepractice
forgive,0.0040443945450215,en,privatepractice
kidney,0.0040431592642711,en,privatepractice
blame,0.004037061349079,en,privatepractice
protocol,0.0040209593504901,en,privatepractice
water,0.0040152220490924,en,privatepractice
situation,0.0040121241452157,en,privatepractice
sense,0.0039832260280735,en,privatepractice
death,0.0039832260280735,en,privatepractice
whoa,0.0039767373109006,en,privatepractice
nicu,0.0039590367305641,en,privatepractice
support,0.0039483890084512,en,privatepractice
lunch,0.0039410416035016,en,privatepractice
police,0.0039410416035016,en,privatepractice
bite,0.0039292982236128,en,privatepractice
defatalator,0.0039273955979072,en,privatepractice
party,0.0039169154177505,en,privatepractice
explain,0.0039169154177505,en,privatepractice
gracie,0.0038950508680237,en,privatepractice
france,0.0038950508680237,en,privatepractice
rain,0.0038815713108297,en,privatepractice
nick,0.003871441243615,en,privatepractice
crash,0.0038666810905416,en,privatepractice
study,0.0038666810905416,en,privatepractice
nurse,0.0038605697554925,en,privatepractice
moment,0.0038547348658776,en,privatepractice
jail,0.0038504252365876,en,privatepractice
cute,0.0038504252365876,en,privatepractice
eleanor,0.0038380390649637,en,privatepractice
shoe,0.00383577972835,en,privatepractice
stress,0.0038294507438302,en,privatepractice
food,0.0038240196832084,en,privatepractice
drive,0.0038240196832084,en,privatepractice
small,0.0038240196832084,en,privatepractice
sat,0.0038180683263888,en,privatepractice
fever,0.0038053437180122,en,privatepractice
wear,0.0037863515704922,en,privatepractice
avoid,0.0037747682420201,en,privatepractice
kelli,0.0037643816455718,en,privatepractice
deserve,0.0037446492022013,en,privatepractice
ventricle,0.0037437508865976,en,privatepractice
comfortable,0.0037378094104286,en,privatepractice
donor,0.0037252554677794,en,privatepractice
wantto,0.0037160368849309,en,privatepractice
foot,0.0036965523604347,en,privatepractice
tie,0.0036851630745544,en,privatepractice
accident,0.0036851630745544,en,privatepractice
yell,0.0036812795032441,en,privatepractice
cheat,0.0036812795032441,en,privatepractice
remove,0.0036780933733516,en,privatepractice
mail,0.0036780933733516,en,privatepractice
milo,0.0036759979463398,en,privatepractice
group,0.0036692456308463,en,privatepractice
cyst,0.0036587337833381,en,privatepractice
dinner,0.0036557877232338,en,privatepractice
kinda,0.0036525203995585,en,privatepractice
stick,0.0036266521733738,en,privatepractice
entire,0.0036266521733738,en,privatepractice
share,0.0036266521733738,en,privatepractice
story,0.0035977525414858,en,privatepractice
trouble,0.0035977525414858,en,privatepractice
show,0.0035977525414858,en,privatepractice
message,0.0035977525414858,en,privatepractice
amnio,0.0035953215289297,en,privatepractice
ambulance,0.0035738791608443,en,privatepractice
count,0.0035690850376611,en,privatepractice
alternative,0.0035627038665937,en,privatepractice
suck,0.0035617954620393,en,privatepractice
