mot,poids_tfidf,langue,serie
tre,0.1346259122491313,fr,privatepractice
taire,0.1287791298686011,fr,privatepractice
naomi,0.1207189541999724,fr,privatepractice
addison,0.1159837718570019,fr,privatepractice
dell,0.073239735456999,fr,privatepractice
besoin,0.0706111410571724,fr,privatepractice
violet,0.0701598741548373,fr,privatepractice
patient,0.0696443166562524,fr,privatepractice
pete,0.06411083365845,fr,privatepractice
aimer,0.0590674937930487,fr,privatepractice
cooper,0.0584002374047408,fr,privatepractice
ici,0.0578681538175553,fr,privatepractice
enfant,0.0542701338910752,fr,privatepractice
sam,0.0518679648987389,fr,privatepractice
mme,0.0514217014492784,fr,privatepractice
fille,0.0514217014492784,fr,privatepractice
mieux,0.0452750840748749,fr,privatepractice
aider,0.0449752490810015,fr,privatepractice
sortir,0.0425765691300148,fr,privatepractice
bébé,0.0416644232713538,fr,privatepractice
accord,0.041077394160648,fr,privatepractice
charlotte,0.0409102422250466,fr,privatepractice
mourir,0.040627641669838,fr,privatepractice
betsey,0.0397705858499286,fr,privatepractice
mal,0.039728136688218,fr,privatepractice
heure,0.0371795392402946,fr,privatepractice
cabinet,0.0368699991448867,fr,privatepractice
quelqu,0.0367297867494846,fr,privatepractice
trs,0.0365798692525479,fr,privatepractice
problme,0.0352306117801178,fr,privatepractice
archer,0.0350996613451159,fr,privatepractice
appeler,0.0340312718046245,fr,privatepractice
petit,0.0335815193138145,fr,privatepractice
essayer,0.0331317668230044,fr,privatepractice
dsole,0.0330977788834946,fr,privatepractice
veux,0.0322322618413844,fr,privatepractice
dsol,0.0320823443444477,fr,privatepractice
pass,0.0304332518781443,fr,privatepractice
regarder,0.0302833343812077,fr,privatepractice
apr,0.0299834993873343,fr,privatepractice
pre,0.028784159411841,fr,privatepractice
attendre,0.0278846544302209,fr,privatepractice
mayer,0.0277823103263515,fr,privatepractice
mdecin,0.0277287557057301,fr,privatepractice
peur,0.0268352319516642,fr,privatepractice
raison,0.0265353969577909,fr,privatepractice
mari,0.0264479968247103,fr,privatepractice
sentir,0.0262355619639175,fr,privatepractice
ami,0.0260856444669809,fr,privatepractice
freedman,0.0253657298598022,fr,privatepractice
meilleur,0.0250362219884242,fr,privatepractice
sheldon,0.0233691375580393,fr,privatepractice
aide,0.0229373770313107,fr,privatepractice
sexe,0.0223405923865358,fr,privatepractice
tai,0.0220651859223297,fr,privatepractice
finir,0.021887954552754,fr,privatepractice
hpital,0.0215735232600298,fr,privatepractice
revenir,0.0211383670680707,fr,privatepractice
famille,0.020988449571134,fr,privatepractice
travail,0.0206886145772607,fr,privatepractice
practic,0.0202009324952018,fr,privatepractice
super,0.0199665868159863,fr,privatepractice
perdre,0.0199390270925773,fr,privatepractice
dreamy,0.0198201035021127,fr,privatepractice
air,0.0197891095956406,fr,privatepractice
parent,0.0193541581374114,fr,privatepractice
dieu,0.0193393571048306,fr,privatepractice
private,0.01916759014408,fr,privatepractice
travailler,0.0187396871170839,fr,privatepractice
coop,0.0185999258115006,fr,privatepractice
chance,0.0185897696201473,fr,privatepractice
soir,0.0185891634825106,fr,privatepractice
enceint,0.0184997684142979,fr,privatepractice
bizzy,0.0184475316831336,fr,privatepractice
laisse,0.0182899346262739,fr,privatepractice
opration,0.0180624403371432,fr,privatepractice
grand,0.0178401821354639,fr,privatepractice
amie,0.0178255623223847,fr,privatepractice
sai,0.0176902646385272,fr,privatepractice
semaine,0.0173904296446539,fr,privatepractice
aime,0.0173904296446539,fr,privatepractice
bennett,0.0173428842866985,fr,privatepractice
maison,0.0170905946507805,fr,privatepractice
heureux,0.0170637861547614,fr,privatepractice
arrter,0.0169406771538439,fr,privatepractice
fait,0.0167907596569072,fr,privatepractice
pense,0.0167907596569072,fr,privatepractice
fils,0.0166408421599705,fr,privatepractice
tte,0.0164909246630339,fr,privatepractice
dur,0.0164733237365338,fr,privatepractice
test,0.0163647064056322,fr,privatepractice
appel,0.0163410071660972,fr,privatepractice
fife,0.0162807993053068,fr,privatepractice
arrte,0.0161910896691605,fr,privatepractice
sauver,0.0158912546752872,fr,privatepractice
point,0.0157413371783505,fr,privatepractice
coeur,0.0157352946208002,fr,privatepractice
ouai,0.0156660911940816,fr,privatepractice
plat,0.0154154038635454,fr,privatepractice
sonya,0.0152888420523498,fr,privatepractice
malade,0.0152632357821761,fr,privatepractice
dink,0.0151506993714013,fr,privatepractice
garder,0.0149917496936671,fr,privatepractice
vivre,0.0148418321967305,fr,privatepractice
amour,0.0147091601844327,fr,privatepractice
coup,0.0146597468114108,fr,privatepractice
mariage,0.0146338239973441,fr,privatepractice
question,0.0145419972028571,fr,privatepractice
porte,0.0145419972028571,fr,privatepractice
attend,0.0145086154009839,fr,privatepractice
aujourd,0.0143920797059205,fr,privatepractice
voil,0.0143920797059205,fr,privatepractice
parl,0.0142421622089838,fr,privatepractice
journe,0.0142063525801301,fr,privatepractice
ensembl,0.0140552211697032,fr,privatepractice
sang,0.0139423272151104,fr,privatepractice
mre,0.0138643262507436,fr,privatepractice
rentrer,0.0136424922212371,fr,privatepractice
doi,0.0136018269384224,fr,privatepractice
changer,0.0136018269384224,fr,privatepractice
mauvais,0.0133426572273637,fr,privatepractice
mec,0.0131113762200654,fr,privatepractice
bureau,0.0131113762200654,fr,privatepractice
praillevte,0.0130670016088863,fr,privatepractice
mois,0.0130428222334904,fr,privatepractice
minute,0.0129973012967147,fr,privatepractice
devenir,0.0128929047365537,fr,privatepractice
sperme,0.0128736606082363,fr,privatepractice
choisir,0.0128461698862878,fr,privatepractice
vrai,0.0127429872396171,fr,privatepractice
arriv,0.0127429872396171,fr,privatepractice
droit,0.0127429872396171,fr,privatepractice
nouveau,0.0125930697426804,fr,privatepractice
heather,0.0125646549577898,fr,privatepractice
hier,0.012543907065434,fr,privatepractice
montgomery,0.0125007764681163,fr,privatepractice
partie,0.0124431522457437,fr,privatepractice
choix,0.0123927756550071,fr,privatepractice
marche,0.0121433172518704,fr,privatepractice
important,0.0121433172518704,fr,privatepractice
cami,0.0120789189808582,fr,privatepractice
nuit,0.0119933997549337,fr,privatepractice
comprend,0.0119933997549337,fr,privatepractice
traitement,0.011987487806345,fr,privatepractice
difficile,0.0119799520895918,fr,privatepractice
