mot,poids_tfidf,langue,serie
shawn,0.4952022069324874,en,psych
gus,0.2086069924096692,en,psych
lassiter,0.0848759978726472,en,psych
spencer,0.0828730542284876,en,psych
work,0.0637934659315121,en,psych
case,0.0581191145144234,en,psych
little,0.0539063384623424,en,psych
psychic,0.0516134730388931,en,psych
dude,0.0462360639782299,en,psych
talk,0.0449649362293542,en,psych
hara,0.0429223559232172,en,psych
detective,0.0414643645588002,en,psych
sure,0.0398064349410917,en,psych
dad,0.0397495941700935,en,psych
jule,0.0377701358137513,en,psych
help,0.0372271842969605,en,psych
happen,0.0359375589748949,en,psych
kill,0.0343900085884162,en,psych
chief,0.0329150152360444,en,psych
guster,0.0317877159580771,en,psych
believe,0.0312089327939877,en,psych
hear,0.0300052824933931,en,psych
lassie,0.0289725902481716,en,psych
bad,0.0288876072142696,en,psych
kid,0.0288848562854911,en,psych
stop,0.0284577321069144,en,psych
actually,0.0278559069566171,en,psych
murder,0.0271138620779023,en,psych
check,0.0267382316774936,en,psych
start,0.0264803066130805,en,psych
fine,0.025739679518736,en,psych
old,0.0249327562266017,en,psych
night,0.0244169060977755,en,psych
big,0.0240930333542378,en,psych
place,0.0237291059260072,en,psych
car,0.0236891046975522,en,psych
great,0.0235571558830651,en,psych
room,0.023471180861594,en,psych
run,0.0229553307327678,en,psych
police,0.0225487025332189,en,psych
course,0.0220130592517136,en,psych
wrong,0.0218376554536443,en,psych
love,0.0218376554536443,en,psych
question,0.0217516804321732,en,psych
miss,0.0216657054107022,en,psych
second,0.0216657054107022,en,psych
head,0.0216657054107022,en,psych
like,0.0214077803462891,en,psych
sense,0.0212330689632671,en,psych
vlad,0.0204755275521355,en,psych
friend,0.0203760800886366,en,psych
play,0.0203760800886366,en,psych
new,0.0202901050671655,en,psych
phone,0.0200622920082286,en,psych
life,0.0200321800027524,en,psych
remember,0.0197742549383393,en,psych
long,0.0196023048953972,en,psych
hell,0.0193443798309841,en,psych
win,0.0193443798309841,en,psych
close,0.019258404809513,en,psych
dead,0.019258404809513,en,psych
real,0.0189145047236289,en,psych
watch,0.0185706046377447,en,psych
exactly,0.0185706046377447,en,psych
pretty,0.0185464357475068,en,psych
psych,0.0184721903507617,en,psych
turn,0.0182267045518606,en,psych
cop,0.0182026778520468,en,psych
nice,0.0178828044659764,en,psych
hand,0.0175389043800922,en,psych
solve,0.0172598587029746,en,psych
partner,0.0171827182805241,en,psych
figure,0.017159786345824,en,psych
girl,0.017109029272737,en,psych
meet,0.017109029272737,en,psych
break,0.0169864551706137,en,psych
word,0.0165931791439108,en,psych
end,0.0165072041224397,en,psych
stuff,0.0162931304697723,en,psych
guess,0.0162492790580266,en,psych
probably,0.0162492790580266,en,psych
point,0.0161633040365556,en,psych
job,0.0161633040365556,en,psych
plan,0.0160331337069568,en,psych
wear,0.0159395091087618,en,psych
away,0.0158194039506714,en,psych
eat,0.0158194039506714,en,psych
mind,0.0156474539077293,en,psych
idea,0.0156474539077293,en,psych
bring,0.0155614788862583,en,psych
stay,0.0155614788862583,en,psych
ago,0.0154755038647873,en,psych
money,0.0153895288433162,en,psych
hour,0.0152175788003741,en,psych
sound,0.0151316037789031,en,psych
crime,0.015023141666032,en,psych
die,0.014959653735961,en,psych
person,0.014959653735961,en,psych
eye,0.0147877036930189,en,psych
pay,0.0147331498928792,en,psych
mcnab,0.0146389026095257,en,psych
home,0.0143578285856637,en,psych
date,0.0143273262503194,en,psych
body,0.0142131563672482,en,psych
lose,0.0140999035212506,en,psych
use,0.0140139284997796,en,psych
vick,0.0138617241535978,en,psych
house,0.0138419784568375,en,psych
line,0.0137560034353664,en,psych
speak,0.0134121033494823,en,psych
fire,0.0134121033494823,en,psych
boy,0.0133261283280112,en,psych
whoa,0.0132125976310451,en,psych
catch,0.0130682032635981,en,psych
week,0.0130682032635981,en,psych
today,0.0130682032635981,en,psych
lead,0.0128421765780302,en,psych
open,0.012810278199185,en,psych
door,0.012724303177714,en,psych
killer,0.0126833853514987,en,psych
son,0.0126531757903551,en,psych
mira,0.0126450009067766,en,psych
lie,0.0126383281562429,en,psych
shoot,0.0123804030918298,en,psych
high,0.0123180061054575,en,psych
suppose,0.0122944280703588,en,psych
truth,0.0121224780274167,en,psych
problem,0.0118645529630036,en,psych
buddy,0.0118315161860996,en,psych
evidence,0.0118292571504129,en,psych
read,0.0117785779415325,en,psych
suspect,0.0117368640566108,en,psych
office,0.0117064738874561,en,psych
cause,0.0116926029200615,en,psych
department,0.0116407955459296,en,psych
understand,0.0116066278985904,en,psych
business,0.0115265231514878,en,psych
sweet,0.0115265231514878,en,psych
exclaim,0.0115022817444748,en,psych
crazy,0.0114443886511697,en,psych
number,0.0114398575638827,en,psych
sit,0.0114346778556483,en,psych
hair,0.011357026905741,en,psych
hard,0.0113487028341773,en,psych
drive,0.0112627278127063,en,psych
live,0.0111767527912352,en,psych
victim,0.0110615554307411,en,psych
pick,0.0110048027482931,en,psych
deal,0.0109198640382516,en,psych
shark,0.0109120642421711,en,psych
stand,0.0108328527053511,en,psych
steal,0.0107465328630413,en,psych
cover,0.0107454946877395,en,psych
father,0.0106581329423107,en,psych
diddle,0.0106356313570124,en,psych
mcbain,0.0105725407735463,en,psych
abigail,0.0104181847275462,en,psych
hit,0.0104029775979959,en,psych
game,0.0103998705126206,en,psych
clear,0.0103170025765248,en,psych
follow,0.0103132049250154,en,psych
gun,0.0102832735299519,en,psych
care,0.0102310275550538,en,psych
inhibition,0.0102283125908977,en,psych
death,0.0102265393374102,en,psych
fact,0.0102265393374102,en,psych
walk,0.0101450525335827,en,psych
school,0.0099511852446966,en,psych
foot,0.0098871274691696,en,psych
sign,0.0098871274691696,en,psych
damn,0.0098718772334517,en,psych
bit,0.0098011524476986,en,psych
