mot,poids_tfidf,langue,serie
pie,0.2247178345436239,en,pushingdaisies
olive,0.173040529127739,en,pushingdaisies
chuck,0.1616887988475498,en,pushingdaisies
emerson,0.1532276357786711,en,pushingdaisies
ned,0.1459358051587857,en,pushingdaisies
maker,0.1263922165025461,en,pushingdaisies
dead,0.1234315145973445,en,pushingdaisies
lily,0.1036496817491671,en,pushingdaisies
cod,0.1020334680534147,en,pushingdaisies
snook,0.0898144943689497,en,pushingdaisies
herrmann,0.0884849797852098,en,pushingdaisies
life,0.0798260792410177,en,pushingdaisies
love,0.0780677955572948,en,pushingdaisies
kill,0.0777161388205502,en,pushingdaisies
vivian,0.0762942063901806,en,pushingdaisies
dwight,0.0640551195318166,en,pushingdaisies
bee,0.062732431511396,en,pushingdaisies
digby,0.0613977410754517,en,pushingdaisies
die,0.0594299885098325,en,pushingdaisies
girl,0.0559134211423868,en,pushingdaisies
stingwell,0.0541744774195162,en,pushingdaisies
little,0.0534518239851748,en,pushingdaisies
larue,0.0532234040704887,en,pushingdaisies
murder,0.0516077013236206,en,pushingdaisies
father,0.0507406814434832,en,pushingdaisies
dad,0.0507406814434832,en,pushingdaisies
talk,0.0478253161972617,en,pushingdaisies
aunt,0.0476696036599346,en,pushingdaisies
touch,0.0475004947403688,en,pushingdaisies
mother,0.0453637190400497,en,pushingdaisies
secret,0.0428450608725754,en,pushingdaisies
bring,0.0425504651460931,en,pushingdaisies
help,0.0425504651460931,en,pushingdaisies
sister,0.041062734534376,en,pushingdaisies
work,0.0407921814623702,en,pushingdaisies
happen,0.0404405247256257,en,pushingdaisies
young,0.0400563873556841,en,pushingdaisies
great,0.039385554515392,en,pushingdaisies
erin,0.0388648703000261,en,pushingdaisies
gustav,0.0382276545439138,en,pushingdaisies
long,0.0376272708316691,en,pushingdaisies
new,0.0372756140949245,en,pushingdaisies
big,0.0350936490992277,en,pushingdaisies
home,0.0341107034642234,en,pushingdaisies
heart,0.0340302051871299,en,pushingdaisies
death,0.0329667612750321,en,pushingdaisies
killer,0.0329075813539535,en,pushingdaisies
away,0.0327040765172451,en,pushingdaisies
friend,0.0323524197805005,en,pushingdaisies
pidge,0.0316013961668526,en,pushingdaisies
alive,0.0311943547548691,en,pushingdaisies
body,0.0311943547548691,en,pushingdaisies
cause,0.0309457928335222,en,pushingdaisies
fact,0.0308398734508365,en,pushingdaisies
bad,0.0305941360967777,en,pushingdaisies
stop,0.0305941360967777,en,pushingdaisies
old,0.0302424793600331,en,pushingdaisies
second,0.0298908226232885,en,pushingdaisies
place,0.029539165886544,en,pushingdaisies
run,0.0291875091497994,en,pushingdaisies
