mot,poids_tfidf,langue,serie
taire,0.3238056057268543,fr,pushingdaisies
ptissier,0.2736395772712351,fr,pushingdaisies
chuck,0.1760573159519436,fr,pushingdaisies
olive,0.1743075200114685,fr,pushingdaisies
emerson,0.1418359152299321,fr,pushingdaisies
tre,0.129889855088161,fr,pushingdaisies
ned,0.1269753677400935,fr,pushingdaisies
mort,0.1154916871892375,fr,pushingdaisies
snook,0.1068053454617697,fr,pushingdaisies
dwight,0.1011788259559149,fr,pushingdaisies
mme,0.0866953513913905,fr,pushingdaisies
tarte,0.0808071121902526,fr,pushingdaisies
digby,0.0723227521409858,fr,pushingdaisies
pre,0.0677020235247254,fr,pushingdaisies
ici,0.0667829915311771,fr,pushingdaisies
herrmann,0.0665369319697069,fr,pushingdaisies
mourir,0.0655576155397794,fr,pushingdaisies
bubblegum,0.0636440218840675,fr,pushingdaisies
hole,0.0610445969222434,fr,pushingdaisies
larue,0.0606284339144716,fr,pushingdaisies
papen,0.0581146732659629,fr,pushingdaisies
petit,0.0569799835999951,fr,pushingdaisies
fille,0.0557546076085974,fr,pushingdaisies
charlotte,0.0548175044352808,fr,pushingdaisies
bee,0.0543009968348723,fr,pushingdaisies
aimer,0.0539165436215008,fr,pushingdaisies
lenez,0.0502613390408328,fr,pushingdaisies
bao,0.0502580385655033,fr,pushingdaisies
darling,0.0488356775377947,fr,pushingdaisies
apr,0.0480960076623615,fr,pushingdaisies
dixon,0.0466731347592541,fr,pushingdaisies
quelqu,0.0465642876731143,fr,pushingdaisies
cod,0.0455881759637788,fr,pushingdaisies
grand,0.0444198796881682,fr,pushingdaisies
mcquoddy,0.0424080048157026,fr,pushingdaisies
schatz,0.042108086365692,fr,pushingdaisies
abeille,0.0408460095584744,fr,pushingdaisies
lily,0.0403009560136899,fr,pushingdaisies
minute,0.0401471888484581,fr,pushingdaisies
besoin,0.0401310637182761,fr,pushingdaisies
gustav,0.0399564634400139,fr,pushingdaisies
taient,0.0395183757225773,fr,pushingdaisies
heure,0.0389056877268784,fr,pushingdaisies
ouai,0.0376616009796226,fr,pushingdaisies
jeune,0.0364412944932158,fr,pushingdaisies
daisie,0.0345546705905725,fr,pushingdaisies
snuppy,0.0345546705905725,fr,pushingdaisies
sentir,0.0343105277591368,fr,pushingdaisies
coeur,0.0340829986463925,fr,pushingdaisies
cest,0.0337981680287185,fr,pushingdaisies
betty,0.0335539941339875,fr,pushingdaisies
tante,0.0333236481800398,fr,pushingdaisies
soeur,0.0330627820212027,fr,pushingdaisies
erin,0.0323126706474323,fr,pushingdaisies
secret,0.031698514157849,fr,pushingdaisies
attendre,0.0312470877806425,fr,pushingdaisies
mermaid,0.030375555899214,fr,pushingdaisies
simone,0.0299175444891214,fr,pushingdaisies
balsam,0.0298426700554944,fr,pushingdaisies
pidge,0.0298426700554944,fr,pushingdaisies
regarder,0.0297153677913953,fr,pushingdaisies
trs,0.0297153677913953,fr,pushingdaisies
dtective,0.0294581965187145,fr,pushingdaisies
ami,0.0284899917999975,fr,pushingdaisies
pushing,0.0283792669386888,fr,pushingdaisies
dicker,0.0282720032104684,fr,pushingdaisies
tueur,0.0281212205601312,fr,pushingdaisies
harold,0.0277498370602012,fr,pushingdaisies
toucher,0.0277079526630166,fr,pushingdaisies
porte,0.0269582718107504,fr,pushingdaisies
nom,0.0269582718107504,fr,pushingdaisies
devenir,0.0269582718107504,fr,pushingdaisies
meurtre,0.0267920122109534,fr,pushingdaisies
charle,0.0263935676988974,fr,pushingdaisies
nouveau,0.0263455838150515,fr,pushingdaisies
oeil,0.0260392398172021,fr,pushingdaisies
revenir,0.0260392398172021,fr,pushingdaisies
meilleur,0.0254265518215032,fr,pushingdaisies
sortir,0.0254265518215032,fr,pushingdaisies
hallie,0.0245093669015949,fr,pushingdaisies
main,0.0245075198279549,fr,pushingdaisies
