mot,poids_tfidf,langue,serie
andi,0.2382399372207845,en,reaper
devil,0.1038540908240374,en,reaper
soul,0.0930414837649229,en,reaper
sock,0.0897183216389353,en,reaper
little,0.0816731241652028,en,reaper
work,0.0711910119728773,en,reaper
talk,0.0609272771178919,en,reaper
hell,0.0602721451058716,en,reaper
sammy,0.0591586974064915,en,reaper
demon,0.0549571187696919,en,reaper
love,0.0537208249856681,en,reaper
vessel,0.0515206867481798,en,reaper
help,0.0473878822028048,en,reaper
great,0.045859240841424,en,reaper
kill,0.0421468261066421,en,reaper
life,0.0366873926731392,en,reaper
friend,0.0358138833237787,en,reaper
happen,0.0355955059864386,en,reaper
like,0.0351587513117584,en,reaper
nice,0.0327566006010171,en,reaper
sure,0.0323198459263369,en,reaper
believe,0.0307912045649561,en,reaper
bench,0.0307415362379913,en,reaper
tony,0.0302880695662437,en,reaper
actually,0.0296993178782555,en,reaper
stop,0.0294809405409154,en,reaper
bad,0.0288258085288951,en,reaper
car,0.0277366065466603,en,reaper
night,0.0270787898301742,en,reaper
fine,0.0270761599378358,en,reaper
win,0.026860412492834,en,reaper
baby,0.0266279554582685,en,reaper
place,0.0264236578181538,en,reaper
cady,0.0257922919875661,en,reaper
dad,0.0255184573141739,en,reaper
benji,0.0254079947064176,en,reaper
pretty,0.0248748461217516,en,reaper
hear,0.0246766391194329,en,reaper
gladys,0.0238488194992189,en,reaper
deal,0.0235540578321011,en,reaper
big,0.0233339264504927,en,reaper
problem,0.0231479977580521,en,reaper
girl,0.0227112430833719,en,reaper
mom,0.0222746097092193,en,reaper
break,0.0220131381608421,en,reaper
job,0.0216193563966713,en,reaper
away,0.0216193563966713,en,reaper
probably,0.0209642243846509,en,reaper
wrong,0.0207458470473108,en,reaper
weird,0.0206207434700644,en,reaper
cool,0.0205787725991351,en,reaper
long,0.0205274697099707,en,reaper
care,0.0205274697099707,en,reaper
meet,0.0203090923726306,en,reaper
idea,0.0203090923726306,en,reaper
live,0.0196539603606103,en,reaper
date,0.0195271673360635,en,reaper
dead,0.0194355830232701,en,reaper
hand,0.0194355830232701,en,reaper
guess,0.0194355830232701,en,reaper
boy,0.0194355830232701,en,reaper
bring,0.01921720568593,en,reaper
dude,0.0188698557818902,en,reaper
ass,0.0187148122237658,en,reaper
money,0.0185620736739097,en,reaper
catch,0.0183436963365696,en,reaper
run,0.0183436963365696,en,reaper
evil,0.0182257003988903,en,reaper
die,0.0181253189992295,en,reaper
nessman,0.0179424639913504,en,reaper
old,0.0179069416618893,en,reaper
eat,0.0179069416618893,en,reaper
buddy,0.0177908780325692,en,reaper
start,0.0174701869872091,en,reaper
real,0.0174701869872091,en,reaper
lady,0.0173903791470653,en,reaper
crazy,0.0173081710478745,en,reaper
kid,0.0169998556253724,en,reaper
party,0.0169998556253724,en,reaper
plan,0.0169501163838484,en,reaper
stuff,0.0169501163838484,en,reaper
send,0.0169501163838484,en,reaper
wrenchy,0.0168210599918909,en,reaper
head,0.0168150549751888,en,reaper
happy,0.0165966776378487,en,reaper
greg,0.0161634079315581,en,reaper
new,0.0161599229631684,en,reaper
sound,0.0161599229631684,en,reaper
son,0.0160695908574147,en,reaper
tonight,0.0159767732749611,en,reaper
open,0.0159415456258283,en,reaper
house,0.0159415456258283,en,reaper
ted,0.0158849347140122,en,reaper
stupid,0.0158494594758063,en,reaper
turn,0.0157231682884882,en,reaper
hate,0.0156293280941979,en,reaper
watch,0.0155047909511481,en,reaper
home,0.015286413613808,en,reaper
figure,0.015189065330981,en,reaper
remember,0.0150680362764679,en,reaper
may,0.0149825130048146,en,reaper
hit,0.0148496589391277,en,reaper
today,0.0146312816017876,en,reaper
world,0.0146312816017876,en,reaper
easy,0.0144129042644475,en,reaper
face,0.0143085398045474,en,reaper
mind,0.0141945269271074,en,reaper
fight,0.0141945269271074,en,reaper
escaped,0.014114758827894,en,reaper
check,0.0139761495897673,en,reaper
jordy,0.0138196030380494,en,reaper
fire,0.0137577722524272,en,reaper
bit,0.0137577722524272,en,reaper
leon,0.0136762104785209,en,reaper
kristen,0.0136278968566965,en,reaper
second,0.0135393949150871,en,reaper
suppose,0.0133210175777469,en,reaper
hard,0.0133210175777469,en,reaper
course,0.0132078828965053,en,reaper
buy,0.0131026402404068,en,reaper
miss,0.0131026402404068,en,reaper
stay,0.0131026402404068,en,reaper
sell,0.0129877515148968,en,reaper
perfect,0.0129877515148968,en,reaper
understand,0.0128842629030667,en,reaper
eye,0.0128842629030667,en,reaper
change,0.0128842629030667,en,reaper
drink,0.0127676201332884,en,reaper
totally,0.0127029226255058,en,reaper
play,0.0126658855657266,en,reaper
