mot,poids_tfidf,langue,serie
gisbourn,0.4612238375810329,fr,robinhood
robin,0.2687189119140042,fr,robinhood
shrif,0.21542730717203,fr,robinhood
marianne,0.2068319942285791,fr,robinhood
locksley,0.1892275216069961,fr,robinhood
nottingham,0.1495992316475634,fr,robinhood
djaq,0.1206471073781448,fr,robinhood
much,0.1098816781132366,fr,robinhood
roi,0.1062084548059538,fr,robinhood
taire,0.1050320413515786,fr,robinhood
ici,0.0877513904407588,fr,robinhood
sire,0.0870306487707717,fr,robinhood
tre,0.0790497860814098,fr,robinhood
bois,0.0728812357614425,fr,robinhood
allan,0.0712462768704955,fr,robinhood
lardner,0.0601824533551302,fr,robinhood
mourir,0.0600533258602958,fr,robinhood
marian,0.0550807982553014,fr,robinhood
tuer,0.0547833401215352,fr,robinhood
veilleur,0.054544240270964,fr,robinhood
besoin,0.049881027806409,fr,robinhood
mme,0.0465719669936988,fr,robinhood
ami,0.0460817357621862,fr,robinhood
hood,0.0444606571464147,fr,robinhood
aimer,0.042037328102207,fr,robinhood
chteau,0.0418912799608091,fr,robinhood
sarrasin,0.0418433208994945,fr,robinhood
petit,0.0409343078313037,fr,robinhood
angleterre,0.0404700046815085,fr,robinhood
pre,0.039586171944644,fr,robinhood
argent,0.0389733829052532,fr,robinhood
mort,0.0377478048264716,fr,robinhood
will,0.0375900221941748,fr,robinhood
attendre,0.0373801314028372,fr,robinhood
fort,0.0368899001713246,fr,robinhood
seigneur,0.0348837456156089,fr,robinhood
garde,0.0339485127822488,fr,robinhood
loi,0.032666125060979,fr,robinhood
prince,0.0315695189130998,fr,robinhood
terre,0.0311346464219766,fr,robinhood
trs,0.0302717785459042,fr,robinhood
nuit,0.0297815473143916,fr,robinhood
guy,0.0291344472095653,fr,robinhood
matre,0.0287312960608535,fr,robinhood
aider,0.0279431801962192,fr,robinhood
saint,0.0269711586318172,fr,robinhood
dsol,0.0268401599253159,fr,robinhood
plat,0.0264397394218373,fr,robinhood
chance,0.0252469084228998,fr,robinhood
fait,0.0251243506150217,fr,robinhood
taxe,0.0247904305160003,fr,robinhood
aide,0.0247566771913872,fr,robinhood
regarder,0.0240213303441183,fr,robinhood
grand,0.0234085413047275,fr,robinhood
mieux,0.0234085413047275,fr,robinhood
sortir,0.0229183100732149,fr,robinhood
clun,0.0226213326334021,fr,robinhood
isabeller,0.0225042669649431,fr,robinhood
vite,0.022182963225946,fr,robinhood
sauver,0.0215701741865552,fr,robinhood
perdre,0.021447616378677,fr,robinhood
mal,0.0210799429550426,fr,robinhood
raison,0.0209573851471644,fr,robinhood
nettlestone,0.0207362215806186,fr,robinhood
nom,0.0203445961077737,fr,robinhood
ouai,0.0200894997764914,fr,robinhood
accord,0.0197318070683829,fr,robinhood
kat,0.0195665680974864,fr,robinhood
revenir,0.0191190180289921,fr,robinhood
rentrer,0.0189964602211139,fr,robinhood
allez,0.0187513446053576,fr,robinhood
