mot,poids_tfidf,langue,serie
todd,0.1609144128828002,en,samanthawho
samantha,0.1006171299604682,en,samanthawho
love,0.0636374381197658,en,samanthawho
dane,0.0626985139542534,en,samanthawho
dena,0.0596744845545828,en,samanthawho
tony,0.059106388662004,en,samanthawho
friend,0.056997009794225,en,samanthawho
little,0.0553369027128398,en,samanthawho
talk,0.051463319522941,en,samanthawho
work,0.0503565814686842,en,samanthawho
mom,0.0495324442888501,en,samanthawho
job,0.045929629251657,en,samanthawho
night,0.045929629251657,en,samanthawho
newly,0.043625921224681,en,samanthawho
life,0.043162784116015,en,samanthawho
like,0.0426094150888866,en,samanthawho
funk,0.0410733304668749,en,samanthawho
wylder,0.0397829897030552,en,samanthawho
owen,0.0386176738492609,en,samanthawho
help,0.037629093844731,en,samanthawho
stop,0.0370757248176026,en,samanthawho
great,0.0365223557904742,en,samanthawho
frank,0.036145160580488,en,samanthawho
bad,0.0354156177362174,en,samanthawho
gay,0.0352873441476689,en,samanthawho
fine,0.0329110131478082,en,samanthawho
happen,0.0326487726005755,en,samanthawho
house,0.0320954035734471,en,samanthawho
start,0.0320954035734471,en,samanthawho
remember,0.0315420345463187,en,samanthawho
willow,0.0309683835593822,en,samanthawho
meet,0.0298819274649335,en,samanthawho
sure,0.0293285584378051,en,samanthawho
car,0.0289074043898646,en,samanthawho
mother,0.0287751894106767,en,samanthawho
new,0.0282218203835483,en,samanthawho
home,0.0271150823292915,en,samanthawho
boyfriend,0.0270220355985818,en,samanthawho
actually,0.0265617133021631,en,samanthawho
hear,0.0265617133021631,en,samanthawho
win,0.0265617133021631,en,samanthawho
live,0.0265617133021631,en,samanthawho
play,0.0265617133021631,en,samanthawho
nice,0.0260083442750347,en,samanthawho
bowl,0.0257202907671064,en,samanthawho
big,0.0251016201974808,en,samanthawho
girl,0.0249016062207779,en,samanthawho
away,0.0249016062207779,en,samanthawho
date,0.0247409592106653,en,samanthawho
place,0.0243482371936495,en,samanthawho
turn,0.0237948681665211,en,samanthawho
miss,0.0237948681665211,en,samanthawho
guess,0.0237948681665211,en,samanthawho
wes,0.023511942732845,en,samanthawho
dog,0.0234260205173461,en,samanthawho
care,0.0232414991393927,en,samanthawho
bring,0.0226881301122643,en,samanthawho
buy,0.0226881301122643,en,samanthawho
run,0.0226881301122643,en,samanthawho
tommy,0.0225005527955345,en,samanthawho
fun,0.0224917811006048,en,samanthawho
howard,0.0222254157624947,en,samanthawho
change,0.0221347610851359,en,samanthawho
break,0.0217547375044834,en,samanthawho
real,0.0215813920580075,en,samanthawho
understand,0.0215813920580075,en,samanthawho
hard,0.0215813920580075,en,samanthawho
long,0.0210280230308791,en,samanthawho
chapman,0.0208811606118041,en,samanthawho
wedding,0.020627377536919,en,samanthawho
old,0.0204746540037507,en,samanthawho
lose,0.0204746540037507,en,samanthawho
eat,0.0204746540037507,en,samanthawho
com,0.0203206284645158,en,samanthawho
baby,0.0202426029905443,en,samanthawho
woof,0.0198887494891496,en,samanthawho
kid,0.019838414777358,en,samanthawho
dad,0.0196803084630292,en,samanthawho
