mot,poids_tfidf,langue,serie
taire,0.1496361474643472,fr,samanthawho
tre,0.1301183890994324,fr,samanthawho
todd,0.1267187781513462,fr,samanthawho
dener,0.0767071470060239,fr,samanthawho
mme,0.068312154277202,fr,samanthawho
newly,0.0633777743534457,fr,samanthawho
aimer,0.0618062348222304,fr,samanthawho
saladier,0.0614669369035261,fr,samanthawho
dsole,0.0596832531982506,fr,samanthawho
funk,0.0585891374969836,fr,samanthawho
ici,0.0566014992582531,fr,samanthawho
petit,0.0539991314762644,fr,samanthawho
dieu,0.0500955798032814,fr,samanthawho
tony,0.0495337305043262,fr,samanthawho
sam,0.0488146276335925,fr,samanthawho
regarder,0.0481438039667899,fr,samanthawho
besoin,0.0455414361848013,fr,samanthawho
samantha,0.0437055180850515,fr,samanthawho
salut,0.0429390684028127,fr,samanthawho
tai,0.0426308951416075,fr,samanthawho
trs,0.0416378845118183,fr,samanthawho
ami,0.0416378845118183,fr,samanthawho
baba,0.0379236171560401,fr,samanthawho
appeler,0.0370837408933382,fr,samanthawho
fille,0.0338307811658524,fr,samanthawho
plat,0.0321371363375195,fr,samanthawho
veux,0.0318790053293609,fr,samanthawho
mieux,0.0318790053293609,fr,samanthawho
chase,0.0312052843798512,fr,samanthawho
willow,0.0307557349487399,fr,samanthawho
homo,0.0306777456644376,fr,samanthawho
mal,0.0305778214383666,fr,samanthawho
boulot,0.0304138618326728,fr,samanthawho
super,0.0299936522633206,fr,samanthawho
maison,0.0299272294928694,fr,samanthawho
heure,0.0299272294928694,fr,samanthawho
raison,0.0299272294928694,fr,samanthawho
mec,0.0298042384619595,fr,samanthawho
soir,0.0295136966364975,fr,samanthawho
accord,0.0292766375473722,fr,samanthawho
frank,0.0289271867458326,fr,samanthawho
aider,0.0286260456018751,fr,samanthawho
voil,0.0286260456018751,fr,samanthawho
chapman,0.0283470972157685,fr,samanthawho
papa,0.0279754536563779,fr,samanthawho
arrte,0.0279754536563779,fr,samanthawho
finir,0.0279754536563779,fr,samanthawho
youb,0.026685378675135,fr,samanthawho
quelqu,0.0260236778198864,fr,samanthawho
voiture,0.0259486540051019,fr,samanthawho
sortir,0.0253730858743893,fr,samanthawho
dane,0.0248361463770637,fr,samanthawho
sai,0.0247224939288921,fr,samanthawho
apr,0.0247224939288921,fr,samanthawho
porte,0.0247224939288921,fr,samanthawho
essayer,0.0247224939288921,fr,samanthawho
attend,0.0242668172344535,fr,samanthawho
