mot,poids_tfidf,langue,serie
abnormal,0.1329986077235589,en,sanctuary
cabal,0.1132405678392515,en,sanctuary
sanctuary,0.1078931158139954,en,sanctuary
work,0.0846745287629943,en,sanctuary
magnus,0.073127875357536,en,sanctuary
bertha,0.0689019647164139,en,sanctuary
nubbin,0.0687618859655628,en,sanctuary
projet,0.0675509458004058,en,sanctuary
help,0.0661642829403862,en,sanctuary
happen,0.0598629226603494,en,sanctuary
kill,0.0578937475728379,en,sanctuary
makri,0.0566274355010517,en,sanctuary
creature,0.0524846466542648,en,sanctuary
henry,0.0480501158089164,en,sanctuary
stop,0.0480478721352805,en,sanctuary
hell,0.0480478721352805,en,sanctuary
sure,0.0472602021002759,en,sanctuary
blood,0.0464488090540429,en,sanctuary
ashley,0.0462035953942027,en,sanctuary
magnu,0.0437355694691087,en,sanctuary
little,0.0433218519252529,en,sanctuary
talk,0.0425341818902483,en,sanctuary
long,0.0413526768377414,en,sanctuary
die,0.0405650068027368,en,sanctuary
bad,0.0378081616802207,en,sanctuary
believe,0.0378081616802207,en,sanctuary
life,0.0374143266627184,en,sanctuary
tesla,0.0371813016345589,en,sanctuary
bring,0.0370204916452161,en,sanctuary
place,0.0354451515752069,en,sanctuary
stay,0.0350513165577046,en,sanctuary
big,0.0345388580145447,en,sanctuary
old,0.0342636465227,en,sanctuary
vampire,0.0338193981246451,en,sanctuary
power,0.0312146119675225,en,sanctuary
dead,0.0311129663826816,en,sanctuary
turn,0.0307191313651793,en,sanctuary
hear,0.030325296347677,en,sanctuary
run,0.030325296347677,en,sanctuary
fine,0.0297748775987454,en,sanctuary
idea,0.0291437912951701,en,sanctuary
world,0.0287499562776678,en,sanctuary
freelander,0.0283137177505258,en,sanctuary
control,0.0276129259712699,en,sanctuary
mom,0.0274641139447204,en,sanctuary
human,0.0274313584743676,en,sanctuary
father,0.027212738638353,en,sanctuary
mind,0.0271746162076586,en,sanctuary
away,0.0267807811901563,en,sanctuary
understand,0.0267807811901563,en,sanctuary
robbie,0.0264759333253659,en,sanctuary
specie,0.0260434175665957,en,sanctuary
head,0.0259931111551517,en,sanctuary
guess,0.0259931111551517,en,sanctuary
squid,0.0259506591474947,en,sanctuary
declan,0.0257409011316177,en,sanctuary
start,0.0255992761376494,en,sanctuary
check,0.0255992761376494,en,sanctuary
far,0.0255992761376494,en,sanctuary
new,0.0248116061026448,en,sanctuary
system,0.0245947289057197,en,sanctuary
kali,0.0244644237620518,en,sanctuary
great,0.0244177710851425,en,sanctuary
lose,0.0236301010501379,en,sanctuary
teleport,0.0233485118434318,en,sanctuary
fight,0.0232362660326356,en,sanctuary
friend,0.0232362660326356,en,sanctuary
hour,0.0232362660326356,en,sanctuary
actually,0.0228424310151333,en,sanctuary
real,0.0228424310151333,en,sanctuary
use,0.022448595997631,en,sanctuary
ago,0.022448595997631,en,sanctuary
danu,0.0222464925182703,en,sanctuary
druitt,0.0222464925182703,en,sanctuary
durga,0.0222464925182703,en,sanctuary
boy,0.0220547609801287,en,sanctuary
exactly,0.0220547609801287,en,sanctuary
love,0.0220547609801287,en,sanctuary
alive,0.0214379118710967,en,sanctuary
team,0.0213154317182904,en,sanctuary
close,0.0212670909451241,en,sanctuary
miss,0.0212670909451241,en,sanctuary
end,0.0212670909451241,en,sanctuary
kate,0.0211698311929009,en,sanctuary
live,0.0208732559276218,en,sanctuary
remember,0.0208732559276218,en,sanctuary
win,0.0208732559276218,en,sanctuary
kid,0.0205735188557757,en,sanctuary
ready,0.0204794209101195,en,sanctuary
test,0.0203321894638444,en,sanctuary
course,0.0202469167671469,en,sanctuary
hand,0.0200855858926172,en,sanctuary
reason,0.0200855858926172,en,sanctuary
salomon,0.0199384924119239,en,sanctuary
wrong,0.0192979158576126,en,sanctuary
able,0.0192979158576126,en,sanctuary
hope,0.0192979158576126,en,sanctuary
second,0.0189040808401103,en,sanctuary
sense,0.0186589232952138,en,sanctuary
nice,0.018510245822608,en,sanctuary
attack,0.0184086173141799,en,sanctuary
pleski,0.0182016756967666,en,sanctuary
gun,0.018181145760101,en,sanctuary
change,0.0181164108051057,en,sanctuary
set,0.018008429981263,en,sanctuary
dude,0.0179110786972901,en,sanctuary
plan,0.0178649265592472,en,sanctuary
monster,0.0178628678805774,en,sanctuary
easy,0.0177225757876034,en,sanctuary
scan,0.0173870863718287,en,sanctuary
city,0.0173463002117324,en,sanctuary
home,0.0173287407701011,en,sanctuary
watch,0.0173287407701011,en,sanctuary
mother,0.0173287407701011,en,sanctuary
capture,0.0172520000524737,en,sanctuary
safe,0.0172080553154291,en,sanctuary
network,0.0170879551913103,en,sanctuary
break,0.0170709298232807,en,sanctuary
problem,0.0169349057525988,en,sanctuary
mumbai,0.0168192913364106,en,sanctuary
level,0.0168078679825121,en,sanctuary
lab,0.0167857297807853,en,sanctuary
fact,0.0166739314552974,en,sanctuary
shield,0.0166620216673406,en,sanctuary
dammit,0.016592474344861,en,sanctuary
matter,0.0165410707350965,en,sanctuary
save,0.0165410707350965,en,sanctuary
night,0.0165410707350965,en,sanctuary
weapon,0.0165394955507216,en,sanctuary
nomad,0.016514055821133,en,sanctuary
body,0.0162769330873141,en,sanctuary
pretty,0.0162769330873141,en,sanctuary
stuff,0.0158799347193309,en,sanctuary
shoot,0.0157534007000919,en,sanctuary
room,0.0157534007000919,en,sanctuary
possible,0.0157534007000919,en,sanctuary
cool,0.0157326908897108,en,sanctuary
hide,0.0156073059837612,en,sanctuary
gregory,0.0155077604896192,en,sanctuary
zach,0.0155077604896192,en,sanctuary
like,0.0153595656825896,en,sanctuary
genetic,0.015007562285656,en,sanctuary
point,0.0149657306650873,en,sanctuary
afraid,0.0149657306650873,en,sanctuary
meet,0.0149657306650873,en,sanctuary
zimmerman,0.0149538693089429,en,sanctuary
sylvio,0.0149017764224279,en,sanctuary
send,0.014688939615381,en,sanctuary
contact,0.0145785983057735,en,sanctuary
play,0.014571895647585,en,sanctuary
source,0.0145403324047704,en,sanctuary
lie,0.0141780606300827,en,sanctuary
case,0.0141780606300827,en,sanctuary
tranq,0.0141549049895425,en,sanctuary
evidence,0.0140802292922999,en,sanctuary
high,0.0140065566520934,en,sanctuary
question,0.0137842256125804,en,sanctuary
sound,0.0137842256125804,en,sanctuary
steno,0.0137612383661541,en,sanctuary
patient,0.0136591001378146,en,sanctuary
spore,0.0135689470389331,en,sanctuary
field,0.013549602672526,en,sanctuary
free,0.0134979445114312,en,sanctuary
care,0.0133903905950781,en,sanctuary
job,0.0133903905950781,en,sanctuary
timing,0.0133302419402175,en,sanctuary
arrow,0.0132736501051309,en,sanctuary
choice,0.0132061819862595,en,sanctuary
normal,0.0131171887497172,en,sanctuary
trust,0.013100946143448,en,sanctuary
cut,0.013100946143448,en,sanctuary
ancient,0.0130973377771888,en,sanctuary
chance,0.0129965555775758,en,sanctuary
fast,0.0129965555775758,en,sanctuary
fly,0.0128094436037075,en,sanctuary
datum,0.0127505300060077,en,sanctuary
hurt,0.0127039477754647,en,sanctuary
steal,0.0127039477754647,en,sanctuary
follow,0.0127039477754647,en,sanctuary
cause,0.0126027205600735,en,sanctuary
catch,0.0126027205600735,en,sanctuary
move,0.0126027205600735,en,sanctuary
hard,0.0126027205600735,en,sanctuary
drug,0.0125964956333782,en,sanctuary
create,0.0125054722456676,en,sanctuary
docile,0.0124969986210554,en,sanctuary
facility,0.0124448473216504,en,sanctuary
security,0.0123962357455234,en,sanctuary
key,0.0123069494074814,en,sanctuary
death,0.0123069494074814,en,sanctuary
predator,0.0122921600474908,en,sanctuary
area,0.01227464923216,en,sanctuary
danny,0.0122218633381032,en,sanctuary
