mot,poids_tfidf,langue,serie
turk,0.1640537404303871,en,scrubs
kelso,0.1348405860928306,en,scrubs
elliot,0.12025569536544,en,scrubs
carla,0.0980512187296613,en,scrubs
talk,0.0742112910579491,en,scrubs
little,0.0731956917668335,en,scrubs
love,0.0676824384722058,en,scrubs
baby,0.066562728058049,en,scrubs
work,0.0634024128882185,en,scrubs
patient,0.0625741268310545,en,scrubs
doctor,0.0584985636168367,en,scrubs
great,0.047588081069418,en,scrubs
help,0.0469351958108437,en,scrubs
perry,0.042119785292877,en,scrubs
sure,0.0410592284836747,en,scrubs
big,0.0397071371525454,en,scrubs
like,0.039463286740493,en,scrubs
hell,0.0393182011274764,en,scrubs
new,0.0388829442884269,en,scrubs
actually,0.0382300590298526,en,scrubs
life,0.0380124306103278,en,scrubs
friend,0.0373595453517534,en,scrubs
stop,0.0366341172866709,en,scrubs
bad,0.0365615744801626,en,scrubs
kid,0.0361865674365668,en,scrubs
happen,0.036126317641113,en,scrubs
start,0.0354734323825387,en,scrubs
hospital,0.0349584207823647,en,scrubs
night,0.0327168057352249,en,scrubs
hear,0.0323540917026836,en,scrubs
girl,0.0315561208310927,en,scrubs
care,0.0311934067985514,en,scrubs
old,0.0309032355725184,en,scrubs
fine,0.0308589537354957,en,scrubs
intern,0.0301552111563837,en,scrubs
dude,0.0297748085452161,en,scrubs
laverne,0.0287686147087039,en,scrubs
win,0.0285818657642541,en,scrubs
sex,0.028568213546733,en,scrubs
newbie,0.0280308425674695,en,scrubs
nice,0.0276388092796467,en,scrubs
believe,0.0274211808601219,en,scrubs
head,0.0272760952471054,en,scrubs
second,0.0270584668275806,en,scrubs
face,0.0257401699405083,en,scrubs
todd,0.0255433067323516,en,scrubs
watch,0.0251723538583659,en,scrubs
long,0.0248821826323329,en,scrubs
home,0.0246645542128081,en,scrubs
place,0.0246645542128081,en,scrubs
hard,0.0240116689542338,en,scrubs
die,0.023794040534709,en,scrubs
boy,0.0236489549216925,en,scrubs
nurse,0.0235764139614041,en,scrubs
wrong,0.0232136980826429,en,scrubs
break,0.0231807780430145,en,scrubs
play,0.0229235268566099,en,scrubs
janitor,0.0227962888637543,en,scrubs
end,0.0227784412435933,en,scrubs
surgery,0.0227149480895518,en,scrubs
turn,0.0227058984370851,en,scrubs
guess,0.0226333556305768,en,scrubs
hate,0.0225226486979447,en,scrubs
today,0.0222706415980355,en,scrubs
change,0.0215452135329529,en,scrubs
ass,0.0214969113419105,en,scrubs
morning,0.0214001279199364,en,scrubs
check,0.0211824995004116,en,scrubs
