mot,poids_tfidf,langue,serie
iike,0.1441268034505046,en,sexandthecity
fuck,0.1008398749796779,en,sexandthecity
samantha,0.0952882529907851,en,sexandthecity
love,0.089974815267915,en,sexandthecity
carrie,0.0866707263626786,en,sexandthecity
sex,0.0831340734722886,en,sexandthecity
iove,0.0785194108796073,en,sexandthecity
big,0.0785142610311856,en,sexandthecity
night,0.0756504665685454,en,sexandthecity
miranda,0.0705160568688805,en,sexandthecity
talk,0.0684882922188606,en,sexandthecity
iittle,0.0624569324196065,en,sexandthecity
date,0.0620878422529642,en,sexandthecity
friend,0.0611022999207482,en,sexandthecity
great,0.0581926665911888,en,sexandthecity
work,0.051030492241504,en,sexandthecity
relationship,0.0489173507833934,en,sexandthecity
baby,0.0479873066497269,en,sexandthecity
meet,0.0467779512213786,en,sexandthecity
bad,0.0416301384075427,en,sexandthecity
charlotte,0.040983691171657,en,sexandthecity
sure,0.0391681409748386,en,sexandthecity
new,0.0389443230264109,en,sexandthecity
believe,0.0380490512327003,en,sexandthecity
iife,0.0377704052717202,en,sexandthecity
life,0.0373775973874174,en,sexandthecity
little,0.0362585076452791,en,sexandthecity
shit,0.0358537675206538,en,sexandthecity
happen,0.0355870537999962,en,sexandthecity
stop,0.0355870537999962,en,sexandthecity
trey,0.0355641573991777,en,sexandthecity
sleep,0.0340203281610026,en,sexandthecity
home,0.0329012384188644,en,sexandthecity
nice,0.0329012384188644,en,sexandthecity
later,0.0324886597370423,en,sexandthecity
single,0.0309494370204319,en,sexandthecity
dinner,0.0309494370204319,en,sexandthecity
old,0.0308868768830155,en,sexandthecity
break,0.0306837341960955,en,sexandthecity
girl,0.0297677871408773,en,sexandthecity
week,0.0295439691924497,en,sexandthecity
iook,0.0288253606901009,en,sexandthecity
fabulous,0.0282873387596455,en,sexandthecity
iong,0.0278064513948667,en,sexandthecity
hour,0.0275296076566008,en,sexandthecity
place,0.0273057897081732,en,sexandthecity
party,0.0268228454177076,en,sexandthecity
like,0.0264105179144626,en,sexandthecity
gay,0.0261661888177773,en,sexandthecity
ieave,0.0260064936429275,en,sexandthecity
fine,0.0257201889584918,en,sexandthecity
marry,0.0256250107841087,en,sexandthecity
help,0.0250676102238967,en,sexandthecity
bed,0.0250433418806368,en,sexandthecity
hear,0.0243961563786137,en,sexandthecity
kid,0.024301039438265,en,sexandthecity
fucking,0.0235053522896268,en,sexandthecity
win,0.0235008845849031,en,sexandthecity
long,0.0235008845849031,en,sexandthecity
book,0.0234250833408619,en,sexandthecity
miss,0.0232770666364755,en,sexandthecity
perfect,0.0230128006470716,en,sexandthecity
beautiful,0.0226962538149834,en,sexandthecity
morning,0.0226056127911925,en,sexandthecity
drink,0.0225615692618349,en,sexandthecity
city,0.0217792334588224,en,sexandthecity
problem,0.0217103409974819,en,sexandthecity
wear,0.0215499783697822,en,sexandthecity
apartment,0.021292506089992,en,sexandthecity
wrong,0.0212627051006266,en,sexandthecity
hard,0.0212627051006266,en,sexandthecity
hot,0.0208622131026615,en,sexandthecity
iast,0.0207794257849367,en,sexandthecity
start,0.0205912512553437,en,sexandthecity
walk,0.0205912512553437,en,sexandthecity
face,0.0205310280282698,en,sexandthecity
fun,0.0204685194240541,en,sexandthecity
run,0.020367433306916,en,sexandthecity
model,0.0202387851696649,en,sexandthecity
actually,0.0201436153584884,en,sexandthecity
idea,0.0201436153584884,en,sexandthecity
piease,0.0198840732730602,en,sexandthecity
hate,0.0196285652577964,en,sexandthecity
bring,0.0194721615132054,en,sexandthecity
column,0.0194184780990139,en,sexandthecity
cute,0.0192810953535127,en,sexandthecity
change,0.0192483435647778,en,sexandthecity
realize,0.0191559396770817,en,sexandthecity
skipper,0.0190693602464743,en,sexandthecity
house,0.0190245256163501,en,sexandthecity
decide,0.0189517181799413,en,sexandthecity
month,0.0188007076679225,en,sexandthecity
mother,0.0188007076679225,en,sexandthecity
dick,0.0187481340393822,en,sexandthecity
amazing,0.0184877777977205,en,sexandthecity
vogue,0.0183854945871397,en,sexandthecity
turn,0.0183530717710672,en,sexandthecity
boyfriend,0.0181329435104294,en,sexandthecity
buy,0.0181292538226395,en,sexandthecity
hampton,0.018068811268152,en,sexandthecity
second,0.0179054358742119,en,sexandthecity
eat,0.0179054358742119,en,sexandthecity
dress,0.0178468982053463,en,sexandthecity
pick,0.0176816179257842,en,sexandthecity
away,0.0176816179257842,en,sexandthecity
couple,0.0173724083316129,en,sexandthecity
spend,0.0171467926389945,en,sexandthecity
invite,0.0168379693465523,en,sexandthecity
remember,0.0167863461320736,en,sexandthecity
live,0.0167863461320736,en,sexandthecity
wonder,0.0163387102352183,en,sexandthecity
head,0.0163387102352183,en,sexandthecity
forget,0.0162443298685211,en,sexandthecity
real,0.0161148922867907,en,sexandthecity
stay,0.0161148922867907,en,sexandthecity
town,0.0160478562328165,en,sexandthecity
write,0.0159457083505339,en,sexandthecity
hand,0.015891074338363,en,sexandthecity
cab,0.0158422978197066,en,sexandthecity
room,0.0156672563899354,en,sexandthecity
ready,0.0156672563899354,en,sexandthecity
play,0.0156672563899354,en,sexandthecity
realise,0.0155043319008232,en,sexandthecity
happy,0.0154434384415077,en,sexandthecity
iet,0.0153557844594719,en,sexandthecity
iooke,0.0153383899298243,en,sexandthecity
word,0.0152196204930801,en,sexandthecity
mind,0.0152196204930801,en,sexandthecity
sexy,0.0150824406248738,en,sexandthecity
phone,0.0150213194606479,en,sexandthecity
hope,0.0149958025446525,en,sexandthecity
iadie,0.0149130549547952,en,sexandthecity
lady,0.014890635712811,en,sexandthecity
fall,0.0147719845962248,en,sexandthecity
iive,0.0145879952364983,en,sexandthecity
bar,0.0145558946233512,en,sexandthecity
late,0.0145481666477972,en,sexandthecity
married,0.0145234224740745,en,sexandthecity
pussy,0.0144691178159075,en,sexandthecity
tonight,0.0143279635968379,en,sexandthecity
ball,0.01432448408587,en,sexandthecity
guess,0.0143243486993695,en,sexandthecity
end,0.0143243486993695,en,sexandthecity
iate,0.0142641030236085,en,sexandthecity
stuff,0.014213788634956,en,sexandthecity
course,0.014213788634956,en,sexandthecity
shoe,0.0141920027349512,en,sexandthecity
person,0.0141005307509419,en,sexandthecity
wife,0.0141005307509419,en,sexandthecity
number,0.0139881729423376,en,sexandthecity
movie,0.0136883601909496,en,sexandthecity
job,0.0136528948540866,en,sexandthecity
exactly,0.0136528948540866,en,sexandthecity
kiss,0.0136014097300167,en,sexandthecity
coffee,0.0134928335592496,en,sexandthecity
sound,0.0134290769056589,en,sexandthecity
enjoy,0.0134036389033473,en,sexandthecity
orgasm,0.013395679581436,en,sexandthecity
open,0.0132052589572313,en,sexandthecity
free,0.0130857101718642,en,sexandthecity
world,0.0129814410088036,en,sexandthecity
hair,0.0129633956352343,en,sexandthecity
bullshit,0.0128495030641389,en,sexandthecity
pretty,0.0126344787866275,en,sexandthecity
shower,0.0125702746796338,en,sexandthecity
move,0.0125338051119483,en,sexandthecity
sit,0.0125338051119483,en,sexandthecity
hell,0.0125338051119483,en,sexandthecity
question,0.0125338051119483,en,sexandthecity
ass,0.0124792500134613,en,sexandthecity
close,0.0123099871635207,en,sexandthecity
door,0.0123099871635207,en,sexandthecity
boy,0.0123099871635207,en,sexandthecity
different,0.0123099871635207,en,sexandthecity
funny,0.0121832474013908,en,sexandthecity
birthday,0.0121714278357677,en,sexandthecity
suddenly,0.0121240124538492,en,sexandthecity
case,0.012086169215093,en,sexandthecity
honey,0.0119762080062192,en,sexandthecity
blow,0.0119576317087725,en,sexandthecity
plan,0.0119576317087725,en,sexandthecity
watch,0.0118623512666654,en,sexandthecity
girlfriend,0.0118275350625422,en,sexandthecity
gorgeous,0.0117925424463439,en,sexandthecity
penis,0.0117645277011289,en,sexandthecity
vibrator,0.0116863923274852,en,sexandthecity
laney,0.0116445128239944,en,sexandthecity
suppose,0.0116385333182377,en,sexandthecity
threesome,0.0114922510094159,en,sexandthecity
marriage,0.0114513014301642,en,sexandthecity
understand,0.0114147153698101,en,sexandthecity
deal,0.0112807846309174,en,sexandthecity
game,0.0112807846309174,en,sexandthecity
point,0.0111908974213824,en,sexandthecity
care,0.0111908974213824,en,sexandthecity
die,0.0111908974213824,en,sexandthecity
jazz,0.0111514067651737,en,sexandthecity
totally,0.0111256697769251,en,sexandthecity
moment,0.0110551689382991,en,sexandthecity
goodnight,0.0110533580634138,en,sexandthecity
straight,0.0109670794729548,en,sexandthecity
ieft,0.0109078434886418,en,sexandthecity
throw,0.0108295532456807,en,sexandthecity
figure,0.0108295532456807,en,sexandthecity
money,0.0107432615245271,en,sexandthecity
heart,0.0106039375530624,en,sexandthecity
table,0.0105457340958508,en,sexandthecity
today,0.0105194435760995,en,sexandthecity
stanford,0.0105127027219859,en,sexandthecity
asshole,0.0104655796021235,en,sexandthecity
hang,0.010378321860444,en,sexandthecity
sweet,0.010378321860444,en,sexandthecity
uptown,0.0103546933300168,en,sexandthecity
read,0.0102956256276718,en,sexandthecity
check,0.0102956256276718,en,sexandthecity
hobbe,0.0102585775744617,en,sexandthecity
lsn,0.0102255932865495,en,sexandthecity
dog,0.0101682777887462,en,sexandthecity
wedding,0.0101680742597548,en,sexandthecity
restaurant,0.010151536212855,en,sexandthecity
feeling,0.0100872239177704,en,sexandthecity
fake,0.0100218351398023,en,sexandthecity
cosmopolitan,0.0099812598986567,en,sexandthecity
afternoon,0.0099420878857629,en,sexandthecity
pay,0.0099270904752073,en,sexandthecity
weekend,0.0099244612394757,en,sexandthecity
pregnant,0.0098274938949286,en,sexandthecity
lunch,0.0097834701566786,en,sexandthecity
order,0.0097794037248258,en,sexandthecity
iot,0.0097524351160978,en,sexandthecity
tomorrow,0.009701474782589,en,sexandthecity
ovary,0.0096432214521546,en,sexandthecity
stand,0.0096241717823889,en,sexandthecity
hit,0.0096241717823889,en,sexandthecity
answer,0.0096241717823889,en,sexandthecity
crazy,0.0095519757312252,en,sexandthecity
send,0.0094758590899706,en,sexandthecity
sign,0.0094003538339612,en,sexandthecity
huge,0.009381154350222,en,sexandthecity
steve,0.0093740670196911,en,sexandthecity
shitty,0.0093459368628372,en,sexandthecity
smoke,0.0092319387510655,en,sexandthecity
true,0.0091765358855336,en,sexandthecity
easy,0.0091765358855336,en,sexandthecity
begin,0.009097119744024,en,sexandthecity
husband,0.0090246277047339,en,sexandthecity
hurt,0.0090246277047339,en,sexandthecity
soul,0.0088706512969066,en,sexandthecity
ride,0.0088522764526921,en,sexandthecity
soon,0.0087990120121156,en,sexandthecity
summer,0.0087641342515966,en,sexandthecity
catch,0.0087288999886783,en,sexandthecity
afraid,0.0087288999886783,en,sexandthecity
divorce,0.0086891013647975,en,sexandthecity
bathroom,0.0086520944139019,en,sexandthecity
lesbian,0.0085589307571092,en,sexandthecity
ago,0.0085050820402506,en,sexandthecity
iisten,0.008498341186137,en,sexandthecity
bachelor,0.0083910494497441,en,sexandthecity
brady,0.0083910181145472,en,sexandthecity
stork,0.0083906488374167,en,sexandthecity
monogamy,0.0083804517987108,en,sexandthecity
cheat,0.0083492082030551,en,sexandthecity
street,0.0083477806268789,en,sexandthecity
business,0.0083477806268789,en,sexandthecity
pull,0.0083477806268789,en,sexandthecity
ring,0.0083195000089742,en,sexandthecity
gallery,0.0082818323071557,en,sexandthecity
use,0.008281264091823,en,sexandthecity
chance,0.008281264091823,en,sexandthecity
freak,0.0082443284686174,en,sexandthecity
cry,0.0082189662787779,en,sexandthecity
early,0.0081874077696216,en,sexandthecity
surprise,0.0081874077696216,en,sexandthecity
high,0.0081874077696216,en,sexandthecity
tit,0.0081484830497185,en,sexandthecity
join,0.0081221649342605,en,sexandthecity
eye,0.0080574461433953,en,sexandthecity
iovely,0.0080453971049504,en,sexandthecity
bunny,0.0079947020479638,en,sexandthecity
star,0.0079841386708128,en,sexandthecity
breast,0.0079742305340998,en,sexandthecity
cover,0.007959979776021,en,sexandthecity
finally,0.007959979776021,en,sexandthecity
iater,0.0079536293092241,en,sexandthecity
picture,0.0078965492416422,en,sexandthecity
bitsy,0.0078912135188167,en,sexandthecity
truth,0.0078336281949677,en,sexandthecity
drive,0.0078336281949677,en,sexandthecity
lose,0.0078336281949677,en,sexandthecity
special,0.0078336281949677,en,sexandthecity
club,0.0077493110628477,en,sexandthecity
half,0.0077325517824204,en,sexandthecity
downtown,0.0077309194234342,en,sexandthecity
vagina,0.0077114797068278,en,sexandthecity
cat,0.0077002910797714,en,sexandthecity
dance,0.0076973574155667,en,sexandthecity
child,0.0076709335490238,en,sexandthecity
worry,0.0076709335490238,en,sexandthecity
fact,0.0076709335490238,en,sexandthecity
fast,0.00760981024654,en,sexandthecity
family,0.00760981024654,en,sexandthecity
matter,0.00760981024654,en,sexandthecity
lie,0.00760981024654,en,sexandthecity
nipple,0.0076085635344215,en,sexandthecity
yorker,0.007607790863644,en,sexandthecity
sexual,0.0075756275356756,en,sexandthecity
dream,0.0075051237888198,en,sexandthecity
fantastic,0.0074800793147352,en,sexandthecity
firm,0.0074778679613552,en,sexandthecity
martini,0.0074729708801533,en,sexandthecity
young,0.0074453178564055,en,sexandthecity
wake,0.0074453178564055,en,sexandthecity
iist,0.00741014452436,en,sexandthecity
small,0.0073859922981124,en,sexandthecity
probably,0.0073859922981124,en,sexandthecity
speak,0.0073859922981124,en,sexandthecity
fashion,0.0073804404010555,en,sexandthecity
sweetie,0.0073595582435145,en,sexandthecity
purse,0.0073105945234247,en,sexandthecity
weird,0.0072796558469175,en,sexandthecity
magazine,0.007250102596848,en,sexandthecity
wonderful,0.0072162725770938,en,sexandthecity
connecticut,0.0072130582361578,en,sexandthecity
clear,0.0071621743496847,en,sexandthecity
line,0.0071621743496847,en,sexandthecity
guest,0.0071458024336192,en,sexandthecity
evening,0.0071458024336192,en,sexandthecity
tired,0.0070502678016186,en,sexandthecity
key,0.0069940864711688,en,sexandthecity
lif,0.006959425645571,en,sexandthecity
berger,0.006959425645571,en,sexandthecity
expect,0.0069383564012571,en,sexandthecity
fight,0.0069383564012571,en,sexandthecity
food,0.0069383564012571,en,sexandthecity
age,0.0069329166741452,en,sexandthecity
class,0.0069200154766751,en,sexandthecity
richard,0.0069190896411283,en,sexandthecity
iesbian,0.006896054661386,en,sexandthecity
modelizer,0.006896054661386,en,sexandthecity
taddy,0.006896054661386,en,sexandthecity
apparently,0.006877652671207,en,sexandthecity
writer,0.0068415136450417,en,sexandthecity
cake,0.0068338755118349,en,sexandthecity
piece,0.006822839808018,en,sexandthecity
choice,0.006822839808018,en,sexandthecity
body,0.0067684707785504,en,sexandthecity
consider,0.0067684707785504,en,sexandthecity
thought,0.006755684661265,en,sexandthecity
mate,0.0067257469615507,en,sexandthecity
dead,0.0067145384528294,en,sexandthecity
important,0.0067145384528294,en,sexandthecity
doctor,0.0067018194516736,en,sexandthecity
marcus,0.006697839790718,en,sexandthecity
card,0.0066813942533415,en,sexandthecity
wine,0.0066699416667444,en,sexandthecity
fear,0.0066483975821668,en,sexandthecity
aii,0.006609820922551,en,sexandthecity
power,0.0065954118144174,en,sexandthecity
push,0.0065954118144174,en,sexandthecity
water,0.0065954118144174,en,sexandthecity
cocktail,0.0065874318397878,en,sexandthecity
favourite,0.006550931486556,en,sexandthecity
shop,0.0065469667250785,en,sexandthecity
show,0.0065428550859321,en,sexandthecity
cut,0.0065428550859321,en,sexandthecity
far,0.0064907205044018,en,sexandthecity
seriously,0.0064707222292021,en,sexandthecity
pattern,0.0064639031249459,en,sexandthecity
discover,0.0064583086475502,en,sexandthecity
napa,0.0064546293188825,en,sexandthecity
cool,0.0064191424931266,en,sexandthecity
bitch,0.0063913422122761,en,sexandthecity
father,0.0063679838208168,en,sexandthecity
return,0.0063679838208168,en,sexandthecity
iine,0.0063515524494515,en,sexandthecity
cranwell,0.0063515524494515,en,sexandthecity
bobbo,0.0063515524494515,en,sexandthecity
lay,0.0063403454150572,en,sexandthecity
message,0.0063172393933137,en,sexandthecity
wish,0.0063172393933137,en,sexandthecity
brunch,0.0062986348347094,en,sexandthecity
normal,0.0062897753742812,en,sexandthecity
gift,0.006254102900148,en,sexandthecity
pete,0.0062349420064177,en,sexandthecity
romantic,0.0061727335475875,en,sexandthecity
egg,0.006156869230841,en,sexandthecity
park,0.0061546258340437,en,sexandthecity
type,0.0061546258340437,en,sexandthecity
affirmation,0.0061423137837887,en,sexandthecity
absolutely,0.0061405558272162,en,sexandthecity
relax,0.0061055178070921,en,sexandthecity
self,0.0061055178070921,en,sexandthecity
parent,0.0061055178070921,en,sexandthecity
sell,0.0060916237006954,en,sexandthecity
magda,0.006082661242627,en,sexandthecity
meeting,0.0060568207307893,en,sexandthecity
train,0.0060568207307893,en,sexandthecity
shrink,0.0060453888828709,en,sexandthecity
kill,0.0060430846075465,en,sexandthecity
mistake,0.0060430846075465,en,sexandthecity
designer,0.0060347729432861,en,sexandthecity
fat,0.0060135604809115,en,sexandthecity
fresh,0.0060135604809115,en,sexandthecity
aidan,0.005965221981918,en,sexandthecity
macdougal,0.005965221981918,en,sexandthecity
ald,0.005965221981918,en,sexandthecity
certain,0.0059179094558112,en,sexandthecity
bag,0.0059131278336156,en,sexandthecity
light,0.0059131278336156,en,sexandthecity
country,0.005870690199127,en,sexandthecity
smart,0.005866008008077,en,sexandthecity
church,0.0058528873976395,en,sexandthecity
bus,0.005829629976144,en,sexandthecity
bedroom,0.005829629976144,en,sexandthecity
drunk,0.0058195259778476,en,sexandthecity
reason,0.0058192666591188,en,sexandthecity
secret,0.0057774305617876,en,sexandthecity
gal,0.0057659080342735,en,sexandthecity
editor,0.0057634499700826,en,sexandthecity
fantasy,0.0057489910860407,en,sexandthecity
suffern,0.0057467122178217,en,sexandthecity
iady,0.0057467122178217,en,sexandthecity
aparment,0.0057467122178217,en,sexandthecity
carry,0.0057313772260059,en,sexandthecity
bride,0.0057272105206145,en,sexandthecity
suit,0.005726909360007,en,sexandthecity
introduce,0.005726909360007,en,sexandthecity
weight,0.0057131191882175,en,sexandthecity
stick,0.005685699840015,en,sexandthecity
iight,0.005665560790758,en,sexandthecity
friendship,0.005657963507038,en,sexandthecity
shut,0.0056403923154587,en,sexandthecity
touch,0.0056403923154587,en,sexandthecity
situation,0.0056358625911619,en,sexandthecity
possible,0.0055954487106912,en,sexandthecity
cock,0.0055940329664961,en,sexandthecity
yankee,0.0055867404626691,en,sexandthecity
avenue,0.0055395367880691,en,sexandthecity
tantric,0.0055238494631716,en,sexandthecity
size,0.0055088843867179,en,sexandthecity
underwear,0.0055029852065102,en,sexandthecity
pass,0.0055021221369656,en,sexandthecity
sperm,0.005490139957811,en,sexandthecity
set,0.0054582718464144,en,sexandthecity
buddy,0.0054209535703318,en,sexandthecity
gille,0.0054207197699834,en,sexandthecity
follow,0.0054147766228403,en,sexandthecity
mention,0.0054147766228403,en,sexandthecity
fit,0.0054010349831969,en,sexandthecity
partner,0.0053775700750159,en,sexandthecity
likey,0.0053745245608151,en,sexandthecity
rule,0.0053716307622635,en,sexandthecity
learn,0.0053716307622635,en,sexandthecity
drop,0.0053716307622635,en,sexandthecity
pain,0.0053579568003136,en,sexandthecity
list,0.0053579568003136,en,sexandthecity
watcher,0.0053385816165711,en,sexandthecity
past,0.0053152361168446,en,sexandthecity
separate,0.0053010163789712,en,sexandthecity
style,0.0052996636146763,en,sexandthecity
ieg,0.0052929603745429,en,sexandthecity
amily,0.0052929603745429,en,sexandthecity
shayla,0.0052929603745429,en,sexandthecity
iay,0.0052929603745429,en,sexandthecity
iift,0.0052929603745429,en,sexandthecity
stephan,0.0052929603745429,en,sexandthecity
one,0.0052728670479254,en,sexandthecity
masturbate,0.0052605131714411,en,sexandthecity
wild,0.005258480550958,en,sexandthecity
maria,0.0052563513609929,en,sexandthecity
condom,0.0052459584626224,en,sexandthecity
entire,0.0052308438528138,en,sexandthecity
paper,0.0052308438528138,en,sexandthecity
iose,0.0052137096365375,en,sexandthecity
danny,0.0052092987991121,en,sexandthecity
neck,0.0052077603211139,en,sexandthecity
art,0.0052077603211139,en,sexandthecity
finish,0.005189160930222,en,sexandthecity
act,0.005189160930222,en,sexandthecity
smell,0.005189160930222,en,sexandthecity
vineyard,0.0051773466650084,en,sexandthecity
future,0.0051662073752318,en,sexandthecity
red,0.0051662073752318,en,sexandthecity
chanel,0.005163703455106,en,sexandthecity
adorable,0.0051629909031872,en,sexandthecity
able,0.0051478128138359,en,sexandthecity
window,0.0051250021568217,en,sexandthecity
public,0.0051250021568217,en,sexandthecity
outfit,0.0050973452793966,en,sexandthecity
flower,0.0050920852306166,en,sexandthecity
celebrate,0.0050894673022952,en,sexandthecity
handle,0.0050841388943731,en,sexandthecity
obsess,0.0050548319307069,en,sexandthecity
comfortable,0.0050485870275916,en,sexandthecity
visit,0.0050436119588852,en,sexandthecity
kick,0.0050436119588852,en,sexandthecity
cheese,0.0050090977582586,en,sexandthecity
definitely,0.0050034158592132,en,sexandthecity
involve,0.0050034158592132,en,sexandthecity
share,0.0050034158592132,en,sexandthecity
bungalow,0.0049966897832477,en,sexandthecity
dominic,0.0049966897832477,en,sexandthecity
marathon,0.0049773001812468,en,sexandthecity
block,0.0049710439428814,en,sexandthecity
caste,0.004971018318265,en,sexandthecity
baptise,0.004971018318265,en,sexandthecity
view,0.0049679297288847,en,sexandthecity
busy,0.0049635452376036,en,sexandthecity
evidently,0.00496292984327,en,sexandthecity
jeremy,0.00496292984327,en,sexandthecity
hooker,0.0049502842829379,en,sexandthecity
dancer,0.0049502842829379,en,sexandthecity
experience,0.0049313797672667,en,sexandthecity
admit,0.0049313797672667,en,sexandthecity
chocolate,0.0049300697658566,en,sexandthecity
muffin,0.0049032530164199,en,sexandthecity
box,0.0048920475133298,en,sexandthecity
beer,0.0048887000681962,en,sexandthecity
madeline,0.0048762175580489,en,sexandthecity
hotel,0.0048741881410825,en,sexandthecity
completely,0.0048530416719016,en,sexandthecity
fetish,0.0048451037190072,en,sexandthecity
promise,0.0048143568698449,en,sexandthecity
judge,0.0048108483847292,en,sexandthecity
pink,0.0047975014394321,en,sexandthecity
agree,0.0047759878656126,en,sexandthecity
damn,0.0047759878656126,en,sexandthecity
opening,0.0047698395594994,en,sexandthecity
engage,0.0047698395594994,en,sexandthecity
naked,0.0047696972532087,en,sexandthecity
sean,0.0047676418757383,en,sexandthecity
publicist,0.004759085915271,en,sexandthecity
interesting,0.0047379295449853,en,sexandthecity
taxi,0.0047340984816051,en,sexandthecity
ghost,0.0047311445851164,en,sexandthecity
fart,0.0047179028621889,en,sexandthecity
clean,0.0047001769169806,en,sexandthecity
rent,0.0046929573506561,en,sexandthecity
mood,0.0046929573506561,en,sexandthecity
javier,0.0046925005774582,en,sexandthecity
officially,0.0046921857392697,en,sexandthecity
dessert,0.0046516344782249,en,sexandthecity
breakfast,0.0046442650647864,en,sexandthecity
quick,0.0046219444494301,en,sexandthecity
sheet,0.0046160851000486,en,sexandthecity
roll,0.0046071247324626,en,sexandthecity
leslie,0.0046020859244519,en,sexandthecity
iazy,0.0045973697742573,en,sexandthecity
tartini,0.0045973697742573,en,sexandthecity
iand,0.0045973697742573,en,sexandthecity
birkin,0.0045973697742573,en,sexandthecity
kakutani,0.0045973697742573,en,sexandthecity
casual,0.0045966925484424,en,sexandthecity
personal,0.0045851017808047,en,sexandthecity
