mot,poids_tfidf,langue,serie
taire,0.2270355813652911,fr,sexandthecity
miranda,0.1800011966852136,fr,sexandthecity
charlotte,0.1428836863490143,fr,sexandthecity
carrie,0.1272372546476136,fr,sexandthecity
tre,0.1108907041747646,fr,sexandthecity
bradshaw,0.0846406738021111,fr,sexandthecity
aidan,0.0811541910130895,fr,sexandthecity
mme,0.0670598398064349,fr,sexandthecity
samantha,0.0622677501569846,fr,sexandthecity
trey,0.0581080064972898,fr,sexandthecity
petit,0.0554453520873823,fr,sexandthecity
heure,0.0551688166655001,fr,sexandthecity
aimer,0.0544774781107945,fr,sexandthecity
soir,0.0512945240687112,fr,sexandthecity
apr,0.0499146436497381,fr,sexandthecity
ici,0.0481171634075038,fr,sexandthecity
trs,0.0467344862980928,fr,sexandthecity
mec,0.0439073557405161,fr,sexandthecity
steve,0.0427673313097326,fr,sexandthecity
appeler,0.0417568487042131,fr,sexandthecity
sexe,0.0415212902704482,fr,sexandthecity
regarder,0.0396828330400965,fr,sexandthecity
ami,0.0391297621963321,fr,sexandthecity
besoin,0.0380236205088033,fr,sexandthecity
relation,0.0358459655161447,fr,sexandthecity
dsole,0.0351255980035739,fr,sexandthecity
dieu,0.0348434631571579,fr,sexandthecity
fille,0.0342903923133935,fr,sexandthecity
amour,0.0337011503856605,fr,sexandthecity
problme,0.033599053758688,fr,sexandthecity
sortir,0.0331842506258647,fr,sexandthecity
brady,0.0323379475953401,fr,sexandthecity
big,0.0321518005009426,fr,sexandthecity
accord,0.0312485026726892,fr,sexandthecity
charlott,0.030976131406385,fr,sexandthecity
mal,0.030971967250807,fr,sexandthecity
tard,0.0309439791936247,fr,sexandthecity
nuit,0.0308336995398659,fr,sexandthecity
amie,0.0304919754591436,fr,sexandthecity
peur,0.0304188964070426,fr,sexandthecity
voil,0.0304188964070426,fr,sexandthecity
quelqu,0.0297275578523371,fr,sexandthecity
grand,0.0294510224304549,fr,sexandthecity
tai,0.0284350079076551,fr,sexandthecity
semaine,0.0268239359225739,fr,sexandthecity
lit,0.0266980430287432,fr,sexandthecity
mariage,0.0264128166961066,fr,sexandthecity
soire,0.0262530374845939,fr,sexandthecity
veux,0.0259943296569273,fr,sexandthecity
mieux,0.0257177942350451,fr,sexandthecity
salut,0.0250264556803396,fr,sexandthecity
vrai,0.0250264556803396,fr,sexandthecity
attendre,0.0250264556803396,fr,sexandthecity
finir,0.0247499202584574,fr,sexandthecity
sentir,0.0244733848365752,fr,sexandthecity
clibataire,0.0240797551718659,fr,sexandthecity
aime,0.0237820462818697,fr,sexandthecity
adorer,0.0235145686838996,fr,sexandthecity
bonjour,0.0235055108599875,fr,sexandthecity
air,0.0232289754381053,fr,sexandthecity
ville,0.0231851426302244,fr,sexandthecity
nouveau,0.0229524400162231,fr,sexandthecity
coup,0.022859516161056,fr,sexandthecity
dner,0.0224944318016293,fr,sexandthecity
super,0.0216730663170882,fr,sexandthecity
plat,0.0216050305180713,fr,sexandthecity
mari,0.0214656432244063,fr,sexandthecity
