mot,poids_tfidf,langue,serie
sid,0.1496074096232546,fr,skins
putain,0.1319564717106992,fr,skins
effy,0.129616953986282,fr,skins
jal,0.127039626544732,fr,skins
taire,0.0980886678011953,fr,skins
tony,0.0818028425806223,fr,skins
maxxie,0.0777701723917692,fr,skins
cook,0.0767222757019074,fr,skins
aimer,0.0748305300751387,fr,skins
tre,0.0744934556153408,fr,skins
freddie,0.0723292639325428,fr,skins
merde,0.0712515369460565,fr,skins
cassie,0.0664302631077491,fr,skins
ici,0.0616846261430197,fr,skins
michell,0.0611112577345533,fr,skins
mme,0.0559543603264551,fr,skins
petit,0.0559543603264551,fr,skins
tone,0.0502427406485497,fr,skins
fille,0.0455050520727195,fr,skins
vien,0.0441567542335278,fr,skins
veux,0.0441567542335278,fr,skins
voil,0.0404489351757506,fr,skins
salut,0.0397747862561548,fr,skins
regarder,0.0397747862561548,fr,skins
dsol,0.0384264884169631,fr,skins
accord,0.0377523394973672,fr,skins
bite,0.0366405019824936,fr,skins
mec,0.0357966750746995,fr,skins
naomi,0.0348974311063553,fr,skins
besoin,0.034381594899388,fr,skins
ami,0.0340445204395901,fr,skins
aime,0.0333703715199943,fr,skins
bufgelfly,0.0328362950098581,fr,skins
arrte,0.0326962226003984,fr,skins
laisse,0.0320220736808026,fr,skins
super,0.0317703376566149,fr,skins
sortir,0.0316849992210047,fr,skins
plat,0.0305823440306657,fr,skins
branleur,0.0305335224525761,fr,skins
mieux,0.030336701381813,fr,skins
quelqu,0.0296625524622171,fr,skins
tai,0.0295629325629768,fr,skins
emily,0.0293717266693901,fr,skins
cool,0.0292333384887832,fr,skins
mal,0.0289884035426213,fr,skins
appeler,0.0286513290828233,fr,skins
pre,0.0279771801632275,fr,skins
air,0.0279771801632275,fr,skins
stonem,0.0276516168504068,fr,skins
soir,0.0275241096275991,fr,skins
chier,0.027150938397463,fr,skins
problme,0.0262918078642379,fr,skins
chri,0.0261554464238771,fr,skins
heure,0.02595473340444,fr,skins
nathbot,0.025800326278985,fr,skins
papa,0.025617658944642,fr,skins
apr,0.025617658944642,fr,skins
baiser,0.025346233324736,fr,skins
angie,0.0251600168818384,fr,skins
bonjour,0.0249435100250462,fr,skins
