mot,poids_tfidf,langue,serie
lana,0.3176838033808315,en,smallville
lex,0.2972698618456629,en,smallville
clark,0.2094831383370025,en,smallville
chloe,0.1762276646837172,en,smallville
smallville,0.1139828316078978,en,smallville
luthor,0.0758181764805897,en,smallville
lois,0.0719148522740643,en,smallville
help,0.0629804889679648,en,smallville
happen,0.0601037918470163,en,smallville
metropolis,0.0597359575186805,en,smallville
life,0.0549257370293091,en,smallville
meteor,0.0547911110502704,en,smallville
talk,0.0498627500964398,en,smallville
dad,0.0486013505997801,en,smallville
lionel,0.0460623682282995,en,smallville
sure,0.0446079833555073,en,smallville
little,0.0435723723919659,en,smallville
friend,0.0401586918084404,en,smallville
work,0.0398134881539266,en,smallville
father,0.0394812896211525,en,smallville
believe,0.0367833671865275,en,smallville
kill,0.0354792644916976,en,smallville
son,0.0351456153432766,en,smallville
guess,0.0329861269868756,en,smallville
stop,0.0318354481384962,en,smallville
love,0.0316820242920456,en,smallville
mom,0.0315381654892591,en,smallville
hear,0.0314902444839824,en,smallville
kryptonian,0.0313843187661344,en,smallville
save,0.0312217527526938,en,smallville
win,0.0291888867872236,en,smallville
away,0.0291121748639983,en,smallville
night,0.0279231400540063,en,smallville
kent,0.0268819096359921,en,smallville
world,0.0261971217814372,en,smallville
start,0.0260436979349866,en,smallville
whitney,0.0258214205478931,en,smallville
run,0.0255450704340222,en,smallville
long,0.0252382227411211,en,smallville
pete,0.0250152319245694,en,smallville
secret,0.0249897579601971,en,smallville
trust,0.0248609798302826,en,smallville
understand,0.0243943915856428,en,smallville
great,0.024049187931129,en,smallville
remember,0.0235889163917773,en,smallville
stay,0.0232820686988761,en,smallville
hurt,0.0231597619258775,en,smallville
lose,0.02232316965856,en,smallville
home,0.0220930338888841,en,smallville
hope,0.0219396100424335,en,smallville
actually,0.0216327623495323,en,smallville
story,0.0214198799781906,en,smallville
power,0.0213580915225978,en,smallville
bad,0.0209423550405047,en,smallville
miss,0.0208656431172794,en,smallville
die,0.0207505752324415,en,smallville
wrong,0.0207505752324415,en,smallville
meet,0.0205971513859909,en,smallville
place,0.0204820835011529,en,smallville
turn,0.0200985238850265,en,smallville
talon,0.0198669975970277,en,smallville
change,0.0194848284992242,en,smallville
fine,0.0193706856842481,en,smallville
girl,0.0193697606143862,en,smallville
planet,0.0193017112262277,en,smallville
care,0.0192546927295483,en,smallville
big,0.0191773654678385,en,smallville
oliver,0.0190283791523514,en,smallville
new,0.0189478450366471,en,smallville
bring,0.0187560652285839,en,smallville
hand,0.0186793533053586,en,smallville
kara,0.0184713764482655,en,smallville
live,0.0182190817660068,en,smallville
check,0.0179505900347183,en,smallville
worry,0.017746795866407,en,smallville
tess,0.0173123451770598,en,smallville
lie,0.0171451148408527,en,smallville
family,0.0170300469560148,en,smallville
exactly,0.0167999111863389,en,smallville
close,0.0167615552247263,en,smallville
play,0.016684843301501,en,smallville
jimmy,0.0166342356514852,en,smallville
idea,0.0165314194550504,en,smallville
truth,0.0163012836853745,en,smallville
protect,0.0162258329840686,en,smallville
hard,0.0162245717621492,en,smallville
break,0.0160455779620019,en,smallville
sound,0.016032791954086,en,smallville
like,0.0159560800308607,en,smallville
