mot,poids_tfidf,langue,serie
clark,0.3651913887432633,fr,smallville
taire,0.1638963801509715,fr,smallville
chlo,0.1636885462810736,fr,smallville
luthor,0.1562423851172604,fr,smallville
smallville,0.1413288175652383,fr,smallville
tre,0.1263171468424777,fr,smallville
lex,0.1147767839714906,fr,smallville
lana,0.1055784805775819,fr,smallville
kent,0.0979932714623198,fr,smallville
ici,0.0894451763942442,fr,smallville
mme,0.0797792506373543,fr,smallville
pre,0.0566281796781693,fr,smallville
jor,0.0520575082451839,fr,smallville
mtorite,0.0516893177332386,fr,smallville
luthorcorp,0.0502837466574641,fr,smallville
loi,0.0492878617386752,fr,smallville
besoin,0.0478581202109424,fr,smallville
quelqu,0.0445575601963947,fr,smallville
apr,0.0415870561833017,fr,smallville
pass,0.0401725304627812,fr,smallville
metropolis,0.0389147981296709,fr,smallville
heure,0.0379092893099485,fr,smallville
ami,0.0370605738776362,fr,smallville
aider,0.0364004618747267,fr,smallville
chloe,0.0359585786023567,fr,smallville
petit,0.0354102938703623,fr,smallville
oliver,0.0341871047422191,fr,smallville
trs,0.0336657121483871,fr,smallville
sortir,0.0331942035748803,fr,smallville
aimer,0.0329584492881269,fr,smallville
zod,0.032281459407423,fr,smallville
planet,0.0311641014553758,fr,smallville
mal,0.0307423589926448,fr,smallville
dsol,0.0306480572779434,fr,smallville
ouai,0.030577463752948,fr,smallville
fils,0.0299879452750339,fr,smallville
raison,0.0298936435603325,fr,smallville
tai,0.0295653069037959,fr,smallville
mtropolis,0.0294933514048587,fr,smallville
trouv,0.0294221349868257,fr,smallville
kryptonien,0.0291646288439477,fr,smallville
secret,0.0285969329253479,fr,smallville
appeler,0.0282905144104093,fr,smallville
veux,0.0281962126957079,fr,smallville
grand,0.0276775532648504,fr,smallville
mieux,0.0273946481207463,fr,smallville
mourir,0.0271117429766422,fr,smallville
tuer,0.0267345361178368,fr,smallville
attendre,0.0256500663987711,fr,smallville
sai,0.0256029155414204,fr,smallville
essayer,0.0253200103973163,fr,smallville
metropoli,0.0247120137532686,fr,smallville
perdre,0.0246598983944068,fr,smallville
lang,0.024175857893888,fr,smallville
ecoute,0.0241748338991995,fr,smallville
pete,0.0232338110675439,fr,smallville
aide,0.0228210149577302,fr,smallville
regarder,0.0224909589562754,fr,smallville
brainiac,0.0224857062079291,fr,smallville
papa,0.022255204669522,fr,smallville
problme,0.0220666012401192,fr,smallville
chance,0.0218779978107165,fr,smallville
kara,0.0218313494125455,fr,smallville
fille,0.0215479418092617,fr,smallville
confiance,0.0214536400945604,fr,smallville
laisse,0.021217885807807,fr,smallville
souvenir,0.0211235840931056,fr,smallville
soir,0.0208668323645762,fr,smallville
doi,0.0208192997168209,fr,smallville
sauver,0.0196147566578838,fr,smallville
accord,0.0196147566578838,fr,smallville
devenir,0.0195676058005331,fr,smallville
meilleur,0.0194733040858317,fr,smallville
arriv,0.0193790023711304,fr,smallville
retrouver,0.0192031896931407,fr,smallville
dieu,0.0191903989417276,fr,smallville
air,0.0191432480843769,fr,smallville
dernire,0.0189546446549742,fr,smallville
revenir,0.0186717395108701,fr,smallville
nouveau,0.0186245886535194,fr,smallville
arrter,0.0185302869388181,fr,smallville
peur,0.0184359852241167,fr,smallville
main,0.0181530800800126,fr,smallville
vaisseau,0.0177927550586783,fr,smallville
fait,0.0177287223638565,fr,smallville
travailler,0.0175872697918044,fr,smallville
vrit,0.0175349436687521,fr,smallville
partie,0.0174929680771031,fr,smallville
mort,0.017351515505051,fr,smallville
chercher,0.017351515505051,fr,smallville
coup,0.0172543511351735,fr,smallville
supposer,0.0170586495268689,fr,smallville
nom,0.0170214595035962,fr,smallville
famille,0.0170214595035962,fr,smallville
kryptonite,0.0164718033993533,fr,smallville
sentir,0.0164556492153881,fr,smallville
finir,0.0164556492153881,fr,smallville
police,0.0163641436834908,fr,smallville
swann,0.0163071712575275,fr,smallville
vrai,0.016172744071284,fr,smallville
ferme,0.0161002984298538,fr,smallville
parent,0.0160699854510238,fr,smallville
jonathan,0.0160325811973809,fr,smallville
dsole,0.0160185022935357,fr,smallville
pler,0.0159737281346014,fr,smallville
attend,0.0159709696457804,fr,smallville
scurit,0.0158127931007492,fr,smallville
voiture,0.0157871172115126,fr,smallville
hro,0.0157424642177274,fr,smallville
apprendre,0.0156069337830758,fr,smallville
appel,0.0155597829257251,fr,smallville
recherche,0.0155431758159827,fr,smallville
salut,0.0154654812110237,fr,smallville
endroit,0.0153055125772062,fr,smallville
tard,0.0150203166906744,fr,smallville
parl,0.0148996709228155,fr,smallville
comprend,0.0148525200654649,fr,smallville
synchronisé,0.0148192634125714,fr,smallville
nuit,0.0148053692081142,fr,smallville
ville,0.0147586068940326,fr,smallville
docteur,0.0147551684595764,fr,smallville
article,0.014645752959881,fr,smallville
travail,0.0146167657787115,fr,smallville
essay,0.0145696149213608,fr,smallville
oeil,0.014381011491958,fr,smallville
protger,0.014201855202791,fr,smallville
affaire,0.0141924080625553,fr,smallville
sullivan,0.0141690050348387,fr,smallville
pense,0.0141452572052046,fr,smallville
question,0.0140509554905033,fr,smallville
hpital,0.0140192816312833,fr,smallville
traduction,0.0139223310280987,fr,smallville
propos,0.0139095029184512,fr,smallville
porte,0.0139095029184512,fr,smallville
garder,0.0138623520611005,fr,smallville
anne,0.0138623520611005,fr,smallville
donne,0.0137208994890485,fr,smallville
super,0.0137187989033763,fr,smallville
faon,0.0134379943449444,fr,smallville
changer,0.0134042066669943,fr,smallville
humain,0.0133806594937861,fr,smallville
vien,0.013343692630243,fr,smallville
jouer,0.0132616087237284,fr,smallville
minute,0.0132616087237284,fr,smallville
maison,0.0132493909155417,fr,smallville
vite,0.0129193349140869,fr,smallville
point,0.0128250331993855,fr,smallville
donn,0.0127778823420348,fr,smallville
dernier,0.0127778823420348,fr,smallville
whitney,0.0126200164314593,fr,smallville
tte,0.0125421280552814,fr,smallville
semaine,0.0124949771979307,fr,smallville
arrte,0.0124949771979307,fr,smallville
disparaître,0.0124628525248982,fr,smallville
terre,0.0124535537118883,fr,smallville
photo,0.0123723489118437,fr,smallville
moyen,0.012306373768528,fr,smallville
utiliser,0.012306373768528,fr,smallville
fort,0.0122592229111773,fr,smallville
flolo,0.0122533260021574,fr,smallville
argent,0.0122120720538267,fr,smallville
important,0.012164921196476,fr,smallville
sang,0.0118820160523719,fr,smallville
reve,0.0118177155607679,fr,smallville
martha,0.0117297896747628,fr,smallville
quipe,0.0117289867684278,fr,smallville
hier,0.0116930313478035,fr,smallville
kandorien,0.0116039415363378,fr,smallville
smallvill,0.0115767992357655,fr,smallville
choix,0.0115504334045376,fr,smallville
archer,0.0115299000333164,fr,smallville
demande,0.0115048091935664,fr,smallville
compte,0.0115048091935664,fr,smallville
difficile,0.0114484342961274,fr,smallville
com,0.0114305947859613,fr,smallville
bel,0.0114043780544797,fr,smallville
revoir,0.0113127701657611,fr,smallville
plante,0.0112848005054062,fr,smallville
amie,0.0112606253899275,fr,smallville
gars,0.0112606253899275,fr,smallville
ensembl,0.0110751069269846,fr,smallville
alicia,0.0110539334222059,fr,smallville
flou,0.0110477573710312,fr,smallville
jason,0.0110454271602977,fr,smallville
cause,0.0110333006200596,fr,smallville
vivre,0.0109861497627089,fr,smallville
voil,0.0109389989053582,fr,smallville
taient,0.0108918480480076,fr,smallville
forteresse,0.0108809576797358,fr,smallville
content,0.0107975463333062,fr,smallville
commencer,0.0107975463333062,fr,smallville
ide,0.0107975463333062,fr,smallville
grange,0.0107523897850698,fr,smallville
summerholt,0.0106369464083097,fr,smallville
tour,0.0106089429039035,fr,smallville
talon,0.0105624153890747,fr,smallville
train,0.010504715153921,fr,smallville
destin,0.0104728539553105,fr,smallville
aujourd,0.0104674903318514,fr,smallville
devrai,0.0104460269574646,fr,smallville
propre,0.0104203394745007,fr,smallville
prt,0.0102670519151445,fr,smallville
corps,0.0102670519151445,fr,smallville
davis,0.0102362049129143,fr,smallville
naman,0.0101534488442956,fr,smallville
plat,0.0100769213241233,fr,smallville
bart,0.0100342848231575,fr,smallville
tomber,0.0099488309009939,fr,smallville
matin,0.0099343233808574,fr,smallville
checkmate,0.0099117000622886,fr,smallville
premire,0.0098867907331021,fr,smallville
dur,0.0098867907331021,fr,smallville
rentrer,0.0098545291862925,fr,smallville
mauvais,0.0098073783289419,fr,smallville
loin,0.0095716240421884,fr,smallville
continuer,0.0095065295510597,fr,smallville
sens,0.0094773223274871,fr,smallville
aime,0.0094301714701364,fr,smallville
