mot,poids_tfidf,langue,serie
clay,0.2505085298081276,fr,sonsofanarchy
opie,0.2115613986951492,fr,sonsofanarchy
mayan,0.1712639894198827,fr,sonsofanarchy
zobelle,0.1655985338986772,fr,sonsofanarchy
charming,0.1574208285209647,fr,sonsofanarchy
taire,0.1287950850627983,fr,sonsofanarchy
jax,0.1261441558601239,fr,sonsofanarchy
atf,0.097668779770856,fr,sonsofanarchy
unser,0.089954759154837,fr,sonsofanarchy
darby,0.0882675344537914,fr,sonsofanarchy
club,0.0847910520001023,fr,sonsofanarchy
tre,0.0845342353972546,fr,sonsofanarchy
zobell,0.0838214801215526,fr,sonsofanarchy
gemma,0.0834241479647287,fr,sonsofanarchy
luann,0.0753099437970889,fr,sonsofanarchy
stahl,0.0671853834316498,fr,sonsofanarchy
ici,0.0665906476950071,fr,sonsofanarchy
anarchy,0.0654216430216996,fr,sonsofanarchy
merde,0.0611897628327503,fr,sonsofanarchy
arme,0.0598119590074914,fr,sonsofanarchy
besoin,0.0594132126141082,fr,sonsofanarchy
otto,0.0584123389767737,fr,sonsofanarchy
petit,0.0558244950736587,fr,sonsofanarchy
putain,0.0557194533349058,fr,sonsofanarchy
santiag,0.0554089377534914,fr,sonsofanarchy
niner,0.0511488898763809,fr,sonsofanarchy
mme,0.0510395383530594,fr,sonsofanarchy
laroy,0.0489514634681077,fr,sonsofanarchy
tig,0.0481907596978547,fr,sonsofanarchy
bobby,0.0480686004487025,fr,sonsofanarchy
gars,0.044980554135333,fr,sonsofanarchy
weston,0.0443975591725537,fr,sonsofanarchy
hefner,0.0434827322255919,fr,sonsofanarchy
appeler,0.0422671176986273,fr,sonsofanarchy
teller,0.0402744546296275,fr,sonsofanarchy
dsol,0.0402733857317109,fr,sonsofanarchy
mec,0.0398551705294723,fr,sonsofanarchy
veux,0.0394758929449443,fr,sonsofanarchy
chib,0.0388441005441341,fr,sonsofanarchy
fille,0.0378809073714112,fr,sonsofanarchy
hale,0.037872057099709,fr,sonsofanarchy
pre,0.037482160978028,fr,sonsofanarchy
famille,0.037482160978028,fr,sonsofanarchy
kohn,0.036799674199706,fr,sonsofanarchy
samcro,0.0347552478552779,fr,sonsofanarchy
tuer,0.0338934434375785,fr,sonsofanarchy
mckeavy,0.0327108215108498,fr,sonsofanarchy
sortir,0.0318997114706621,fr,sonsofanarchy
aider,0.0311022186838955,fr,sonsofanarchy
hal,0.030991070352018,fr,sonsofanarchy
flie,0.0306663951664217,fr,sonsofanarchy
problme,0.030304725897129,fr,sonsofanarchy
ope,0.0301239775188355,fr,sonsofanarchy
fdrau,0.030060316187171,fr,sonsofanarchy
sack,0.029259311801788,fr,sonsofanarchy
enfant,0.0291084867169791,fr,sonsofanarchy
quelqu,0.0287097403235959,fr,sonsofanarchy
trammel,0.0282885824975367,fr,sonsofanarchy
bed,0.0282412289239083,fr,sonsofanarchy
ouai,0.0281873348504484,fr,sonsofanarchy
heure,0.0279122475368293,fr,sonsofanarchy
flingue,0.0278913540492866,fr,sonsofanarchy
soir,0.0273343086196799,fr,sonsofanarchy
pass,0.0271147547500628,fr,sonsofanarchy
thi,0.0270940219805715,fr,sonsofanarchy
nomade,0.0267637318171076,fr,sonsofanarchy
ami,0.0267160083566795,fr,sonsofanarchy
juice,0.0266507068479434,fr,sonsofanarchy
chibs,0.0265775424775654,fr,sonsofanarchy
finir,0.0263172619632962,fr,sonsofanarchy
mieux,0.0263172619632962,fr,sonsofanarchy
aimer,0.0263172619632962,fr,sonsofanarchy
chicano,0.0262631576925997,fr,sonsofanarchy
abel,0.0262038189629125,fr,sonsofanarchy
accord,0.0259185155699129,fr,sonsofanarchy
vieux,0.0259185155699129,fr,sonsofanarchy
attendre,0.0255197691765297,fr,sonsofanarchy
morrow,0.0253579899519877,fr,sonsofanarchy
stockton,0.0252694056469987,fr,sonsofanarchy
fils,0.0251210227831464,fr,sonsofanarchy
gros,0.0251210227831464,fr,sonsofanarchy
vendre,0.0247190432635613,fr,sonsofanarchy
piney,0.0245331161331373,fr,sonsofanarchy
tte,0.0243235299963798,fr,sonsofanarchy
until,0.0240953798489273,fr,sonsofanarchy
lif,0.0240953798489273,fr,sonsofanarchy
oswald,0.0240813690448889,fr,sonsofanarchy
mort,0.0239247836029965,fr,sonsofanarchy
dieu,0.0239247836029965,fr,sonsofanarchy
apr,0.0235260372096133,fr,sonsofanarchy
gotter,0.0231733744346468,fr,sonsofanarchy
mois,0.02312729081623,fr,sonsofanarchy
tmoin,0.0227834964861692,fr,sonsofanarchy
sang,0.0227285444228467,fr,sonsofanarchy
aryen,0.0226305709225154,fr,sonsofanarchy
prend,0.0223297980294634,fr,sonsofanarchy
georgie,0.0221975284064818,fr,sonsofanarchy
deal,0.0221583993155306,fr,sonsofanarchy
irlandais,0.0218118449845599,fr,sonsofanarchy
take,0.021670213606414,fr,sonsofanarchy
affaire,0.0215323052426969,fr,sonsofanarchy
chercher,0.0215323052426969,fr,sonsofanarchy
maison,0.0211335588493136,fr,sonsofanarchy
perdre,0.0211335588493136,fr,sonsofanarchy
balance,0.0205219580360916,fr,sonsofanarchy
own,0.0204699628653153,fr,sonsofanarchy
perfect,0.0204699628653153,fr,sonsofanarchy
camion,0.0204629206401882,fr,sonsofanarchy
connard,0.0203250293354743,fr,sonsofanarchy
team,0.0201989718529206,fr,sonsofanarchy
protger,0.0200170928648112,fr,sonsofanarchy
straight,0.0199495307739463,fr,sonsofanarchy
devenir,0.0199373196691638,fr,sonsofanarchy
chef,0.0198562806543361,fr,sonsofanarchy
half,0.019855856511517,fr,sonsofanarchy
rentrer,0.0195385732757805,fr,sonsofanarchy
trs,0.0195385732757805,fr,sonsofanarchy
lyla,0.0192763038791418,fr,sonsofanarchy
mal,0.0191398268823972,fr,sonsofanarchy
voil,0.0191398268823972,fr,sonsofanarchy
vien,0.018741080489014,fr,sonsofanarchy
arrte,0.018741080489014,fr,sonsofanarchy
ville,0.0186405900020298,fr,sonsofanarchy
you,0.0184653327629421,fr,sonsofanarchy
tristen,0.018399837099853,fr,sonsofanarchy
kerrianne,0.018399837099853,fr,sonsofanarchy
laisse,0.0183423340956307,fr,sonsofanarchy
occuper,0.0183423340956307,fr,sonsofanarchy
