mot,poids_tfidf,langue,serie
cartman,0.2608126955096003,en,southpark
kyle,0.1567824547358281,en,southpark
dude,0.0990326537166548,en,southpark
boy,0.0835173813366213,en,southpark
little,0.0774636935972322,en,southpark
kid,0.0748303874406511,en,southpark
butter,0.0670151768369888,en,southpark
child,0.054920807988422,en,southpark
sure,0.0523085639617121,en,southpark
friend,0.0504865802731581,en,southpark
timmy,0.0471423226591858,en,southpark
park,0.0453773414275352,en,southpark
hell,0.0444916662011417,en,southpark
terrance,0.0433467757223369,en,southpark
help,0.0430223245168239,en,southpark
stop,0.0429635508494512,en,southpark
tweek,0.0428573850975406,en,southpark
mom,0.0425151833615934,en,southpark
kill,0.0410827934935245,en,southpark
great,0.0403775094850519,en,southpark
talk,0.0403775094850519,en,southpark
work,0.0401424148155611,en,southpark
fuck,0.0400317320151993,en,southpark
big,0.0399908796032199,en,southpark
win,0.0393195834723432,en,southpark
school,0.0386493231994352,en,southpark
dad,0.0382815778430594,en,southpark
new,0.038144110124889,en,southpark
love,0.038144110124889,en,southpark
chef,0.036334905421677,en,southpark
south,0.0361926492722145,en,southpark
ass,0.0359256233773557,en,southpark
asshole,0.0354375467313016,en,southpark
son,0.0354289570410748,en,southpark
play,0.0353229740909989,en,southpark
bad,0.0317965540486362,en,southpark
start,0.0312675910422818,en,southpark
stupid,0.031104017469171,en,southpark
life,0.031032496372791,en,southpark
kenny,0.0308594121019371,en,southpark
like,0.0307386280359274,en,southpark
hankey,0.0301812571109441,en,southpark
money,0.0300333440274549,en,southpark
happen,0.029210512684237,en,southpark
world,0.0285640023431372,en,southpark
believe,0.0285052286757645,en,southpark
home,0.0284464550083917,en,southpark
away,0.0282113603389009,en,southpark
girl,0.0281525866715282,en,southpark
shit,0.0281179226765623,en,southpark
cool,0.0275120571684453,en,southpark
hear,0.0275060763304284,en,southpark
stanley,0.0273420574250531,en,southpark
gay,0.027250288591292,en,southpark
live,0.0269183396567013,en,southpark
long,0.0268595659893286,en,southpark
town,0.026428431284349,en,southpark
barbrady,0.0259558811154119,en,southpark
die,0.0257428663092471,en,southpark
night,0.0255077716397562,en,southpark
fatass,0.0250183709742826,en,southpark
bring,0.0246261666291656,en,southpark
guess,0.0245673929617929,en,southpark
phillip,0.0240502589835981,en,southpark
watch,0.0238621089533203,en,southpark
bebe,0.0237243097883689,en,southpark
understand,0.0231568249448478,en,southpark
nice,0.0230980512774751,en,southpark
head,0.022921730275357,en,southpark
change,0.022921730275357,en,southpark
run,0.0224515409363753,en,southpark
parent,0.0223843073074622,en,southpark
old,0.0223339936016299,en,southpark
muhammad,0.0221912703887047,en,southpark
house,0.0218050305952755,en,southpark
fine,0.0213877148692776,en,southpark
crap,0.021349920146948,en,southpark
ball,0.021151012139007,en,southpark
learn,0.0209821992520575,en,southpark
eat,0.020688330915194,en,southpark
hand,0.0204532362457031,en,southpark
wrong,0.0204532362457031,en,southpark
fat,0.0203392730394001,en,southpark
today,0.019865499571976,en,southpark
bitch,0.0195184728880083,en,southpark
real,0.0193953102329944,en,southpark
alright,0.0192876307070488,en,southpark
stay,0.0191602155635035,en,southpark
care,0.0191014418961308,en,southpark
suck,0.0190759641549653,en,southpark
idea,0.0189838945613854,en,southpark
family,0.0188075735592673,en,southpark
penis,0.0187735375586389,en,southpark
turd,0.018638636875644,en,southpark
randy,0.0186068867474838,en,southpark
shut,0.0185439189863819,en,southpark
lose,0.0185137052224037,en,southpark
problem,0.0185137052224037,en,southpark
broflovski,0.0184105668376759,en,southpark
awesom,0.0183468053811406,en,southpark
fight,0.0183373842202856,en,southpark
marklar,0.0181087542665664,en,southpark
dead,0.0181022895507947,en,southpark
place,0.0179847422160493,en,southpark
suppose,0.0179847422160493,en,southpark
damnit,0.0179580569644256,en,southpark
wendy,0.0176792952717506,en,southpark
remember,0.0175733265444403,en,southpark
token,0.0174781934506981,en,southpark
towelie,0.0172348777822836,en,southpark
fun,0.01714011363644,en,southpark
face,0.0170627752973738,en,southpark
turn,0.0169855898707132,en,southpark
pretty,0.0169442838022531,en,southpark
miss,0.0168092688685951,en,southpark
ready,0.016632947866477,en,southpark
use,0.0165741741991043,en,southpark
hate,0.0164703178217705,en,southpark
dollar,0.0163697799531948,en,southpark
buy,0.0161039848601226,en,southpark
goddamnit,0.0160844526237271,en,southpark
baby,0.0160054022807175,en,southpark
break,0.015640877355926,en,southpark
fag,0.0155765494222565,en,southpark
dammit,0.0155086136712187,en,southpark
stuff,0.015463140113245,en,southpark
sex,0.0154524276804896,en,southpark
matter,0.0153399271842773,en,southpark
fishstick,0.015090628555472,en,southpark
anymore,0.0150498558758985,en,southpark
young,0.0150484198803227,en,southpark
word,0.014810964177923,en,southpark
dumb,0.0147857827754127,en,southpark
tomorrow,0.0146929453949608,en,southpark
cause,0.0146346431758048,en,southpark
game,0.0144559624047195,en,southpark
fart,0.0144163115602661,en,southpark
hope,0.0143407748389413,en,southpark
meet,0.0142820011715686,en,southpark
kick,0.0142075393692628,en,southpark
mysterion,0.0141851908421437,en,southpark
actually,0.0141644538368231,en,southpark
person,0.0141056801694504,en,southpark
father,0.0140345878207784,en,southpark
country,0.0139979001619667,en,southpark
end,0.0139293591673323,en,southpark
second,0.0139293591673323,en,southpark
week,0.0138118118325869,en,southpark
pay,0.0138042591815559,en,southpark
write,0.0137755346396279,en,southpark
stand,0.0136354908304687,en,southpark
send,0.0136265219388749,en,southpark
power,0.0136165362686701,en,southpark
harrassment,0.0135815656999248,en,southpark
song,0.0133899544926508,en,southpark
book,0.0133179280171641,en,southpark
queef,0.0132797531288154,en,southpark
funny,0.0132710474535129,en,southpark
job,0.0131653014914871,en,southpark
check,0.0131653014914871,en,southpark
lie,0.0131065278241144,en,southpark
hard,0.0130477541567416,en,southpark
course,0.012915572968151,en,southpark
teacher,0.0128301413721981,en,southpark
news,0.0127970814730303,en,southpark
awesome,0.01275636161016,en,southpark
tonight,0.0127207115141523,en,southpark
movie,0.0127091489031379,en,southpark
band,0.0125946111623896,en,southpark
welcome,0.0125415465632487,en,southpark
happy,0.0124600174830145,en,southpark
damn,0.0124221032626464,en,southpark
true,0.0123424701482691,en,southpark
super,0.0122857478530231,en,southpark
save,0.0122836964808964,en,southpark
sit,0.0122836964808964,en,southpark
butthole,0.0122704671561073,en,southpark
sweet,0.0122638697449874,en,southpark
free,0.0122046239974271,en,southpark
high,0.0121234950111404,en,southpark
goddammit,0.0120970964269174,en,southpark
marjorine,0.0120725028443776,en,southpark
ginger,0.0120643710540356,en,southpark
special,0.0120486018114056,en,southpark
screw,0.0119348624028585,en,southpark
sick,0.0119287205115262,en,southpark
timmih,0.0117706902732682,en,southpark
student,0.0116900258302842,en,southpark
totally,0.0116240586944508,en,southpark
class,0.0115922750331637,en,southpark
eye,0.0115784124724239,en,southpark
hour,0.0115784124724239,en,southpark
cow,0.0115305947506242,en,southpark
room,0.0115196388050512,en,southpark
forget,0.0114936750267032,en,southpark
whoa,0.0114771424214003,en,southpark
finally,0.0114068352075262,en,southpark
mayor,0.0113543596832359,en,southpark
hooray,0.011316193662026,en,southpark
black,0.0112846507913652,en,southpark
video,0.0112441069504839,en,southpark
earth,0.0111171181830261,en,southpark
mind,0.0111082231334422,en,southpark
goddamn,0.0111009528450527,en,southpark
mother,0.0109906757986968,en,southpark
manbearpig,0.0108652525599398,en,southpark
panda,0.0108208328149649,en,southpark
shoot,0.0108143547965786,en,southpark
pirate,0.0108026431182538,en,southpark
show,0.0107827260559793,en,southpark
open,0.0107555811292059,en,southpark
read,0.0107555811292059,en,southpark
deal,0.0107234803084189,en,southpark
episode,0.0107110905866583,en,southpark
brother,0.0106968074618332,en,southpark
plan,0.0106642345608586,en,southpark
team,0.0106440890718233,en,southpark
question,0.0106380337944605,en,southpark
garrison,0.0106112319868688,en,southpark
body,0.0106049888132983,en,southpark
soon,0.0106049888132983,en,southpark
close,0.0105792601270878,en,southpark
rabble,0.0105489940917191,en,southpark
jimmy,0.0104900569852692,en,southpark
set,0.0104512888027073,en,southpark
comedy,0.0103779985374899,en,southpark
picture,0.010368005823057,en,southpark
hang,0.0103087600754966,en,southpark
spscriptorium,0.010261627417721,en,southpark
chinpokomon,0.010261627417721,en,southpark
car,0.0102342444609096,en,southpark
hurt,0.010190268580376,en,southpark
future,0.0101746851397555,en,southpark
walk,0.0101678444554788,en,southpark
trapper,0.0101537801267635,en,southpark
war,0.0101526805512014,en,southpark
alien,0.0100986177515229,en,southpark
afraid,0.0099915234533607,en,southpark
folk,0.0099567242940496,en,southpark
bastard,0.0099490812120524,en,southpark
hippie,0.0099018894500103,en,southpark
door,0.0098739761186153,en,southpark
hot,0.0098730358328775,en,southpark
whale,0.0098549023197819,en,southpark
doctor,0.0098309982890737,en,southpark
captioning,0.0098307619551954,en,southpark
catch,0.0098152024512426,en,southpark
answer,0.0098152024512426,en,southpark
terrorist,0.0097700304251099,en,southpark
bear,0.0097526329568668,en,southpark
douche,0.0097521085863264,en,southpark
ride,0.0097264951863213,en,southpark
worry,0.0097163025998934,en,southpark
gentleman,0.0096924315188614,en,southpark
party,0.0096924315188614,en,southpark
beat,0.0096924315188614,en,southpark
jimbo,0.0096818168843285,en,southpark
southparknew,0.0096580022755021,en,southpark
lady,0.0096570568523331,en,southpark
morning,0.0096388814491244,en,southpark
poo,0.0096058905025269,en,southpark
goin,0.0096054064717715,en,southpark
pussy,0.0095691878830586,en,southpark
important,0.009521334114379,en,southpark
mouth,0.0094818034835208,en,southpark
sound,0.0094625604470063,en,southpark
hat,0.0094002813051003,en,southpark
woe,0.0093771060555531,en,southpark
lemmiwink,0.0093561897043926,en,southpark
line,0.0092862394448882,en,southpark
dance,0.0092221548563739,en,southpark
hit,0.0091686921101428,en,southpark
titty,0.0091527783720785,en,southpark
internet,0.0091196758930077,en,southpark
poor,0.0089924200779197,en,southpark
towel,0.0089875079190528,en,southpark
drink,0.0089461078816091,en,southpark
fucking,0.0088629452152598,en,southpark
lopez,0.0088483709573267,en,southpark
chicken,0.0088285710933848,en,southpark
dick,0.0087761078312811,en,southpark
butt,0.008769122332071,en,southpark
soundwriter,0.0087525645621738,en,southpark
evil,0.0087498712526233,en,southpark
ample,0.0087016822910367,en,southpark
unwind,0.0086785828729718,en,southpark
paper,0.0086596392936717,en,southpark
