mot,poids_tfidf,langue,serie
sheppard,0.2879230472412585,en,stargateatlantis
ronon,0.1806304689816524,en,stargateatlantis
mckay,0.1790608422200094,en,stargateatlantis
teyla,0.178845767702491,en,stargateatlantis
rodney,0.173013001836524,en,stargateatlantis
wraith,0.171613337210252,en,stargateatlantis
replicator,0.1196926455683338,en,stargateatlantis
colonel,0.1152121569662762,en,stargateatlantis
daedalus,0.0923376325933514,en,stargateatlantis
ship,0.0758367147448899,en,stargateatlantis
work,0.0722068522253226,en,stargateatlantis
zpm,0.0688579312342924,en,stargateatlantis
stargate,0.0667798950005488,en,stargateatlantis
jumper,0.0607176308352294,en,stargateatlantis
hyperspace,0.0581593067860015,en,stargateatlantis
hive,0.0574054580506961,en,stargateatlantis
happen,0.0566711424772491,en,stargateatlantis
lve,0.0560621340745348,en,stargateatlantis
sure,0.0558894715465284,en,stargateatlantis
help,0.0546192562841073,en,stargateatlantis
power,0.0542095280799181,en,stargateatlantis
long,0.0495383952344229,en,stargateatlantis
gate,0.0459216903848568,en,stargateatlantis
planet,0.0450721580025137,en,stargateatlantis
nanite,0.0429903784184604,en,stargateatlantis
kill,0.0421125213925765,en,stargateatlantis
talk,0.041526268194536,en,stargateatlantis
shield,0.0403399892851027,en,stargateatlantis
weil,0.0399302703306876,en,stargateatlantis
team,0.0387467616527784,en,stargateatlantis
little,0.0376179135409326,en,stargateatlantis
galaxy,0.0375618468761729,en,stargateatlantis
life,0.0372270780755723,en,stargateatlantis
zelenka,0.0371295964017841,en,stargateatlantis
ancient,0.0357433586743539,en,stargateatlantis
lorne,0.0354510553706617,en,stargateatlantis
able,0.0348820652834102,en,stargateatlantis
hyperdrive,0.0347693813292055,en,stargateatlantis
hear,0.0333187234219689,en,stargateatlantis
city,0.0330272176711469,en,stargateatlantis
system,0.0323398168125552,en,stargateatlantis
idea,0.0320485081595478,en,stargateatlantis
believe,0.0309737106298068,en,stargateatlantis
fine,0.0288586484541459,en,stargateatlantis
start,0.028824115570325,en,stargateatlantis
great,0.0287264067039849,en,stargateatlantis
plan,0.0285631674119532,en,stargateatlantis
run,0.0280424446396043,en,stargateatlantis
place,0.0276516091742439,en,stargateatlantis
bad,0.0275539003079039,en,stargateatlantis
weapon,0.0272224339592483,en,stargateatlantis
projet,0.0268145839391018,en,stargateatlantis
understand,0.0267722293771832,en,stargateatlantis
control,0.0266083397901429,en,stargateatlantis
course,0.026396306435874,en,stargateatlantis
device,0.0257393377909538,en,stargateatlantis
stop,0.0256974318474422,en,stargateatlantis
woolsey,0.0256074559729409,en,stargateatlantis
retrovirus,0.0255577375928026,en,stargateatlantis
beam,0.0251375075011829,en,stargateatlantis
stay,0.0249157609167216,en,stargateatlantis
subspace,0.0248476499115872,en,stargateatlantis
send,0.02482040754418,en,stargateatlantis
ready,0.0245249254513612,en,stargateatlantis
hour,0.0245249254513612,en,stargateatlantis
figure,0.0244264328212566,en,stargateatlantis
head,0.0241340899860009,en,stargateatlantis
problem,0.0241340899860009,en,stargateatlantis
pegasus,0.0241256931672038,en,stargateatlantis
win,0.0239386722533207,en,stargateatlantis
far,0.0239386722533207,en,stargateatlantis
turn,0.0236455456543005,en,stargateatlantis
hell,0.0233524190552802,en,stargateatlantis
close,0.0232547101889401,en,stargateatlantis
shut,0.02255505288737,en,stargateatlantis
room,0.0222776215255393,en,stargateatlantis
bring,0.0222776215255393,en,stargateatlantis
lose,0.0221799126591992,en,stargateatlantis
atlantis,0.0220020246903728,en,stargateatlantis
human,0.0218179801585152,en,stargateatlantis
keller,0.0215277536390498,en,stargateatlantis
dead,0.0214959505948186,en,stargateatlantis
doctor,0.021387974152656,en,stargateatlantis
probably,0.0213005328621384,en,stargateatlantis
oneill,0.0210735547145261,en,stargateatlantis
chance,0.0210074062631182,en,stargateatlantis
actually,0.0207142796640979,en,stargateatlantis
second,0.0207142796640979,en,stargateatlantis
lizabeth,0.0205718034117993,en,stargateatlantis
mind,0.0205188619314178,en,stargateatlantis
wrong,0.0204211530650777,en,stargateatlantis
away,0.0204211530650777,en,stargateatlantis
exactly,0.0204211530650777,en,stargateatlantis
destroy,0.0200929771096515,en,stargateatlantis
die,0.0199326087333772,en,stargateatlantis
pretty,0.0198957235076364,en,stargateatlantis
friend,0.0198348998670372,en,stargateatlantis
soon,0.0197972298269055,en,stargateatlantis
dial,0.019520024224214,en,stargateatlantis
remember,0.0193463555353367,en,stargateatlantis
hope,0.0192486466689967,en,stargateatlantis
use,0.0190532289363165,en,stargateatlantis
open,0.0190532289363165,en,stargateatlantis
fly,0.018965310026967,en,stargateatlantis
dhd,0.0189474844335972,en,stargateatlantis
alright,0.0188363390246575,en,stargateatlantis
point,0.018466975738276,en,stargateatlantis
like,0.018466975738276,en,stargateatlantis
new,0.0183692668719359,en,stargateatlantis
dart,0.018357817516392,en,stargateatlantis
radio,0.0182556168539156,en,stargateatlantis
fire,0.0181738491392557,en,stargateatlantis
guess,0.0181738491392557,en,stargateatlantis
save,0.0180761402729156,en,stargateatlantis
attack,0.018069842693306,en,stargateatlantis
earth,0.0177466932663983,en,stargateatlantis
matter,0.0176853048075553,en,stargateatlantis
athosian,0.0175612955954384,en,stargateatlantis
infirmary,0.0173156984853952,en,stargateatlantis
contact,0.0170510573678836,en,stargateatlantis
cloak,0.0169323775719752,en,stargateatlantis
check,0.0169036338768346,en,stargateatlantis
ahead,0.0168784244937473,en,stargateatlantis
trust,0.0168424194049793,en,stargateatlantis
return,0.0165805699438577,en,stargateatlantis
possible,0.0165127984114743,en,stargateatlantis
weir,0.016492937745284,en,stargateatlantis
major,0.0163742516131455,en,stargateatlantis
sensor,0.016237244587431,en,stargateatlantis
stand,0.016219671812454,en,stargateatlantis
village,0.0161042956768525,en,stargateatlantis
orbit,0.0160962107782974,en,stargateatlantis
hand,0.0160242540797739,en,stargateatlantis
technology,0.0155749356937313,en,stargateatlantis
suppose,0.0155357097480734,en,stargateatlantis
fight,0.0154380008817333,en,stargateatlantis
body,0.0152665205132853,en,stargateatlantis
offworld,0.0152504143002124,en,stargateatlantis
dex,0.0151738101312916,en,stargateatlantis
pod,0.0151069539978642,en,stargateatlantis
command,0.0150670781503222,en,stargateatlantis
nice,0.015047165416373,en,stargateatlantis
easy,0.015047165416373,en,stargateatlantis
shoot,0.015047165416373,en,stargateatlantis
enzyme,0.0149974035334337,en,stargateatlantis
energy,0.0148949617605482,en,stargateatlantis
fact,0.0148725457903618,en,stargateatlantis
speak,0.0148517476836928,en,stargateatlantis
code,0.0146596720748988,en,stargateatlantis
cruiser,0.0145014178968449,en,stargateatlantis
sgc,0.0144277550927111,en,stargateatlantis
mission,0.0143411411826179,en,stargateatlantis
create,0.0143117943241636,en,stargateatlantis
activate,0.0140738204822571,en,stargateatlantis
kolya,0.0140490364763507,en,stargateatlantis
lil,0.0140470974719432,en,stargateatlantis
order,0.013999163844814,en,stargateatlantis
damage,0.0139789244297331,en,stargateatlantis
pick,0.0139723678866321,en,stargateatlantis
drone,0.0138906637417135,en,stargateatlantis
alive,0.0138876089830531,en,stargateatlantis
reason,0.013874659020292,en,stargateatlantis
set,0.0137013092949243,en,stargateatlantis
big,0.0136906216215914,en,stargateatlantis
sign,0.0136792412876118,en,stargateatlantis
ladon,0.0135472851736239,en,stargateatlantis
base,0.0135188138512071,en,stargateatlantis
rest,0.0134936342601296,en,stargateatlantis
clear,0.0134838235549317,en,stargateatlantis
level,0.0134034547450346,en,stargateatlantis
door,0.0133861146885916,en,stargateatlantis
read,0.0132884058222515,en,stargateatlantis
caldwell,0.0131910903704787,en,stargateatlantis
sound,0.0131906969559114,en,stargateatlantis
field,0.0131210890409974,en,stargateatlantis
world,0.0130929880895713,en,stargateatlantis
radek,0.0130455338708971,en,stargateatlantis
hard,0.0129952792232312,en,stargateatlantis
position,0.0129169138562045,en,stargateatlantis
change,0.0128975703568911,en,stargateatlantis
deal,0.0128041784950135,en,stargateatlantis
lieutenant,0.0127729908763394,en,stargateatlantis
fast,0.012702152624211,en,stargateatlantis
asgard,0.0125867156477167,en,stargateatlantis
meet,0.0125067348915308,en,stargateatlantis
genius,0.0124781459178616,en,stargateatlantis
lifesign,0.0124776117001737,en,stargateatlantis
feed,0.01241020377209,en,stargateatlantis
space,0.0123911822806804,en,stargateatlantis
worry,0.0122132164106283,en,stargateatlantis
safe,0.012212036545476,en,stargateatlantis
moment,0.0121147227298974,en,stargateatlantis
home,0.0120181905598304,en,stargateatlantis
radiation,0.0118616460967612,en,stargateatlantis
question,0.0118227728271502,en,stargateatlantis
drop,0.0118227728271502,en,stargateatlantis
break,0.0118192416877048,en,stargateatlantis
hit,0.01162735509447,en,stargateatlantis
detect,0.0115598237447995,en,stargateatlantis
theyil,0.0115402799627166,en,stargateatlantis
