mot,poids_tfidf,langue,serie
wraith,0.4218656611671211,fr,stargateatlantis
sheppard,0.2352975723188416,fr,stargateatlantis
mckay,0.1655001745799473,fr,stargateatlantis
teyla,0.1635281114356496,fr,stargateatlantis
rodney,0.1523200362262459,fr,stargateatlantis
jumper,0.1448391844144325,fr,stargateatlantis
ronon,0.1392214320746673,fr,stargateatlantis
ici,0.1138029963330608,fr,stargateatlantis
vaisseau,0.1086186639165399,fr,stargateatlantis
tre,0.1069942700567238,fr,stargateatlantis
weir,0.1006326839603997,fr,stargateatlantis
colonel,0.0967633258407972,fr,stargateatlantis
rplicateur,0.0937666148826559,fr,stargateatlantis
taire,0.0913504108741877,fr,stargateatlantis
atlanti,0.0876177394835015,fr,stargateatlantis
mme,0.0672767001114248,fr,stargateatlantis
porte,0.0654934622771461,fr,stargateatlantis
zpm,0.0620007820856745,fr,stargateatlantis
trs,0.0599005799787264,fr,stargateatlantis
cest,0.0573293206755638,fr,stargateatlantis
bouclier,0.0571479594568291,fr,stargateatlantis
aerofrance,0.0569353319230728,fr,stargateatlantis
genii,0.050701536457043,fr,stargateatlantis
beckett,0.0496556473196413,fr,stargateatlantis
daedalu,0.0495975370947684,fr,stargateatlantis
ruche,0.0485494512503282,fr,stargateatlantis
major,0.046524727126322,fr,stargateatlantis
besoin,0.0435272144094399,fr,stargateatlantis
attendre,0.0424734829619115,fr,stargateatlantis
plante,0.0420932880922848,fr,stargateatlantis
jai,0.0419466255455653,fr,stargateatlantis
projet,0.0389943705383487,fr,stargateatlantis
galaxie,0.0363502360499803,fr,stargateatlantis
nanite,0.0355925281370507,fr,stargateatlantis
heure,0.0346920815032407,fr,stargateatlantis
hyperespace,0.0341315259843949,fr,stargateatlantis
fait,0.0325035623429895,fr,stargateatlantis
accord,0.0320172247518226,fr,stargateatlantis
ancien,0.031472696590915,fr,stargateatlantis
ouai,0.0310574895118792,fr,stargateatlantis
problme,0.0309634933042943,fr,stargateatlantis
essayer,0.0308824370390998,fr,stargateatlantis
zelenka,0.0307533909657474,fr,stargateatlantis
nergie,0.0307206538171433,fr,stargateatlantis
arme,0.0306392682435163,fr,stargateatlantis
aider,0.0295044805307935,fr,stargateatlantis
mourir,0.02926131173521,fr,stargateatlantis
quipe,0.0290110551308357,fr,stargateatlantis
dart,0.0285025409767668,fr,stargateatlantis
sortir,0.0282886365528762,fr,stargateatlantis
systme,0.0274565998859712,fr,stargateatlantis
peuple,0.0274162992799763,fr,stargateatlantis
atlantis,0.0269639055276719,fr,stargateatlantis
raison,0.0257758923318471,fr,stargateatlantis
tuer,0.0252084984754856,fr,stargateatlantis
revenir,0.0248842734147077,fr,stargateatlantis
dsol,0.0248032171495132,fr,stargateatlantis
docteur,0.0245282271302901,fr,stargateatlantis
chance,0.0244789920887353,fr,stargateatlantis
perdre,0.0242358232931518,fr,stargateatlantis
woolsey,0.0240799636619528,fr,stargateatlantis
mieux,0.0238305419671794,fr,stargateatlantis
lizabeth,0.0236884227709135,fr,stargateatlantis
trouv,0.0236684294367904,fr,stargateatlantis
apr,0.0232631481108179,fr,stargateatlantis
pgase,0.0232000459764128,fr,stargateatlantis
pass,0.02293892305004,fr,stargateatlantis
terre,0.0227978139532283,fr,stargateatlantis
carson,0.0225620449951601,fr,stargateatlantis
ford,0.0223365253549161,fr,stargateatlantis
sgc,0.0222829514483742,fr,stargateatlantis
petit,0.0221283603980951,fr,stargateatlantis
mal,0.0221283603980951,fr,stargateatlantis
plan,0.0219939333704878,fr,stargateatlantis
quon,0.0215160124826611,fr,stargateatlantis
keller,0.0214853161991636,fr,stargateatlantis
minute,0.0210001368673106,fr,stargateatlantis
vite,0.0209125164201778,fr,stargateatlantis
grand,0.0209125164201778,fr,stargateatlantis
prt,0.0206732864880529,fr,stargateatlantis
kolya,0.0206669273618915,fr,stargateatlantis
humain,0.0202621054569479,fr,stargateatlantis
lorne,0.020137600330793,fr,stargateatlantis
mort,0.0199398412378439,fr,stargateatlantis
finir,0.019777728707455,fr,stargateatlantis
donne,0.019615616177066,fr,stargateatlantis
athosien,0.0195325591268936,fr,stargateatlantis
rtroviru,0.0194706087741114,fr,stargateatlantis
quil,0.0194400404827677,fr,stargateatlantis
ide,0.0192103348510936,fr,stargateatlantis
ddale,0.0191410037153924,fr,stargateatlantis
ami,0.0189671660555101,fr,stargateatlantis
michael,0.0189447560621709,fr,stargateatlantis
radek,0.0187533229765311,fr,stargateatlantis
contrle,0.0182219086436197,fr,stargateatlantis
nouveau,0.0178323783427873,fr,stargateatlantis
aimer,0.0175892095472038,fr,stargateatlantis
village,0.0175769156696075,fr,stargateatlantis
lieutenant,0.0174516359160429,fr,stargateatlantis
sentir,0.0172649844864258,fr,stargateatlantis
hyperpropulsion,0.0170657629921974,fr,stargateatlantis
quelqu,0.0170218156908424,fr,stargateatlantis
moyen,0.0168597031604534,fr,stargateatlantis
base,0.0168574074088542,fr,stargateatlantis
code,0.01672441928177,fr,stargateatlantis
envoyer,0.0166975906300644,fr,stargateatlantis
aide,0.0166975906300644,fr,stargateatlantis
utiliser,0.0166165343648699,fr,stargateatlantis
