mot,poids_tfidf,langue,serie
ship,0.1785758275432356,en,stargateuniverse
colonel,0.1643317005696887,en,stargateuniverse
ftl,0.1175011259426895,en,stargateuniverse
kino,0.115173824885216,en,stargateuniverse
stargate,0.1067023563191145,en,stargateuniverse
telford,0.1038228525636869,en,stargateuniverse
rush,0.0982428833980297,en,stargateuniverse
destiny,0.0896356621052305,en,stargateuniverse
planet,0.0850495500119566,en,stargateuniverse
work,0.0730117618313263,en,stargateuniverse
happen,0.0725345607736052,en,stargateuniverse
greer,0.0685203610867306,en,stargateuniverse
young,0.0634964904487081,en,stargateuniverse
lieutenant,0.0616213475915497,en,stargateuniverse
power,0.0533387817422256,en,stargateuniverse
sure,0.0520149152915985,en,stargateuniverse
gate,0.0516193750267377,en,stargateuniverse
dial,0.0488439584685236,en,stargateuniverse
talk,0.0481973068298298,en,stargateuniverse
system,0.0476814102417059,en,stargateuniverse
shuttle,0.0474742093125575,en,stargateuniverse
help,0.0472429047143876,en,stargateuniverse
volker,0.0465596313365767,en,stargateuniverse
chloe,0.0428542322085742,en,stargateuniverse
projet,0.0425619823118678,en,stargateuniverse
gateroom,0.0423947268946362,en,stargateuniverse
sergeant,0.0414650815407697,en,stargateuniverse
wray,0.0406263336118774,en,stargateuniverse
home,0.0391304867331291,en,stargateuniverse
earth,0.0389773001881868,en,stargateuniverse
stop,0.0376988835599658,en,stargateuniverse
ancient,0.0370294176833226,en,stargateuniverse
alien,0.0370294176833226,en,stargateuniverse
long,0.0367444814445237,en,stargateuniverse
life,0.0367444814445237,en,stargateuniverse
fine,0.0351154833542097,en,stargateuniverse
hear,0.0348356772136393,en,stargateuniverse
wrong,0.0343584761559182,en,stargateuniverse
brody,0.0326557187991907,en,stargateuniverse
kill,0.0324496719250339,en,stargateuniverse
problem,0.0324496719250339,en,stargateuniverse
hour,0.0310180687518706,en,stargateuniverse
stay,0.0295864655787074,en,stargateuniverse
control,0.0295787789661433,en,stargateuniverse
water,0.0295787789661433,en,stargateuniverse
chance,0.0286320634632652,en,stargateuniverse
send,0.0283810070944983,en,stargateuniverse
shield,0.0278468937326642,en,stargateuniverse
team,0.0278141559743284,en,stargateuniverse
die,0.027677661347823,en,stargateuniverse
little,0.0272004602901019,en,stargateuniverse
chevron,0.0269674715278303,en,stargateuniverse
camile,0.0269555760369654,en,stargateuniverse
start,0.0262460581746597,en,stargateuniverse
idea,0.0262460581746597,en,stargateuniverse
win,0.0262460581746597,en,stargateuniverse
spencer,0.0261354379299495,en,stargateuniverse
bad,0.0257688571169387,en,stargateuniverse
room,0.0257688571169387,en,stargateuniverse
star,0.0255344094082025,en,stargateuniverse
pretty,0.0254948029831934,en,stargateuniverse
bring,0.0248144550014965,en,stargateuniverse
close,0.0243372539437754,en,stargateuniverse
far,0.0243372539437754,en,stargateuniverse
icarus,0.0241590240722523,en,stargateuniverse
range,0.024127738520596,en,stargateuniverse
hell,0.0238600528860543,en,stargateuniverse
reason,0.0238600528860543,en,stargateuniverse
open,0.0238600528860543,en,stargateuniverse
use,0.0238600528860543,en,stargateuniverse
