mot,poids_tfidf,langue,serie
janet,0.2395893052570804,en,swingtown
bruce,0.1296382360500739,en,swingtown
laurie,0.1232053329039257,en,swingtown
night,0.0793712046132285,en,swingtown
sure,0.0744105043249017,en,swingtown
little,0.0737904167888609,en,swingtown
party,0.0717720779069356,en,swingtown
swingtown,0.0700535611012541,en,swingtown
talk,0.0657292788203299,en,swingtown
roger,0.0633237186359092,en,swingtown
tonight,0.0541876681676066,en,swingtown
work,0.0533275280995129,en,swingtown
home,0.0508471779553495,en,swingtown
decker,0.0502839889193481,en,swingtown
new,0.0502270904193087,en,swingtown
doug,0.0492326132559729,en,swingtown
job,0.0465065652030636,en,swingtown
love,0.0440262150589002,en,swingtown
mareno,0.0413952861052865,en,swingtown
mom,0.0413056477465079,en,swingtown
reem,0.0400482718429652,en,swingtown
week,0.0396856023066142,en,swingtown
help,0.0396856023066142,en,swingtown
great,0.0390655147705734,en,swingtown
kid,0.0368387656513475,en,swingtown
friend,0.03658516462641,en,swingtown
trina,0.0361114511242833,en,swingtown
bobbi,0.036025490085568,en,swingtown
house,0.0353449895543283,en,swingtown
long,0.0347249020182875,en,swingtown
like,0.0347249020182875,en,swingtown
tom,0.0346632331218519,en,swingtown
melinda,0.0345112558469946,en,swingtown
play,0.0341048144822466,en,swingtown
guess,0.0341048144822466,en,swingtown
actually,0.0334847269462058,en,swingtown
husband,0.0325035456510784,en,swingtown
big,0.0318784774654807,en,swingtown
life,0.0316244643380832,en,swingtown
today,0.0316244643380832,en,swingtown
stay,0.0310043768020424,en,swingtown
nice,0.0303842892660015,en,swingtown
wife,0.0303842892660015,en,swingtown
morning,0.0297642017299607,en,swingtown
girl,0.0297642017299607,en,swingtown
meet,0.0291441141939198,en,swingtown
old,0.0291441141939198,en,swingtown
start,0.0291441141939198,en,swingtown
dad,0.0289841015780221,en,swingtown
samantha,0.0288745697801293,en,swingtown
lady,0.0287531365374924,en,swingtown
believe,0.0279039391218381,en,swingtown
rog,0.0278955470725869,en,swingtown
weekend,0.0274957158697607,en,swingtown
happen,0.0272838515857973,en,swingtown
open,0.0272838515857973,en,swingtown
rex,0.0270877113914458,en,swingtown
ricky,0.0267244567238126,en,swingtown
school,0.0266763475406309,en,swingtown
bad,0.0266637640497564,en,swingtown
mind,0.0260436765137156,en,swingtown
remember,0.0260436765137156,en,swingtown
