mot,poids_tfidf,langue,serie
shawn,0.2507248071457775,en,the4400
maia,0.2043488777384085,en,the4400
ntac,0.1603688145751572,en,the4400
kyle,0.1248976364413697,en,the4400
promicin,0.0894091621082735,en,the4400
colly,0.08441164022433,en,the4400
talk,0.0811599171225104,en,the4400
isabelle,0.078926136470091,en,the4400
work,0.0717634227451029,en,the4400
happen,0.0627354183432799,en,the4400
help,0.0582214161423684,en,the4400
ability,0.0535428524261475,en,the4400
sure,0.0499303916917147,en,the4400
burkhoff,0.0496717567268186,en,the4400
lily,0.0490208377951998,en,the4400
stop,0.0455085119846994,en,the4400
alana,0.0450837900413054,en,the4400
place,0.0438503070945686,en,the4400
little,0.043481817118984,en,the4400
tess,0.0397323868725337,en,the4400
collier,0.0392140703549184,en,the4400
tom,0.0388315057806858,en,the4400
kill,0.0387835699302802,en,the4400
start,0.0370332425462533,en,the4400
world,0.0364805075828764,en,the4400
guess,0.0339932002476803,en,the4400
away,0.0330719753087188,en,the4400
long,0.0329798528148226,en,the4400
remember,0.0327034853331341,en,the4400
life,0.032611362839238,en,the4400
hear,0.0321507503697572,en,the4400
believe,0.0317822603941726,en,the4400
bring,0.0303083004918342,en,the4400
inhibitor,0.0292645105683172,en,the4400
change,0.0289264630833919,en,the4400
stay,0.0286500956017034,en,the4400
win,0.0282816056261188,en,the4400
returnee,0.0278855611412753,en,the4400
home,0.0267155232298842,en,the4400
night,0.0264391557481958,en,the4400
quarantine,0.0261750636229394,en,the4400
future,0.0259999318820528,en,the4400
live,0.0258864207848188,en,the4400
wrong,0.0257942982909227,en,the4400
bad,0.0245967058702727,en,the4400
die,0.0245045833763766,en,the4400
hand,0.0245045833763766,en,the4400
like,0.0244124608824804,en,the4400
center,0.0241172402948923,en,the4400
dad,0.024057351805626,en,the4400
kid,0.0239675409190426,en,the4400
run,0.023583358437415,en,the4400
baldwin,0.0229305483830777,en,the4400
sound,0.0227542559923497,en,the4400
gary,0.0224747711123962,en,the4400
richard,0.0223082930363361,en,the4400
tyler,0.0219762674558878,en,the4400
meet,0.0213724185839074,en,the4400
new,0.0211881735961151,en,the4400
figure,0.0211726357692219,en,the4400
suppose,0.0210960511022189,en,the4400
hope,0.020543316138842,en,the4400
love,0.0204511936449458,en,the4400
idea,0.0204511936449458,en,the4400
marco,0.0202925624892457,en,the4400
job,0.0202669486571535,en,the4400
send,0.0200582865182102,en,the4400
big,0.0200582865182102,en,the4400
mom,0.0199436885101321,en,the4400
piersahl,0.0198687026907274,en,the4400
turn,0.0198063361876728,en,the4400
head,0.0196220911998805,en,the4400
great,0.0196220911998805,en,the4400
week,0.0194378462120882,en,the4400
dead,0.019345723718192,en,the4400
nice,0.0191614787303997,en,the4400
daughter,0.0190608002584512,en,the4400
use,0.0188851112487112,en,the4400
mind,0.0187929887548151,en,the4400
fine,0.0187582123920299,en,the4400
agent,0.0187344556108052,en,the4400
old,0.0187008662609189,en,the4400
walk,0.0184244987792305,en,the4400
son,0.0182010377665241,en,the4400
baby,0.0179728075746311,en,the4400
government,0.0178445733293209,en,the4400
pretty,0.0178295880161868,en,the4400
understand,0.0177796413219574,en,the4400
friend,0.0175953963341651,en,the4400
month,0.017503273840269,en,the4400
soon,0.0174581382658496,en,the4400
deal,0.0171795509530967,en,the4400
hell,0.0171347838646843,en,the4400
ready,0.0167662938890997,en,the4400
ago,0.0166741713952036,en,the4400
end,0.0165820489013074,en,the4400
girl,0.0164899264074113,en,the4400
hurt,0.0164366514524222,en,the4400
plan,0.0163437890148379,en,the4400
morning,0.0162135589257228,en,the4400
lose,0.0162135589257228,en,the4400
danny,0.0161524062516346,en,the4400
save,0.0160293139379305,en,the4400
promise,0.015852546749603,en,the4400
group,0.0157144731917872,en,the4400
ryland,0.0156111235427144,en,the4400
real,0.0154765789745536,en,the4400
today,0.0153844564806574,en,the4400
case,0.0152923339867613,en,the4400
read,0.0152002114928651,en,the4400
stuff,0.0151365773262419,en,the4400
