mot,poids_tfidf,langue,serie
sheldon,0.3937243766829025,en,thebigbangtheory
leonard,0.2525513033699582,en,thebigbangtheory
penny,0.1472515812121677,en,thebigbangtheory
raj,0.0911896637936794,en,thebigbangtheory
little,0.0752231131334913,en,thebigbangtheory
work,0.0675325712156903,en,thebigbangtheory
talk,0.0665712534759651,en,thebigbangtheory
friend,0.0622453236472021,en,thebigbangtheory
wolowitz,0.0592383204892756,en,thebigbangtheory
night,0.0516708285102256,en,thebigbangtheory
great,0.0459029220718749,en,thebigbangtheory
sure,0.0439802865924246,en,thebigbangtheory
fine,0.0392460879590822,en,thebigbangtheory
big,0.0358544507280504,en,thebigbangtheory
start,0.0355687563698297,en,thebigbangtheory
kripke,0.0352372807728616,en,thebigbangtheory
new,0.0346074386301046,en,thebigbangtheory
mother,0.0322041442807918,en,thebigbangtheory
koothrappali,0.0320874235983576,en,thebigbangtheory
howard,0.0317966317730418,en,thebigbangtheory
hear,0.0302815088013415,en,thebigbangtheory
like,0.0302815088013415,en,thebigbangtheory
play,0.0295605204965477,en,thebigbangtheory
course,0.0295556958704199,en,thebigbangtheory
bernadette,0.0294036812480388,en,thebigbangtheory
question,0.0293201910616164,en,thebigbangtheory
point,0.0290798616266851,en,thebigbangtheory
help,0.0285992027568225,en,thebigbangtheory
happen,0.0283588733218913,en,thebigbangtheory
cooper,0.0283169301713391,en,thebigbangtheory
believe,0.02811854388696,en,thebigbangtheory
nice,0.02811854388696,en,thebigbangtheory
girl,0.02811854388696,en,thebigbangtheory
comic,0.0276543407339153,en,thebigbangtheory
bad,0.0271572261472348,en,thebigbangtheory
sex,0.026887661501489,en,thebigbangtheory
leslie,0.0265610504276143,en,thebigbangtheory
love,0.026436237842441,en,thebigbangtheory
bazinga,0.025916765214058,en,thebigbangtheory
win,0.0257152495376472,en,thebigbangtheory
home,0.0254749201027159,en,thebigbangtheory
wrong,0.0254749201027159,en,thebigbangtheory
understand,0.0252345906677846,en,thebigbangtheory
eat,0.0252345906677846,en,thebigbangtheory
hofstadter,0.0250071024839662,en,thebigbangtheory
sit,0.024753931797922,en,thebigbangtheory
physics,0.0241217648742396,en,thebigbangtheory
life,0.0240329434931282,en,thebigbangtheory
live,0.0237926140581969,en,thebigbangtheory
guess,0.0235522846232656,en,thebigbangtheory
boy,0.0235522846232656,en,thebigbangtheory
bring,0.0235522846232656,en,thebigbangtheory
date,0.0229553452165705,en,thebigbangtheory
problem,0.0228312963184718,en,thebigbangtheory
long,0.0225909668835405,en,thebigbangtheory
apartment,0.0223123729949365,en,thebigbangtheory
