mot,poids_tfidf,langue,serie
sheldon,0.3528648471515305,fr,thebigbangtheory
penny,0.1927072856142893,fr,thebigbangtheory
taire,0.1182185258972412,fr,thebigbangtheory
tre,0.0846503024943209,fr,thebigbangtheory
petit,0.0741419890812327,fr,thebigbangtheory
howard,0.0703758918816642,fr,thebigbangtheory
mme,0.0683040371850727,fr,thebigbangtheory
raj,0.0676024323960227,fr,thebigbangtheory
ami,0.0542929526342885,fr,thebigbangtheory
heure,0.0540010550394805,fr,thebigbangtheory
trs,0.0493306935225525,fr,thebigbangtheory
ici,0.0461198199796644,fr,thebigbangtheory
veux,0.0452441271952404,fr,thebigbangtheory
aimer,0.0408656632731204,fr,thebigbangtheory
odonate,0.0407131091238146,fr,thebigbangtheory
besoin,0.0399899704886964,fr,thebigbangtheory
regarder,0.0399899704886964,fr,thebigbangtheory
dsol,0.0396980728938884,fr,thebigbangtheory
salut,0.0388223801094644,fr,thebigbangtheory
super,0.0385769939389236,fr,thebigbangtheory
accord,0.0382385849198484,fr,thebigbangtheory
voil,0.0376547897302323,fr,thebigbangtheory
leslie,0.037613893563799,fr,thebigbangtheory
fille,0.0353196089717683,fr,thebigbangtheory
sortir,0.0344439161873443,fr,thebigbangtheory
question,0.0344439161873443,fr,thebigbangtheory
hofstadter,0.0344217584907976,fr,thebigbangtheory
mal,0.0341520185925363,fr,thebigbangtheory
soir,0.0341342935159489,fr,thebigbangtheory
cooper,0.0337747923397206,fr,thebigbangtheory
appeler,0.0335682234029203,fr,thebigbangtheory
attend,0.0317802043079524,fr,thebigbangtheory
subbercaf,0.0316996098245848,fr,thebigbangtheory
grand,0.0315249402392643,fr,thebigbangtheory
comic,0.0300728667256667,fr,thebigbangtheory
apr,0.0300654522652243,fr,thebigbangtheory
koothrappali,0.0299319639050414,fr,thebigbangtheory
cheesecake,0.0294992432273553,fr,thebigbangtheory
raison,0.0291897594808003,fr,thebigbangtheory
problme,0.0286059642911843,fr,thebigbangtheory
bonjour,0.0277302715067602,fr,thebigbangtheory
manger,0.0272912481601537,fr,thebigbangtheory
nuit,0.0271464763171442,fr,thebigbangtheory
bernadett,0.0271420727492097,fr,thebigbangtheory
wheaton,0.0270460659429567,fr,thebigbangtheory
sixe,0.0269291593878799,fr,thebigbangtheory
mieux,0.0265626811275282,fr,thebigbangtheory
factory,0.0239455711240331,fr,thebigbangtheory
vrai,0.0236437051794482,fr,thebigbangtheory
finir,0.0227680123950242,fr,thebigbangtheory
physique,0.0220787128006359,fr,thebigbangtheory
stan,0.0218847390602978,fr,thebigbangtheory
winkl,0.0218388441109055,fr,thebigbangtheory
plat,0.0217753251739673,fr,thebigbangtheory
pass,0.0216004220157922,fr,thebigbangtheory
attendre,0.0216004220157922,fr,thebigbangtheory
chance,0.0213085244209842,fr,thebigbangtheory
pisode,0.0211076741688859,fr,thebigbangtheory
stuart,0.0210274253232476,fr,thebigbangtheory
donne,0.0210166268261762,fr,thebigbangtheory
gablehauser,0.020952374733529,fr,thebigbangtheory
lemagicduff,0.020952374733529,fr,thebigbangtheory
physicien,0.0208929801926784,fr,thebigbangtheory
nouveau,0.0201409340417522,fr,thebigbangtheory
air,0.0201409340417522,fr,thebigbangtheory
halo,0.0199859626952569,fr,thebigbangtheory
copine,0.0199396785451495,fr,thebigbangtheory
tte,0.0198490364469442,fr,thebigbangtheory
scientifique,0.0197966122820864,fr,thebigbangtheory
titre,0.0183824893581851,fr,thebigbangtheory
place,0.0180976508780961,fr,thebigbangtheory
arrte,0.0180976508780961,fr,thebigbangtheory
essayer,0.0180976508780961,fr,thebigbangtheory
vien,0.0180976508780961,fr,thebigbangtheory
porte,0.0180976508780961,fr,thebigbangtheory
soire,0.0180591495038791,fr,thebigbangtheory
lalita,0.0179591783430248,fr,thebigbangtheory
travailler,0.0178057532832881,fr,thebigbangtheory
perdre,0.0178057532832881,fr,thebigbangtheory
prend,0.0178057532832881,fr,thebigbangtheory
tai,0.0176556690599735,fr,thebigbangtheory
lee,0.017546471766083,fr,thebigbangtheory
nom,0.0175138556884801,fr,thebigbangtheory
comprend,0.0175138556884801,fr,thebigbangtheory
