mot,poids_tfidf,langue,serie
dokey,0.3426178343348181,fr,theblackdonnellys
huey,0.1906950687229347,fr,theblackdonnellys
donnelly,0.1536347328845123,fr,theblackdonnellys
kevin,0.1530717813127802,fr,theblackdonnellys
taire,0.1467025743764392,fr,theblackdonnellys
louie,0.119345357255436,fr,theblackdonnellys
ouai,0.1084192513033734,fr,theblackdonnellys
nicky,0.0978043123921738,fr,theblackdonnellys
sean,0.0904537214205088,fr,theblackdonnellys
firecracker,0.0832547732455809,fr,theblackdonnellys
jenny,0.0820323848831957,fr,theblackdonnellys
tommy,0.0712495629746687,fr,theblackdonnellys
veux,0.0655122183284098,fr,theblackdonnellys
alo,0.0650817092631682,fr,theblackdonnellys
whitey,0.0595857103190988,fr,theblackdonnellys
jimmy,0.056746631675728,fr,theblackdonnellys
heure,0.054873482018668,fr,theblackdonnellys
tre,0.0531936815487088,fr,theblackdonnellys
fric,0.0527896269655515,fr,theblackdonnellys
frre,0.0481542801388311,fr,theblackdonnellys
pre,0.0459145461788855,fr,theblackdonnellys
besoin,0.0453546126888991,fr,theblackdonnellys
problme,0.0447946791989127,fr,theblackdonnellys
ici,0.0447946791989127,fr,theblackdonnellys
argent,0.0414350782589942,fr,theblackdonnellys
lino,0.0402424827212705,fr,theblackdonnellys
salut,0.039755277789035,fr,theblackdonnellys
samson,0.0383381365305671,fr,theblackdonnellys
downtown,0.0377246781201139,fr,theblackdonnellys
gars,0.036418451211977,fr,theblackdonnellys
mme,0.0363956768491165,fr,theblackdonnellys
mec,0.0349787563895287,fr,theblackdonnellys
joanie,0.0346326209630481,fr,theblackdonnellys
quelqu,0.0335960093991845,fr,theblackdonnellys
aimer,0.0330360759091981,fr,theblackdonnellys
aider,0.0319162089292253,fr,theblackdonnellys
cottero,0.0315793967483238,fr,theblackdonnellys
seanie,0.0306513009725926,fr,theblackdonnellys
farrell,0.0305638476225543,fr,theblackdonnellys
accord,0.0291165414792932,fr,theblackdonnellys
irlandais,0.0287146386021693,fr,theblackdonnellys
petit,0.0285566079893068,fr,theblackdonnellys
laisse,0.0285566079893068,fr,theblackdonnellys
tuer,0.027436741009334,fr,theblackdonnellys
appeler,0.027436741009334,fr,theblackdonnellys
reilly,0.0272300809310046,fr,theblackdonnellys
pass,0.0263168740293612,fr,theblackdonnellys
demande,0.0263168740293612,fr,theblackdonnellys
arrte,0.0263168740293612,fr,theblackdonnellys
italien,0.0261195291133205,fr,theblackdonnellys
butterbro,0.0258376882486285,fr,theblackdonnellys
tai,0.0254010325127001,fr,theblackdonnellys
sortir,0.0251970070493884,fr,theblackdonnellys
sai,0.0251970070493884,fr,theblackdonnellys
bar,0.0250805677560819,fr,theblackdonnellys
buter,0.0246348135986652,fr,theblackdonnellys
quartier,0.024488325186519,fr,theblackdonnellys
vien,0.0240771400694155,fr,theblackdonnellys
dsol,0.0240771400694155,fr,theblackdonnellys
perdre,0.0240771400694155,fr,theblackdonnellys
trs,0.0240771400694155,fr,theblackdonnellys
bob,0.0239128217537034,fr,theblackdonnellys
immeuble,0.0234252690454393,fr,theblackdonnellys
man,0.0230725221382674,fr,theblackdonnellys
donne,0.0229572730894427,fr,theblackdonnellys
putain,0.0220992202902733,fr,theblackdonnellys
attendre,0.0218374061094699,fr,theblackdonnellys
apr,0.0218374061094699,fr,theblackdonnellys
semaine,0.0212774726194835,fr,theblackdonnellys
franny,0.0210793957111417,fr,theblackdonnellys
prend,0.0207175391294971,fr,theblackdonnellys
payer,0.0204853788067371,fr,theblackdonnellys
vinnie,0.0204780634823053,fr,theblackdonnellys
soir,0.02032082601016,fr,theblackdonnellys
voil,0.0201576056395107,fr,theblackdonnellys
mal,0.0201576056395107,fr,theblackdonnellys
seannie,0.0200959797489333,fr,theblackdonnellys
frankie,0.0200424919463512,fr,theblackdonnellys
loky,0.0195940138777581,fr,theblackdonnellys
bobby,0.0186512032904292,fr,theblackdonnellys
mourir,0.0184778051695515,fr,theblackdonnellys
traduction,0.0183703019988001,fr,theblackdonnellys
merde,0.0182092256059885,fr,theblackdonnellys
regarder,0.017917871679565,fr,theblackdonnellys
papa,0.017917871679565,fr,theblackdonnellys
frangin,0.0178427229751093,fr,theblackdonnellys
lester,0.0176088412459188,fr,theblackdonnellys
attend,0.0174984890643045,fr,theblackdonnellys
minute,0.0174984890643045,fr,theblackdonnellys
occuper,0.0173579381895786,fr,theblackdonnellys
raison,0.0173579381895786,fr,theblackdonnellys
aujourd,0.0173579381895786,fr,theblackdonnellys
doke,0.0172251254990857,fr,theblackdonnellys
train,0.0169340216751334,fr,theblackdonnellys
taient,0.0167980046995922,fr,theblackdonnellys
chercher,0.0167980046995922,fr,theblackdonnellys
maison,0.0167980046995922,fr,theblackdonnellys
ide,0.0167980046995922,fr,theblackdonnellys
synchronisé,0.0166809587261153,fr,theblackdonnellys
kat,0.0165886440686151,fr,theblackdonnellys
restaurant,0.0164605141178861,fr,theblackdonnellys
coup,0.0163695542859622,fr,theblackdonnellys
affaire,0.0162380712096058,fr,theblackdonnellys
ami,0.0162380712096058,fr,theblackdonnellys
parl,0.0162380712096058,fr,theblackdonnellys
mentir,0.0160621113042034,fr,theblackdonnellys
super,0.0160621113042034,fr,theblackdonnellys
air,0.0156781377196194,fr,theblackdonnellys
finir,0.0156781377196194,fr,theblackdonnellys
question,0.015118204229633,fr,theblackdonnellys
porte,0.015118204229633,fr,theblackdonnellys
mort,0.015118204229633,fr,theblackdonnellys
nuit,0.015118204229633,fr,theblackdonnellys
revenir,0.015118204229633,fr,theblackdonnellys
tlphone,0.014931905601536,fr,theblackdonnellys
raire,0.0148964275797747,fr,theblackdonnellys
ferme,0.0147949958048656,fr,theblackdonnellys
eddie,0.0147808881591991,fr,theblackdonnellys
plat,0.0146761521184489,fr,theblackdonnellys
demand,0.0145582707396466,fr,theblackdonnellys
tte,0.0145582707396466,fr,theblackdonnellys
oncle,0.0144852524237397,fr,theblackdonnellys
foutre,0.014457340247893,fr,theblackdonnellys
antipascal,0.014354271249238,fr,theblackdonnellys
dbl,0.014354271249238,fr,theblackdonnellys
longdal,0.014354271249238,fr,theblackdonnellys
compte,0.0139983372496602,fr,theblackdonnellys
nom,0.0139983372496602,fr,theblackdonnellys
mieux,0.0139983372496602,fr,theblackdonnellys
apprendre,0.0139983372496602,fr,theblackdonnellys
vrai,0.0139983372496602,fr,theblackdonnellys
cul,0.0139915025558114,fr,theblackdonnellys
boulot,0.0136569192044914,fr,theblackdonnellys
earl,0.0135452624968606,fr,theblackdonnellys
nouveau,0.0134384037596738,fr,theblackdonnellys
main,0.0134384037596738,fr,theblackdonnellys
dteste,0.0133007530280616,fr,theblackdonnellys
pasbel,0.0132191037839844,fr,theblackdonnellys
jouteya,0.0132191037839844,fr,theblackdonnellys
parieur,0.0131244369918067,fr,theblackdonnellys
rital,0.0130163418526336,fr,theblackdonnellys
business,0.0127833156030753,fr,theblackdonnellys
flingue,0.0126127812520316,fr,theblackdonnellys
essaye,0.0125428007052902,fr,theblackdonnellys
mccready,0.0124136896498122,fr,theblackdonnellys
arriv,0.012318536779701,fr,theblackdonnellys
aide,0.012318536779701,fr,theblackdonnellys
essayer,0.012318536779701,fr,theblackdonnellys
matthew,0.0123048577324793,fr,theblackdonnellys
bookmaker,0.0121907362471745,fr,theblackdonnellys
dickie,0.012172025663166,fr,theblackdonnellys
bosser,0.0121402888651008,fr,theblackdonnellys
bang,0.0118695533864937,fr,theblackdonnellys
corps,0.0118538151725933,fr,theblackdonnellys
hier,0.0118538151725933,fr,theblackdonnellys
service,0.0118538151725933,fr,theblackdonnellys
newton,0.0118357743771311,fr,theblackdonnellys
maxwell,0.0118180563757317,fr,theblackdonnellys
fille,0.0117586032897145,fr,theblackdonnellys
confiance,0.0117586032897145,fr,theblackdonnellys
gros,0.0117586032897145,fr,theblackdonnellys
famille,0.0117586032897145,fr,theblackdonnellys
pense,0.0117586032897145,fr,theblackdonnellys
souvenir,0.0117586032897145,fr,theblackdonnellys
veu,0.0117586032897145,fr,theblackdonnellys
trevor,0.0115599889281074,fr,theblackdonnellys
endroit,0.0112893477834222,fr,theblackdonnellys
all,0.0112893477834222,fr,theblackdonnellys
block,0.0112055287021593,fr,theblackdonnellys
arrter,0.0111986697997281,fr,theblackdonnellys
appel,0.0111986697997281,fr,theblackdonnellys
pay,0.0109875785883987,fr,theblackdonnellys
cole,0.0109875785883987,fr,theblackdonnellys
ecoute,0.0108921099849246,fr,theblackdonnellys
balancer,0.0107969605124797,fr,theblackdonnellys
sal,0.0107409908056645,fr,theblackdonnellys
mari,0.0107248803942511,fr,theblackdonnellys
changer,0.0107248803942511,fr,theblackdonnellys
servir,0.0107248803942511,fr,theblackdonnellys
cheval,0.0106592412963348,fr,theblackdonnellys
fils,0.0106387363097417,fr,theblackdonnellys
grand,0.0106387363097417,fr,theblackdonnellys
chance,0.0106387363097417,fr,theblackdonnellys
voiture,0.0105786806099621,fr,theblackdonnellys
monkee,0.0105752830271875,fr,theblackdonnellys
cloudy,0.0105752830271875,fr,theblackdonnellys
rend,0.0104936269168586,fr,theblackdonnellys
parier,0.0102426894033685,fr,theblackdonnellys
voi,0.0102426894033685,fr,theblackdonnellys
lambert,0.0102390317411526,fr,theblackdonnellys
oublier,0.01016041300508,fr,theblackdonnellys
matin,0.01016041300508,fr,theblackdonnellys
doi,0.01016041300508,fr,theblackdonnellys
jouer,0.01016041300508,fr,theblackdonnellys
rentrer,0.0100788028197553,fr,theblackdonnellys
trouv,0.0100788028197553,fr,theblackdonnellys
vieux,0.0100788028197553,fr,theblackdonnellys
con,0.0100322271024327,fr,theblackdonnellys
bureau,0.0099106476436998,fr,theblackdonnellys
napolon,0.0098946479164758,fr,theblackdonnellys
ramne,0.0098309913685672,fr,theblackdonnellys
frr,0.0097641136020434,fr,theblackdonnellys
pognon,0.0097182904303058,fr,theblackdonnellys
chef,0.0096736511031814,fr,theblackdonnellys
boire,0.0096736511031814,fr,theblackdonnellys
fou,0.0095959456159089,fr,theblackdonnellys
nico,0.0095815435050644,fr,theblackdonnellys
bagnole,0.0095715462007231,fr,theblackdonnellys
com,0.0095593273673216,fr,theblackdonnellys
pute,0.0095593273673216,fr,theblackdonnellys
meilleur,0.0095188693297689,fr,theblackdonnellys
essay,0.0095188693297689,fr,theblackdonnellys
comprend,0.0095188693297689,fr,theblackdonnellys
travailler,0.0095188693297689,fr,theblackdonnellys
allez,0.0095188693297689,fr,theblackdonnellys
tomber,0.0095188693297689,fr,theblackdonnellys
deal,0.0095075418262604,fr,theblackdonnellys
conseiller,0.0094819166594381,fr,theblackdonnellys
propertie,0.0094311695300284,fr,theblackdonnellys
voler,0.0094032716532996,fr,theblackdonnellys
imagine,0.0093276683705409,fr,theblackdonnellys
mafia,0.0093228404608145,fr,theblackdonnellys
kenny,0.0092287227921485,fr,theblackdonnellys
gamin,0.0091783493166876,fr,theblackdonnellys
discuter,0.0091046128029942,fr,theblackdonnellys
sac,0.0091046128029942,fr,theblackdonnellys
jambe,0.0090318624502457,fr,theblackdonnellys
continuer,0.0090314782267378,fr,theblackdonnellys
asseoir,0.0090314782267378,fr,theblackdonnellys
parle,0.0090314782267378,fr,theblackdonnellys
courant,0.0090314782267378,fr,theblackdonnellys
tard,0.0090314782267378,fr,theblackdonnellys
rai,0.0090228177476469,fr,theblackdonnellys
civet,0.0090228177476469,fr,theblackdonnellys
sentir,0.0089589358397825,fr,theblackdonnellys
devenir,0.0089589358397825,fr,theblackdonnellys
coute,0.0089589358397825,fr,theblackdonnellys
peur,0.0089589358397825,fr,theblackdonnellys
donn,0.0089589358397825,fr,theblackdonnellys
veille,0.0089220388761668,fr,theblackdonnellys
bordel,0.0088155671749684,fr,theblackdonnellys
hypothque,0.0086596769059602,fr,theblackdonnellys
ssu,0.0086125627495428,fr,theblackdonnellys
dok,0.0086125627495428,fr,theblackdonnellys
allo,0.0085580864167264,fr,theblackdonnellys
ville,0.0085355745028071,fr,theblackdonnellys
plan,0.0085355745028071,fr,theblackdonnellys
erreur,0.0084670108375667,fr,theblackdonnellys
suite,0.0084670108375667,fr,theblackdonnellys
ensembl,0.0084670108375667,fr,theblackdonnellys
prochain,0.0084670108375667,fr,theblackdonnellys
filer,0.008429738286896,fr,theblackdonnellys
message,0.0083990023497961,fr,theblackdonnellys
dernire,0.0083990023497961,fr,theblackdonnellys
mauvais,0.0083990023497961,fr,theblackdonnellys
bonjour,0.0083990023497961,fr,theblackdonnellys
men,0.0083618671368601,fr,theblackdonnellys
foutu,0.0082278626966371,fr,theblackdonnellys
came,0.0082032384883195,fr,theblackdonnellys
rcuprer,0.0081617098242233,fr,theblackdonnellys
lounge,0.008114683775444,fr,theblackdonnellys
mets,0.0080961105388201,fr,theblackdonnellys
pote,0.0080961105388201,fr,theblackdonnellys
neveu,0.0080532710296644,fr,theblackdonnellys
mre,0.0079665362026199,fr,theblackdonnellys
laiss,0.0079665362026199,fr,theblackdonnellys
pose,0.0079025434483955,fr,theblackdonnellys
plutt,0.0079025434483955,fr,theblackdonnellys
sub,0.0078924492964473,fr,theblackdonnellys
client,0.0078911877623155,fr,theblackdonnellys
sandwich,0.0078653043288523,fr,theblackdonnellys
caf,0.0077645909127987,fr,theblackdonnellys
jack,0.0077356307310815,fr,theblackdonnellys
banque,0.0077099665481209,fr,theblackdonnellys
hpital,0.0077021086804892,fr,theblackdonnellys
paquet,0.0075855333275505,fr,theblackdonnellys
casser,0.0075787305510645,fr,theblackdonnellys
syndicat,0.0075586703346823,fr,theblackdonnellys
lach,0.0075165117528769,fr,theblackdonnellys
brownstone,0.0074482137898873,fr,theblackdonnellys
teach,0.0074482137898873,fr,theblackdonnellys
farell,0.0074482137898873,fr,theblackdonnellys
hokey,0.0074482137898873,fr,theblackdonnellys
devrai,0.0073974979024328,fr,theblackdonnellys
expliquer,0.0073380760592244,fr,theblackdonnellys
derrire,0.0073380760592244,fr,theblackdonnellys
prt,0.0073380760592244,fr,theblackdonnellys
plein,0.0073380760592244,fr,theblackdonnellys
journe,0.0073380760592244,fr,theblackdonnellys
guignol,0.0072830709764072,fr,theblackdonnellys
garde,0.0072791353698233,fr,theblackdonnellys
fait,0.0072791353698233,fr,theblackdonnellys
aime,0.0072791353698233,fr,theblackdonnellys
camion,0.0071836853947178,fr,theblackdonnellys
jukebo,0.0071250959555484,fr,theblackdonnellys
greenwood,0.0070733771475213,fr,theblackdonnellys
myspace,0.0070676056546255,fr,theblackdonnellys
file,0.0070674693357775,fr,theblackdonnellys
carr,0.0070407664132915,fr,theblackdonnellys
gueul,0.0070101734027025,fr,theblackdonnellys
rcupr,0.0070101734027025,fr,theblackdonnellys
arranger,0.0069957512779057,fr,theblackdonnellys
