mot,poids_tfidf,langue,serie
tonray,0.1794190683753173,en,thekillpoint
sarge,0.1323220825116923,en,thekillpoint
talk,0.1084322761985331,en,thekillpoint
bank,0.1005524659307301,en,thekillpoint
hostage,0.0880322177293694,en,thekillpoint
shit,0.0756348989210019,en,thekillpoint
hawke,0.0722664436175531,en,thekillpoint
cap,0.0685273305856761,en,thekillpoint
platoon,0.058483944675722,en,thekillpoint
boy,0.0578305473058843,en,thekillpoint
life,0.0566257442370117,en,thekillpoint
leon,0.0534455996838625,en,thekillpoint
son,0.0522226509212761,en,thekillpoint
kill,0.0518065319615213,en,thekillpoint
derz,0.0433080509871455,en,thekillpoint
sergeant,0.0429968856833626,en,thekillpoint
captain,0.0417639527093416,en,thekillpoint
hear,0.040963304341668,en,thekillpoint
home,0.0397585012727954,en,thekillpoint
abe,0.0375397312439113,en,thekillpoint
happen,0.0373488951350503,en,thekillpoint
connie,0.0371592668323517,en,thekillpoint
help,0.0361440920661777,en,thekillpoint
bullshit,0.0360878406850069,en,thekillpoint
gun,0.0353938935289022,en,thekillpoint
shoot,0.0349392889973051,en,thekillpoint
swat,0.0346312943192112,en,thekillpoint
beck,0.0346163034554541,en,thekillpoint
sniper,0.0344142352313248,en,thekillpoint
brother,0.0337344859284325,en,thekillpoint
little,0.0337344859284325,en,thekillpoint
work,0.0337344859284325,en,thekillpoint
wolf,0.0336868881370091,en,thekillpoint
rabbit,0.0333890081860777,en,thekillpoint
speak,0.0325296828595599,en,thekillpoint
hell,0.0313248797906873,en,thekillpoint
goddamn,0.0309030396032936,en,thekillpoint
daughter,0.0308517744857738,en,thekillpoint
face,0.0303620063495791,en,thekillpoint
negotiator,0.0297498922890303,en,thekillpoint
cause,0.0289152736529421,en,thekillpoint
stay,0.0289152736529421,en,thekillpoint
bad,0.0277104705840695,en,thekillpoint
leroy,0.0270999163565824,en,thekillpoint
augie,0.0267587928820803,en,thekillpoint
point,0.0265056675151969,en,thekillpoint
soldier,0.0260265790765142,en,thekillpoint
ahead,0.0257089517521353,en,thekillpoint
frequency,0.025559232923586,en,thekillpoint
away,0.0253008644463243,en,thekillpoint
bring,0.0253008644463243,en,thekillpoint
team,0.0250797106629618,en,thekillpoint
fallujah,0.0247774905907068,en,thekillpoint
corporal,0.0247728445549011,en,thekillpoint
bernard,0.0247728445549011,en,thekillpoint
derzius,0.0247474577069403,en,thekillpoint
follow,0.0242896050796633,en,thekillpoint
walk,0.0240960613774518,en,thekillpoint
ready,0.0240960613774518,en,thekillpoint
control,0.0232604801566939,en,thekillpoint
marco,0.0230775356369694,en,thekillpoint
send,0.0230751248256801,en,thekillpoint
hand,0.0228912583085792,en,thekillpoint
line,0.0228912583085792,en,thekillpoint
darksh,0.0227934352806624,en,thekillpoint
breach,0.0224331577478413,en,thekillpoint
ass,0.0223917679808816,en,thekillpoint
kid,0.0222132776297571,en,thekillpoint
break,0.0218606445716969,en,thekillpoint
situation,0.0214891496425478,en,thekillpoint
ashley,0.0210512403995874,en,thekillpoint
deal,0.0206461643177138,en,thekillpoint
stop,0.020481652170834,en,thekillpoint
place,0.020481652170834,en,thekillpoint
lose,0.020481652170834,en,thekillpoint
run,0.020481652170834,en,thekillpoint
addie,0.0203316581639743,en,thekillpoint
meringue,0.0196585570984082,en,thekillpoint
order,0.0195877727635317,en,thekillpoint
big,0.0194316840637306,en,thekillpoint
military,0.0193148251370695,en,thekillpoint
hour,0.0192768491019614,en,thekillpoint
sound,0.0192768491019614,en,thekillpoint
long,0.0192768491019614,en,thekillpoint
fire,0.0192768491019614,en,thekillpoint
save,0.0192768491019614,en,thekillpoint
fine,0.0182172038097474,en,thekillpoint
negotiation,0.0177683524770964,en,thekillpoint
country,0.0176969467644511,en,thekillpoint
release,0.0175557974640733,en,thekillpoint
calm,0.0175557974640733,en,thekillpoint
agent,0.0173974660578828,en,thekillpoint
war,0.0171393011680902,en,thekillpoint
deke,0.0170950764604968,en,thekillpoint
trust,0.0170027235557643,en,thekillpoint
cake,0.0169783747772753,en,thekillpoint
easy,0.0168672429642162,en,thekillpoint
word,0.0168672429642162,en,thekillpoint
miss,0.0168672429642162,en,thekillpoint
wrong,0.0168672429642162,en,thekillpoint
head,0.0168672429642162,en,thekillpoint
sure,0.0168672429642162,en,thekillpoint
win,0.0168672429642162,en,thekillpoint
robby,0.0160552757292482,en,thekillpoint
trache,0.0160552757292482,en,thekillpoint
dad,0.0159150653703695,en,thekillpoint
couple,0.0157882433017811,en,thekillpoint
grime,0.0157268456787266,en,thekillpoint
electricity,0.0156824202574581,en,thekillpoint
unarmed,0.0156698527670052,en,thekillpoint
understand,0.0156624398953436,en,thekillpoint
problem,0.0156624398953436,en,thekillpoint
end,0.0156624398953436,en,thekillpoint
start,0.0156624398953436,en,thekillpoint
question,0.0156624398953436,en,thekillpoint
sit,0.0156624398953436,en,thekillpoint
use,0.0156624398953436,en,thekillpoint
dead,0.0156624398953436,en,thekillpoint
like,0.0156624398953436,en,thekillpoint
door,0.0156624398953436,en,thekillpoint
clear,0.0156624398953436,en,thekillpoint
believe,0.0156624398953436,en,thekillpoint
