mot,poids_tfidf,langue,serie
object,0.3250350150806373,en,thelostroom
ruber,0.1827818334389356,en,thelostroom
key,0.1691487481074225,en,thelostroom
room,0.140681597946768,en,thelostroom
sood,0.1131506587955315,en,thelostroom
motel,0.0997724001789429,en,thelostroom
occupant,0.0896498308328465,en,thelostroom
bring,0.0830529915589353,en,thelostroom
wally,0.0730274994214989,en,thelostroom
legion,0.0720166421628627,en,thelostroom
arlene,0.0719064952204977,en,thelostroom
iggy,0.0715082159736683,en,thelostroom
daughter,0.0711814993131113,en,thelostroom
kreutzfeld,0.069631174643404,en,thelostroom
help,0.0661034014448668,en,thelostroom
collector,0.0659223052249794,en,thelostroom
harold,0.0640715614518432,en,thelostroom
comb,0.0615877346830719,en,thelostroom
vault,0.0568378574486533,en,thelostroom
detective,0.056767455663521,en,thelostroom
happen,0.0559336473764258,en,thelostroom
conroy,0.0547343522536415,en,thelostroom
kill,0.0542386883650189,en,thelostroom
door,0.0525437293536121,en,thelostroom
sure,0.042373975285171,en,thelostroom
order,0.0413351436637757,en,thelostroom
prime,0.0401945565705456,en,thelostroom
anna,0.0398887875936314,en,thelostroom
win,0.0372890982509505,en,thelostroom
hell,0.0372890982509505,en,thelostroom
reunification,0.034815587321702,en,thelostroom
cabal,0.0340016278307032,en,thelostroom
open,0.0338991802281368,en,thelostroom
picture,0.0324628910509194,en,thelostroom
shoot,0.03220422121673,en,thelostroom
believe,0.03220422121673,en,thelostroom
little,0.0305092622053231,en,thelostroom
talk,0.0305092622053231,en,thelostroom
polaroid,0.0298781473979093,en,thelostroom
scissor,0.0296749405545,en,thelostroom
watch,0.0288143031939163,en,thelostroom
work,0.0288143031939163,en,thelostroom
understand,0.0288143031939163,en,thelostroom
box,0.0282264099021208,en,thelostroom
stop,0.0271193441825094,en,thelostroom
lose,0.0271193441825094,en,thelostroom
wrong,0.0271193441825094,en,thelostroom
kid,0.0260420119438212,en,thelostroom
jennifer,0.0259923541440484,en,thelostroom
bad,0.0254243851711026,en,thelostroom
stay,0.0254243851711026,en,thelostroom
dead,0.0254243851711026,en,thelostroom
pen,0.0250825571024009,en,thelostroom
clock,0.0240641784555831,en,thelostroom
bridgewater,0.0240499502748795,en,thelostroom
close,0.0237294261596958,en,thelostroom
elephant,0.022636932246551,en,thelostroom
bus,0.0220737075168635,en,thelostroom
easy,0.0220344671482889,en,thelostroom
use,0.0220344671482889,en,thelostroom
friend,0.0220344671482889,en,thelostroom
eye,0.0220344671482889,en,thelostroom
willowbrook,0.0214524647921005,en,thelostroom
burn,0.0206675718318878,en,thelostroom
son,0.0205028785584754,en,thelostroom
deal,0.0205028785584754,en,thelostroom
daddy,0.0203619971547242,en,thelostroom
place,0.0203395081368821,en,thelostroom
ignacio,0.0197415448434524,en,thelostroom
promise,0.0190974754254688,en,thelostroom
reset,0.0190880219723058,en,thelostroom
break,0.0187943053452691,en,thelostroom
remember,0.0186445491254752,en,thelostroom
pick,0.0186445491254752,en,thelostroom
life,0.0186445491254752,en,thelostroom
long,0.0186445491254752,en,thelostroom
away,0.0186445491254752,en,thelostroom
start,0.0186445491254752,en,thelostroom
