mot,poids_tfidf,langue,serie
objet,0.336506307439585,fr,thelostroom
ruber,0.2190165544238973,fr,thelostroom
joe,0.1667563947726379,fr,thelostroom
glaneur,0.1632779099491134,fr,thelostroom
chambre,0.1496953189476531,fr,thelostroom
miller,0.1205278439390465,fr,thelostroom
anner,0.1193000416171984,fr,thelostroom
sood,0.1147229570791843,fr,thelostroom
ici,0.0956050438135415,fr,thelostroom
crin,0.0942203576912167,fr,thelostroom
fille,0.0874684443400486,fr,thelostroom
motel,0.086357923057267,fr,thelostroom
iggy,0.0856548706283788,fr,thelostroom
taire,0.0813659947349289,fr,thelostroom
conroy,0.0810682498537527,fr,thelostroom
arlene,0.0794620029924746,fr,thelostroom
tre,0.0793318448665557,fr,thelostroom
stritzke,0.0730055181412991,fr,thelostroom
accord,0.0711952453930628,fr,thelostroom
porte,0.0671269456563163,fr,thelostroom
lgion,0.0648666279459886,fr,thelostroom
gallup,0.0631357614186041,fr,thelostroom
pendule,0.0610684951902929,fr,thelostroom
inspecteur,0.0600985195522173,fr,thelostroom
dieu,0.054922046446077,fr,thelostroom
ordre,0.0508289173468413,fr,thelostroom
kang,0.0480229146909157,fr,thelostroom
ramener,0.0451136577650461,fr,thelostroom
photo,0.0448357870729354,fr,thelostroom
jennifer,0.0433818333153448,fr,thelostroom
salut,0.0427171472358377,fr,thelostroom
nom,0.0427171472358377,fr,thelostroom
kreutzfeld,0.0417174389378852,fr,thelostroom
isaac,0.0414649277034381,fr,thelostroom
mme,0.0406829973674644,fr,thelostroom
cabale,0.039405260535018,fr,thelostroom
montague,0.0380471462113636,fr,thelostroom
prie,0.0375114289229896,fr,thelostroom
ouvrir,0.0369111745350377,fr,thelostroom
martin,0.0363595719176113,fr,thelostroom
runification,0.036077577953488,fr,thelostroom
tuer,0.0345805477623448,fr,thelostroom
appeler,0.0345805477623448,fr,thelostroom
revenir,0.0325463978939715,fr,thelostroom
aider,0.0325463978939715,fr,thelostroom
fort,0.0325463978939715,fr,thelostroom
attendre,0.0325463978939715,fr,thelostroom
ignacio,0.0315242084280144,fr,thelostroom
harold,0.0314592374870117,fr,thelostroom
vrang,0.0312880792034139,fr,thelostroom
dsol,0.0305122480255983,fr,thelostroom
fait,0.0305122480255983,fr,thelostroom
perdre,0.0305122480255983,fr,thelostroom
peindre,0.0299059505071214,fr,thelostroom
bridgewater,0.0288137488145494,fr,thelostroom
pendul,0.0286220872669544,fr,thelostroom
