mot,poids_tfidf,langue,serie
taire,0.2566891758139968,fr,thementalist
lisbon,0.1914109916849002,fr,thementalist
cbi,0.1469208692932748,fr,thementalist
rigsby,0.127262443120231,fr,thementalist
tre,0.095451242264167,fr,thementalist
ici,0.0893972522685539,fr,thementalist
aimer,0.0647776929530605,fr,thementalist
mme,0.05993450095657,fr,thementalist
trs,0.0464139232997006,fr,thementalist
accord,0.0454049249670984,fr,thementalist
affaire,0.0450013256340576,fr,thementalist
mort,0.0435887279684145,fr,thementalist
bosco,0.0430015772909827,fr,thementalist
agent,0.041347078579836,fr,thementalist
heure,0.0405617329706079,fr,thementalist
quelqu,0.0397545343045262,fr,thementalist
appeler,0.0389473356384444,fr,thementalist
meurtre,0.037608857976541,fr,thementalist
tuer,0.0373329383062809,fr,thementalist
mourir,0.0373329383062809,fr,thementalist
nom,0.0371311386397605,fr,thementalist
argent,0.0371311386397605,fr,thementalist
mal,0.0363239399736787,fr,thementalist
dsol,0.0353149416410766,fr,thementalist
cho,0.0347381914923603,fr,thementalist
selby,0.0341435823005497,fr,thementalist
nuit,0.0339023439754335,fr,thementalist
sylvan,0.0331089282914422,fr,thementalist
ami,0.0328933456428313,fr,thementalist
regarder,0.0326915459763109,fr,thementalist
apr,0.0324897463097904,fr,thementalist
aider,0.0314807479771882,fr,thementalist
besoin,0.0310771486441474,fr,thementalist
fille,0.0302699499780656,fr,thementalist
question,0.0300681503115452,fr,thementalist
arme,0.029059151978943,fr,thementalist
problme,0.0288573523124225,fr,thementalist
main,0.0284537529793817,fr,thementalist
mari,0.0282772816374725,fr,thementalist
petit,0.0282519533128612,fr,thementalist
sortir,0.0282519533128612,fr,thementalist
voiture,0.0281705055894719,fr,thementalist
zacharie,0.0279356582459043,fr,thementalist
mcteer,0.0279356582459043,fr,thementalist
trouv,0.0276465543132999,fr,thementalist
voil,0.027242954980259,fr,thementalist
police,0.0269042466469946,fr,thementalist
bureau,0.0268934850335041,fr,thementalist
attendre,0.0268393556472182,fr,thementalist
fait,0.0268393556472182,fr,thementalist
raison,0.0262339566476569,fr,thementalist
vrai,0.0260321569811364,fr,thementalist
appel,0.0254267579815751,fr,thementalist
pre,0.0252249583150547,fr,thementalist
mois,0.0252249583150547,fr,thementalist
ignorer,0.0250223427439505,fr,thementalist
lisell,0.023797042209474,fr,thementalist
flic,0.0232478600746384,fr,thementalist
kara,0.0232137629963432,fr,thementalist
tier,0.0223997629837685,fr,thementalist
maison,0.0221979633172481,fr,thementalist
stutzer,0.0217277341912589,fr,thementalist
rosemary,0.0217004173553645,fr,thementalist
vrit,0.0215011624038491,fr,thementalist
travail,0.0211889649846459,fr,thementalist
xander,0.0211368148060963,fr,thementalist
cody,0.0210897448926382,fr,thementalist
scarlett,0.0209107955812263,fr,thementalist
procureur,0.0208058238930362,fr,thementalist
parl,0.020785365651605,fr,thementalist
travailler,0.020785365651605,fr,thementalist
noah,0.0207254488548601,fr,thementalist
beckworth,0.0206930801821513,fr,thementalist
gulbrand,0.0206930801821513,fr,thementalist
grand,0.0205835659850846,fr,thementalist
essayer,0.0205835659850846,fr,thementalist
porte,0.0205835659850846,fr,thementalist
tueur,0.0203768909073531,fr,thementalist
mieux,0.0201799666520437,fr,thementalist
pass,0.0199781669855233,fr,thementalist
coup,0.0199365007228223,fr,thementalist
famille,0.0197763673190028,fr,thementalist
minelli,0.0196850970628617,fr,thementalist
renfrew,0.0196584261730438,fr,thementalist
mentaliste,0.0196584261730438,fr,thementalist
dsole,0.0193261996802869,fr,thementalist
vol,0.0192776172157222,fr,thementalist
revenir,0.0191709683194415,fr,thementalist
arrte,0.0191709683194415,fr,thementalist
finir,0.0187673689864007,fr,thementalist
avocat,0.0186391315178461,fr,thementalist
undine,0.0186237721639362,fr,thementalist
kirby,0.0182782923004297,fr,thementalist
fils,0.0181619699868393,fr,thementalist
corps,0.0181055975952162,fr,thementalist
hypnose,0.018053587542735,fr,thementalist
patrice,0.0178849971436199,fr,thementalist
faux,0.0176369689420437,fr,thementalist
