mot,poids_tfidf,langue,serie
skynet,0.1579711185619171,en,thesarahconnorchronicles
connor,0.1010113047829756,en,thesarahconnorchronicles
kill,0.0969671834604748,en,thesarahconnorchronicles
talk,0.0743415073196973,en,thesarahconnorchronicles
happen,0.0606942740919268,en,thesarahconnorchronicles
riley,0.0585458657923426,en,thesarahconnorchronicles
turk,0.0573726059529996,en,thesarahconnorchronicles
work,0.0567437592102038,en,thesarahconnorchronicles
mom,0.0556959667279966,en,thesarahconnorchronicles
cromartie,0.0534827277430525,en,thesarahconnorchronicles
help,0.050638418029359,en,thesarahconnorchronicles
cameron,0.0483639760893265,en,thesarahconnorchronicles
die,0.0423782505493927,en,thesarahconnorchronicles
future,0.0418252205228368,en,thesarahconnorchronicles
sure,0.0405825619667913,en,thesarahconnorchronicles
dead,0.040223424250271,en,thesarahconnorchronicles
stop,0.0395051488172304,en,thesarahconnorchronicles
charley,0.0390408916602083,en,thesarahconnorchronicles
run,0.0387868733841899,en,thesarahconnorchronicles
machine,0.036843946937423,en,thesarahconnorchronicles
metal,0.0362965086827058,en,thesarahconnorchronicles
life,0.0355546339355074,en,thesarahconnorchronicles
derek,0.0354688594221976,en,thesarahconnorchronicles
house,0.0348363585024668,en,thesarahconnorchronicles
computer,0.0345153416111004,en,thesarahconnorchronicles
girl,0.033758945352906,en,thesarahconnorchronicles
win,0.0333998076363857,en,thesarahconnorchronicles
believe,0.0326815322033452,en,thesarahconnorchronicles
love,0.0319632567703046,en,thesarahconnorchronicles
human,0.0316361439245581,en,thesarahconnorchronicles
son,0.0314959463920428,en,thesarahconnorchronicles
friend,0.0312449813372641,en,thesarahconnorchronicles
hear,0.0312449813372641,en,thesarahconnorchronicles
live,0.0308858436207438,en,thesarahconnorchronicles
hell,0.0305267059042235,en,thesarahconnorchronicles
reese,0.0302563166759744,en,thesarahconnorchronicles
little,0.0301675681877032,en,thesarahconnorchronicles
chronicle,0.0295435216650835,en,thesarahconnorchronicles
bad,0.0294492927546627,en,thesarahconnorchronicles
send,0.0293238121581088,en,thesarahconnorchronicles
kyle,0.0287263103307364,en,thesarahconnorchronicles
safe,0.0284645701014058,en,thesarahconnorchronicles
understand,0.0280127418885816,en,thesarahconnorchronicles
kid,0.0272217982606663,en,thesarahconnorchronicles
new,0.0265761910225005,en,thesarahconnorchronicles
long,0.0265761910225005,en,thesarahconnorchronicles
remember,0.0258579155894599,en,thesarahconnorchronicles
lie,0.0258579155894599,en,thesarahconnorchronicles
home,0.0254987778729396,en,thesarahconnorchronicles
stay,0.0251396401564194,en,thesarahconnorchronicles
fine,0.0246175213179185,en,thesarahconnorchronicles
change,0.0240622270068585,en,thesarahconnorchronicles
place,0.0240622270068585,en,thesarahconnorchronicles
start,0.0237030892903383,en,thesarahconnorchronicles
chess,0.0234916350686755,en,thesarahconnorchronicles
projet,0.0234078604269678,en,thesarahconnorchronicles
world,0.023343951573818,en,thesarahconnorchronicles
mother,0.023343951573818,en,thesarahconnorchronicles
brother,0.023343951573818,en,thesarahconnorchronicles
weaver,0.0232127670225656,en,thesarahconnorchronicles
sherman,0.0232102332937723,en,thesarahconnorchronicles
head,0.0229848138572977,en,thesarahconnorchronicles
today,0.0229848138572977,en,thesarahconnorchronicles
real,0.0229848138572977,en,thesarahconnorchronicles
greenway,0.0227273614503865,en,thesarahconnorchronicles
play,0.0226256761407774,en,thesarahconnorchronicles
baum,0.0223090809486904,en,thesarahconnorchronicles
like,0.0219074007077369,en,thesarahconnorchronicles
family,0.0219074007077369,en,thesarahconnorchronicles
boy,0.0219074007077369,en,thesarahconnorchronicles
wrong,0.0219074007077369,en,thesarahconnorchronicles
fight,0.0219074007077369,en,thesarahconnorchronicles
lose,0.0219074007077369,en,thesarahconnorchronicles
chip,0.0218167805793042,en,thesarahconnorchronicles
night,0.0215482629912166,en,thesarahconnorchronicles
gun,0.0214778159441594,en,thesarahconnorchronicles
sleep,0.0211891252746963,en,thesarahconnorchronicles
hand,0.020829987558176,en,thesarahconnorchronicles
war,0.0208010319971811,en,thesarahconnorchronicles
bring,0.0204708498416558,en,thesarahconnorchronicles
sarkissian,0.0202865519025371,en,thesarahconnorchronicles
bedell,0.0202865519025371,en,thesarahconnorchronicles
story,0.0202732528500505,en,thesarahconnorchronicles
meet,0.0201117121251355,en,thesarahconnorchronicles
away,0.0201117121251355,en,thesarahconnorchronicles
money,0.0193934366920949,en,thesarahconnorchronicles
guess,0.0193934366920949,en,thesarahconnorchronicles
blood,0.0191871857330835,en,thesarahconnorchronicles
protect,0.0191288312101979,en,thesarahconnorchronicles
fischer,0.0188458254718027,en,thesarahconnorchronicles
system,0.0186899217208042,en,thesarahconnorchronicles
coltan,0.0186847559589364,en,thesarahconnorchronicles
lazlo,0.0186847559589364,en,thesarahconnorchronicles
room,0.0186751612590544,en,thesarahconnorchronicles
program,0.0185830489616381,en,thesarahconnorchronicles
endoskeleton,0.0184423199113974,en,thesarahconnorchronicles
hour,0.0183160235425341,en,thesarahconnorchronicles
hard,0.0183160235425341,en,thesarahconnorchronicles
enrique,0.0182568549714845,en,thesarahconnorchronicles
father,0.0182465192957729,en,thesarahconnorchronicles
problem,0.0179568858260138,en,thesarahconnorchronicles
robot,0.0179112706657573,en,thesarahconnorchronicles
school,0.0176573826555673,en,thesarahconnorchronicles
car,0.0172895205169096,en,thesarahconnorchronicles
watch,0.0172386103929733,en,thesarahconnorchronicles
door,0.0172386103929733,en,thesarahconnorchronicles
serrano,0.0169861417808513,en,thesarahconnorchronicles
dietz,0.0169861417808513,en,thesarahconnorchronicles
agent,0.0168544393542421,en,thesarahconnorchronicles
jody,0.0168090648199857,en,thesarahconnorchronicles
mission,0.0167340167755085,en,thesarahconnorchronicles
pretty,0.0166530291268272,en,thesarahconnorchronicles
child,0.0166530291268272,en,thesarahconnorchronicles
course,0.0162910067545049,en,thesarahconnorchronicles
build,0.0162910067545049,en,thesarahconnorchronicles
destroy,0.0162025629052431,en,thesarahconnorchronicles
miss,0.0161611972434124,en,thesarahconnorchronicles
idea,0.0161611972434124,en,thesarahconnorchronicles
old,0.0161611972434124,en,thesarahconnorchronicles
big,0.0159289843821825,en,thesarahconnorchronicles
body,0.0159289843821825,en,thesarahconnorchronicles
plan,0.0159289843821825,en,thesarahconnorchronicles
pos,0.0157076461864717,en,thesarahconnorchronicles
eye,0.0154429218103719,en,thesarahconnorchronicles
close,0.0154429218103719,en,thesarahconnorchronicles
