mot,poids_tfidf,langue,serie
taire,0.2061915667664188,fr,thesarahconnorchronicles
skynet,0.1635594888420341,fr,thesarahconnorchronicles
connor,0.130542774196954,fr,thesarahconnorchronicles
john,0.12786509621089,fr,thesarahconnorchronicles
ici,0.1096939135197348,fr,thesarahconnorchronicles
ellison,0.1015979563777431,fr,thesarahconnorchronicles
tre,0.101446250849078,fr,thesarahconnorchronicles
tuer,0.0643317688311226,fr,thesarahconnorchronicles
mme,0.0635070025640569,fr,thesarahconnorchronicles
mourir,0.0626822362969913,fr,thesarahconnorchronicles
cromartie,0.0613159685687167,fr,thesarahconnorchronicles
savannah,0.0597635037516136,fr,thesarahconnorchronicles
turc,0.0595963838584737,fr,thesarahconnorchronicles
besoin,0.0515478916916047,fr,thesarahconnorchronicles
ouai,0.0464731098818001,fr,thesarahconnorchronicles
machine,0.045748095278934,fr,thesarahconnorchronicles
futur,0.0452325089983992,fr,thesarahconnorchronicles
appeler,0.0433002290209479,fr,thesarahconnorchronicles
mort,0.0420630796203494,fr,thesarahconnorchronicles
fille,0.0416506964868166,fr,thesarahconnorchronicles
sarah,0.0415883248603917,fr,thesarahconnorchronicles
rees,0.0398577967246319,fr,thesarahconnorchronicles
henry,0.0397385090408418,fr,thesarahconnorchronicles
heure,0.0395887808191524,fr,thesarahconnorchronicles
quelqu,0.0395887808191524,fr,thesarahconnorchronicles
aimer,0.0391763976856195,fr,thesarahconnorchronicles
derek,0.0385808614393886,fr,thesarahconnorchronicles
baum,0.0382097750090349,fr,thesarahconnorchronicles
weaver,0.0375884347071684,fr,thesarahconnorchronicles
cameron,0.0373731230125034,fr,thesarahconnorchronicles
accord,0.0350525663502912,fr,thesarahconnorchronicles
mtal,0.0346548017270749,fr,thesarahconnorchronicles
fils,0.0334030338161598,fr,thesarahconnorchronicles
trs,0.0334030338161598,fr,thesarahconnorchronicles
lazlo,0.0331013251227926,fr,thesarahconnorchronicles
