mot,poids_tfidf,langue,serie
shane,0.2171061014554655,en,theshield
guardo,0.1564443085299748,en,theshield
shit,0.1489555548988667,en,theshield
rezian,0.120030547061791,en,theshield
vic,0.1101291447944217,en,theshield
lem,0.0989053213863332,en,theshield
mackey,0.0975317164678205,en,theshield
salvadoran,0.0908568843134059,en,theshield
corrine,0.0819927980389272,en,theshield
kill,0.0688095211947234,en,theshield
armenian,0.0671973850154091,en,theshield
mexican,0.0639135149122485,en,theshield
talk,0.0614558319067377,en,theshield
work,0.0575163555024597,en,theshield
lemansky,0.0539463132861982,en,theshield
hear,0.0538395108584668,en,theshield
cop,0.0510884331530886,en,theshield
vendrell,0.0499003397897333,en,theshield
help,0.0493747709336183,en,theshield
mara,0.0485808014123994,en,theshield
kid,0.0473460755498156,en,theshield
sure,0.0470110850910515,en,theshield
iook,0.0456232923335293,en,theshield
kavanaugh,0.0452903535757469,en,theshield
asshole,0.0445975610913317,en,theshield
happen,0.0443847674881994,en,theshield
cartel,0.0438763433785578,en,theshield
claudette,0.0431570506289585,en,theshield
run,0.039920027563351,en,theshield
goddamn,0.0398064134392386,en,theshield
vontez,0.0391110771324937,en,theshield
detective,0.0390544426037711,en,theshield
ronnie,0.0388019434729281,en,theshield
little,0.038606868761925,en,theshield
money,0.0380816052413545,en,theshield
beltran,0.0377624193003387,en,theshield
place,0.0365058146796433,en,theshield
murder,0.0355358786333735,en,theshield
wagenbach,0.0350651036360288,en,theshield
deal,0.0338868817506521,en,theshield
aceveda,0.0337164458038738,en,theshield
turn,0.0336168653165061,en,theshield
start,0.0336168653165061,en,theshield
win,0.0333542335562209,en,theshield
dutch,0.0333238996498574,en,theshield
stay,0.0323037065150801,en,theshield
case,0.0320410747547948,en,theshield
girl,0.0320410747547948,en,theshield
long,0.0320410747547948,en,theshield
street,0.0312394691138824,en,theshield
away,0.030990547713654,en,theshield
head,0.0307279159533688,en,theshield
job,0.0304652841930836,en,theshield
night,0.0291521253916576,en,theshield
gun,0.0289328214741179,en,theshield
hand,0.0286268618710872,en,theshield
pezuela,0.028321814475254,en,theshield
bullshit,0.0281889750879347,en,theshield
rio,0.0280567898958096,en,theshield
bad,0.0278389665902316,en,theshield
gardocki,0.0269731566430991,en,theshield
friend,0.0267884395490908,en,theshield
house,0.0262631760285204,en,theshield
bring,0.0262631760285204,en,theshield
hell,0.0262631760285204,en,theshield
family,0.02573791250795,en,theshield
today,0.0254752807476647,en,theshield
lose,0.0252126489873795,en,theshield
boy,0.0252126489873795,en,theshield
gang,0.0249740224718389,en,theshield
farmington,0.0248433963415655,en,theshield
barn,0.0245731050314284,en,theshield
stop,0.0244247537065239,en,theshield
life,0.0241621219462387,en,theshield
home,0.0236368584256683,en,theshield
dead,0.0233742266653831,en,theshield
play,0.0233742266653831,en,theshield
police,0.0232401803624767,en,theshield
team,0.0229616446554105,en,theshield
ass,0.0227785642033259,en,theshield
uni,0.0227219131251386,en,theshield
new,0.0225863313845275,en,theshield
old,0.0223236996242423,en,theshield
niner,0.0222756820229601,en,theshield
big,0.0219735248851884,en,theshield
body,0.0217087836215115,en,theshield
business,0.0217087836215115,en,theshield
cassidy,0.0216047124626824,en,theshield
cardell,0.0215785253144792,en,theshield
byz,0.0215785253144792,en,theshield
box,0.0210481742674597,en,theshield
billing,0.0209649084724444,en,theshield
lie,0.0207479090625311,en,theshield
clear,0.0207479090625311,en,theshield
end,0.0207479090625311,en,theshield
problem,0.0207479090625311,en,theshield
hit,0.0207479090625311,en,theshield
check,0.0204852773022459,en,theshield
hurt,0.0203850773031266,en,theshield
guess,0.0202226455419607,en,theshield
plan,0.0198555947757727,en,theshield
set,0.0197482207707783,en,theshield
send,0.0195908535120957,en,theshield
pay,0.0195908535120957,en,theshield
close,0.0194347502611051,en,theshield
pull,0.0193261122484187,en,theshield
couple,0.0193261122484187,en,theshield
blackmail,0.0192489652719924,en,theshield
olivia,0.0192351272400727,en,theshield
father,0.0192144850742708,en,theshield
file,0.0191934444995029,en,theshield
romero,0.0187068851725911,en,theshield
open,0.0186468549802494,en,theshield
walk,0.0186468549802494,en,theshield
shot,0.0185618137098708,en,theshield
car,0.0185618137098708,en,theshield
hour,0.018121591459679,en,theshield
meet,0.018121591459679,en,theshield
week,0.018121591459679,en,theshield
shoot,0.018121591459679,en,theshield
baby,0.017880145833002,en,theshield
drug,0.0176401369016389,en,theshield
captain,0.0176010879729251,en,theshield
morning,0.0175963279391086,en,theshield
nydia,0.0175325518180144,en,theshield
emolia,0.0175325518180144,en,theshield
intel,0.0169903944263072,en,theshield
figure,0.016943440875326,en,theshield
understand,0.016808432658253,en,theshield
arrest,0.0168001303825133,en,theshield
lat,0.0166674297625675,en,theshield
watch,0.0165458008979678,en,theshield
investigation,0.0165176699493502,en,theshield
use,0.0162831691376826,en,theshield
wrong,0.0162831691376826,en,theshield
truth,0.0162831691376826,en,theshield
care,0.0162831691376826,en,theshield
santi,0.0161838939858594,en,theshield
arambole,0.0161838939858594,en,theshield
kesakian,0.0161838939858594,en,theshield
break,0.0161492170842951,en,theshield
badge,0.0160659644236308,en,theshield
door,0.0160205373773974,en,theshield
grenade,0.0159101991678197,en,theshield
fine,0.0158844758206181,en,theshield
wife,0.0157579056171122,en,theshield
trust,0.0156197345569412,en,theshield
miss,0.015495273856827,en,theshield
live,0.015495273856827,en,theshield
month,0.015495273856827,en,theshield
suppose,0.015495273856827,en,theshield
room,0.015495273856827,en,theshield
lloyd,0.0153533521947757,en,theshield
daughter,0.0153336721951107,en,theshield
real,0.0152326420965418,en,theshield
phone,0.0151857094688839,en,theshield
blood,0.0150902520295872,en,theshield
catch,0.0149700103362566,en,theshield
zadofian,0.0148352361537045,en,theshield
armo,0.0148352361537045,en,theshield
son,0.0148255107659102,en,theshield
soon,0.0148255107659102,en,theshield
save,0.0147073785759714,en,theshield
hard,0.0147073785759714,en,theshield
handle,0.0146433627021381,en,theshield
number,0.0145607695022333,en,theshield
eye,0.0144447468156862,en,theshield
remember,0.0144447468156862,en,theshield
believe,0.0144447468156862,en,theshield
witness,0.0144438837729245,en,theshield
banger,0.0143917467182478,en,theshield
cruz,0.0143045900675162,en,theshield
protect,0.014257625023524,en,theshield
safe,0.0141439959574493,en,theshield
lead,0.0141439959574493,en,theshield
information,0.0141439959574493,en,theshield
crime,0.0140543838772518,en,theshield
cut,0.0140312869748793,en,theshield
hector,0.0140236324997731,en,theshield
antwon,0.0139993844158532,en,theshield
point,0.0139194832951158,en,theshield
question,0.0139194832951158,en,theshield
word,0.0139194832951158,en,theshield
bitch,0.0138883497816582,en,theshield
boss,0.0137775340352942,en,theshield
die,0.0136568515348306,en,theshield
later,0.0135018044475254,en,theshield
salseda,0.0134865783215495,en,theshield
city,0.0134505896448339,en,theshield
