mot,poids_tfidf,langue,serie
pezuela,0.2551742933246806,fr,theshield
guardo,0.2286626784338047,fr,theshield
vic,0.1485409106823653,fr,theshield
rezian,0.1441569059691377,fr,theshield
taire,0.1431677584719034,fr,theshield
mackey,0.1277152985595796,fr,theshield
beltran,0.1251269664632651,fr,theshield
salvadorien,0.1216420246717863,fr,theshield
tre,0.0859652906400142,fr,theshield
mara,0.0781356760108338,fr,theshield
corrine,0.077568513960964,fr,theshield
lem,0.0734859605945975,fr,theshield
dutch,0.070119470653694,fr,theshield
armnien,0.068986820819639,fr,theshield
ronnie,0.0678316387700927,fr,theshield
flic,0.0658436124064178,fr,theshield
aceveda,0.06462206129651,fr,theshield
ici,0.0636660235191082,fr,theshield
mme,0.0626964901660254,fr,theshield
claudette,0.0625634832316325,fr,theshield
emolia,0.0596511335044707,fr,theshield
kavanaugh,0.0588492061990219,fr,theshield
cartel,0.0570702637861588,fr,theshield
mexicain,0.0563892252561556,fr,theshield
vendrell,0.0563371816431113,fr,theshield
wym,0.0530232297817518,fr,theshield
heure,0.0504157343603091,fr,theshield
affaire,0.0475071343010604,fr,theshield
marco,0.0465563119036421,fr,theshield
lemansky,0.044738350128353,fr,theshield
billing,0.0444938781431233,fr,theshield
inspecteur,0.0442690107372111,fr,theshield
tuer,0.0423362897512852,fr,theshield
fille,0.0420131119669242,fr,theshield
diro,0.0414243982669936,fr,theshield
besoin,0.0407204008294804,fr,theshield
bercail,0.0402045615046572,fr,theshield
appeler,0.0397508674763975,fr,theshield
argent,0.0397508674763975,fr,theshield
laserie,0.0381104464056341,fr,theshield
theshield,0.0381104464056341,fr,theshield
gang,0.0379170508620933,fr,theshield
attendre,0.0374886229858708,fr,theshield
coup,0.0374663816246954,fr,theshield
lat,0.0366225267697361,fr,theshield
douane,0.0364704089673105,fr,theshield
sortir,0.035872734064066,fr,theshield
rio,0.0352420819142558,fr,theshield
famille,0.0349032007109832,fr,theshield
apr,0.0342568451422613,fr,theshield
hernan,0.0335706495389247,fr,theshield
aider,0.0323177784360955,fr,theshield
arme,0.0319946006517346,fr,theshield
meurtre,0.0319655201086076,fr,theshield
gardocki,0.0314825426829151,fr,theshield
arambole,0.0314825426829151,fr,theshield
vante,0.0312462922885503,fr,theshield
finir,0.0310250672986517,fr,theshield
accord,0.0303787117299298,fr,theshield
ami,0.0303787117299298,fr,theshield
carton,0.0300859576995676,fr,theshield
mal,0.0300555339455688,fr,theshield
police,0.0297502485373553,fr,theshield
appel,0.0297323561612079,fr,theshield
trouv,0.0297323561612079,fr,theshield
pre,0.0294091783768469,fr,theshield
romero,0.0286424345978378,fr,theshield
merde,0.0285736556417901,fr,theshield
dossier,0.0284933387683945,fr,theshield
niner,0.028224942377189,fr,theshield
enqute,0.028183173579542,fr,theshield
claudett,0.0281685908215556,fr,theshield
vite,0.0281164672394031,fr,theshield
mieux,0.0277932894550421,fr,theshield
fait,0.0271469338863202,fr,theshield
nom,0.0268237561019593,fr,theshield
perdre,0.0265005783175983,fr,theshield
pass,0.0265005783175983,fr,theshield
quelqu,0.0261774005332374,fr,theshield
petit,0.0258542227488764,fr,theshield
enfant,0.0252078671801545,fr,theshield
parl,0.0248846893957935,fr,theshield
lloyd,0.0246783143827126,fr,theshield
chance,0.0245615116114326,fr,theshield
insigne,0.0243061977465357,fr,theshield
cruz,0.0242945815601601,fr,theshield
problme,0.0242383338270716,fr,theshield
soir,0.0241088020889344,fr,theshield
voiture,0.0237444489736621,fr,theshield
dsol,0.0232688004739888,fr,theshield
info,0.0232530678223007,fr,theshield
byz,0.0231976630295164,fr,theshield
zadofian,0.0231976630295164,fr,theshield
antwon,0.0231344690760769,fr,theshield
service,0.0231314182204641,fr,theshield
arrter,0.0226224449052669,fr,theshield
laisse,0.0226224449052669,fr,theshield
strik,0.0225592543058629,fr,theshield
chef,0.0223334319958819,fr,theshield
mort,0.0222992671209059,fr,theshield
nouveau,0.0222992671209059,fr,theshield
main,0.0222992671209059,fr,theshield
julien,0.0222469390715616,fr,theshield
peur,0.0219760893365449,fr,theshield
mec,0.0218711453374683,fr,theshield
brigade,0.0218257312974398,fr,theshield
demande,0.021652911552184,fr,theshield
mourir,0.021652911552184,fr,theshield
air,0.021652911552184,fr,theshield
rincon,0.021494492409455,fr,theshield
immunit,0.021420517506345,fr,theshield
donne,0.0210065559834621,fr,theshield
arrte,0.0210065559834621,fr,theshield
chercher,0.0206833781991011,fr,theshield
preuve,0.0205250612378766,fr,theshield
fils,0.0203602004147402,fr,theshield
aimer,0.0203602004147402,fr,theshield
veux,0.0203602004147402,fr,theshield
demain,0.0201992666150531,fr,theshield
donn,0.0200370226303792,fr,theshield
revenir,0.0200370226303792,fr,theshield
capitaine,0.0199235012703793,fr,theshield
chaffee,0.0198837111681569,fr,theshield
mexi,0.0198372020002737,fr,theshield
agent,0.0196196884734603,fr,theshield
tueur,0.0192832240281077,fr,theshield
aide,0.0190674892772963,fr,theshield
armnienn,0.0190519157097104,fr,theshield
rue,0.0190251594190772,fr,theshield
tard,0.0188960881237594,fr,theshield
vrit,0.0188722860628066,fr,theshield
grenade,0.0187741669111344,fr,theshield
occuper,0.0187443114929354,fr,theshield
endroit,0.018570293500936,fr,theshield
tmoin,0.0184656715059447,fr,theshield
semaine,0.0184211337085744,fr,theshield
mois,0.0184211337085744,fr,theshield
boulot,0.0183922381142557,fr,theshield
tir,0.0183171463511107,fr,theshield
voil,0.0180979559242135,fr,theshield
noir,0.0180238352391258,fr,theshield
agir,0.0177747781398525,fr,theshield
gros,0.0177747781398525,fr,theshield
tte,0.0177747781398525,fr,theshield
bbsiocnarf,0.0176910645875882,fr,theshield
servir,0.0175929096324656,fr,theshield
aujourd,0.0174516003554916,fr,theshield
regarder,0.0174516003554916,fr,theshield
pote,0.0173562857858248,fr,theshield
retrouver,0.0169413203868188,fr,theshield
suspect,0.0168239604056287,fr,theshield
sang,0.0168052447867697,fr,theshield
question,0.0168052447867697,fr,theshield
corrin,0.0167853247694623,fr,theshield
drogue,0.0167829291782582,fr,theshield
payer,0.0167500739969114,fr,theshield
steve,0.0166602543255112,fr,theshield
salceda,0.0165697593067974,fr,theshield
retravaills,0.0165697593067974,fr,theshield
dubbing,0.0165697593067974,fr,theshield
tomber,0.0164820670024087,fr,theshield
titrage,0.016224169299754,fr,theshield
protger,0.0162235441592548,fr,theshield
nuit,0.0161588892180477,fr,theshield
taule,0.016037371033767,fr,theshield
one,0.0158684390779005,fr,theshield
trs,0.0158357114336868,fr,theshield
maison,0.0158357114336868,fr,theshield
hector,0.0156358853349858,fr,theshield
shane,0.0156231461442751,fr,theshield
prison,0.0152642886259256,fr,theshield
armenier,0.0152593861540567,fr,theshield
corto,0.0152593861540567,fr,theshield
envoyer,0.0151893558649649,fr,theshield
prend,0.0151893558649649,fr,theshield
minute,0.0149865526498781,fr,theshield
essayer,0.0148661780806039,fr,theshield
connard,0.0146922438619504,fr,theshield
tina,0.0146441811749544,fr,theshield
garder,0.014543000296243,fr,theshield
moser,0.0143785098513753,fr,theshield
corps,0.0143349634042312,fr,theshield
contact,0.0143349634042312,fr,theshield
suite,0.0143349634042312,fr,theshield
hier,0.0143349634042312,fr,theshield
photo,0.0142466693841972,fr,theshield
avocat,0.0142466693841972,fr,theshield
porte,0.014219822511882,fr,theshield
cassidy,0.0141124711885945,fr,theshield
infiltr,0.0140947033535533,fr,theshield
victime,0.0140140631953288,fr,theshield
bombay,0.0140129479789891,fr,theshield
martin,0.0139602779595614,fr,theshield
travailler,0.013896644727521,fr,theshield
dernire,0.013896644727521,fr,theshield
grand,0.013896644727521,fr,theshield
putain,0.0137892382002969,fr,theshield
rapport,0.0136833741585844,fr,theshield
dur,0.0136833741585844,fr,theshield
santi,0.0136085112212217,fr,theshield
vieux,0.0135734669431601,fr,theshield
dernier,0.0135734669431601,fr,theshield
cause,0.0135734669431601,fr,theshield
latino,0.0134025746389272,fr,theshield
courant,0.0133575795357609,fr,theshield
echevarria,0.0132558074454379,fr,theshield
huggin,0.0132558074454379,fr,theshield
compte,0.0132502891587991,fr,theshield
rentrer,0.0132502891587991,fr,theshield
lieu,0.0132502891587991,fr,theshield
plan,0.0131373129387541,fr,theshield
rendez-vous,0.013110354515816,fr,theshield
tai,0.0130317849129375,fr,theshield
rip,0.0130192884535626,fr,theshield
arriv,0.0129271113744382,fr,theshield
coute,0.0129271113744382,fr,theshield
place,0.0129271113744382,fr,theshield
garde,0.0129271113744382,fr,theshield
contrleur,0.0127880243815623,fr,theshield
oublier,0.0127059902901141,fr,theshield
ignorer,0.0127059902901141,fr,theshield
jeu,0.0126039335900772,fr,theshield
oeil,0.0126039335900772,fr,theshield
confiance,0.0126039335900772,fr,theshield
bras,0.0125815240418711,fr,theshield
mentir,0.0125815240418711,fr,theshield
gars,0.0124804472918164,fr,theshield
choix,0.0123801956672906,fr,theshield
balle,0.0123496648860676,fr,theshield
gosse,0.0123104476706298,fr,theshield
message,0.0122807558057163,fr,theshield
tirer,0.0122807558057163,fr,theshield
hanlon,0.0122476600990995,fr,theshield
adaptation,0.012234078850933,fr,theshield
