mot,poids_tfidf,langue,serie
taire,0.1746913821481142,fr,thesopranos
tony,0.1378786709145216,fr,thesopranos
tre,0.098802586774505,fr,thesopranos
putain,0.0831923035969857,fr,thesopranos
paulie,0.0792098082066602,fr,thesopranos
mme,0.0755734679690096,fr,thesopranos
ici,0.0746274857552112,fr,thesopranos
pre,0.0564436054233076,fr,thesopranos
vito,0.0563167848213187,fr,thesopranos
petit,0.0559180597489751,fr,thesopranos
appeler,0.0504523847359174,fr,thesopranos
meadow,0.0490120747900541,fr,thesopranos
aimer,0.0455122553971922,fr,thesopranos
carmela,0.0452070982300364,fr,thesopranos
trs,0.0450918188577262,fr,thesopranos
anthony,0.0439613107796385,fr,thesopranos
ami,0.0439356183741947,fr,thesopranos
carmin,0.0433428879937463,fr,thesopranos
maison,0.0426743087557968,fr,thesopranos
heure,0.0420436539465978,fr,thesopranos
veux,0.0419385448117313,fr,thesopranos
problme,0.0414129991373989,fr,thesopranos
dieu,0.0387852707657365,fr,thesopranos
merde,0.038561393357358,fr,thesopranos
accord,0.0383648342262705,fr,thesopranos
apr,0.0379443976868045,fr,thesopranos
pussy,0.0358860470485856,fr,thesopranos
regarder,0.0354217784500087,fr,thesopranos
famille,0.0347911236408097,fr,thesopranos
fille,0.0334247048875453,fr,thesopranos
sortir,0.0330042683480793,fr,thesopranos
carm,0.0317956109138244,fr,thesopranos
besoin,0.0316378495948149,fr,thesopranos
oncle,0.0315171969156433,fr,thesopranos
mal,0.0314276313250819,fr,thesopranos
fils,0.0306918673810164,fr,thesopranos
soprano,0.0305003183515534,fr,thesopranos
grand,0.0303765399764169,fr,thesopranos
enfant,0.0302714308415504,fr,thesopranos
arrte,0.0298509943020844,fr,thesopranos
tai,0.0297748234017145,fr,thesopranos
voil,0.0296407760323515,fr,thesopranos
furio,0.029639976275599,fr,thesopranos
artie,0.0290980048641257,fr,thesopranos
christopher,0.0289070744494111,fr,thesopranos
voiture,0.0287941011012781,fr,thesopranos
pass,0.028694793818553,fr,thesopranos
phil,0.0273399181862656,fr,thesopranos
laisse,0.0273283750652886,fr,thesopranos
mieux,0.0272232659304221,fr,thesopranos
parl,0.0256466289074247,fr,thesopranos
corrado,0.0253287069991483,fr,thesopranos
mourir,0.0249108649633592,fr,thesopranos
vien,0.0247006466936262,fr,thesopranos
ralph,0.0243973522051001,fr,thesopranos
argent,0.0243853192890267,fr,thesopranos
soir,0.0242648916690129,fr,thesopranos
vrai,0.0240699918844272,fr,thesopranos
sai,0.0239648827495607,fr,thesopranos
semaine,0.0237546644798278,fr,thesopranos
ecoute,0.0236593612090116,fr,thesopranos
salut,0.0235444462100948,fr,thesopranos
janic,0.0234298874906958,fr,thesopranos
affaire,0.0232291188054953,fr,thesopranos
gars,0.0230727450559261,fr,thesopranos
papa,0.0230189005357623,fr,thesopranos
coup,0.0229933689614664,fr,thesopranos
manger,0.0228591085276305,fr,thesopranos
attendre,0.0227035731311628,fr,thesopranos
finir,0.0225984639962963,fr,thesopranos
prend,0.0223882457265633,fr,thesopranos
vieux,0.0223882457265633,fr,thesopranos
nouveau,0.0222831365916968,fr,thesopranos
payer,0.0222181989427436,fr,thesopranos
connerie,0.0221889735217149,fr,thesopranos
bobby,0.0221739579584418,fr,thesopranos
con,0.0215393443662624,fr,thesopranos
jersey,0.0215329902474987,fr,thesopranos
quelqu,0.0212320452430319,fr,thesopranos
nom,0.0212320452430319,fr,thesopranos
dsol,0.0212320452430319,fr,thesopranos
raison,0.0212320452430319,fr,thesopranos
foutre,0.0211683507312897,fr,thesopranos
revenir,0.0209167178384324,fr,thesopranos
tte,0.0208116087035659,fr,thesopranos
appel,0.0208116087035659,fr,thesopranos
bonjour,0.0207064995686994,fr,thesopranos
bing,0.0206333391033842,fr,thesopranos
mec,0.0203549517121851,fr,thesopranos
ouai,0.0199214224864394,fr,thesopranos
gosse,0.0197965864252225,fr,thesopranos
anne,0.0196554082200345,fr,thesopranos
air,0.019340080815435,fr,thesopranos
gros,0.019129862545702,fr,thesopranos
all,0.0190728406131979,fr,thesopranos
demande,0.018709426006236,fr,thesopranos
connard,0.0185345958344844,fr,thesopranos
essayer,0.018499207736503,fr,thesopranos
ralphie,0.0184802335536705,fr,thesopranos
super,0.0184138553793575,fr,thesopranos
donne,0.0183940986016365,fr,thesopranos
richie,0.0183086116891403,fr,thesopranos
italien,0.0182751324203631,fr,thesopranos
mort,0.0181838803319035,fr,thesopranos
bordel,0.0180928451364352,fr,thesopranos
perdre,0.0179736620621705,fr,thesopranos
question,0.0177634437924376,fr,thesopranos
silvio,0.0177039253377146,fr,thesopranos
mre,0.017625013584388,fr,thesopranos
mari,0.0174834372287647,fr,thesopranos
minute,0.0173774770031359,fr,thesopranos
occuper,0.0173430072529716,fr,thesopranos
aider,0.0173430072529716,fr,thesopranos
moltisanti,0.0172450771058031,fr,thesopranos
droit,0.0171327889832386,fr,thesopranos
nuit,0.0171327889832386,fr,thesopranos
cousin,0.0169983908139737,fr,thesopranos
fric,0.0169287630361212,fr,thesopranos
newark,0.0169219431507059,fr,thesopranos
ginny,0.0169070309335453,fr,thesopranos
frre,0.0168174615786391,fr,thesopranos
jouer,0.0165297951981048,fr,thesopranos
cause,0.0165021341740396,fr,thesopranos
film,0.0164814941088368,fr,thesopranos
meilleur,0.0162919159043066,fr,thesopranos
cul,0.0161964131903408,fr,thesopranos
sentir,0.0160816976345736,fr,thesopranos
souvenir,0.0160816976345736,fr,thesopranos
plat,0.0158940338443316,fr,thesopranos
chercher,0.0156612610951077,fr,thesopranos
encul,0.0155590282452686,fr,thesopranos
johnny,0.0155046605417458,fr,thesopranos
boulot,0.015381830037284,fr,thesopranos
sang,0.0153459336905082,fr,thesopranos
jun,0.0153346618849606,fr,thesopranos
demain,0.0152582724905583,fr,thesopranos
aide,0.0152408245556417,fr,thesopranos
dur,0.0151523122649294,fr,thesopranos
tard,0.0151523122649294,fr,thesopranos
ade,0.0150483365370574,fr,thesopranos
hesh,0.0148887171847364,fr,thesopranos
gamin,0.0148603043412359,fr,thesopranos
vivre,0.0148203880161757,fr,thesopranos
jackie,0.0147349127175506,fr,thesopranos
sack,0.0147242916179913,fr,thesopranos
feech,0.0145505338080213,fr,thesopranos
cole,0.0145464563999632,fr,thesopranos
bada,0.0143924266119118,fr,thesopranos
porte,0.0140846240721102,fr,thesopranos
chrissy,0.0140292384342184,fr,thesopranos
neveu,0.0139079832987032,fr,thesopranos
travailler,0.0138744058023773,fr,thesopranos
oublier,0.013774829331754,fr,thesopranos
devenir,0.0137692966675108,fr,thesopranos
attend,0.0135629088804963,fr,thesopranos
aujourd,0.0135590783977778,fr,thesopranos
aprile,0.0134727164889086,fr,thesopranos
peur,0.0134539692629113,fr,thesopranos
leotardo,0.0133998454662627,fr,thesopranos
titrage,0.0133064310957606,fr,thesopranos
main,0.0132437509931783,fr,thesopranos
parle,0.0131390679779808,fr,thesopranos
matin,0.0131390679779808,fr,thesopranos
continuer,0.0131390679779808,fr,thesopranos
jeune,0.0131390679779808,fr,thesopranos
envoyer,0.0131386418583118,fr,thesopranos
veu,0.0131386418583118,fr,thesopranos
ide,0.0130335327234453,fr,thesopranos
fac,0.0129946474768054,fr,thesopranos
john,0.0129842794966075,fr,thesopranos
apprendre,0.0128233144537123,fr,thesopranos
oeil,0.0128233144537123,fr,thesopranos
beau,0.0128211873010941,fr,thesopranos
patron,0.0127722825401251,fr,thesopranos
mois,0.0127182053188458,fr,thesopranos
content,0.0126130961839793,fr,thesopranos
tuer,0.0125079870491128,fr,thesopranos
malade,0.0124664115879096,fr,thesopranos
caf,0.0124452098372849,fr,thesopranos
rentrer,0.0124028779142463,fr,thesopranos
dormir,0.0124028779142463,fr,thesopranos
dner,0.012356089361468,fr,thesopranos
enfoir,0.0122610533642851,fr,thesopranos
finn,0.0122197799404177,fr,thesopranos
cest,0.0122176655144498,fr,thesopranos
fait,0.0120875505096468,fr,thesopranos
titra,0.0119109737477891,fr,thesopranos
carmine,0.0119109737477891,fr,thesopranos
tlphone,0.0118846147995693,fr,thesopranos
aime,0.0118773322399139,fr,thesopranos
tomber,0.0118773322399139,fr,thesopranos
suite,0.0118675452704342,fr,thesopranos
esplanade,0.0118561652255407,fr,thesopranos
cifaretto,0.0118559905102396,fr,thesopranos
soeur,0.0116777616553279,fr,thesopranos
service,0.0115496645935476,fr,thesopranos
asseoir,0.0115496645935476,fr,thesopranos
hier,0.0115496645935476,fr,thesopranos
vendre,0.0114295542638152,fr,thesopranos
sdi,0.0114024911768604,fr,thesopranos
donn,0.0113517865655814,fr,thesopranos
boire,0.0113227359996674,fr,thesopranos
mdecin,0.0113029049027656,fr,thesopranos
restaurant,0.0112473134091119,fr,thesopranos
french,0.0111443723325202,fr,thesopranos
partie,0.0111415682958484,fr,thesopranos
chance,0.0111415682958484,fr,thesopranos
jacki,0.0110911545792379,fr,thesopranos
dernier,0.0109313500261154,fr,thesopranos
dernire,0.0109313500261154,fr,thesopranos
travail,0.0108262408912489,fr,thesopranos
boss,0.0108219293106344,fr,thesopranos
dsole,0.0108079430141455,fr,thesopranos
chambre,0.0107019827885166,fr,thesopranos
gentil,0.0107019827885166,fr,thesopranos
excus,0.0106384531880328,fr,thesopranos
compte,0.0106160226215159,fr,thesopranos
devrai,0.0105750081506328,fr,thesopranos
sale,0.0105529697495733,fr,thesopranos
pauvre,0.0105298975432569,fr,thesopranos
arriv,0.0105109134866494,fr,thesopranos
fte,0.0105057815288697,fr,thesopranos
thrapie,0.0104586015115618,fr,thesopranos
parent,0.0104213418984811,fr,thesopranos
propos,0.0104058043517829,fr,thesopranos
place,0.0104058043517829,fr,thesopranos
agir,0.0104058043517829,fr,thesopranos
faute,0.0103841021116299,fr,thesopranos
junior,0.0103216864056067,fr,thesopranos
demand,0.0103006952169164,fr,thesopranos
emmerde,0.0102910899200807,fr,thesopranos
prt,0.0102781418860011,fr,thesopranos
mariage,0.0102599670590761,fr,thesopranos
vesuvio,0.0102392645315705,fr,thesopranos
sil,0.0102368036493524,fr,thesopranos
hpital,0.0102319435456206,fr,thesopranos
comprend,0.0101955860820499,fr,thesopranos
prochain,0.0101721816603722,fr,thesopranos
plutt,0.0100662214347433,fr,thesopranos
mauvais,0.0099853678123169,fr,thesopranos
ouvrir,0.0099602612091144,fr,thesopranos
acheter,0.0099586054075744,fr,thesopranos
juhasz,0.0099258114564909,fr,thesopranos
crise,0.0099133923558834,fr,thesopranos
courant,0.0098543009834856,fr,thesopranos
fou,0.0098543009834856,fr,thesopranos
bel,0.0098272803015981,fr,thesopranos
couille,0.0098061686158046,fr,thesopranos
buter,0.0098036807254264,fr,thesopranos
prie,0.0097991861960323,fr,thesopranos
faon,0.009775149542584,fr,thesopranos
inquite,0.009770008029826,fr,thesopranos
peine,0.0097204620374503,fr,thesopranos
blundetto,0.0097003558720142,fr,thesopranos
respect,0.0096915028312408,fr,thesopranos
carte,0.0096700404077175,fr,thesopranos
table,0.0096423805322278,fr,thesopranos
sujet,0.0096136437733025,fr,thesopranos
pute,0.0095703997940581,fr,thesopranos
jeu,0.009564931272851,fr,thesopranos
flic,0.0095301156411641,fr,thesopranos
chef,0.0095068255091547,fr,thesopranos
important,0.0094598221379845,fr,thesopranos
point,0.0094598221379845,fr,thesopranos
rosalie,0.0094295208836664,fr,thesopranos
taule,0.0094223335128486,fr,thesopranos
colomb,0.0093625203633139,fr,thesopranos
rappeler,0.009354713003118,fr,thesopranos
bagnole,0.0093430669608438,fr,thesopranos
fil,0.009267067021101,fr,thesopranos
avocat,0.009267067021101,fr,thesopranos
jason,0.0092552923282778,fr,thesopranos
arrter,0.0092496038682515,fr,thesopranos
psy,0.0091751244626886,fr,thesopranos
beansi,0.0091614472124578,fr,thesopranos
pense,0.009144494733385,fr,thesopranos
mets,0.0091186741611709,fr,thesopranos
nol,0.0090455822902988,fr,thesopranos
fort,0.0090393855985185,fr,thesopranos
trouv,0.0090393855985185,fr,thesopranos
casser,0.0089736883892428,fr,thesopranos
marche,0.008934276463652,fr,thesopranos
changer,0.0089006589528257,fr,thesopranos
