mot,poids_tfidf,langue,serie
majesty,0.7228245606281367,en,thetudors
king,0.2778421445706696,en,thetudors
grace,0.1339380981599669,en,thetudors
wolsey,0.1222521599354541,en,thetudors
lady,0.1215060410294868,en,thetudors
emperor,0.1134027493337584,en,thetudors
eminence,0.0901213019341568,en,thetudors
queen,0.0899100645673715,en,thetudors
love,0.0874588632510735,en,thetudors
cromwell,0.0676636027672954,en,thetudors
excellency,0.0642130083027451,en,thetudors
great,0.0636520093575148,en,thetudors
cardinal,0.0614313942168478,en,thetudors
court,0.0550376369338593,en,thetudors
pope,0.0533810505367771,en,thetudors
katherine,0.052171490656602,en,thetudors
french,0.0479834216697437,en,thetudors
lord,0.0446308989734225,en,thetudors
long,0.0443559277806304,en,thetudors
holiness,0.0437882616261052,en,thetudors
child,0.0424387004011513,en,thetudors
duke,0.0422978732028824,en,thetudors
true,0.0418499431602557,en,thetudors
new,0.0415993446982183,en,thetudors
hear,0.0405969508500684,en,thetudors
believe,0.0405969508500684,en,thetudors
marriage,0.0401739871485318,en,thetudors
son,0.0401651985939468,en,thetudors
wife,0.0400957539259935,en,thetudors
heretic,0.0400375957963692,en,thetudors
boulogne,0.0386059452427749,en,thetudors
madam,0.0366738540625663,en,thetudors
parliament,0.0360272425053724,en,thetudors
church,0.0356152368338048,en,thetudors
die,0.0355849816093193,en,thetudors
ambassador,0.0353123596273233,en,thetudors
father,0.035140383527293,en,thetudors
highness,0.0344764754446005,en,thetudors
daughter,0.0343959472401575,en,thetudors
like,0.034331989299132,en,thetudors
matter,0.034331989299132,en,thetudors
send,0.0338499157961564,en,thetudors
mistress,0.0334346441826413,en,thetudors
tudor,0.0327745575904087,en,thetudors
trust,0.0325868592365983,en,thetudors
speak,0.0323272016028323,en,thetudors
heart,0.0315764139889518,en,thetudors
treaty,0.0314530924336197,en,thetudors
understand,0.031074209292645,en,thetudors
marry,0.0310385785387029,en,thetudors
promise,0.0308023408120813,en,thetudors
realm,0.02974352347404,en,thetudors
chapuy,0.0295978913527941,en,thetudors
prince,0.0295518785142631,en,thetudors
clef,0.0289422438243096,en,thetudors
honour,0.0288951511361551,en,thetudors
life,0.0288188231343078,en,thetudors
england,0.0284153638728526,en,thetudors
forgive,0.0283593045118707,en,thetudors
campeggio,0.0283110265113683,en,thetudors
treason,0.0279104834285096,en,thetudors
world,0.027816429286158,en,thetudors
master,0.0274154309084853,en,thetudors
duchess,0.0273676635163158,en,thetudors
servant,0.0272840274768344,en,thetudors
write,0.0271686160052393,en,thetudors
sure,0.0263128385139332,en,thetudors
course,0.0257663538149847,en,thetudors
happy,0.0253104446657834,en,thetudors
desire,0.0250230779265019,en,thetudors
hand,0.0248092477417085,en,thetudors
catherine,0.0246005964163179,en,thetudors
swear,0.0245032972554266,en,thetudors
away,0.0240574523555961,en,thetudors
death,0.0237454633196918,en,thetudors
wish,0.0234928520077802,en,thetudors
friend,0.0230550585074463,en,thetudors
letter,0.0229893225885029,en,thetudors
charle,0.0228165854882726,en,thetudors
order,0.0226630009705006,en,thetudors
traitor,0.0221639088856973,en,thetudors
heresy,0.0220885543956266,en,thetudors
suffolk,0.0218767023042391,en,thetudors
boleyn,0.0218767023042391,en,thetudors
bring,0.021802066197259,en,thetudors
princess,0.0217462394149977,en,thetudors
lordship,0.0216076169517536,en,thetudors
live,0.0215514677352215,en,thetudors
sister,0.0213049523950229,en,thetudors
little,0.021300869273184,en,thetudors
talk,0.021300869273184,en,thetudors
holy,0.0212551364955998,en,thetudors
archbishop,0.0212426401217131,en,thetudors
papal,0.0211448758647798,en,thetudors
help,0.0210502708111466,en,thetudors
gentleman,0.0207915800481549,en,thetudors
oath,0.0206928601512102,en,thetudors
pray,0.0206322315084477,en,thetudors
appoint,0.0206208667853509,en,thetudors
command,0.0205886084205396,en,thetudors
place,0.0200478769629967,en,thetudors
mother,0.0200478769629967,en,thetudors
hope,0.0197972785009593,en,thetudors
brother,0.0197972785009593,en,thetudors
word,0.0197972785009593,en,thetudors
present,0.0197036823291059,en,thetudors
clergy,0.0196270582717421,en,thetudors
surely,0.0195937166064454,en,thetudors
return,0.0193526749860454,en,thetudors
case,0.0192960815768844,en,thetudors
rebellion,0.0192834523673189,en,thetudors
soon,0.0191984597052827,en,thetudors
beautiful,0.0189947768341168,en,thetudors
old,0.0187948846528094,en,thetudors
suppose,0.0187948846528094,en,thetudors
faith,0.0186338992040369,en,thetudors
head,0.018544286190772,en,thetudors
mind,0.018544286190772,en,thetudors
poor,0.0185188157667891,en,thetudors
gracious,0.0184373276671514,en,thetudors
fear,0.0182247183138147,en,thetudors
soul,0.0182087625730442,en,thetudors
rochford,0.0180161077799616,en,thetudors
conscience,0.0180077257674992,en,thetudors
agree,0.0178248322239892,en,thetudors
cause,0.0177924908046596,en,thetudors
kingdom,0.0176577532328592,en,thetudors
permission,0.0176574691624177,en,thetudors
council,0.0175496738598731,en,thetudors
envoy,0.0175126386280213,en,thetudors
night,0.0172912938805847,en,thetudors
work,0.0172912938805847,en,thetudors
culpepper,0.0171964229556725,en,thetudors
husband,0.0171775692099898,en,thetudors
war,0.0170609108429611,en,thetudors
family,0.0170406954185472,en,thetudors
reformation,0.0169103089187637,en,thetudors
rebel,0.0168349760378306,en,thetudors
receive,0.0168318986739472,en,thetudors
beg,0.0168272295410505,en,thetudors
imperial,0.0167427316393854,en,thetudors
law,0.0166930170292183,en,thetudors
gardiner,0.016593582724937,en,thetudors
allow,0.016559918327003,en,thetudors
annulment,0.0163558818931184,en,thetudors
house,0.0162889000324348,en,thetudors
happen,0.0162889000324348,en,thetudors
visit,0.0161712289263427,en,thetudors
bless,0.0161541389145772,en,thetudors
win,0.0160383015703974,en,thetudors
meet,0.0160383015703974,en,thetudors
remember,0.0160383015703974,en,thetudors
gift,0.0156207959319445,en,thetudors
supremacy,0.0155667898915745,en,thetudors
mercy,0.0153298518478431,en,thetudors
far,0.015286506184285,en,thetudors
abbey,0.0151852322653802,en,thetudors
care,0.0150359077222475,en,thetudors
chancellor,0.0150202169890261,en,thetudors
yorkshire,0.0148014131053458,en,thetudors
madge,0.0148014131053458,en,thetudors
seymour,0.0147202937038066,en,thetudors
stop,0.0145347107981726,en,thetudors
dowager,0.0144711219121548,en,thetudors
country,0.0144609003868402,en,thetudors
bed,0.014398844778962,en,thetudors
truth,0.0142841123361352,en,thetudors
crown,0.0142610710822467,en,thetudors
high,0.0142598657791913,en,thetudors
sovereign,0.0141711450426117,en,thetudors
news,0.0141462334670504,en,thetudors
heir,0.0139864183496595,en,thetudors
pleasure,0.0139724310884088,en,thetudors
decide,0.0138936221551388,en,thetudors
boy,0.0137829154120602,en,thetudors
sign,0.0137829154120602,en,thetudors
lutheran,0.0136491803851258,en,thetudors
beseech,0.0135867867637612,en,thetudors
alliance,0.0135300999560391,en,thetudors
mary,0.0135137045885454,en,thetudors
carnal,0.0135102159395146,en,thetudors
welcome,0.0134959443981632,en,thetudors
religious,0.0133044224731246,en,thetudors
act,0.0131357882194039,en,thetudors
intend,0.0130543266662227,en,thetudors
reason,0.0130311200259479,en,thetudors
offer,0.0130311200259479,en,thetudors
succession,0.0130085024237549,en,thetudors
english,0.0129866606960326,en,thetudors
dauphin,0.0128686484142583,en,thetudors
ready,0.0127805215639104,en,thetudors
lose,0.0127805215639104,en,thetudors
favour,0.0126910505651894,en,thetudors
surrey,0.0126480167869043,en,thetudors
bear,0.0125776224982665,en,thetudors
close,0.0125299231018729,en,thetudors
kill,0.0125299231018729,en,thetudors
read,0.0125299231018729,en,thetudors
change,0.0125299231018729,en,thetudors
pole,0.0124941490648439,en,thetudors
charge,0.0124773825567924,en,thetudors
rumour,0.0124245014251262,en,thetudors
scot,0.0122858078446574,en,thetudors
royal,0.0122847717019111,en,thetudors
play,0.0122793246398355,en,thetudors
pain,0.0122589343808322,en,thetudors
subject,0.0122371875369794,en,thetudors
power,0.0122227420964497,en,thetudors
consider,0.0121253429717575,en,thetudors
peace,0.0121195830506466,en,thetudors
serve,0.01209457123263,en,thetudors
afraid,0.012028726177798,en,thetudors
lie,0.012028726177798,en,thetudors
sweetheart,0.0120227847671052,en,thetudors
obedience,0.0119883412621423,en,thetudors
chamber,0.0119604316782487,en,thetudors
offence,0.0118133846077914,en,thetudors
accept,0.0118075639779645,en,thetudors
monastery,0.0117798998655114,en,thetudors
blount,0.0115817835728324,en,thetudors
divorce,0.0115529254976687,en,thetudors
question,0.0115275292537231,en,thetudors
sake,0.0113967298505648,en,thetudors
throne,0.0113963408775003,en,thetudors
joan,0.0113920340524529,en,thetudors
sweet,0.0113675090360226,en,thetudors
young,0.0113675090360226,en,thetudors
declare,0.0113027775531921,en,thetudors
household,0.0112977802208819,en,thetudors
force,0.0112941916310964,en,thetudors
unwell,0.0112735392791758,en,thetudors
arrest,0.0112212657826315,en,thetudors
noble,0.0111390520344878,en,thetudors
betrothal,0.011131632240119,en,thetudors
support,0.0111261951259551,en,thetudors
forget,0.011114897724111,en,thetudors
body,0.011114897724111,en,thetudors
fact,0.011114897724111,en,thetudors
castle,0.0110772566132365,en,thetudors
faithful,0.0110756421301517,en,thetudors
stay,0.0110263323296482,en,thetudors
break,0.0108622864121994,en,thetudors
honor,0.0108270319974766,en,thetudors
grateful,0.0108162772031378,en,thetudors
palace,0.0107596947711983,en,thetudors
coronation,0.0106476083761671,en,thetudors
deny,0.0106275682477999,en,thetudors
betroth,0.0106025061099008,en,thetudors
condemn,0.0105298043159238,en,thetudors
answer,0.0105251354055733,en,thetudors
army,0.0105089685857966,en,thetudors
knowledge,0.0105072407116196,en,thetudors
refuse,0.0103735210384609,en,thetudors
secret,0.0103499489543769,en,thetudors
christendom,0.0102949187314066,en,thetudors
eustace,0.0102949187314066,en,thetudors
bulmer,0.0102949187314066,en,thetudors
use,0.0102745369435358,en,thetudors
maid,0.0102365073176418,en,thetudors
set,0.0101856184137081,en,thetudors
dear,0.010126249235412,en,thetudors
blood,0.0101044524764646,en,thetudors
deal,0.0101044524764646,en,thetudors
priest,0.0100610792569567,en,thetudors
henry,0.0100393683664741,en,thetudors
today,0.0100239384814983,en,thetudors
reformer,0.0100093989490923,en,thetudors
burn,0.0099309779533654,en,thetudors
judgement,0.0097317060145501,en,thetudors
dispensation,0.0097292436822341,en,thetudors
lawful,0.0097189639340757,en,thetudors
pardon,0.0097116080393297,en,thetudors
persuade,0.0096523206229302,en,thetudors
,0.0095906730097138,en,thetudors
fool,0.0095788844118762,en,thetudors
beloved,0.0095596601869001,en,thetudors
duty,0.0095555704054571,en,thetudors
seek,0.0095555704054571,en,thetudors
authority,0.0095324247380451,en,thetudors
stand,0.0095227415574234,en,thetudors
dead,0.0095227415574234,en,thetudors
end,0.0095227415574234,en,thetudors
humanist,0.0095151941391509,en,thetudors
filii,0.0095151941391509,en,thetudors
councillor,0.0094820472713925,en,thetudors
bishop,0.0094474300284078,en,thetudors
remain,0.0094263423727251,en,thetudors
invite,0.0094263423727251,en,thetudors
continue,0.0094263423727251,en,thetudors
tower,0.0094001904623053,en,thetudors
opinion,0.0093510548188596,en,thetudors
hate,0.0093466185407297,en,thetudors
treat,0.0093149540589392,en,thetudors
arm,0.0093149540589392,en,thetudors
jane,0.0092727792994504,en,thetudors
bad,0.009272143095386,en,thetudors
sin,0.0092617854914052,en,thetudors
salisbury,0.0092163794150584,en,thetudors
grant,0.0091914103764755,en,thetudors
confess,0.0091675694816359,en,thetudors
private,0.0091670565723373,en,thetudors
jewel,0.0091266985149764,en,thetudors
free,0.0090940072288181,en,thetudors
supreme,0.0090689796380004,en,thetudors
humble,0.0090341993284396,en,thetudors
commend,0.009017294681388,en,thetudors
certain,0.0090113677888187,en,thetudors
lincolnshire,0.0090080538899808,en,thetudors
cranmer,0.0090080538899808,en,thetudors
curia,0.0090080538899808,en,thetudors
arrange,0.0089733150728693,en,thetudors
fault,0.0089124161119946,en,thetudors
report,0.0089124161119946,en,thetudors
infirmity,0.0089053057920952,en,thetudors
latimer,0.0089053057920952,en,thetudors
prepare,0.0088876942371408,en,thetudors
elizabeth,0.0088349248991336,en,thetudors
guilty,0.0088284909445063,en,thetudors
regent,0.0087914502589043,en,thetudors
expect,0.008770946171311,en,thetudors
save,0.008770946171311,en,thetudors
behalf,0.008755264586997,en,thetudors
book,0.0086577756516519,en,thetudors
moment,0.0085887846049949,en,thetudors
pity,0.008583952105029,en,thetudors
girl,0.0085203477092736,en,thetudors
sleep,0.0085203477092736,en,thetudors
eye,0.0085203477092736,en,thetudors
attend,0.0085126819456506,en,thetudors
fetch,0.0085002965544545,en,thetudors
enemy,0.0084841547648046,en,thetudors
blame,0.0084841547648046,en,thetudors
ill,0.0084638184776954,en,thetudors
destroy,0.0084136147705252,en,thetudors
interest,0.0084136147705252,en,thetudors
reform,0.0083825952143008,en,thetudors
tomorrow,0.0083361732930832,en,thetudors
hang,0.0083361732930832,en,thetudors
pay,0.0083361732930832,en,thetudors
domine,0.0082967913624685,en,thetudors
pontefract,0.0082967913624685,en,thetudors
yyet,0.0082888172047819,en,thetudors
seriessub,0.0082882479109093,en,thetudors
possible,0.0082697492472361,en,thetudors
fall,0.0082697492472361,en,thetudors
carry,0.0082139575498883,en,thetudors
rise,0.0082104723530367,en,thetudors
spiritus,0.0081895082310755,en,thetudors
offend,0.0081843410161313,en,thetudors
protestant,0.0081779409465592,en,thetudors
whore,0.0081175999205945,en,thetudors
maliciously,0.0080924343320812,en,thetudors
doubt,0.0080856801235276,en,thetudors
glad,0.0080835619811716,en,thetudors
business,0.0080835619811716,en,thetudors
discover,0.0080654190584637,en,thetudors
gospel,0.0080174549340599,en,thetudors
kiss,0.0080151898447368,en,thetudors
fuck,0.0079698126801876,en,thetudors
admiral,0.0079698126801876,en,thetudors
claim,0.0079367899412688,en,thetudors
madame,0.007858683013407,en,thetudors
forbid,0.0078525853121991,en,thetudors
betray,0.007840440006507,en,thetudors
touch,0.00783095066926,en,thetudors
alive,0.00783095066926,en,thetudors
praise,0.0078215401529183,en,thetudors
nephew,0.0078123255153981,en,thetudors
sword,0.0078022630563796,en,thetudors
canterbury,0.0077833949457872,en,thetudors
turn,0.0077685523231612,en,thetudors
person,0.0077685523231612,en,thetudors
north,0.0077552525051512,en,thetudors
chaplain,0.0077369183221463,en,thetudors
maidenhead,0.0077211890485549,en,thetudors
treviso,0.0077211890485549,en,thetudors
tyburn,0.0077211890485549,en,thetudors
birth,0.0077139203027679,en,thetudors
ala,0.007673752001385,en,thetudors
bastard,0.0076631075295009,en,thetudors
suffer,0.0076631075295009,en,thetudors
deserve,0.0076248383857885,en,thetudors
quarrel,0.0076156177091125,en,thetudors
loyal,0.007574905294394,en,thetudors
demand,0.0075698667037417,en,thetudors
inform,0.0075396221606622,en,thetudors
accuse,0.0075388846216413,en,thetudors
catholic,0.0075314366485031,en,thetudors
wrong,0.0075179538611237,en,thetudors
bedchamber,0.0075156928527838,en,thetudors
pilgrimage,0.0075056755219526,en,thetudors
careful,0.0075037129919232,en,thetudors
concern,0.0075037129919232,en,thetudors
openly,0.0074992571521573,en,thetudors
restore,0.0074812372497336,en,thetudors
ship,0.0074808438550876,en,thetudors
prisoner,0.0074779358446353,en,thetudors
pass,0.0074438990295863,en,thetudors
pleased,0.0074174477692823,en,thetudors
evangelical,0.0074007065526729,en,thetudors
contrary,0.0073870101444228,en,thetudors
religion,0.0073756385465263,en,thetudors
presence,0.0073455540104248,en,thetudors
heartily,0.0072795628720671,en,thetudors
fight,0.0072673553990863,en,thetudors
sit,0.0072673553990863,en,thetudors
important,0.0072673553990863,en,thetudors
affection,0.0072473197985341,en,thetudors
weep,0.0072291122557062,en,thetudors
commit,0.0071731488924113,en,thetudors
thou,0.007158144466909,en,thetudors
attack,0.0071299328895956,en,thetudors
dmbmh,0.0071115354535444,en,thetudors
hever,0.0071115354535444,en,thetudors
exchequer,0.0071115354535444,en,thetudors
future,0.0070989874626306,en,thetudors
titre,0.007085017249662,en,thetudors
commonwealth,0.0070683374066005,en,thetudors
secretary,0.007064235970745,en,thetudors
christian,0.0070558628974211,en,thetudors
open,0.0070167569370488,en,thetudors
blessing,0.0070042116695976,en,thetudors
imagine,0.0069862155442044,en,thetudors
token,0.0069698062329638,en,thetudors
health,0.0069495057494233,en,thetudors
prayer,0.0069448977318898,en,thetudors
companion,0.006940155477276,en,thetudors
truly,0.0068935577823566,en,thetudors
garter,0.0068595597393566,en,thetudors
com,0.0068360620010517,en,thetudors
plan,0.0068205054216136,en,thetudors
show,0.0068205054216136,en,thetudors
petition,0.0068108586116194,en,thetudors
evil,0.0067831994000376,en,thetudors
physician,0.0067772927397245,en,thetudors
previously,0.0067624992502216,en,thetudors
title,0.0067144217587895,en,thetudors
affinity,0.0067028213927698,en,thetudors
submission,0.006641510566823,en,thetudors
suspicion,0.0066380746918737,en,thetudors
deliver,0.0066213682083797,en,thetudors
joust,0.0065762312461858,en,thetudors
section,0.0065271633331113,en,thetudors
urge,0.0065238718244993,en,thetudors
land,0.0065207097770384,en,thetudors
run,0.0065155600129739,en,thetudors
wonder,0.0065155600129739,en,thetudors
cousin,0.0064744053595531,en,thetudors
grow,0.0064687180964855,en,thetudors
brereton,0.0064343242071291,en,thetudors
carnally,0.0064343242071291,en,thetudors
orvieto,0.0064343242071291,en,thetudors
excommunication,0.0064343242071291,en,thetudors
ecclesiastical,0.0064343242071291,en,thetudors
marillac,0.0064343242071291,en,thetudors
consecration,0.0064343242071291,en,thetudors
dacre,0.0064343242071291,en,thetudors
papacy,0.0064343242071291,en,thetudors
appear,0.0064121518757894,en,thetudors
horse,0.0063967116670574,en,thetudors
malice,0.0063937820064758,en,thetudors
presently,0.0063937820064758,en,thetudors
congratulate,0.006392094090958,en,thetudors
renounce,0.0063885650257002,en,thetudors
obey,0.0063758427104889,en,thetudors
almighty,0.0063594121231006,en,thetudors
martyrdom,0.0063434627594339,en,thetudors
conclave,0.0063434627594339,en,thetudors
friendship,0.0063349564370891,en,thetudors
knight,0.0063344013633395,en,thetudors
progress,0.0063326630821787,en,thetudors
face,0.0063152827977903,en,thetudors
excellence,0.0062785243647695,en,thetudors
banish,0.006265618728849,en,thetudors
morning,0.0062649615509364,en,thetudors
fire,0.0062649615509364,en,thetudors
nobility,0.0062554659465864,en,thetudors
turk,0.0062552113339556,en,thetudors
pace,0.0062150222999968,en,thetudors
music,0.0061944535592193,en,thetudors
member,0.0061944535592193,en,thetudors
earth,0.0061944535592193,en,thetudors
common,0.0061944535592193,en,thetudors
harm,0.0061680395363821,en,thetudors
fleet,0.0061470522782609,en,thetudors
virtue,0.0061470522782609,en,thetudors
plainly,0.0061260799134724,en,thetudors
recently,0.0061185937684897,en,thetudors
allegiance,0.0061124358172635,en,thetudors
absence,0.0061115898555788,en,thetudors
belief,0.0061085124060094,en,thetudors
discuss,0.0060959252689067,en,thetudors
oblige,0.0060794723208915,en,thetudors
humility,0.006073347875405,en,thetudors
knave,0.0060693257490609,en,thetudors
dowry,0.0060693257490609,en,thetudors
rumor,0.0060680663564379,en,thetudors
follow,0.0060626714858787,en,thetudors
commission,0.0060562396783558,en,thetudors
danger,0.0060210130588936,en,thetudors
legitimacy,0.0060176031394471,en,thetudors
miss,0.006014363088899,en,thetudors
week,0.006014363088899,en,thetudors
late,0.006014363088899,en,thetudors
audience,0.0060046005751333,en,thetudors
respect,0.0059990529948753,en,thetudors
assure,0.0059833597880792,en,thetudors
gold,0.0059822100485795,en,thetudors
execute,0.0059535799191579,en,thetudors
conceive,0.0059323540347347,en,thetudors
rapprochement,0.0059262795446203,en,thetudors
commisioner,0.0059262795446203,en,thetudors
shrewsbury,0.0059262795446203,en,thetudors
city,0.0059037819889822,en,thetudors
mademoiselle,0.0058899499327557,en,thetudors
remedy,0.0058853932712205,en,thetudors
adultery,0.005885290148744,en,thetudors
rich,0.0058778058861403,en,thetudors
wealth,0.0058736537077613,en,thetudors
papa,0.0058569945609869,en,thetudors
lead,0.0058567305878821,en,thetudors
article,0.0058533359093044,en,thetudors
loyalty,0.005844671942828,en,thetudors
ally,0.0058326076014993,en,thetudors
fine,0.0058100601739671,en,thetudors
story,0.0058100601739671,en,thetudors
victory,0.0058040847959733,en,thetudors
summon,0.0058026000067722,en,thetudors
forgiveness,0.0057989971773327,en,thetudors
