mot,poids_tfidf,langue,serie
stefan,0.281633135333291,fr,thevampirediaries
damon,0.2216701171277896,fr,thevampirediaries
elener,0.2102074446525894,fr,thevampirediaries
taire,0.1841282113134563,fr,thevampirediaries
mystic,0.1584406926012513,fr,thevampirediaries
vampire,0.1400897776628203,fr,thevampirediaries
tre,0.0950755483651258,fr,thevampirediaries
verveine,0.0934393828161225,fr,thevampirediaries
gilbert,0.0843158685725597,fr,thevampirediaries
isobel,0.0839312473124731,fr,thevampirediaries
ici,0.0765766860135402,fr,thevampirediaries
salvatore,0.0724199490857033,fr,thevampirediaries
katherine,0.0656061451463495,fr,thevampirediaries
vicki,0.0630208699818799,fr,thevampirediaries
jeremy,0.0625360303118843,fr,thevampirediaries
fall,0.0623520690881856,fr,thevampirediaries
mme,0.052485144346359,fr,thevampirediaries
sang,0.0494737016379614,fr,thevampirediaries
caroline,0.0475764287181759,fr,thevampirediaries
bonnie,0.0465736044403534,fr,thevampirediaries
aimer,0.0443112284235654,fr,thevampirediaries
ville,0.0415341402663019,fr,thevampirediaries
alaric,0.0406258186157054,fr,thevampirediaries
frre,0.0395789613103691,fr,thevampirediaries
sortir,0.0391487552091694,fr,thevampirediaries
besoin,0.0387185491079697,fr,thevampirediaries
accord,0.0382883430067701,fr,thevampirediaries
mal,0.0374279308043708,fr,thevampirediaries
dsol,0.0365675186019714,fr,thevampirediaries
pass,0.0357071063995721,fr,thevampirediaries
soir,0.0355625447764435,fr,thevampirediaries
dsole,0.0351288552059991,fr,thevampirediaries
veux,0.0344164880959731,fr,thevampirediaries
mourir,0.0344164880959731,fr,thevampirediaries
fondateur,0.0344058892801991,fr,thevampirediaries
laisse,0.0335560758935738,fr,thevampirediaries
tai,0.0333940969242213,fr,thevampirediaries
tuer,0.0331258697923741,fr,thevampirediaries
plat,0.0316593386424436,fr,thevampirediaries
arrte,0.0314050453875755,fr,thevampirediaries
aider,0.0314050453875755,fr,thevampirediaries
ami,0.0309748392863758,fr,thevampirediaries
logan,0.0307979518023639,fr,thevampirediaries
journal,0.0306057522781115,fr,thevampirediaries
fille,0.0296842209827768,fr,thevampirediaries
quelqu,0.0296842209827768,fr,thevampirediaries
petit,0.0292540148815771,fr,thevampirediaries
emily,0.0292398270054109,fr,thevampirediaries
katherin,0.0290976561553812,fr,thevampirediaries
jonathan,0.028905992663297,fr,thevampirediaries
mec,0.0286664035263993,fr,thevampirediaries
sai,0.0283936026791778,fr,thevampirediaries
regarder,0.0279633965779781,fr,thevampirediaries
vicky,0.027533857171764,fr,thevampirediaries
problme,0.0266727782743791,fr,thevampirediaries
essayer,0.0266727782743791,fr,thevampirediaries
thirteen,0.0266684515474124,fr,thevampirediaries
famille,0.0262425721731795,fr,thevampirediaries
trs,0.0262425721731795,fr,thevampirediaries
finir,0.0258123660719798,fr,thevampirediaries
mcfly,0.0253614288310882,fr,thevampirediaries
appeler,0.0249519538695805,fr,thevampirediaries
raison,0.0249519538695805,fr,thevampirediaries
souvenir,0.0245217477683808,fr,thevampirediaries
sorcire,0.0243429143823303,fr,thevampirediaries
mieux,0.0232311294647818,fr,thevampirediaries
rentrer,0.0232311294647818,fr,thevampirediaries
apr,0.0232311294647818,fr,thevampirediaries
mort,0.0228009233635822,fr,thevampirediaries
tombeau,0.0227340498493314,fr,thevampirediaries
grimoire,0.0227000172702867,fr,thevampirediaries
fte,0.0223956277549994,fr,thevampirediaries
comprend,0.0223707172623825,fr,thevampirediaries
croutch,0.022344200238638,fr,thevampirediaries
diarie,0.0217383675695042,fr,thevampirediaries
entrer,0.0215103050599832,fr,thevampirediaries
amie,0.021422872347882,fr,thevampirediaries
revenir,0.0210800989587835,fr,thevampirediaries
aide,0.0210800989587835,fr,thevampirediaries
doi,0.0208170993813328,fr,thevampirediaries
anne,0.0202196867563842,fr,thevampirediaries
vien,0.0202196867563842,fr,thevampirediaries
air,0.0197894806551845,fr,thevampirediaries
vrai,0.0193592745539848,fr,thevampirediaries
peur,0.0193592745539848,fr,thevampirediaries
chercher,0.0189290684527852,fr,thevampirediaries
connatre,0.0186486515291106,fr,thevampirediaries
cristal,0.0185833378532312,fr,thevampirediaries
matt,0.0181702388043028,fr,thevampirediaries
voil,0.0180686562503859,fr,thevampirediaries
confiance,0.0180686562503859,fr,thevampirediaries
tombe,0.0179252605359829,fr,thevampirediaries
