mot,poids_tfidf,langue,serie
marlo,0.1510712514935334,fr,thewire
barksdal,0.142343290511737,fr,thewire
taire,0.1217209611301997,fr,thewire
baltimore,0.0937667568753545,fr,thewire
mme,0.0914720073855033,fr,thewire
tre,0.0902288996973651,fr,thewire
putain,0.0845332808425134,fr,thewire
heure,0.0766583074351896,fr,thewire
ici,0.0743792766736029,fr,thewire
affaire,0.070131992072464,fr,thewire
omar,0.0700100647360931,fr,thewire
avon,0.0688584433603121,fr,thewire
merde,0.064850491687882,fr,thewire
petit,0.0620517920995656,fr,thewire
mec,0.0578107983336114,fr,thewire
stringer,0.056992420586288,fr,thewire
ouai,0.0551872820807043,fr,thewire
mcnulty,0.0540901652276493,fr,thewire
rawl,0.0538347829907895,fr,thewire
accord,0.0525212998238393,fr,thewire
police,0.0517367747422133,fr,thewire
maire,0.0506494864162529,fr,thewire
rue,0.0498569116288072,fr,thewire
prfet,0.0492800720849153,fr,thewire
encul,0.0492077118934226,fr,thewire
gars,0.0484273152214703,fr,thewire
coute,0.0464093536904931,fr,thewire
besoin,0.0462021690758034,fr,thewire
kima,0.0435527978431434,fr,thewire
apr,0.0433015844701476,fr,thewire
carcetti,0.0430433181127127,fr,thewire
argent,0.0429908075481131,fr,thewire
lester,0.0426017470869333,fr,thewire
stanfield,0.0417987538377646,fr,thewire
ville,0.040321003760485,fr,thewire
nom,0.039572261405733,fr,thewire
meurtre,0.0393674279697167,fr,thewire
bub,0.0381241381157633,fr,thewire
sortir,0.0379147844882154,fr,thewire
problme,0.0378111921808705,fr,thewire
appel,0.0378111921808705,fr,thewire
inspecteur,0.0377011800049948,fr,thewire
bunk,0.0376629033486236,fr,thewire
veux,0.0371896383368014,fr,thewire
appeler,0.0370860460294566,fr,thewire
district,0.0362276570508092,fr,thewire
colvin,0.036195517503872,fr,thewire
freamon,0.0361169543089481,fr,thewire
coup,0.0345666994078842,fr,thewire
grand,0.0341854614238007,fr,thewire
enqute,0.0341149082086328,fr,thewire
lieutenant,0.0321990143761066,fr,thewire
clay,0.0305935647911511,fr,thewire
regarder,0.0300417691300067,fr,thewire
neres,0.0297433741367808,fr,thewire
service,0.0294495747221249,fr,thewire
attendre,0.0289022537492133,fr,thewire
daniel,0.0288200200281076,fr,thewire
monk,0.0287899266534262,fr,thewire
semaine,0.0285914768271788,fr,thewire
herc,0.028369459665197,fr,thewire
drogue,0.0283016205142556,fr,thewire
came,0.0282665419794176,fr,thewire
flic,0.0280672592601286,fr,thewire
foutre,0.0280311391561104,fr,thewire
royce,0.0274674254338658,fr,thewire
sobotker,0.0270877157317111,fr,thewire
voiture,0.0268563517219371,fr,thewire
mal,0.0268304076023163,fr,thewire
connard,0.026829837649206,fr,thewire
numro,0.0267472701871283,fr,thewire
ngro,0.0267094183217725,fr,thewire
travail,0.0265196306802818,fr,thewire
quelqu,0.0261052614509024,fr,thewire
ouest,0.0259462174200642,fr,thewire
sai,0.0251729306847987,fr,thewire
nouveau,0.0250693383774539,fr,thewire
mieux,0.024965746070109,fr,thewire
donne,0.024965746070109,fr,thewire
payer,0.0249505950162792,fr,thewire
fric,0.0248232275872219,fr,thewire
demain,0.0245413122684374,fr,thewire
sydnor,0.0244320573266414,fr,thewire
tlphone,0.024420725576726,fr,thewire
finir,0.0242405999186951,fr,thewire
cole,0.0240725431684155,fr,thewire
fait,0.0240334153040053,fr,thewire
gros,0.0240334153040053,fr,thewire
bey,0.0239673021309423,fr,thewire
mort,0.0239298229966605,fr,thewire
savino,0.0239009256456274,fr,thewire
chef,0.0237925505218528,fr,thewire
question,0.0234118614599362,fr,thewire
bodie,0.0233701383525908,fr,thewire
main,0.0233082691525914,fr,thewire
voil,0.0227903076158671,fr,thewire
hole,0.0225192499833991,fr,thewire
joe,0.0224543063414626,fr,thewire
