mot,poids_tfidf,langue,serie
fuck,0.246695805188011,en,trueblood
sookie,0.2287494018933205,en,trueblood
vampire,0.1807960089970558,en,trueblood
shit,0.1232670579545582,en,trueblood
stackhouse,0.0896027324253745,en,trueblood
tara,0.0735075536903328,en,trueblood
fucking,0.0724247139599495,en,trueblood
love,0.0605148637391006,en,trueblood
kill,0.0586237742472537,en,trueblood
bill,0.0548246684799473,en,trueblood
godric,0.0485552975716953,en,trueblood
night,0.048117721514771,en,trueblood
blood,0.0478687849665453,en,trueblood
little,0.0472772372961724,en,trueblood
hell,0.0439153004217779,en,trueblood
sure,0.0432849372578289,en,trueblood
talk,0.0430748162031793,en,trueblood
hear,0.0430748162031793,en,trueblood
life,0.0418140898752813,en,trueblood
work,0.0392926372194855,en,trueblood
human,0.0391710338715227,en,trueblood
goddamn,0.0387069642595109,en,trueblood
help,0.0380319108915875,en,trueblood
lafayette,0.0370226980360751,en,trueblood
happen,0.0361408213997406,en,trueblood
magister,0.0347833449797756,en,trueblood
girl,0.0340396108532441,en,trueblood
motherfucker,0.0334372863155725,en,trueblood
bad,0.0325687634706965,en,trueblood
jason,0.031406936308547,en,trueblood
baby,0.0313859960765665,en,trueblood
care,0.0306776739788496,en,trueblood
home,0.0300473108149006,en,trueblood
stop,0.029837189760251,en,trueblood
like,0.0296270687056013,en,trueblood
sook,0.0288204858403855,en,trueblood
long,0.028576463432353,en,trueblood
bitch,0.0271120776433244,en,trueblood
arlene,0.0260566594775338,en,trueblood
dead,0.0260550107765572,en,trueblood
sheriff,0.0258237567223883,en,trueblood
stay,0.0256347686672579,en,trueblood
fuckin,0.0253709579123355,en,trueblood
old,0.023743679175411,en,trueblood
away,0.023743679175411,en,trueblood
win,0.023113316011462,en,trueblood
meet,0.023113316011462,en,trueblood
boy,0.0229031949568124,en,trueblood
house,0.0229031949568124,en,trueblood
hoyt,0.0228437924052378,en,trueblood
mind,0.0226930739021627,en,trueblood
run,0.0226930739021627,en,trueblood
real,0.0226930739021627,en,trueblood
believe,0.0222728317928634,en,trueblood
nice,0.0222728317928634,en,trueblood
bring,0.0220627107382137,en,trueblood
turn,0.0220627107382137,en,trueblood
friend,0.0218525896835641,en,trueblood
