mot,poids_tfidf,langue,serie
sookie,0.2695546455654831,fr,trueblood
vampire,0.2030065455500028,fr,trueblood
taire,0.1534888683969267,fr,trueblood
tre,0.109670675950822,fr,trueblood
stackhous,0.097000361686111,fr,trueblood
putain,0.0921455333445259,fr,trueblood
merlotte,0.0834457970100658,fr,trueblood
ici,0.0806254741008326,fr,trueblood
mme,0.0723626149538528,fr,trueblood
jason,0.0578235857201852,fr,trueblood
bill,0.0569845660436488,fr,trueblood
dieu,0.0553361173176522,fr,trueblood
sang,0.0540841689620492,fr,trueblood
aimer,0.053583389619808,fr,trueblood
godric,0.0526350411909645,fr,trueblood
compton,0.0523551720725879,fr,trueblood
maryann,0.0516632361154287,fr,trueblood
merde,0.0496199218308169,fr,trueblood
lafayette,0.0428465089151752,fr,trueblood
veux,0.0415646854060193,fr,trueblood
petit,0.0408135163926575,fr,trueblood
mal,0.0385600093525721,fr,trueblood
besoin,0.0380592300103309,fr,trueblood
humain,0.0374522075566189,fr,trueblood
tuer,0.0370576713258485,fr,trueblood
soir,0.036600483694522,fr,trueblood
sam,0.0344428549723295,fr,trueblood
mourir,0.0340529952724013,fr,trueblood
grand,0.0338026056012807,fr,trueblood
quelqu,0.0338026056012807,fr,trueblood
eric,0.0335918226052879,fr,trueblood
appeler,0.0333018262590395,fr,trueblood
sortir,0.0323002675745571,fr,trueblood
laisse,0.0323002675745571,fr,trueblood
mieux,0.0320498779034365,fr,trueblood
shrif,0.0315530892228719,fr,trueblood
trs,0.0312987088900747,fr,trueblood
mort,0.0307979295478335,fr,trueblood
tai,0.030794889729184,fr,trueblood
bellefleur,0.0307386876522042,fr,trueblood
dsol,0.0305475398767129,fr,trueblood
vien,0.0302971502055923,fr,trueblood
sai,0.0302971502055923,fr,trueblood
regarder,0.0297963708633511,fr,trueblood
nuit,0.0297963708633511,fr,trueblood
fille,0.0297963708633511,fr,trueblood
ordonnateur,0.0295564304348117,fr,trueblood
mnade,0.0295269743266386,fr,trueblood
apr,0.0287948121788687,fr,trueblood
hoyt,0.0283948765600009,fr,trueblood
mpm,0.0278790991573624,fr,trueblood
finir,0.0275428638232658,fr,trueblood
dsole,0.0270086327952679,fr,trueblood
peur,0.0260405257965422,fr,trueblood
accord,0.0260405257965422,fr,trueblood
newlin,0.025675629849251,fr,trueblood
northman,0.025675629849251,fr,trueblood
attendre,0.0247885774409392,fr,trueblood
tru,0.0242525646197232,fr,trueblood
problme,0.0237870187564568,fr,trueblood
voil,0.0237870187564568,fr,trueblood
maudett,0.0231080668643259,fr,trueblood
air,0.023035849743095,fr,trueblood
aime,0.023035849743095,fr,trueblood
aider,0.023035849743095,fr,trueblood
andy,0.0228798360763322,fr,trueblood
tte,0.0222846807297332,fr,trueblood
sentir,0.0222846807297332,fr,trueblood
heure,0.0220342910586126,fr,trueblood
arlene,0.0220077421466042,fr,trueblood
doi,0.0219602902167132,fr,trueblood
mec,0.021637703870565,fr,trueblood
ouai,0.0215478454435342,fr,trueblood
vrai,0.0212831220452508,fr,trueblood
lycan,0.0212806299130644,fr,trueblood
raison,0.0207823427030096,fr,trueblood
mamie,0.0204650711526019,fr,trueblood
arrte,0.0197807840185272,fr,trueblood
maison,0.0197807840185272,fr,trueblood
ami,0.0197807840185272,fr,trueblood
ren,0.0197093941009806,fr,trueblood
nom,0.0195303943474066,fr,trueblood
famille,0.0195303943474066,fr,trueblood
plat,0.0194361189274358,fr,trueblood
attend,0.0194361189274358,fr,trueblood
edgington,0.0192567223869382,fr,trueblood
pense,0.0190296150051654,fr,trueblood
perdre,0.0190296150051654,fr,trueblood
prend,0.0187792253340448,fr,trueblood
enfant,0.0182784459918036,fr,trueblood
boire,0.0180667407691692,fr,trueblood
eggs,0.0177635935661436,fr,trueblood
bordel,0.0176081516043719,fr,trueblood
rentrer,0.01677610796508,fr,trueblood
souvenir,0.01677610796508,fr,trueblood
hier,0.0166595305092307,fr,trueblood
bar,0.0165428125943504,fr,trueblood
manger,0.0165399739436056,fr,trueblood
essayer,0.0165257182939594,fr,trueblood
aide,0.0165257182939594,fr,trueblood
chance,0.0165257182939594,fr,trueblood
pass,0.0165257182939594,fr,trueblood
revenir,0.0165257182939594,fr,trueblood
meilleur,0.0160249389517182,fr,trueblood
apprendre,0.0160249389517182,fr,trueblood
bud,0.0157485560239929,fr,trueblood
dawn,0.0156327630689839,fr,trueblood
dearborn,0.0155431443703756,fr,trueblood
sook,0.0155431443703756,fr,trueblood
chercher,0.015524159609477,fr,trueblood
voiture,0.0155056857411633,fr,trueblood
maudette,0.0154053779095506,fr,trueblood
fangetasia,0.0154053779095506,fr,trueblood
blood,0.0153970719937624,fr,trueblood
argent,0.0152737699383564,fr,trueblood
amour,0.0149987944362542,fr,trueblood
croc,0.0149605838080653,fr,trueblood
devenir,0.0147729905961152,fr,trueblood
sens,0.0147729905961152,fr,trueblood
donne,0.0147729905961152,fr,trueblood
garou,0.0147388478537063,fr,trueblood
vieux,0.0145226009249946,fr,trueblood
fort,0.0145226009249946,fr,trueblood
droit,0.0145226009249946,fr,trueblood
mtamorphe,0.014514816763901,fr,trueblood
jessica,0.0145076209266739,fr,trueblood
fou,0.014387776348881,fr,trueblood
humaine,0.0143597673171752,fr,trueblood
salut,0.014272211253874,fr,trueblood
vivre,0.014272211253874,fr,trueblood
dmon,0.0142642126653081,fr,trueblood
ville,0.0142498237052602,fr,trueblood
roomy,0.0141870866087096,fr,trueblood
louisiane,0.0141447593660115,fr,trueblood
pire,0.0141353592199533,fr,trueblood
rattray,0.014121596417088,fr,trueblood
chagat,0.014121596417088,fr,trueblood
picken,0.014121596417088,fr,trueblood
salope,0.0140667693729149,fr,trueblood
oeil,0.0140218215827535,fr,trueblood
nouveau,0.0137714319116329,fr,trueblood
question,0.0137714319116329,fr,trueblood
cul,0.0135561518225226,fr,trueblood
seigneur,0.0135119003060895,fr,trueblood
vite,0.0130202628982711,fr,trueblood
coute,0.0130202628982711,fr,trueblood
chrie,0.0130202628982711,fr,trueblood
koni,0.0130048293913171,fr,trueblood
coby,0.0130048293913171,fr,trueblood
servir,0.0128732735753146,fr,trueblood
