mot,poids_tfidf,langue,serie
betty,0.19486041093597,en,uglybetty
mode,0.0797731855086421,en,uglybetty
talk,0.0791399309314563,en,uglybetty
work,0.0785488443103915,en,uglybetty
meade,0.0782062445336589,en,uglybetty
love,0.0696168687031898,en,uglybetty
little,0.0668584644715539,en,uglybetty
alexis,0.0610828157784732,en,uglybetty
wilhelmina,0.0590195574560585,en,uglybetty
daniel,0.0576543366651973,en,uglybetty
slater,0.0538011743024248,en,uglybetty
help,0.0484691029273151,en,uglybetty
great,0.0469585482290384,en,uglybetty
magazine,0.0443359048514488,en,uglybetty
hilda,0.0425562072183159,en,uglybetty
editor,0.042400923704979,en,uglybetty
papi,0.0421431304269268,en,uglybetty
new,0.0403909191060959,en,uglybetty
big,0.039258861984872,en,uglybetty
sure,0.0388146881165897,en,uglybetty
actually,0.0383549540779838,en,uglybetty
night,0.0382892777867543,en,uglybetty
girl,0.0370414282533953,en,uglybetty
fashion,0.0364557561291976,en,uglybetty
gio,0.0360329929731726,en,uglybetty
father,0.0354366084928474,en,uglybetty
bradford,0.0349939806048914,en,uglybetty
like,0.034677081769136,en,uglybetty
job,0.0341516714393006,en,uglybetty
stop,0.0338889662743829,en,uglybetty
sofia,0.0338072900609688,en,uglybetty
sommer,0.033657606672607,en,uglybetty
dad,0.0336347470440586,en,uglybetty
happen,0.0330351744884004,en,uglybetty
fine,0.0306523661028596,en,uglybetty
bad,0.0304737991304528,en,uglybetty
life,0.0301454176743057,en,uglybetty
start,0.0300797413830763,en,uglybetty
nice,0.0299483888006175,en,uglybetty
baby,0.0298975529280521,en,uglybetty
mom,0.0297354378670946,en,uglybetty
family,0.0296856836356998,en,uglybetty
win,0.0294229784707821,en,uglybetty
hear,0.0291602733058644,en,uglybetty
claire,0.0289715136757496,en,uglybetty
meet,0.0287005392672584,en,uglybetty
guess,0.0278467474812759,en,uglybetty
willie,0.0275984561555719,en,uglybetty
friend,0.0274526897338993,en,uglybetty
believe,0.0256137535794755,en,uglybetty
today,0.025548077288246,en,uglybetty
mija,0.025359838276464,en,uglybetty
idea,0.0250226669584106,en,uglybetty
connor,0.0249999101699747,en,uglybetty
date,0.0244252329724711,en,uglybetty
mother,0.0242345514636575,en,uglybetty
home,0.0241688751724281,en,uglybetty
week,0.0235121122601339,en,uglybetty
miss,0.0234464359689044,en,uglybetty
matt,0.0232997304722237,en,uglybetty
fun,0.0232907276158263,en,uglybetty
old,0.0230523782215279,en,uglybetty
lose,0.0229867019302985,en,uglybetty
long,0.0228553493478396,en,uglybetty
molly,0.0228372236487251,en,uglybetty
kid,0.0228051216164728,en,uglybetty
tonight,0.0226901071328966,en,uglybetty
money,0.0217388523969394,en,uglybetty
party,0.0216615019483901,en,uglybetty
assistant,0.0216357006060384,en,uglybetty
forget,0.021582443519508,en,uglybetty
away,0.0215418235232511,en,uglybetty
place,0.0213447946495629,en,uglybetty
care,0.0212791183583334,en,uglybetty
run,0.0211477657758746,en,uglybetty
eat,0.0210820894846452,en,uglybetty
morning,0.0210164131934157,en,uglybetty
stay,0.0209507369021863,en,uglybetty
course,0.0207217939313068,en,uglybetty
office,0.0206213032472502,en,uglybetty
totally,0.0204910415000761,en,uglybetty
tomorrow,0.0202583672299676,en,uglybetty
wear,0.0195760778477687,en,uglybetty
hard,0.0195715347863684,en,uglybetty
remember,0.0194401822039096,en,uglybetty
henry,0.0192548350987978,en,uglybetty
change,0.0192431533302213,en,uglybetty
issue,0.018880497184917,en,uglybetty
bring,0.0188490955828447,en,uglybetty
turn,0.018586390417927,en,uglybetty
happy,0.018586390417927,en,uglybetty
nico,0.0182923080434659,en,uglybetty
cover,0.0182855569247461,en,uglybetty
book,0.0182188213155317,en,uglybetty
watch,0.0181923326705505,en,uglybetty
hate,0.018007437537749,en,uglybetty
hot,0.0174906537471473,en,uglybetty
suppose,0.0174042171757974,en,uglybetty
break,0.0170805841350708,en,uglybetty
real,0.0170758357196503,en,uglybetty
pretty,0.0170143803205937,en,uglybetty
live,0.0168131305547326,en,uglybetty
crazy,0.0166839023036005,en,uglybetty
wrong,0.0163533965161266,en,uglybetty
exactly,0.0162220439336678,en,uglybetty
fabia,0.0161884173260261,en,uglybetty
problem,0.0160906913512089,en,uglybetty
phone,0.0160715136399826,en,uglybetty
meeting,0.0159272575242139,en,uglybetty
shoot,0.0158936624775206,en,uglybetty
late,0.0158936624775206,en,uglybetty
dinner,0.0154725013917072,en,uglybetty
school,0.0154725013917072,en,uglybetty
sound,0.0154339284389147,en,uglybetty
fire,0.0153025758564558,en,uglybetty
person,0.0152368995652264,en,uglybetty
room,0.0152368995652264,en,uglybetty
plan,0.0151606735152372,en,uglybetty
hope,0.0151055469827676,en,uglybetty
mind,0.0150398706915381,en,uglybetty
understand,0.0149741944003087,en,uglybetty
ready,0.0149085181090793,en,uglybetty
model,0.0148084176115932,en,uglybetty
write,0.0147830800570304,en,uglybetty
hell,0.014711489235391,en,uglybetty
month,0.014711489235391,en,uglybetty
drink,0.0146972468138981,en,uglybetty
send,0.0146310429994211,en,uglybetty
son,0.0146310429994211,en,uglybetty
pay,0.014564839184944,en,uglybetty
house,0.0144487840704733,en,uglybetty
bianchi,0.0143157193383646,en,uglybetty
lady,0.014300023927036,en,uglybetty
hand,0.014251755196785,en,uglybetty
cause,0.0141860789055556,en,uglybetty
second,0.0141204026143262,en,uglybetty
ignacio,0.0140240027802529,en,uglybetty
boyfriend,0.0139945966753217,en,uglybetty
face,0.0139690048546509,en,uglybetty
probably,0.0139233737406379,en,uglybetty
fey,0.0138276064659806,en,uglybetty
company,0.0137907077621738,en,uglybetty
worry,0.0137703934112198,en,uglybetty
dress,0.0136435709584437,en,uglybetty
play,0.0135949922844908,en,uglybetty
renee,0.0135293525203679,en,uglybetty
walter,0.0133382012718315,en,uglybetty
use,0.0133322871195731,en,uglybetty
spend,0.0133069667098807,en,uglybetty
pick,0.0132666108283437,en,uglybetty
bit,0.0132009345371142,en,uglybetty
lunch,0.013163780334187,en,uglybetty
publication,0.0129103711353207,en,uglybetty
com,0.0128855947940857,en,uglybetty
hair,0.0128132369691651,en,uglybetty
anymore,0.0128132369691651,en,uglybetty
business,0.0127111323795875,en,uglybetty
hour,0.01254417162482,en,uglybetty
chance,0.0122814664599023,en,uglybetty
laugh,0.0122654324777928,en,uglybetty
picture,0.0121815018637714,en,uglybetty
walk,0.0121501138774435,en,uglybetty
perfect,0.0121152980492944,en,uglybetty
kill,0.012084437586214,en,uglybetty
end,0.012084437586214,en,uglybetty
santo,0.012064389082978,en,uglybetty
sister,0.0119743706422777,en,uglybetty
deal,0.0119166866058633,en,uglybetty
sit,0.0118874087125258,en,uglybetty
buy,0.0117560561300669,en,uglybetty
stuff,0.0116518713479552,en,uglybetty
head,0.0116247035476081,en,uglybetty
sleep,0.0116247035476081,en,uglybetty
archie,0.0115771879832777,en,uglybetty
check,0.0114933509651492,en,uglybetty
world,0.0114276746739198,en,uglybetty
designer,0.0113996596719117,en,uglybetty
amazing,0.0113246530712113,en,uglybetty
weird,0.0113007355413372,en,uglybetty
hit,0.0112963220914609,en,uglybetty
voice,0.0112318286173046,en,uglybetty
matter,0.0112306458002315,en,uglybetty
article,0.0111893904951002,en,uglybetty
hurt,0.0111884446466161,en,uglybetty
stupid,0.0111884446466161,en,uglybetty
story,0.0111884446466161,en,uglybetty
word,0.0111649695090021,en,uglybetty
kimmie,0.0111344483742836,en,uglybetty
wedding,0.0110931737152303,en,uglybetty
high,0.0110113755203763,en,uglybetty
line,0.0109679406353138,en,uglybetty
easy,0.0109679406353138,en,uglybetty
promise,0.0108980227193763,en,uglybetty
stand,0.010836588052855,en,uglybetty
open,0.010836588052855,en,uglybetty
heart,0.010791221759754,en,uglybetty
die,0.0107709117616255,en,uglybetty
chief,0.0107644253002615,en,uglybetty
cut,0.0106588141307999,en,uglybetty
child,0.0106588141307999,en,uglybetty
close,0.0105738828879373,en,uglybetty
gasp,0.0105256333263037,en,uglybetty
secret,0.0105109055451363,en,uglybetty
boy,0.0105082065967078,en,uglybetty
boss,0.0104738524529466,en,uglybetty
raceman,0.0103960784440352,en,uglybetty
marry,0.0103219565929454,en,uglybetty
speak,0.0103111777230196,en,uglybetty
later,0.0102615912439378,en,uglybetty
willow,0.0102606735601491,en,uglybetty
apartment,0.0102376742223118,en,uglybetty
important,0.0101798251405607,en,uglybetty
read,0.0101798251405607,en,uglybetty
herbalux,0.0101177608287663,en,uglybetty
lie,0.0100484725581019,en,uglybetty
set,0.0100103413821603,en,uglybetty
team,0.0099801699507949,en,uglybetty
photo,0.0099194696998689,en,uglybetty
sign,0.009917119975643,en,uglybetty
queen,0.0097925947279275,en,uglybetty
kiss,0.0097327950343191,en,uglybetty
soon,0.0096657569136447,en,uglybetty
ago,0.0095887385194959,en,uglybetty
coffee,0.0095856397525779,en,uglybetty
fall,0.0095230622282665,en,uglybetty
eye,0.0094573859370371,en,uglybetty
dead,0.0094573859370371,en,uglybetty
dance,0.0093876529292741,en,uglybetty
bitch,0.0093772562796958,en,uglybetty
car,0.0093507725802056,en,uglybetty
realize,0.0093209756740281,en,uglybetty
beautiful,0.0092835008350243,en,uglybetty
ugly,0.0092583314847981,en,uglybetty
girlfriend,0.0092550056001709,en,uglybetty
constance,0.009231679556289,en,uglybetty
figure,0.0092023302123055,en,uglybetty
door,0.0091946807721194,en,uglybetty
save,0.0091946807721194,en,uglybetty
card,0.0091726341690345,en,uglybetty
move,0.0091290044808899,en,uglybetty
brother,0.0091290044808899,en,uglybetty
trust,0.0090699225833515,en,uglybetty
pull,0.0090699225833515,en,uglybetty
throw,0.0088713111399204,en,uglybetty
message,0.0088051073254434,en,uglybetty
bag,0.0087423648070866,en,uglybetty
number,0.0087389035109664,en,uglybetty
reason,0.008669270442284,en,uglybetty
cool,0.0086107833832109,en,uglybetty
sell,0.0086064958820124,en,uglybetty
point,0.0086035941510545,en,uglybetty
surprise,0.0085421579794434,en,uglybetty
news,0.0084740882530583,en,uglybetty
couple,0.0084740882530583,en,uglybetty
glad,0.0084740882530583,en,uglybetty
steal,0.0084078844385813,en,uglybetty
game,0.0084078844385813,en,uglybetty
advertiser,0.0083712087514541,en,uglybetty
step,0.0083408889861368,en,uglybetty
feature,0.0082618642086874,en,uglybetty
