mot,poids_tfidf,langue,serie
betty,0.2796547542069273,fr,uglybetty
meade,0.1783257411895738,fr,uglybetty
ugly,0.1471471782234776,fr,uglybetty
taire,0.1314948333238453,fr,uglybetty
daniel,0.131462846346572,fr,uglybetty
hilda,0.1201777914192605,fr,uglybetty
tre,0.1151508427412205,fr,uglybetty
wilhelminer,0.099679102670513,fr,uglybetty
suarer,0.0782068056958311,fr,uglybetty
ouai,0.0778228076982581,fr,uglybetty
ici,0.0756528654998771,fr,uglybetty
lemarcus,0.0733231065919003,fr,uglybetty
mode,0.0729081669088464,fr,uglybetty
fey,0.0631398421607941,fr,uglybetty
mme,0.0605470560219965,fr,uglybetty
bradford,0.0575660817687996,fr,uglybetty
spraf,0.0568174722075765,fr,uglybetty
besoin,0.0510749705707026,fr,uglybetty
team,0.048295580820017,fr,uglybetty
petit,0.0482271540297907,fr,uglybetty
slater,0.0463183743349542,fr,uglybetty
dieu,0.0458127008755393,fr,uglybetty
justin,0.044352793101041,fr,uglybetty
aimer,0.043707792997474,fr,uglybetty
magazine,0.0414468279244044,fr,uglybetty
wilhelmina,0.0399944217774002,fr,uglybetty
marc,0.0399403491142217,fr,uglybetty
gio,0.0394624013504963,fr,uglybetty
nonomy,0.0393595896856954,fr,uglybetty
pre,0.0387550685784967,fr,uglybetty
amander,0.0383439107978255,fr,uglybetty
trs,0.0380740689708874,fr,uglybetty
dsole,0.0380079006365193,fr,uglybetty
quelqu,0.037393069363278,fr,uglybetty
heure,0.0372073421975664,fr,uglybetty
traduction,0.0365600291947561,fr,uglybetty
henry,0.0365068116253278,fr,uglybetty
fille,0.035659615816636,fr,uglybetty
regarder,0.0337404351042823,fr,uglybetty
alexi,0.0337181781047999,fr,uglybetty
rdacteur,0.032353577241847,fr,uglybetty
christina,0.0315963829967066,fr,uglybetty
grand,0.0309545276186076,fr,uglybetty
soir,0.0307058901694047,fr,uglybetty
appeler,0.0292210740719656,fr,uglybetty
salut,0.028478165409119,fr,uglybetty
sortir,0.0279209839119841,fr,uglybetty
veux,0.0275495295805608,fr,uglybetty
travailler,0.0275495295805608,fr,uglybetty
dsol,0.0273018933596119,fr,uglybetty
papi,0.0265705780325749,fr,uglybetty
apr,0.0260637122548676,fr,uglybetty
nouveau,0.0257541669786815,fr,uglybetty
famille,0.0257541669786815,fr,uglybetty
attend,0.0249017280032367,fr,uglybetty
plat,0.024839317657364,fr,uglybetty
voil,0.0247636220948861,fr,uglybetty
aider,0.0246398039844117,fr,uglybetty
papa,0.0245778949291744,fr,uglybetty
willie,0.0240516700870313,fr,uglybetty
photo,0.0235875784671088,fr,uglybetty
accord,0.023587350045379,fr,uglybetty
tai,0.0235287003940357,fr,uglybetty
sai,0.0233397138244301,fr,uglybetty
bureau,0.0231401034308216,fr,uglybetty
attendre,0.0229063504377696,fr,uglybetty
mieux,0.022720623272058,fr,uglybetty
essayer,0.0225968051615835,fr,uglybetty
ami,0.0224110779958719,fr,uglybetty
problme,0.0223491689406347,fr,uglybetty
oshi,0.0222191232096667,fr,uglybetty
connor,0.0220474640124361,fr,uglybetty
rdactrice,0.0216641245642645,fr,uglybetty
molly,0.0214417357899206,fr,uglybetty
gnial,0.0213353042774428,fr,uglybetty
pass,0.021296715001602,fr,uglybetty
bonjour,0.0212348059463648,fr,uglybetty
fabia,0.0209494590262572,fr,uglybetty
travail,0.0208014425597043,fr,uglybetty
boulot,0.0206363590208331,fr,uglybetty
