mot,poids_tfidf,langue,serie
column,0.1674011203869592,en,v
visitor,0.1509859921875704,en,v
tyler,0.128910858726236,en,v
hobbe,0.1165725827889363,en,v
georgie,0.1161218112574015,en,v
ship,0.1141435328053123,en,v
human,0.0911172832411233,en,v
chad,0.0849801239617224,en,v
anna,0.0774738301126959,en,v
help,0.0747862659661844,en,v
shuttle,0.0724060402652978,en,v
talk,0.06297790818205,en,v
lzard,0.0565953583842595,en,v
live,0.0558928935115694,en,v
val,0.0542297327990387,en,v
sure,0.0535312219547425,en,v
mom,0.0516196737037444,en,v
decker,0.0499596783381155,en,v
work,0.0495951026933644,en,v
win,0.0488078788410888,en,v
trust,0.0468192711958558,en,v
ambassador,0.0462205745942958,en,v
mother,0.0456589834319863,en,v
today,0.044084535727435,en,v
stop,0.044084535727435,en,v
life,0.044084535727435,en,v
baby,0.0407959856091179,en,v
warehouse,0.0405468870366092,en,v
kill,0.0401484164660569,en,v
hear,0.0393611926137812,en,v
peace,0.0389182084677135,en,v
center,0.0387522557428409,en,v
believe,0.03778674490923,en,v
plan,0.0365031605933791,en,v
message,0.0357096136239578,en,v
happen,0.0354250733524031,en,v
long,0.0354250733524031,en,v
ryan,0.0342597104454464,en,v
terrorist,0.0341889992677098,en,v
love,0.0338506256478519,en,v
father,0.0335966940310383,en,v
home,0.0330634017955762,en,v
meet,0.0330634017955762,en,v
falkner,0.0323402047910054,en,v
stay,0.031488954091025,en,v
great,0.031488954091025,en,v
son,0.0309483318074301,en,v
send,0.0309483318074301,en,v
world,0.0307017302387494,en,v
lose,0.0307017302387494,en,v
soldier,0.0295365391311058,en,v
parker,0.0292910606692965,en,v
resistance,0.0291854884803504,en,v
friend,0.0291272825341981,en,v
healing,0.0286442280311548,en,v
away,0.0275528348296469,en,v
family,0.0275528348296469,en,v
lie,0.0275528348296469,en,v
fight,0.0275528348296469,en,v
safe,0.0271973237394119,en,v
program,0.0268669294237765,en,v
question,0.0267656109773712,en,v
wrong,0.0259783871250956,en,v
agent,0.0255770643007723,en,v
parishioner,0.0254409980306941,en,v
welcome,0.0247975598800521,en,v
technology,0.0246679185878977,en,v
bring,0.0244039394205444,en,v
heal,0.0236824669451596,en,v
night,0.0236167155682687,en,v
start,0.0228294917159931,en,v
hell,0.0228294917159931,en,v
fifth,0.0228168906846263,en,v
protect,0.0225777339004553,en,v
bad,0.0220422678637175,en,v
marcus,0.0217458297101884,en,v
emotion,0.0217110518461108,en,v
anymore,0.0215978747342389,en,v
priest,0.0214466756072097,en,v
join,0.0214257681743747,en,v
turn,0.0212550440114418,en,v
like,0.0212550440114418,en,v
understand,0.0212550440114418,en,v
test,0.0211334989979977,en,v
comms,0.0210560784572691,en,v
dorset,0.0209811816312077,en,v
cell,0.0209650386218513,en,v
dale,0.0206951160348691,en,v
hope,0.0204678201591662,en,v
timbal,0.0202126279943783,en,v
big,0.0198386742355321,en,v
worry,0.0198386742355321,en,v
use,0.0196805963068906,en,v
save,0.0196805963068906,en,v
run,0.0196805963068906,en,v
answer,0.0196805963068906,en,v
tracker,0.0194387161002758,en,v
dad,0.019198110874879,en,v
check,0.018893372454615,en,v
idea,0.018893372454615,en,v
truth,0.018893372454615,en,v
morning,0.018893372454615,en,v
evan,0.0188625157561873,en,v
team,0.018845277701367,en,v
group,0.018464395012624,en,v
fine,0.0182515802966895,en,v
real,0.0181061486023393,en,v
speak,0.0181061486023393,en,v
walk,0.0181061486023393,en,v
week,0.0181061486023393,en,v
vitamin,0.0179172871560864,en,v
jack,0.0179009328067308,en,v
sleeper,0.0177010157631498,en,v
name,0.0175982683019724,en,v
high,0.0175982683019724,en,v
contact,0.0174844081542083,en,v
change,0.0173189247500637,en,v
care,0.0173189247500637,en,v
embed,0.0173160873976638,en,v
shot,0.0169333004253415,en,v
kid,0.0169333004253415,en,v
medical,0.0168692892974553,en,v
lead,0.0167983470155191,en,v
set,0.0167983470155191,en,v
aneurysm,0.0166477508449594,en,v
hard,0.0165317008977881,en,v
head,0.0165317008977881,en,v
miss,0.0165317008977881,en,v
afraid,0.0165317008977881,en,v
cause,0.0165317008977881,en,v
commander,0.0160894700747528,en,v
attack,0.0159984257290658,en,v
figure,0.0158709393884257,en,v
hurt,0.0158709393884257,en,v
heart,0.0158709393884257,en,v
little,0.0157444770455125,en,v
hand,0.0157444770455125,en,v
important,0.0157444770455125,en,v
drive,0.0157444770455125,en,v
suspect,0.0156001525686444,en,v
doctor,0.0154437108062291,en,v
task,0.015427916546244,en,v
