mot,poids_tfidf,langue,serie
botwin,0.134308882559744,fr,weeds
taire,0.1120435716391906,fr,weeds
tre,0.1059217500629706,fr,weeds
ici,0.0929662671923653,fr,weeds
sila,0.0916030206866116,fr,weeds
nancy,0.0859963891785126,fr,weeds
putain,0.0795760325187135,fr,weeds
merde,0.0766819478925293,fr,weeds
ouai,0.0730731945743297,fr,weeds
petit,0.0721805474219436,fr,weeds
mme,0.0689060847183841,fr,weeds
celia,0.0685552145437297,fr,weeds
judah,0.067154441279872,fr,weeds
doug,0.0626842549562254,fr,weeds
besoin,0.0616453195930998,fr,weeds
andy,0.0614977702227983,fr,weeds
agrestic,0.0598550454885815,fr,weeds
hoder,0.059827076747074,fr,weeds
weed,0.0587069605569856,fr,weeds
aimer,0.0582284889459072,fr,weeds
maison,0.057231913340476,fr,weeds
conrad,0.0531296439150788,fr,weeds
beuh,0.0506754000983393,fr,weeds
argent,0.0492593084970266,fr,weeds
heylia,0.0481760122225168,fr,weeds
heure,0.0478356290606964,fr,weeds
trs,0.0454153740189349,fr,weeds
majestic,0.0448192924682363,fr,weeds
turn,0.0446910575823048,fr,weeds
celier,0.0407635421116513,fr,weeds
accord,0.0405748639354121,fr,weeds
appeler,0.0375851371191186,fr,weeds
grand,0.0375851371191186,fr,weeds
bite,0.0373235302871732,fr,weeds
cul,0.0370568834444561,fr,weeds
dieu,0.0367309294573204,fr,weeds
regarder,0.0365885615136874,fr,weeds
herbe,0.0365015036726431,fr,weeds
siler,0.0353015226524642,fr,weeds
veux,0.034595410302825,fr,weeds
salut,0.034168306471926,fr,weeds
voiture,0.0340698024590038,fr,weeds
mec,0.0336476501675661,fr,weeds
lupiter,0.0336107172736371,fr,weeds
gros,0.0318904193737976,fr,weeds
enfant,0.0318904193737976,fr,weeds
fille,0.0316056834865315,fr,weeds
drogue,0.031341173565055,fr,weeds
esteban,0.0311832383247831,fr,weeds
bubbie,0.0306574623234198,fr,weeds
vendre,0.0295153157925962,fr,weeds
salope,0.0285891730445099,fr,weeds
apr,0.028473588726605,fr,weeds
ami,0.0279041169520729,fr,weeds
sortir,0.0274770131211738,fr,weeds
famille,0.0271922772339077,fr,weeds
nom,0.0269075413466417,fr,weeds
mal,0.0263380695721096,fr,weeds
mourir,0.0260533336848435,fr,weeds
voil,0.0257685977975775,fr,weeds
dsole,0.0256902100977383,fr,weeds
super,0.0256704236428783,fr,weeds
bonjour,0.0256262298539445,fr,weeds
laisse,0.0256262298539445,fr,weeds
weeds,0.0255441451279642,fr,weeds
dean,0.0249841469176495,fr,weeds
nanc,0.0248719307824914,fr,weeds
problme,0.0247720221921463,fr,weeds
fils,0.0246296542485133,fr,weeds
mieux,0.0246296542485133,fr,weeds
air,0.0244872863048803,fr,weeds
wilson,0.0237457274200348,fr,weeds
quelqu,0.0236330786430821,fr,weeds
sanjay,0.0234333308733192,fr,weeds
aguatecture,0.0233580665321294,fr,weeds
finir,0.0233483427558161,fr,weeds
affaire,0.02306360686855,fr,weeds
prend,0.022921238924917,fr,weeds
donne,0.022921238924917,fr,weeds
tuer,0.0223517671503849,fr,weeds
dsol,0.0222093992067518,fr,weeds
travi,0.0221989272437878,fr,weeds
marvin,0.0220416026075598,fr,weeds
gars,0.0219918039238952,fr,weeds
business,0.0219871125025295,fr,weeds
scottson,0.0218981873738713,fr,weeds
sai,0.0216399274322197,fr,weeds
arrte,0.0214975594885867,fr,weeds
doi,0.021384588293648,fr,weeds
pler,0.0210320065537165,fr,weeds
attend,0.020810505386436,fr,weeds
aider,0.0206433518267886,fr,weeds
vien,0.0206433518267886,fr,weeds
cole,0.0202909905326987,fr,weeds
demain,0.020236422479224,fr,weeds
clia,0.0201664303641822,fr,weeds
feu,0.0197891441649904,fr,weeds
payer,0.0196768771950641,fr,weeds
pass,0.0196467762213574,fr,weeds
cool,0.0194466741996925,fr,weeds
isabelle,0.0191877607802722,fr,weeds
soir,0.0190882566647999,fr,weeds
dea,0.0188084264639348,fr,weeds
porte,0.0187925685595593,fr,weeds
revenir,0.0185078326722932,fr,weeds
essayer,0.0183654647286602,fr,weeds
bubbi,0.018248489478226,fr,weeds
vrai,0.0180807288413941,fr,weeds
chercher,0.0179383608977611,fr,weeds
semaine,0.0179383608977611,fr,weeds
attendre,0.0179383608977611,fr,weeds
rentrer,0.0177959929541281,fr,weeds
foutre,0.0177913757569314,fr,weeds
pre,0.0176536250104951,fr,weeds
nouveau,0.0176536250104951,fr,weeds
tte,0.0176536250104951,fr,weeds
peter,0.0175896900020236,fr,weeds
milf,0.0175374438848931,fr,weeds
groff,0.017518549899097,fr,weeds
aime,0.017368889123229,fr,weeds
question,0.017368889123229,fr,weeds
plat,0.0172224872163608,fr,weeds
manger,0.0172172675456811,fr,weeds
