mot,poids_tfidf,langue,serie
ripper,0.2528665843258339,en,whitechapel
murder,0.1789207572455692,en,whitechapel
whitechapel,0.1277652177261887,en,whitechapel
eddowe,0.1261074548703842,en,whitechapel
killer,0.1000336341620995,en,whitechapel
mccormack,0.0991281547673799,en,whitechapel
buchan,0.092920158346319,en,whitechapel
kent,0.0882630349376224,en,whitechapel
cut,0.0792155784288177,en,whitechapel
alice,0.0720930379062349,en,whitechapel
fitz,0.0713367182639156,en,whitechapel
ripperologist,0.0696901187597393,en,whitechapel
suspect,0.0648866816186591,en,whitechapel
leary,0.0644443579775425,en,whitechapel
victim,0.0631917131111319,en,whitechapel
cathy,0.0621915977268903,en,whitechapel
night,0.0613940431517299,en,whitechapel
lee,0.0594768928604279,en,whitechapel
kill,0.0589382814256607,en,whitechapel
work,0.0589382814256607,en,whitechapel
police,0.0549818917542223,en,whitechapel
canonical,0.0545427058524326,en,whitechapel
chandler,0.0529033849264012,en,whitechapel
chapman,0.0505457422171789,en,whitechapel
ripperfan,0.0504429819481537,en,whitechapel
jack,0.0502581101532515,en,whitechapel
mutilate,0.0497532781815122,en,whitechapel
dead,0.0491152345213839,en,whitechapel
parcel,0.0486930160125231,en,whitechapel
body,0.0470342496921105,en,whitechapel
long,0.0466594727953147,en,whitechapel
masonic,0.0464600791731595,en,whitechapel
head,0.0442037110692455,en,whitechapel
bloody,0.0423980248850054,en,whitechapel
mile,0.0418909651460741,en,whitechapel
place,0.0417479493431763,en,whitechapel
fire,0.0417479493431763,en,whitechapel
grave,0.0407040534960475,en,whitechapel
book,0.0399259463180441,en,whitechapel
eye,0.0392921876171071,en,whitechapel
help,0.0392921876171071,en,whitechapel
witness,0.0389592764352109,en,whitechapel
conspiracy,0.0384020707248892,en,whitechapel
bayonet,0.0383131188372475,en,whitechapel
ripp,0.0381370325486826,en,whitechapel
abberline,0.0378322364611152,en,whitechapel
maduro,0.0378322364611152,en,whitechapel
die,0.0368364258910379,en,whitechapel
catch,0.0368364258910379,en,whitechapel
regimental,0.0368253474157385,en,whitechapel
detective,0.0361892124501593,en,whitechapel
cctv,0.0356683591319578,en,whitechapel
throat,0.0354307313225204,en,whitechapel
face,0.0346568155626077,en,whitechapel
happen,0.0343806641649687,en,whitechapel
stop,0.0343806641649687,en,whitechapel
clarence,0.0341816406343511,en,whitechapel
innit,0.0336971614781192,en,whitechapel
van,0.0334574357365669,en,whitechapel
stab,0.0330412403068637,en,whitechapel
kidney,0.0327977912342318,en,whitechapel
knife,0.0327052904515573,en,whitechapel
live,0.0319249024388995,en,whitechapel
job,0.0319249024388995,en,whitechapel
away,0.0319249024388995,en,whitechapel
shit,0.0318966919915803,en,whitechapel
apron,0.0318966919915803,en,whitechapel
copycat,0.0306492475203344,en,whitechapel
investigation,0.0302843034892896,en,whitechapel
lane,0.0301116921629102,en,whitechapel
like,0.0294691407128303,en,whitechapel
home,0.0294691407128303,en,whitechapel
great,0.0294691407128303,en,whitechapel
catherine,0.0293994772950216,en,whitechapel
sander,0.0293994772950216,en,whitechapel
hat,0.0293115974359255,en,whitechapel
hutchinson,0.028602774411512,en,whitechapel
soldier,0.0279211723073619,en,whitechapel
barrack,0.0278245805785846,en,whitechapel
theory,0.0272544087096311,en,whitechapel
street,0.0272303550849061,en,whitechapel
talk,0.0270133789867611,en,whitechapel
start,0.0270133789867611,en,whitechapel
eat,0.0270133789867611,en,whitechapel
stand,0.0270133789867611,en,whitechapel
mutilation,0.0260336273745368,en,whitechapel
wilke,0.0259750483835941,en,whitechapel
wound,0.0257656124504889,en,whitechapel
mason,0.0252473641027144,en,whitechapel
hanbury,0.0252214909740768,en,whitechapel
obbo,0.0252214909740768,en,whitechapel
deerstalker,0.0252214909740768,en,whitechapel
mary,0.0248303886994188,en,whitechapel
inquiry,0.0248234687857454,en,whitechapel
believe,0.0245576172606919,en,whitechapel
inspector,0.0235297671767884,en,whitechapel
tour,0.0234492779487404,en,whitechapel
skip,0.0234492779487404,en,whitechapel
stakeholder,0.0232300395865797,en,whitechapel
soco,0.0232300395865797,en,whitechapel
squaddie,0.0232300395865797,en,whitechapel
boss,0.02318905120544,en,whitechapel
phillip,0.0230481835456335,en,whitechapel
dark,0.0230040973601446,en,whitechapel
address,0.0228206784192239,en,whitechapel
commander,0.0228142944048348,en,whitechapel
wear,0.0226387691163308,en,whitechapel
serial,0.0224591488871343,en,whitechapel
tonight,0.0224583448038998,en,whitechapel
attack,0.0224583448038998,en,whitechapel
fine,0.0222793814331049,en,whitechapel
girl,0.0221018555346227,en,whitechapel
hand,0.0221018555346227,en,whitechapel
different,0.0221018555346227,en,whitechapel
kiry,0.021817082340973,en,whitechapel
fish,0.0218035269677049,en,whitechapel
labwork,0.0207211075554998,en,whitechapel
