mot,poids_tfidf,langue,serie
ventreur,0.3568046806955656,fr,whitechapel
buchan,0.22868240409772,fr,whitechapel
mitr,0.18297270998981,fr,whitechapel
taire,0.1554939224354192,fr,whitechapel
meurtre,0.1459697769049571,fr,whitechapel
leary,0.1327696718359574,fr,whitechapel
whitechapel,0.1323950760565747,fr,whitechapel
mary,0.1323843714285868,fr,whitechapel
bousfield,0.1306947928498643,fr,whitechapel
jack,0.112051643166804,fr,whitechapel
tueur,0.1052981858211225,fr,whitechapel
mccormack,0.0966040224187631,fr,whitechapel
kent,0.0935582374873443,fr,whitechapel
maduro,0.091486354994905,fr,whitechapel
tre,0.0815705822612035,fr,whitechapel
eddower,0.0784168757099186,fr,whitechapel
ici,0.0764724208698783,fr,whitechapel
cathy,0.0673525171348819,fr,whitechapel
mile,0.0671282780207046,fr,whitechapel
ripperologue,0.0653473964249321,fr,whitechapel
joe,0.0637534406566018,fr,whitechapel
victime,0.0635585529712281,fr,whitechapel
hutchinson,0.0627682452007319,fr,whitechapel
skip,0.0595149786749455,fr,whitechapel
mme,0.05862885600024,fr,whitechapel
chapman,0.055533302241829,fr,whitechapel
chandler,0.0540173420650182,fr,whitechapel
alice,0.0535073556388782,fr,whitechapel
suspect,0.0530799266160963,fr,whitechapel
ripperfan,0.0522779171399457,fr,whitechapel
inspecteur,0.0513491181065824,fr,whitechapel
heure,0.0509816139132522,fr,whitechapel
enqute,0.0497241433044189,fr,whitechapel
squar,0.045685667641064,fr,whitechapel
complot,0.0448855192031477,fr,whitechapel
soldat,0.0445739896418328,fr,whitechapel
police,0.0431552277699862,fr,whitechapel
aot,0.0420131263842147,fr,whitechapel
catherine,0.0415213011012572,fr,whitechapel
oeil,0.0407852911306017,fr,whitechapel
nuit,0.0407852911306017,fr,whitechapel
mourir,0.0407852911306017,fr,whitechapel
baonnette,0.0405459864426779,fr,whitechapel
rob,0.0397045239584926,fr,whitechapel
square,0.0393264271144244,fr,whitechapel
hanbury,0.0392084378549593,fr,whitechapel
eddowe,0.0392084378549593,fr,whitechapel
tabram,0.0392084378549593,fr,whitechapel
lostherion,0.0392084378549593,fr,whitechapel
baje,0.0392084378549593,fr,whitechapel
grave,0.0391726542297426,fr,whitechapel
couteau,0.0390022409366037,fr,whitechapel
annie,0.0389144404646387,fr,whitechapel
coup,0.0385458170693295,fr,whitechapel
mort,0.0382362104349391,fr,whitechapel
emma,0.0375912076051183,fr,whitechapel
mutil,0.0371612213803178,fr,whitechapel
ouai,0.0365611439477598,fr,whitechapel
aspirat,0.0361077480154294,fr,whitechapel
maon,0.036000020371574,fr,whitechapel
visage,0.0359760959313742,fr,whitechapel
voil,0.0356871297392765,fr,whitechapel
trouv,0.0356871297392765,fr,whitechapel
fait,0.0356871297392765,fr,whitechapel
commissaire,0.0355409247301932,fr,whitechapel
anthony,0.0355379605545976,fr,whitechapel
clarence,0.0353781700434615,fr,whitechapel
fitz,0.0339077735633043,fr,whitechapel
ricorod,0.0339077735633043,fr,whitechapel
rein,0.0338803103911585,fr,whitechapel
corps,0.0334063747934189,fr,whitechapel
soir,0.0334063747934189,fr,whitechapel
lieu,0.0331380490436139,fr,whitechapel
tablier,0.0329859186761144,fr,whitechapel
jone,0.0329461327593615,fr,whitechapel
kiry,0.0322013408062543,fr,whitechapel
sander,0.0317115459565863,fr,whitechapel
gorge,0.0311453434643938,fr,whitechapel
street,0.0310716648750548,fr,whitechapel
mutilation,0.0308322039723577,fr,whitechapel
phillips,0.0308322039723577,fr,whitechapel
blek,0.0308070837237745,fr,whitechapel
health,0.0308070837237745,fr,whitechapel
dieu,0.0305889683479513,fr,whitechapel
cohen,0.0304571117607093,fr,whitechapel
van,0.0300096344805657,fr,whitechapel
matricule,0.0298743061234529,fr,whitechapel
tmoin,0.0296692190918655,fr,whitechapel
chef,0.0284958308307011,fr,whitechapel
john,0.0283402376287625,fr,whitechapel
nom,0.0280398876522887,fr,whitechapel
regarder,0.0280398876522887,fr,whitechapel
wilke,0.0277063938842446,fr,whitechapel
chapeau,0.0269769617828313,fr,whitechapel
safety,0.0269006765145994,fr,whitechapel
gauche,0.0267550730088489,fr,whitechapel
ventreus,0.0261389585699728,fr,whitechapel
abberline,0.0261389585699728,fr,whitechapel
