mot,poids_tfidf,langue,serie
lindsay,0.1698191604465469,en,womensmurderclub
jacobi,0.1203442522486245,en,womensmurderclub
linz,0.1050245601215125,en,womensmurderclub
talk,0.0990308629147612,en,womensmurderclub
kill,0.0764259920320439,en,womensmurderclub
work,0.0748113583975641,en,womensmurderclub
theresa,0.0670791924553234,en,womensmurderclub
inspector,0.0598194110697679,en,womensmurderclub
night,0.0570503884182863,en,womensmurderclub
murder,0.0554580245953389,en,womensmurderclub
case,0.0554357547838065,en,womensmurderclub
boxer,0.0504288558173706,en,womensmurderclub
killer,0.0474024537926912,en,womensmurderclub
claire,0.0461335322680366,en,womensmurderclub
hear,0.0457479529769277,en,womensmurderclub
baby,0.0453920547316381,en,womensmurderclub
drug,0.0441832463939916,en,womensmurderclub
gun,0.0440455042882009,en,womensmurderclub
happen,0.0435951081309546,en,womensmurderclub
jill,0.0433627959590219,en,womensmurderclub
help,0.0425186857079681,en,womensmurderclub
little,0.0419804744964748,en,womensmurderclub
sure,0.0414422632849815,en,womensmurderclub
alexis,0.0403967238176156,en,womensmurderclub
friend,0.0387512072275152,en,womensmurderclub
javier,0.0386879186686304,en,womensmurderclub
bernhardt,0.038183675200063,en,womensmurderclub
cop,0.038176265280018,en,womensmurderclub
meet,0.0371365735930354,en,womensmurderclub
old,0.0365983623815421,en,womensmurderclub
car,0.0363848635254249,en,womensmurderclub
kid,0.0363848635254249,en,womensmurderclub
home,0.0360601511700489,en,womensmurderclub
tom,0.0357783047301752,en,womensmurderclub
kraft,0.0356380968533921,en,womensmurderclub
kate,0.035463182715652,en,womensmurderclub
life,0.0344455175355691,en,womensmurderclub
wife,0.0344455175355691,en,womensmurderclub
dead,0.0344455175355691,en,womensmurderclub
heather,0.0341052858138723,en,womensmurderclub
run,0.0339073063240758,en,womensmurderclub
love,0.032292672689596,en,womensmurderclub
start,0.032292672689596,en,womensmurderclub
laurent,0.0322589736458442,en,womensmurderclub
rape,0.0320374654135076,en,womensmurderclub
girl,0.0317544614781027,en,womensmurderclub
spaulde,0.0310796801891121,en,womensmurderclub
head,0.0306780390551162,en,womensmurderclub
stop,0.0306780390551162,en,womensmurderclub
job,0.0306780390551162,en,womensmurderclub
husband,0.0303819161157889,en,womensmurderclub
