mot,poids_tfidf,langue,serie
taire,0.2842838835808511,fr,womensmurderclub
tre,0.1178465607771308,fr,womensmurderclub
ouai,0.1121498468151011,fr,womensmurderclub
jacobi,0.1040107392810043,fr,womensmurderclub
lindsay,0.1038289192079738,fr,womensmurderclub
galvan,0.0712022611667279,fr,womensmurderclub
mme,0.069814313256594,fr,womensmurderclub
joe,0.0667391155981639,fr,womensmurderclub
isela,0.0658623153561795,fr,womensmurderclub
heure,0.065346197208172,fr,womensmurderclub
javier,0.0629786925793581,fr,womensmurderclub
linz,0.0606537780309163,fr,womensmurderclub
boxer,0.0605191618736405,fr,womensmurderclub
quelqu,0.0575269941234335,fr,womensmurderclub
beth,0.0547620410061089,fr,womensmurderclub
inspecteur,0.0525037887032216,fr,womensmurderclub
sila,0.0522328354546237,fr,womensmurderclub
affaire,0.0502663055447477,fr,womensmurderclub
tom,0.0496663185846801,fr,womensmurderclub
besoin,0.0485907620265894,fr,womensmurderclub
reece,0.0470363452603226,fr,womensmurderclub
apr,0.0469152185084312,fr,womensmurderclub
ici,0.0469152185084312,fr,womensmurderclub
nivaldo,0.0458172628564726,fr,womensmurderclub
walton,0.0454417453975626,fr,womensmurderclub
petit,0.0452396749902729,fr,womensmurderclub
pre,0.0452396749902729,fr,womensmurderclub
mccarthy,0.0450446651722137,fr,womensmurderclub
cooper,0.0441600172825167,fr,womensmurderclub
mort,0.0435641314721147,fr,womensmurderclub
mari,0.0427908055723934,fr,womensmurderclub
thrsa,0.0425545165753163,fr,womensmurderclub
heather,0.0424550007672843,fr,womensmurderclub
trouv,0.0418885879539564,fr,womensmurderclub
voiture,0.0416212733165804,fr,womensmurderclub
kis,0.0404997845180506,fr,womensmurderclub
bernhardt,0.0395568117592932,fr,womensmurderclub
flic,0.0393203320051646,fr,womensmurderclub
maison,0.0390960154236926,fr,womensmurderclub
colin,0.0386374726376078,fr,womensmurderclub
appeler,0.0385375009176399,fr,womensmurderclub
aimer,0.0379789864115871,fr,womensmurderclub
corinne,0.0376076415273291,fr,womensmurderclub
fille,0.0374204719055344,fr,womensmurderclub
meurtre,0.037216120741219,fr,womensmurderclub
cindy,0.0370120519509658,fr,womensmurderclub
nuit,0.0368619573994816,fr,womensmurderclub
arme,0.0351864138813234,fr,womensmurderclub
francisco,0.0337487026646431,fr,womensmurderclub
attendre,0.0335108703631651,fr,womensmurderclub
hammond,0.0333664186460842,fr,womensmurderclub
tueur,0.0333251877583709,fr,womensmurderclub
theresa,0.0329888389701399,fr,womensmurderclub
register,0.0329254416822258,fr,womensmurderclub
mourir,0.0323938413510596,fr,womensmurderclub
accord,0.0318353268450069,fr,womensmurderclub
dsole,0.0315300672638688,fr,womensmurderclub
alexi,0.0312880745388092,fr,womensmurderclub
ami,0.0312768123389541,fr,womensmurderclub
appel,0.0312768123389541,fr,womensmurderclub
maurice,0.0310060347646043,fr,womensmurderclub
police,0.0307303599600907,fr,womensmurderclub
kat,0.0303354427062448,fr,womensmurderclub
tuer,0.0301597833268486,fr,womensmurderclub
sortir,0.0301597833268486,fr,womensmurderclub
trs,0.0301597833268486,fr,womensmurderclub
hogan,0.0294702676176575,fr,womensmurderclub
jamie,0.0294673280740341,fr,womensmurderclub
kraft,0.0292503878545893,fr,womensmurderclub
emily,0.0292004361692169,fr,womensmurderclub
billy,0.029117700195697,fr,womensmurderclub
victime,0.0290628550429907,fr,womensmurderclub
travailler,0.0290427543147431,fr,womensmurderclub
rancard,0.0289094246524783,fr,womensmurderclub
ethan,0.0287330805987648,fr,womensmurderclub
russo,0.02842815812491,fr,womensmurderclub
problme,0.0279257253026376,fr,womensmurderclub
pass,0.0273672107965848,fr,womensmurderclub
bureau,0.0273305886693327,fr,womensmurderclub
mariage,0.026965895388207,fr,womensmurderclub
regarder,0.0268086962905321,fr,womensmurderclub
travail,0.0268086962905321,fr,womensmurderclub
clair,0.0264627350250327,fr,womensmurderclub
finir,0.0262501817844793,fr,womensmurderclub
whitney,0.0260733954490077,fr,womensmurderclub
boyc,0.0257722103567658,fr,womensmurderclub
aider,0.0256916672784266,fr,womensmurderclub
crime,0.0254299981626169,fr,womensmurderclub
minute,0.0253366611941803,fr,womensmurderclub
drogue,0.02522103354148,fr,womensmurderclub
soir,0.024773624278754,fr,womensmurderclub
sherman,0.0246996883196172,fr,womensmurderclub
mal,0.0245746382663211,fr,womensmurderclub
revenir,0.0245746382663211,fr,womensmurderclub
nom,0.0245746382663211,fr,womensmurderclub
sang,0.0245746382663211,fr,womensmurderclub
parent,0.0242267801055122,fr,womensmurderclub
enfant,0.0240161237602683,fr,womensmurderclub
dieu,0.0240161237602683,fr,womensmurderclub
tte,0.0240161237602683,fr,womensmurderclub
spaulding,0.0237340870555759,fr,womensmurderclub
laurent,0.023576214094126,fr,womensmurderclub
harold,0.0234452713371619,fr,womensmurderclub
bentley,0.0233564930522589,fr,womensmurderclub
procureur,0.0230334462985107,fr,womensmurderclub
quiroga,0.0229086314282363,fr,womensmurderclub
pernet,0.0229086314282363,fr,womensmurderclub
fils,0.0228990947481628,fr,womensmurderclub
voil,0.0228990947481628,fr,womensmurderclub
argent,0.0223405802421101,fr,womensmurderclub
tai,0.0219584397016229,fr,womensmurderclub
nouveau,0.0217820657360573,fr,womensmurderclub
rodney,0.021704224335223,fr,womensmurderclub
pacific,0.0214652625764488,fr,womensmurderclub
corps,0.0213954027861967,fr,womensmurderclub
chien,0.0213426396167608,fr,womensmurderclub
raison,0.0212235512300046,fr,womensmurderclub
noreen,0.021096966271623,fr,womensmurderclub
