mot,poids_tfidf,langue,serie
mulder,0.5978381735501304,en,xfiles
scully,0.4003959968576621,en,xfiles
agent,0.1288840956187069,en,xfiles
kill,0.0507428155509468,en,xfiles
happen,0.0479538338922811,en,xfiles
believe,0.0449150926820931,en,xfiles
work,0.0442074406194466,en,xfiles
talk,0.0420012312476663,en,xfiles
help,0.0398782750597268,en,xfiles
skinner,0.0366910168746561,en,xfiles
door,0.0343835649262363,en,xfiles
life,0.033592659679749,en,xfiles
body,0.0318483563850792,en,xfiles
areyou,0.0311909673587702,en,xfiles
sure,0.0305955450614814,en,xfiles
hear,0.0305122918776406,en,xfiles
case,0.0295548802634718,en,xfiles
phone,0.02858198033039,en,xfiles
dead,0.0284309622816215,en,xfiles
die,0.0254338476633539,en,xfiles
night,0.0250175817441501,en,xfiles
car,0.0234934354702516,en,xfiles
stop,0.0233941446592552,en,xfiles
little,0.0230611319238921,en,xfiles
continue,0.0228606471056945,en,xfiles
murder,0.0224428019175246,en,xfiles
alien,0.0218608741120673,en,xfiles
away,0.021853960758201,en,xfiles
file,0.0215185347511527,en,xfiles
open,0.0212711884713156,en,xfiles
fiind,0.020734669821969,en,xfiles
speak,0.0206884161844303,en,xfiles
run,0.0206051630005895,en,xfiles
hell,0.0203970300409876,en,xfiles
victim,0.0202118772337554,en,xfiles
home,0.0201888970813857,en,xfiles
sigh,0.0200620764233734,en,xfiles
death,0.0200153702182909,en,xfiles
gasp,0.0198749146513196,en,xfiles
long,0.0196893779783411,en,xfiles
evidence,0.019256625723234,en,xfiles
boy,0.0191482322833761,en,xfiles
hand,0.0187319663641723,en,xfiles
understand,0.0187319663641723,en,xfiles
place,0.0186903397722519,en,xfiles
ofthe,0.0186298926022853,en,xfiles
question,0.0180243143015258,en,xfiles
live,0.0178994345257646,en,xfiles
report,0.0177651613103606,en,xfiles
win,0.0176496749742423,en,xfiles
ring,0.0174930315706296,en,xfiles
check,0.0174831686065608,en,xfiles
turn,0.0173582888307996,en,xfiles
truth,0.0171501558711977,en,xfiles
scream,0.0171305898647286,en,xfiles
start,0.016858769727755,en,xfiles
father,0.0168346052417226,en,xfiles
doctor,0.0163755406103437,en,xfiles
close,0.0162759974408697,en,xfiles
child,0.0161969243275897,en,xfiles
old,0.015984611297427,en,xfiles
answer,0.0159429847055066,en,xfiles
hour,0.0158597315216658,en,xfiles
head,0.0158597315216658,en,xfiles
lie,0.0156515985620639,en,xfiles
kid,0.015520164267099,en,xfiles
blood,0.0153996663943664,en,xfiles
beep,0.0152107570053099,en,xfiles
son,0.0151898616750971,en,xfiles
byer,0.0151598641122805,en,xfiles
cause,0.015110452867099,en,xfiles
bring,0.0150688262751786,en,xfiles
wrong,0.0146525603559747,en,xfiles
explain,0.0145821323608458,en,xfiles
reyes,0.0144706083763357,en,xfiles
ago,0.0144444273963728,en,xfiles
remember,0.0144028008044524,en,xfiles
indistinct,0.0143585252559591,en,xfiles
frohike,0.0143218853409477,en,xfiles
fox,0.0142683633191633,en,xfiles
hope,0.0141946678448505,en,xfiles
miss,0.014028161477169,en,xfiles
bad,0.0139449082933282,en,xfiles
shoot,0.0139449082933282,en,xfiles
police,0.0139352466775253,en,xfiles
afraid,0.0138616551094875,en,xfiles
federal,0.0136637133422864,en,xfiles
groan,0.0134403397243485,en,xfiles
big,0.013427502033235,en,xfiles
house,0.0131956296387613,en,xfiles
reason,0.013154003046841,en,xfiles
story,0.0130498535385502,en,xfiles
room,0.0129874966791594,en,xfiles
like,0.0127377371276371,en,xfiles
baby,0.012604804929732,en,xfiles
kersh,0.0126004065348825,en,xfiles
mind,0.0125296041680352,en,xfiles
grunt,0.0123265422538595,en,xfiles
lose,0.0122798446165129,en,xfiles
langly,0.0121842905139405,en,xfiles
stay,0.0121133382488314,en,xfiles
test,0.0119055767692,en,xfiles
eye,0.0118219521053887,en,xfiles
girl,0.0117803255134683,en,xfiles
guess,0.0116554457377072,en,xfiles
word,0.0116554457377072,en,xfiles
light,0.0116319508579742,en,xfiles
friend,0.011530565961946,en,xfiles
morning,0.0113640595942645,en,xfiles
government,0.0113553778449562,en,xfiles
mother,0.0112808064104237,en,xfiles
human,0.0112563828750388,en,xfiles
love,0.011197553226583,en,xfiles
crime,0.0111834152154985,en,xfiles
second,0.0111559266346626,en,xfiles
sheriff,0.0111185216547612,en,xfiles
exactly,0.0111143000427422,en,xfiles
killer,0.0110903261353475,en,xfiles
gun,0.0110495761778693,en,xfiles
knock,0.0110431938054358,en,xfiles
save,0.010989420266981,en,xfiles
watch,0.0109061670831403,en,xfiles
clear,0.0109061670831403,en,xfiles
foor,0.0109017336177363,en,xfiles
hard,0.0107812873073791,en,xfiles
number,0.010742001626588,en,xfiles
spender,0.0107315762488444,en,xfiles
sound,0.0106980341235384,en,xfiles
great,0.0106980341235384,en,xfiles
meet,0.0105731543477772,en,xfiles
face,0.0105321969073187,en,xfiles
investigation,0.0105234000334674,en,xfiles
world,0.0104482745720161,en,xfiles
idea,0.0104482745720161,en,xfiles
voice,0.0104381371798845,en,xfiles
record,0.0104053087674969,en,xfiles
new,0.0101985150204938,en,xfiles
send,0.0101125874687801,en,xfiles
sister,0.0101051618991826,en,xfiles
reye,0.0100895985009313,en,xfiles
medical,0.0099998940756367,en,xfiles
able,0.0099487554689715,en,xfiles
suspect,0.0099446312866545,en,xfiles
matter,0.0099071288770511,en,xfiles
alive,0.0098608218056569,en,xfiles
real,0.0097822491012899,en,xfiles
end,0.0096989959174492,en,xfiles
play,0.0096989959174492,en,xfiles
gunshot,0.0096787477389728,en,xfiles
suppose,0.0096573693255288,en,xfiles
person,0.009574116141688,en,xfiles
protect,0.0095508703182148,en,xfiles
actually,0.0095324895497676,en,xfiles
point,0.0095324895497676,en,xfiles
pretty,0.009525134254826,en,xfiles
partner,0.0094558957919662,en,xfiles
duane,0.0094245775495114,en,xfiles
care,0.0094076097740065,en,xfiles
damn,0.0093901566926191,en,xfiles
ifyou,0.0093631663829307,en,xfiles
order,0.0093478586894992,en,xfiles
ringing,0.0093329323186948,en,xfiles
office,0.0093055606863793,en,xfiles
catch,0.0092827299982453,en,xfiles
line,0.009241103406325,en,xfiles
change,0.009241103406325,en,xfiles
radio,0.0092210868485796,en,xfiles
sense,0.0091055248162874,en,xfiles
stand,0.0090745970386434,en,xfiles
probably,0.009032970446723,en,xfiles
use,0.0089913438548027,en,xfiles
bureau,0.008971801483424,en,xfiles
read,0.0089497172628823,en,xfiles
modell,0.0088754941379894,en,xfiles
far,0.0088664640790415,en,xfiles
hospital,0.0088384779752413,en,xfiles
family,0.0088248374871211,en,xfiles
animal,0.008819441267507,en,xfiles
deputy,0.0087685323749971,en,xfiles
hurt,0.0087278763216027,en,xfiles
abduction,0.0086947831003225,en,xfiles
fact,0.0086859153777488,en,xfiles
roland,0.0086495604391581,en,xfiles
fine,0.008643954433895,en,xfiles
chance,0.0086167045275192,en,xfiles
water,0.0085864946333409,en,xfiles
eladio,0.0085503793080284,en,xfiles
high,0.008544196630221,en,xfiles
information,0.0085018986271011,en,xfiles
mom,0.0084918709958201,en,xfiles
fire,0.0084501981598377,en,xfiles
true,0.0084085715679173,en,xfiles
late,0.0084085715679173,en,xfiles
state,0.0083996493423585,en,xfiles
pull,0.008350227826918,en,xfiles
secret,0.0083382017805949,en,xfiles
autopsy,0.0082951767390419,en,xfiles
drive,0.0082836917921562,en,xfiles
sit,0.0082836917921562,en,xfiles
problem,0.0082836917921562,en,xfiles
game,0.0082663059392103,en,xfiles
harold,0.0082610693253463,en,xfiles
chuckle,0.0082386583431408,en,xfiles
break,0.0081823840515025,en,xfiles
soon,0.0080984621637948,en,xfiles
sign,0.0080755588325542,en,xfiles
cut,0.008056501219941,en,xfiles
special,0.0080339322406339,en,xfiles
walk,0.0079923056487135,en,xfiles
tape,0.0079811361167053,en,xfiles
shut,0.0079306183883794,en,xfiles
toyou,0.007902784004605,en,xfiles
extraterrestrial,0.0079000177490703,en,xfiles
detective,0.007863034634959,en,xfiles
heart,0.0078466965006717,en,xfiles
shout,0.0078422815383323,en,xfiles
contact,0.0078365381960037,en,xfiles
mile,0.0078108389020524,en,xfiles
trust,0.0078047355568178,en,xfiles
cell,0.0078027199474701,en,xfiles
sleep,0.0077841726891116,en,xfiles
burn,0.0077828325740627,en,xfiles
anson,0.0077660573707407,en,xfiles
skinn,0.0077660573707407,en,xfiles
chatter,0.0077599702575997,en,xfiles
attack,0.0076982365678229,en,xfiles
set,0.007655938564703,en,xfiles
power,0.007655938564703,en,xfiles
weapon,0.0076321686917877,en,xfiles
ready,0.00761766632143,en,xfiles
system,0.0075387018024117,en,xfiles
job,0.0075344131375893,en,xfiles
follow,0.0075110089498408,en,xfiles
deal,0.0075110089498408,en,xfiles
brother,0.0074927865456689,en,xfiles
begin,0.0074867465522233,en,xfiles
chattering,0.0074805493098139,en,xfiles
month,0.0074511599537485,en,xfiles
prove,0.0074270870621331,en,xfiles
appear,0.007411421003652,en,xfiles
today,0.0074095333618281,en,xfiles
wife,0.0074095333618281,en,xfiles
director,0.0073421356067426,en,xfiles
possible,0.0073262801779873,en,xfiles
control,0.0073175545397437,en,xfiles
wish,0.0073012042305715,en,xfiles
lead,0.0072752565366238,en,xfiles
area,0.0072474067145254,en,xfiles
name,0.007190660530384,en,xfiles
billy,0.0071697682211169,en,xfiles
week,0.0071181472183854,en,xfiles
arrest,0.0071007626382294,en,xfiles
pick,0.007076520626465,en,xfiles
neech,0.0070540629291234,en,xfiles
officer,0.0070464608065133,en,xfiles
dog,0.0070058087125617,en,xfiles
engine,0.0069577656831739,en,xfiles
claim,0.0068646166566678,en,xfiles
theywere,0.0068415267313668,en,xfiles
figure,0.006839633848179,en,xfiles
melissa,0.0068303947028062,en,xfiles
military,0.0068273766070788,en,xfiles
money,0.0067851344830224,en,xfiles
investigate,0.006734665981168,en,xfiles
involve,0.006725382496065,en,xfiles
hit,0.0067018812991816,en,xfiles
force,0.0066941367855344,en,xfiles
toom,0.0066939659716563,en,xfiles
dream,0.0066407864898252,en,xfiles
cry,0.0066384805495499,en,xfiles
theory,0.0066062869064272,en,xfiles
drop,0.0065770015234205,en,xfiles
town,0.0065662233437726,en,xfiles
abductee,0.0065542164680515,en,xfiles
disappear,0.0065138924804655,en,xfiles
key,0.0065039462973482,en,xfiles
eat,0.0064937483395797,en,xfiles
witness,0.0064717478360255,en,xfiles
connection,0.0064214956642894,en,xfiles
pay,0.0064200244096404,en,xfiles
remain,0.0063974022233156,en,xfiles
creak,0.0063515148644686,en,xfiles
virus,0.0062178948611922,en,xfiles
charge,0.0062178064586262,en,xfiles
course,0.0062102196903711,en,xfiles
husband,0.0062102196903711,en,xfiles
science,0.0062083098105583,en,xfiles
tipet,0.0061990249983206,en,xfiles
act,0.0061682587465173,en,xfiles
security,0.0061580641939904,en,xfiles
suggest,0.0061462002815725,en,xfiles
click,0.0061297855915676,en,xfiles
fellig,0.0061033219153337,en,xfiles
bear,0.006097207390646,en,xfiles
step,0.0060774824203759,en,xfiles
infect,0.0060468993012912,en,xfiles
scene,0.0060395055954378,en,xfiles
fall,0.0060358558284555,en,xfiles
patient,0.0060076777952867,en,xfiles
destroy,0.0059833673374233,en,xfiles
screech,0.00596511203908,en,xfiles
air,0.0059312981738252,en,xfiles
crump,0.0059064405632261,en,xfiles
cover,0.0058794224336669,en,xfiles
ship,0.0058581291765393,en,xfiles
lock,0.0058413805071224,en,xfiles
later,0.0058325711956864,en,xfiles
abduct,0.005830308024728,en,xfiles
teager,0.0057715060329192,en,xfiles
base,0.0057593764876274,en,xfiles
apartment,0.0057254005940955,en,xfiles
explanation,0.0057167900505241,en,xfiles
write,0.005716396066078,en,xfiles
fear,0.0057134670653606,en,xfiles
brain,0.0057102304211873,en,xfiles
conspiracy,0.0056809088364555,en,xfiles
print,0.0056776889224781,en,xfiles
create,0.00567082925144,en,xfiles
hide,0.0056679324180674,en,xfiles
tonight,0.0056679324180674,en,xfiles
offiice,0.0056563930443365,en,xfiles
rawl,0.0056197575143858,en,xfiles
trace,0.0056056220010664,en,xfiles
search,0.0055912379263622,en,xfiles
soul,0.0055909908616214,en,xfiles
plane,0.0055847056138316,en,xfiles
learn,0.0055779633173313,en,xfiles
maleeni,0.0055577465502185,en,xfiles
certain,0.005547212430879,en,xfiles
mark,0.005547212430879,en,xfiles
ifl,0.005544923910293,en,xfiles
reach,0.0055444743798801,en,xfiles
pass,0.0055002779957576,en,xfiles
field,0.0054975394536003,en,xfiles
happy,0.0054947101334905,en,xfiles
foot,0.0054947101334905,en,xfiles
nice,0.0054947101334905,en,xfiles
insect,0.0054938099373635,en,xfiles
expose,0.0054793430393844,en,xfiles
wound,0.005459276767722,en,xfiles
track,0.0054585135367812,en,xfiles
trouble,0.0054549227010017,en,xfiles
different,0.0054530835415701,en,xfiles
monster,0.0054156503146524,en,xfiles
laugh,0.0054156025535802,en,xfiles
business,0.0054129617571478,en,xfiles
show,0.0054129617571478,en,xfiles
fast,0.0054114569496497,en,xfiles
expect,0.0054114569496497,en,xfiles
photo,0.0054022529011881,en,xfiles
early,0.005371846396228,en,xfiles
rest,0.005371000813294,en,xfiles
stuff,0.005371000813294,en,xfiles
fiirst,0.0053439870675178,en,xfiles
dad,0.0053295483931081,en,xfiles
piece,0.0053295483931081,en,xfiles
young,0.0053290398694401,en,xfiles
describe,0.0053283918846524,en,xfiles
fly,0.0053282541252966,en,xfiles
danger,0.005318941382981,en,xfiles
cassandra,0.0053103150004901,en,xfiles
project,0.0053091106097883,en,xfiles
footstep,0.005290559862091,en,xfiles
safe,0.0052872503899882,en,xfiles
condition,0.0052701963039874,en,xfiles
law,0.005242430563746,en,xfiles
result,0.0052390339624969,en,xfiles
window,0.0051991046913184,en,xfiles
wood,0.0051946810402356,en,xfiles
match,0.0051924326792053,en,xfiles
crash,0.0051862106748756,en,xfiles
ofthis,0.0051773715804938,en,xfiles
move,0.0051616973981274,en,xfiles
plan,0.0051611960940247,en,xfiles
rumble,0.0051590158175827,en,xfiles
computer,0.0051370972331355,en,xfiles
unit,0.005125397976332,en,xfiles
wonder,0.0051200708062071,en,xfiles
moment,0.0051192351501708,en,xfiles
dark,0.0051124529464631,en,xfiles
building,0.0051124529464631,en,xfiles
sob,0.005098629504945,en,xfiles
lab,0.0050761153034826,en,xfiles
whimpering,0.005074779230968,en,xfiles
ass,0.0050716897428361,en,xfiles
assistant,0.0050678562577481,en,xfiles
ray,0.0050591891401047,en,xfiles
guard,0.0050552898687739,en,xfiles
touch,0.0050353132624631,en,xfiles
general,0.0049764731080633,en,xfiles
datum,0.0049618896636506,en,xfiles
approach,0.0049607232542289,en,xfiles
forensic,0.0049570009075854,en,xfiles
tissue,0.0049540123555685,en,xfiles
cancer,0.0049387838546486,en,xfiles
determine,0.0049280312351847,en,xfiles
fiine,0.0049164681021163,en,xfiles
susanne,0.0049164681021163,en,xfiles
important,0.0049119378466051,en,xfiles
small,0.0048703112546848,en,xfiles
message,0.0048674694870476,en,xfiles
road,0.0048642703587892,en,xfiles
risk,0.0048524977118972,en,xfiles
creature,0.0048403708814822,en,xfiles
dale,0.0048332037126655,en,xfiles
couple,0.0048255085431938,en,xfiles
disease,0.0048194319313879,en,xfiles
carry,0.0047754351591074,en,xfiles
local,0.0047502568613895,en,xfiles
hang,0.0047415866554861,en,xfiles
bed,0.0047415866554861,en,xfiles
school,0.0047327973451868,en,xfiles
roswell,0.0047319378434929,en,xfiles
appreciate,0.0047278463704404,en,xfiles
wayne,0.004720611043055,en,xfiles
form,0.0047168151273118,en,xfiles
follmer,0.0047027086194156,en,xfiles
age,0.0046848659488909,en,xfiles
morris,0.0046716742631968,en,xfiles
picture,0.0046576647677783,en,xfiles
daughter,0.0046475217173456,en,xfiles
responsible,0.0046294666990282,en,xfiles
pant,0.0046174942579872,en,xfiles
accident,0.004598905105792,en,xfiles
horn,0.0045936965201163,en,xfiles
train,0.0045925424773312,en,xfiles
siren,0.0045789375599511,en,xfiles
steal,0.0045737428800706,en,xfiles
sjust,0.0045694921452176,en,xfiles
level,0.0045681843369498,en,xfiles
past,0.0045559246842426,en,xfiles
sick,0.0045492166049036,en,xfiles
prison,0.0045369516008239,en,xfiles
subrip,0.0045282710984734,en,xfiles
haveyou,0.0045282710984734,en,xfiles
escape,0.0045267361818713,en,xfiles
crazy,0.0045258863338299,en,xfiles
samantha,0.0045228289248311,en,xfiles
fiile,0.0044889491367149,en,xfiles
stite,0.0044889491367149,en,xfiles
date,0.00448358833071,en,xfiles
push,0.00448358833071,en,xfiles
ahead,0.00448358833071,en,xfiles
paranormal,0.0044806070815622,en,xfiles
outside,0.0044769704616631,en,xfiles
ground,0.0044769704616631,en,xfiles
evil,0.004460046653453,en,xfiles
bell,0.004460046653453,en,xfiles
sample,0.0044580973610823,en,xfiles
forget,0.004447860048509,en,xfiles
finish,0.004447860048509,en,xfiles
grave,0.0044354405564411,en,xfiles
accord,0.0044343326477425,en,xfiles
colonel,0.0044280187562629,en,xfiles
strange,0.0044269834195942,en,xfiles
mistake,0.0044124187435605,en,xfiles
black,0.0044110956283193,en,xfiles
assume,0.0044058991046552,en,xfiles
machine,0.0044025495483167,en,xfiles
war,0.0043989923244702,en,xfiles
ofit,0.0043904355581139,en,xfiles
treat,0.0043840029980447,en,xfiles
genetic,0.0043780000642218,en,xfiles
proof,0.0043744559605473,en,xfiles
easy,0.0043707921516402,en,xfiles
tire,0.0043687866361727,en,xfiles
experience,0.0043674214141776,en,xfiles
nurse,0.0043640785269433,en,xfiles
shot,0.0043490570199013,en,xfiles
lucky,0.0043410225764953,en,xfiles
flight,0.0043311165500904,en,xfiles
scientist,0.0043101350065288,en,xfiles
history,0.0042947595345336,en,xfiles
list,0.0042892613703377,en,xfiles
beeping,0.004287550543506,en,xfiles
budaha,0.0042751896540142,en,xfiles
buente,0.0042751896540142,en,xfiles
book,0.0042720983151105,en,xfiles
trevor,0.0042708663412336,en,xfiles
facility,0.0042617808162079,en,xfiles
possibly,0.0042604575829376,en,xfiles
group,0.0042604575829376,en,xfiles
truck,0.0042529366418785,en,xfiles
doubt,0.00424593549791,en,xfiles
spend,0.0042380553292398,en,xfiles
floor,0.0042380553292398,en,xfiles
return,0.0042298003119906,en,xfiles
spirit,0.0042232135481234,en,xfiles
receive,0.0042160778164487,en,xfiles
butyou,0.0042148181357893,en,xfiles
ofhere,0.0042148181357893,en,xfiles
foryou,0.0042134248723188,en,xfiles
imagine,0.0042120813118469,en,xfiles
remove,0.0042040007586355,en,xfiles
nature,0.0042040007586355,en,xfiles
german,0.0041983371436913,en,xfiles
blow,0.0041960943853859,en,xfiles
realize,0.0041940660240299,en,xfiles
choice,0.0041875023088707,en,xfiles
card,0.0041716980499598,en,xfiles
memory,0.0041490503434687,en,xfiles
captain,0.0041365052727802,en,xfiles
unexplained,0.0041305346626731,en,xfiles
cop,0.0041158112205947,en,xfiles
free,0.0041121724976782,en,xfiles
anymore,0.0041029063026309,en,xfiles
leonard,0.0040977515254636,en,xfiles
yesterday,0.0040932301363777,en,xfiles
team,0.0040726320081994,en,xfiles
wetzel,0.0040679348132451,en,xfiles
wantyou,0.0040679348132451,en,xfiles
ability,0.0040573695084008,en,xfiles
growl,0.0040348714093739,en,xfiles
ofcourse,0.0040326719347585,en,xfiles
visiontext,0.0040326719347585,en,xfiles
hate,0.0040282506099705,en,xfiles
wake,0.0040282506099705,en,xfiles
bury,0.0040136760875124,en,xfiles
cockroach,0.0040124710067411,en,xfiles
fight,0.0039961528243567,en,xfiles
miracle,0.003991896500797,en,xfiles
soldier,0.0039755531488293,en,xfiles
whir,0.0039715663546706,en,xfiles
deep,0.0039545262324363,en,xfiles
pound,0.0039436201988426,en,xfiles
access,0.0039411902795036,en,xfiles
blevin,0.0039376270421507,en,xfiles
admit,0.0039306792727598,en,xfiles
develop,0.003927670674249,en,xfiles
department,0.0039268138954287,en,xfiles
large,0.0039234811192537,en,xfiles
effect,0.0039119762387913,en,xfiles
build,0.0039023677784089,en,xfiles
consider,0.0039023677784089,en,xfiles
thunderclap,0.0039013193262211,en,xfiles
pearce,0.0039013193262211,en,xfiles
space,0.003892125828171,en,xfiles
hair,0.0038914162870313,en,xfiles
wall,0.0038914162870313,en,xfiles
country,0.003887005058618,en,xfiles
conduct,0.0038796482302645,en,xfiles
tree,0.0038783836351244,en,xfiles
neck,0.0038742436025187,en,xfiles
ellen,0.0038732974957165,en,xfiles
suffer,0.0038641881842169,en,xfiles
scientific,0.0038625790663823,en,xfiles
cough,0.0038614194672498,en,xfiles
news,0.003860406834555,en,xfiles
release,0.0038560026460611,en,xfiles
request,0.0038497244798225,en,xfiles
bill,0.0038495346916082,en,xfiles
fennig,0.0038476706886128,en,xfiles
sandoz,0.0038476706886128,en,xfiles
ofdeath,0.0038476706886128,en,xfiles
chase,0.0038473887496863,en,xfiles
type,0.0038302181070355,en,xfiles
clean,0.0038296464566752,en,xfiles
arm,0.0038252575179018,en,xfiles
service,0.0038252575179018,en,xfiles
identify,0.0038129776789256,en,xfiles
ghost,0.0038129776789256,en,xfiles
fail,0.0038126767736335,en,xfiles
buddy,0.0038037068976605,en,xfiles
member,0.0038026516712016,en,xfiles
street,0.0037764849468473,en,xfiles
mention,0.0037764849468473,en,xfiles
treatment,0.0037677320128247,en,xfiles
activity,0.0037568236188896,en,xfiles
note,0.0037559824161927,en,xfiles
honey,0.0037559824161927,en,xfiles
murderer,0.0037526470878907,en,xfiles
wear,0.0037521276250129,en,xfiles
company,0.0037521276250129,en,xfiles
fallon,0.0037452665531723,en,xfiles
bitch,0.0037421671160692,en,xfiles
trepko,0.0037407456900432,en,xfiles
kearn,0.0037170582862783,en,xfiles
earth,0.0037131775142321,en,xfiles
ofyou,0.0036966159401953,en,xfiles
allow,0.0036963162532534,en,xfiles
birth,0.0036962004637009,en,xfiles
copy,0.0036958248427565,en,xfiles
weem,0.0036879658688157,en,xfiles
pain,0.0036826991563505,en,xfiles
apparently,0.0036668519971717,en,xfiles
wail,0.0036660569761713,en,xfiles
phenomenon,0.003658866555106,en,xfiles
yell,0.0036566416557192,en,xfiles
chester,0.0036552320928534,en,xfiles
skin,0.0036541161251028,en,xfiles
concern,0.0036533358317039,en,xfiles
subject,0.003649627032222,en,xfiles
perform,0.0036469177908516,en,xfiles
survive,0.0036393732839229,en,xfiles
organism,0.0036371729548626,en,xfiles
research,0.0036325493645919,en,xfiles
ifhe,0.0036275968005224,en,xfiles
personal,0.0036242141832511,en,xfiles
inside,0.0036242141832511,en,xfiles
tomorrow,0.0036086411714319,en,xfiles
monitor,0.0036074314502942,en,xfiles
exist,0.0035960474114952,en,xfiles
waste,0.0035960474114952,en,xfiles
experiment,0.003571182445342,en,xfiles
rain,0.0035680373227624,en,xfiles
pattern,0.0035564596925488,en,xfiles
willa,0.0035554470564401,en,xfiles
ding,0.003551172829749,en,xfiles
rock,0.0035503813191147,en,xfiles
drug,0.0035503813191147,en,xfiles
court,0.0035503813191147,en,xfiles
detweiler,0.0035438643379357,en,xfiles
trick,0.0035376113454838,en,xfiles
groaning,0.0035322415160756,en,xfiles
whatyou,0.0035319111705057,en,xfiles
ofmy,0.0035285879429137,en,xfiles
russian,0.0035222016615671,en,xfiles
ofyour,0.0035132164296208,en,xfiles
one,0.0034963007414893,en,xfiles
normal,0.0034660697942122,en,xfiles
belief,0.0034618399593129,en,xfiles
technology,0.0034594504657666,en,xfiles
ice,0.0034550388470646,en,xfiles
position,0.0034502629172003,en,xfiles
program,0.0034370845460787,en,xfiles
clatter,0.0034236602400387,en,xfiles
analysis,0.0034232595171636,en,xfiles
rohrer,0.0034201517232113,en,xfiles
lukesh,0.0034201517232113,en,xfiles
ifit,0.0034201517232113,en,xfiles
covarrubias,0.0034201517232113,en,xfiles
site,0.0034150217949697,en,xfiles
seat,0.0034110251136481,en,xfiles
situation,0.0034065887030585,en,xfiles
existence,0.0034021530634627,en,xfiles
plant,0.003391256752131,en,xfiles
lieutenant,0.0033844321095291,en,xfiles
short,0.0033838402495924,en,xfiles
cold,0.0033838402495924,en,xfiles
stick,0.0033838402495924,en,xfiles
notice,0.0033838402495924,en,xfiles
thunder,0.0033735187841278,en,xfiles
future,0.0033629144889167,en,xfiles
weird,0.0033629144889167,en,xfiles
folk,0.0033602889710343,en,xfiles
crap,0.0033552808863543,en,xfiles
wereyou,0.0033469829858281,en,xfiles
morley,0.0033469829858281,en,xfiles
biological,0.0033423776753576,en,xfiles
chrissy,0.0033401914189361,en,xfiles
straight,0.0033301273536306,en,xfiles
karin,0.003328310301746,en,xfiles
emily,0.0033282720379502,en,xfiles
faith,0.0033262423584808,en,xfiles
single,0.0033257494858069,en,xfiles
whoa,0.0033188239979283,en,xfiles
gary,0.0033115694989796,en,xfiles
gracie,0.0033071848737957,en,xfiles
hoffman,0.0033020058202875,en,xfiles
share,0.0032992442433526,en,xfiles
cult,0.003292296137066,en,xfiles
sophie,0.0032890325656889,en,xfiles
county,0.0032877831778043,en,xfiles
devil,0.0032825714420659,en,xfiles
lightning,0.00328148649674,en,xfiles
electrical,0.0032586000898908,en,xfiles
praise,0.0032480652264113,en,xfiles
bit,0.0032468741697898,en,xfiles
accept,0.0032404738579657,en,xfiles
self,0.0032318918464914,en,xfiles
blue,0.0032277336597577,en,xfiles
gas,0.0032134090532929,en,xfiles
pennock,0.0032063922405106,en,xfiles
soyou,0.0032063922405106,en,xfiles
fiigure,0.0032063922405106,en,xfiles
incident,0.0032003242530917,en,xfiles
radiation,0.0031955188683542,en,xfiles
goin,0.0031908121601037,en,xfiles
lyle,0.0031861890002941,en,xfiles
male,0.0031822726222963,en,xfiles
daddy,0.0031822726222963,en,xfiles
object,0.0031822339171105,en,xfiles
grow,0.0031805511946599,en,xfiles
contagion,0.003179709308425,en,xfiles
