mot,poids_tfidf,langue,serie
mulder,0.4249356456155542,fr,xfiles
scully,0.2869922185966485,fr,xfiles
taire,0.170910065293926,fr,xfiles
doggett,0.1275791406337179,fr,xfiles
agent,0.1192890455873161,fr,xfiles
tre,0.1026321399649167,fr,xfiles
ici,0.1011684265593768,fr,xfiles
mme,0.084723175944193,fr,xfiles
skinner,0.0611418204836338,fr,xfiles
fbi,0.058743832375528,fr,xfiles
extraterrestre,0.0560493088795211,fr,xfiles
eiie,0.053066001473908,fr,xfiles
heure,0.0508855660396525,fr,xfiles
mort,0.0501967597311631,fr,xfiles
mourir,0.045633417937421,fr,xfiles
affaire,0.0452890147831763,fr,xfiles
visiontext,0.044744801871207,fr,xfiles
muider,0.0423792301067021,fr,xfiles
trouv,0.0405534714123119,fr,xfiles
fait,0.0402951690466283,fr,xfiles
fbl,0.0374337676430411,fr,xfiles
corps,0.0368023370528746,fr,xfiles
apr,0.0367650367156203,fr,xfiles
tuer,0.0362484319842533,fr,xfiles
appeler,0.0361623311956921,fr,xfiles
quelqu,0.034612517001591,fr,xfiles
vrit,0.0328139283071179,fr,xfiles
petit,0.032115594133317,fr,xfiles
paranormal,0.0317236013644187,fr,xfiles
pass,0.0303074775735324,fr,xfiles
sortir,0.0303074775735324,fr,xfiles
dieu,0.0299630744192877,fr,xfiles
aider,0.0299630744192877,fr,xfiles
peur,0.0298769736307266,fr,xfiles
victime,0.0290288679011387,fr,xfiles
attendre,0.0284993610137478,fr,xfiles
nom,0.0284132602251866,fr,xfiles
besoin,0.0283271594366255,fr,xfiles
spender,0.0282528200711347,fr,xfiles
arme,0.028068857070942,fr,xfiles
french,0.0276042982729658,fr,xfiles
pre,0.0273800507624526,fr,xfiles
sang,0.0272078491853302,fr,xfiles
regarder,0.0271217483967691,fr,xfiles
gouvernement,0.0270504081250791,fr,xfiles
mal,0.0267773452425244,fr,xfiles
trs,0.0260024381454738,fr,xfiles
iui,0.0256861554290722,fr,xfiles
enfant,0.0253136318369845,fr,xfiles
fox,0.0251100897614578,fr,xfiles
preuve,0.0248242179177409,fr,xfiles
titrage,0.0240552698412798,fr,xfiles
rapport,0.0238694403055201,fr,xfiles
voiture,0.0234061211946048,fr,xfiles
chercher,0.0232472129115163,fr,xfiles
raison,0.0231611121229552,fr,xfiles
porte,0.023075011334394,fr,xfiles
aimer,0.0222140034487823,fr,xfiles
question,0.0218696002945376,fr,xfiles
piu,0.0217534175427493,fr,xfiles
meurtre,0.0216043319851034,fr,xfiles
grand,0.0212668947746094,fr,xfiles
mentir,0.0210820668424762,fr,xfiles
queiqu,0.0209973387126974,fr,xfiles
scuiiy,0.0203067144261281,fr,xfiles
aide,0.0202336853118753,fr,xfiles
arriv,0.0201475845233141,fr,xfiles
enqute,0.0199569101675949,fr,xfiles
appel,0.0198892821576306,fr,xfiles
essayer,0.0198892821576306,fr,xfiles
main,0.0198031813690695,fr,xfiles
reye,0.0196806567829491,fr,xfiles
perdre,0.0196309797919471,fr,xfiles
police,0.0194962348985514,fr,xfiles
mdecin,0.0186102753395913,fr,xfiles
agir,0.0185977703292131,fr,xfiles
tat,0.0185116695406519,fr,xfiles
retrouver,0.0184879664911846,fr,xfiles
coup,0.0183143705616899,fr,xfiles
dossier,0.0182549671093057,fr,xfiles
bureau,0.0181081952738211,fr,xfiles
fils,0.0177367624436013,fr,xfiles
expliquer,0.0177067848084585,fr,xfiles
soir,0.0174463909142165,fr,xfiles
ignorer,0.0171859970199744,fr,xfiles
kersh,0.0167751119172362,fr,xfiles
fassl,0.0167751119172362,fr,xfiles
vivre,0.0167035529808673,fr,xfiles
arrter,0.0166174521923061,fr,xfiles
finir,0.0165313514037449,fr,xfiles
mieux,0.0165313514037449,fr,xfiles
minute,0.0164916133019957,fr,xfiles
revenir,0.0164452506151838,fr,xfiles
aiier,0.0164161011753816,fr,xfiles
maison,0.0162730490380614,fr,xfiles
cause,0.0162730490380614,fr,xfiles
tte,0.0161869482495002,fr,xfiles
oeil,0.0161008474609391,fr,xfiles
travailler,0.0160147466723779,fr,xfiles
dsol,0.0159286458838167,fr,xfiles
eladio,0.0158922112900133,fr,xfiles
vite,0.0157564443066944,fr,xfiles
problme,0.0157564443066944,fr,xfiles
etje,0.0156785624047583,fr,xfiles
disparaître,0.0151720313678071,fr,xfiles
air,0.015067637998205,fr,xfiles
ailleurs,0.0150281590695491,fr,xfiles
terre,0.0150160479012908,fr,xfiles
voil,0.0149815372096438,fr,xfiles
ami,0.0148954364210827,fr,xfiles
hpital,0.0148499359274013,fr,xfiles
accord,0.0148093356325215,fr,xfiles
chance,0.0148093356325215,fr,xfiles
crime,0.0147477849787135,fr,xfiles
travail,0.0147232348439603,fr,xfiles
tard,0.0146688560423014,fr,xfiles
tai,0.0144084621480594,fr,xfiles
nouveau,0.0143788316897156,fr,xfiles
recherche,0.014321664183312,fr,xfiles
taient,0.0142927309011545,fr,xfiles
hier,0.0141480682538173,fr,xfiles
donne,0.0141205293240321,fr,xfiles
souvenir,0.014034428535471,fr,xfiles
vrai,0.014034428535471,fr,xfiles
vouier,0.0138223412343571,fr,xfiles
verite,0.0138223412343571,fr,xfiles
poiice,0.0136849597219559,fr,xfiles
ovni,0.013662968224345,fr,xfiles
fille,0.0136039245926651,fr,xfiles
devenir,0.0133456222269816,fr,xfiles
ieur,0.0133434573657518,fr,xfiles
trace,0.0132253874633859,fr,xfiles
shrif,0.0132148308146756,fr,xfiles
adjoint,0.0131272080650574,fr,xfiles
cherche,0.0131064926768492,fr,xfiles
photo,0.0131038130240065,fr,xfiles
fiiie,0.0130092623382184,fr,xfiles
virginie,0.0129420631680812,fr,xfiles
parl,0.0129151182841757,fr,xfiles
vien,0.0129151182841757,fr,xfiles
eau,0.0128626223379051,fr,xfiles
tueur,0.0128435560484521,fr,xfiles
nuit,0.0128290174956145,fr,xfiles
rentrer,0.0128290174956145,fr,xfiles
soeur,0.012754546195314,fr,xfiles
anne,0.0127429167070534,fr,xfiles
ier,0.0126129001567381,fr,xfiles
all,0.0124989069236178,fr,xfiles
duane,0.0123761466600071,fr,xfiles
rohrer,0.0123606087811214,fr,xfiles
maieeni,0.0123606087811214,fr,xfiles
partie,0.0123124127642475,fr,xfiles
secret,0.0121729088881243,fr,xfiles
prouver,0.0121729088881243,fr,xfiles
esprit,0.0120751148478293,fr,xfiles
point,0.012054110398564,fr,xfiles
comprend,0.012054110398564,fr,xfiles
fdral,0.011986419105938,fr,xfiles
matin,0.0119781191351337,fr,xfiles
sauver,0.0119680096100028,fr,xfiles
tipet,0.0119191584675099,fr,xfiles
humain,0.0119082804340347,fr,xfiles
iis,0.0118348636380658,fr,xfiles
suspect,0.0117533957863187,fr,xfiles
vol,0.0117251115189067,fr,xfiles
enlvement,0.0116676338275107,fr,xfiles
impossible,0.0116376106866761,fr,xfiles
lieu,0.011537505667197,fr,xfiles
danger,0.0114672330105519,fr,xfiles
donn,0.0113653040900746,fr,xfiles
entrer,0.0112792033015135,fr,xfiles
virus,0.0112570780102884,fr,xfiles
activit,0.0111467505765877,fr,xfiles
sujet,0.0111126056932922,fr,xfiles
montrer,0.0111070017243911,fr,xfiles
bett,0.0110994857354932,fr,xfiles
krycek,0.011036257840287,fr,xfiles
servir,0.0110233415229129,fr,xfiles
contact,0.0110233415229129,fr,xfiles
demande,0.0110209009358299,fr,xfiles
bonjour,0.0110209009358299,fr,xfiles
retrouv,0.0110180237085142,fr,xfiles
veux,0.0109348001472688,fr,xfiles
arrte,0.0107625985701464,fr,xfiles
famille,0.0106764977815853,fr,xfiles
sens,0.0106764977815853,fr,xfiles
ouvrir,0.0106761496639235,fr,xfiles
service,0.0106761496639235,fr,xfiles
teager,0.0105948075266755,fr,xfiles
sentir,0.0105903969930241,fr,xfiles
eii,0.0105700256498025,fr,xfiles
apprendre,0.0105042962044629,fr,xfiles
frre,0.0105042962044629,fr,xfiles
melisser,0.0104625374006074,fr,xfiles
fort,0.0104181954159017,fr,xfiles
rponse,0.0104157557696815,fr,xfiles
route,0.010412599035447,fr,xfiles
protger,0.0103205097094967,fr,xfiles
fellig,0.0101634862017331,fr,xfiles
mari,0.0101553618754394,fr,xfiles
jeu,0.010073792261657,fr,xfiles
arrt,0.0099817659459447,fr,xfiles
prt,0.0098949679811974,fr,xfiles
chambre,0.0098949679811974,fr,xfiles
directeur,0.0098207760234916,fr,xfiles
ide,0.0098154898959735,fr,xfiles
suite,0.00980817001645,fr,xfiles
exister,0.0097912528013174,fr,xfiles
numro,0.0097816419979313,fr,xfiles
cassandrer,0.0097640659535659,fr,xfiles
dernier,0.0097293891074124,fr,xfiles
harold,0.0097016255896541,fr,xfiles
monstre,0.0096592934044609,fr,xfiles
mot,0.0096432883188512,fr,xfiles
dsole,0.0096345740869553,fr,xfiles
base,0.0096148338319243,fr,xfiles
maladie,0.0096140623595411,fr,xfiles
continuer,0.009547776122208,fr,xfiles
pius,0.0095442448694079,fr,xfiles
confiance,0.0094710867417288,fr,xfiles
tier,0.0094710867417288,fr,xfiles
avion,0.0094440203215836,fr,xfiles
test,0.0093985969275633,fr,xfiles
empreinte,0.0093654493795488,fr,xfiles
