mot,poids_tfidf,langue,serie
s,0.5896416803647065,en,angel
t,0.29301932019829174,en,angel
know,0.271401080389553,en,angel
angel,0.1848211958092163,en,angel
go,0.17512450077621666,en,angel
think,0.16255575670136857,en,angel
m,0.1563551762911102,en,angel
get,0.14319989082610252,en,angel
right,0.1395968508579794,en,angel
cordelia,0.12319953440388842,en,angel
want,0.12082752637287293,en,angel
come,0.12057615149137597,en,angel
good,0.10892911531535009,en,angel
cordy,0.10886184227369083,en,angel
angelus,0.10462567642264567,en,angel
thing,0.10214199351493211,en,angel
lorne,0.09473973400704656,en,angel
look,0.08965704106724968,en,angel
time,0.08664054248928614,en,angel
need,0.08446196018297913,en,angel
let,0.08412679367431652,en,angel
demon,0.08407633861885083,en,angel
kill,0.08069133696052472,en,angel
tell,0.08010479557036514,en,angel
connor,0.08009333581771746,en,angel
fre,0.07504990853047933,en,angel
find,0.07373663190577544,en,angel
mean,0.07038496681914928,en,angel
wesley,0.0697478087844808,en,angel
vampire,0.06590944334012273,en,angel
way,0.06451955291755351,en,angel
darla,0.06441195696665172,en,angel
guy,0.06005437034620937,en,angel
help,0.05982722179627689,en,angel
work,0.05898930552462035,en,angel
say,0.0578162227443012,en,angel
little,0.05488351579350331,en,angel
wes,0.05364033384344338,en,angel
maybe,0.050777726062386265,en,angel
try,0.05019118467222669,en,angel
man,0.04977222653639842,en,angel
people,0.04843156050174796,en,angel
talk,0.048096393993085344,en,angel
happen,0.04692331121276619,en,angel
thank,0.0450798954151218,en,angel
win,0.04482852053362484,en,angel
feel,0.04466093727929353,en,angel
love,0.043487854498974375,en,angel
sure,0.0429013131088148,en,angel
fred,0.042039763798560635,en,angel
stop,0.0396334396493543,en,angel
d,0.038544148496200796,en,angel
leave,0.03812519036037253,en,angel
sorry,0.03795760710604122,en,angel
take,0.03787381547887557,en,angel
big,0.03767123653222135,en,angel
bad,0.03695210758005337,en,angel
see,0.036784524325722066,en,angel
hear,0.03611419130839683,en,angel
gunn,0.034875225474215225,en,angel
life,0.03418698388358679,en,angel
place,0.03360044249342722,en,angel
world,0.03343285923909591,en,angel
wolfram,0.03313186503981895,en,angel
long,0.033097692730433295,en,angel
day,0.03276252622177068,en,angel
okay,0.031892091215139126,en,angel
wait,0.03133806855995456,en,angel
lot,0.030751527169794984,en,angel
girl,0.030583943915463676,en,angel
well,0.030416360661132368,en,angel
kind,0.02941086113514452,en,angel
spike,0.028826487148583876,en,angel
fight,0.02874052811781929,en,angel
power,0.02835266372947081,en,angel
evil,0.028350898011161613,en,angel
friend,0.02823777835482537,en,angel
bring,0.027902611846162752,en,angel
head,0.027735028591831443,en,angel
soul,0.02758226385814101,en,angel
great,0.027399862083168827,en,angel
start,0.027064695574506213,en,angel
dead,0.026729529065843596,en,angel
believe,0.026226779302849675,en,angel
die,0.02614298767568402,en,angel
ask,0.026059196048518366,en,angel
buffy,0.02538713346561561,en,angel
guess,0.025221279776861828,en,angel
nice,0.025221279776861828,en,angel
hell,0.02513748814969617,en,angel
hurt,0.025086002802846955,en,angel
beast,0.02494198953812213,en,angel
vision,0.024694505674620816,en,angel
save,0.024383363505205286,en,angel
live,0.02421578025087398,en,angel
stay,0.024048196996542672,en,angel
care,0.024048196996542672,en,angel
doyle,0.023983515721684796,en,angel
blood,0.02390349762022117,en,angel
make,0.02379682211504571,en,angel
night,0.023545447233548747,en,angel
year,0.023461655606383094,en,angel
turn,0.023294072352051786,en,angel
like,0.023210280724886134,en,angel
away,0.023126489097720478,en,angel
lose,0.02295890584338917,en,angel
remember,0.022623739334726556,en,angel
lindsey,0.02247294394293291,en,angel
wrong,0.022456156080395247,en,angel
human,0.022400886516509025,en,angel
jasmine,0.02228103756957135,en,angel
slayer,0.022223416505128345,en,angel
run,0.022204781198898287,en,angel
new,0.021785823063070017,en,angel
home,0.02170203143590436,en,angel
wasn,0.02161823980873871,en,angel
boy,0.0203613654012539,en,angel
end,0.020193782146922593,en,angel
give,0.020109990519756937,en,angel
pretty,0.019680264825129093,en,angel
lilah,0.019419159639051657,en,angel
prophecy,0.019242080942624768,en,angel
dimension,0.019227138613738523,en,angel
woman,0.019188282620934746,en,angel
baby,0.019072062088292676,en,angel
change,0.019020699366603437,en,angel
son,0.018920082922012516,en,angel
plan,0.018920082922012516,en,angel
old,0.01885311611227213,en,angel
fine,0.018835618266110674,en,angel
portal,0.01856165420227941,en,angel
hand,0.018517949603609515,en,angel
real,0.01843415797644386,en,angel
play,0.018350366349278207,en,angel
call,0.0181827830949469,en,angel
kid,0.017937874643488068,en,angel
open,0.017680033331952973,en,angel
probably,0.01759624170478732,en,angel
understand,0.01734486682329036,en,angel
problem,0.01692590868746209,en,angel
meet,0.016842117060296435,en,angel
hold,0.016724001868564636,en,angel
listen,0.016590742178799474,en,angel
miss,0.016423158924468165,en,angel
groosalugg,0.01635079053913143,en,angel
close,0.016339367297302513,en,angel
sigh,0.016330695321880216,en,angel
pay,0.016217213933153583,en,angel
idea,0.016087992415805552,en,angel
safe,0.015921766118351475,en,angel
word,0.015920409161474244,en,angel
harmony,0.015577145881486433,en,angel
suppose,0.015417659398480318,en,angel
room,0.015417659398480318,en,angel
deal,0.015288102718233327,en,angel
fire,0.015250076144149012,en,angel
send,0.015203638062331486,en,angel
course,0.015203638062331486,en,angel
chuckle,0.015191344485469967,en,angel
figure,0.015119173406429643,en,angel
wanna,0.01498519164080139,en,angel
l,0.014931472952545117,en,angel
mind,0.014914909635486395,en,angel
hard,0.014747326381155088,en,angel
actually,0.014495951499658126,en,angel
spell,0.014471277270810847,en,angel
sound,0.014244576618161165,en,angel
body,0.014190062191509386,en,angel
eye,0.01416078499099551,en,angel
hope,0.014076993363829856,en,angel
matter,0.013993201736664202,en,angel
door,0.013993201736664202,en,angel
father,0.013963474028928568,en,angel
heart,0.013936668223803862,en,angel
grunt,0.013925399111680803,en,angel
charle,0.013911874392806304,en,angel
case,0.013909410109498548,en,angel
groan,0.013815079826750615,en,angel
merl,0.013769086769794887,en,angel
job,0.013741826855167241,en,angel
use,0.013658035228001587,en,angel
soon,0.013598809600196497,en,angel
happy,0.013490451973670279,en,angel
face,0.013345415632490972,en,angel
child,0.013345415632490972,en,angel
check,0.013322868719338972,en,angel
easy,0.013322868719338972,en,angel
vamp,0.013301109780152707,en,angel
gasp,0.013289009538737084,en,angel
sunnydale,0.013078209552830709,en,angel
break,0.013007557008883605,en,angel
death,0.012923092352981762,en,angel
burkle,0.012908518846682706,en,angel
trust,0.012754163041178079,en,angel
money,0.012736327329179394,en,angel
family,0.01265253570201374,en,angel
office,0.012601183879764805,en,angel
lie,0.012568744074848086,en,angel
watch,0.012484952447682432,en,angel
doesn,0.012416304417570714,en,angel
worry,0.012331839761668873,en,angel
stuff,0.012331839761668873,en,angel
true,0.012317369193351125,en,angel
eat,0.01223357756618547,en,angel
senior,0.012225659899681326,en,angel
partner,0.012170845575639744,en,angel
hate,0.01216291044986519,en,angel
drink,0.01216291044986519,en,angel
bit,0.012149785939019817,en,angel
forget,0.012078445793963347,en,angel
walk,0.012065994311854162,en,angel
speak,0.011898411057522856,en,angel
scream,0.011881367315443989,en,angel
tonight,0.011834895670860188,en,angel
minute,0.011825051826257822,en,angel
fun,0.011749752536537452,en,angel
high,0.011749752536537452,en,angel
read,0.011730827803191547,en,angel
car,0.011672492590977883,en,angel
exactly,0.011647036176025893,en,angel
cut,0.011571657858552296,en,angel
mystical,0.011527764188784054,en,angel
groo,0.011492972031275472,en,angel
ready,0.011311869667363278,en,angel
haven,0.011228078040197624,en,angel
illyria,0.011187383000458346,en,angel
question,0.011060494785866315,en,angel
sort,0.01098587537974389,en,angel
business,0.010980405267239406,en,angel
sleep,0.010976703158700661,en,angel
anymore,0.010898321193310101,en,angel
book,0.010813178058987365,en,angel
shut,0.010811475955435723,en,angel
dark,0.01072709672681038,en,angel
reason,0.0107253282772037,en,angel
hit,0.010641536650038046,en,angel
afraid,0.010641536650038046,en,angel
rest,0.010558081987730198,en,angel
alive,0.010473617331828357,en,angel
champion,0.010401206297913279,en,angel
wouldn,0.010389152675926517,en,angel
sense,0.010389152675926517,en,angel
ring,0.010382015798313993,en,angel
faith,0.010229251282291362,en,angel
point,0.010222578514209777,en,angel
chance,0.010138786887044123,en,angel
stand,0.010054995259878468,en,angel
protect,0.01004177671429715,en,angel
pain,0.010029399378725153,en,angel
winifre,0.009896531115790076,en,angel
hour,0.009887412005547162,en,angel
touch,0.009882364740515466,en,angel
month,0.009719828751215853,en,angel
boss,0.0096704693543782,en,angel
bloody,0.009609812984736388,en,angel
laugh,0.009582555996611125,en,angel
far,0.009468453869718892,en,angel
pylea,0.009466247154233986,en,angel
phone,0.009430331016801876,en,angel
hotel,0.009315928262993605,en,angel
pick,0.009300870615387584,en,angel
different,0.00921707898822193,en,angel
aren,0.009133287361056276,en,angel
trouble,0.00903771818149705,en,angel
drogyn,0.009035963192677895,en,angel
late,0.008965704106724969,en,angel
game,0.008953253525595208,en,angel
keep,0.008953253525595208,en,angel
ago,0.008881912479559315,en,angel
have,0.008881912479559315,en,angel
client,0.008829051073279416,en,angel
clan,0.008715695765268438,en,angel
light,0.008684599700918985,en,angel
drokken,0.008605679231121805,en,angel
answer,0.008546745970896698,en,angel
cause,0.008546745970896698,en,angel
moment,0.008530930246086001,en,angel
magic,0.008520156495342289,en,angel
order,0.008514313432273516,en,angel
