mot,poids_tfidf,langue,serie
cylon,0.49385679925364845,fr,battlestargalactica
c,0.37451567104851435,fr,battlestargalactica
galactica,0.2214611817340649,fr,battlestargalactica
n,0.18284814936459504,fr,battlestargalactica
vaisseau,0.17921651709753772,fr,battlestargalactica
j,0.16151757445274098,fr,battlestargalactica
savoir,0.14880127017836647,fr,battlestargalactica
bien,0.1378283301996723,fr,battlestargalactica
vouloir,0.1349569066538458,fr,battlestargalactica
gaiu,0.12549971614268499,fr,battlestargalactica
flotte,0.11686628462168279,fr,battlestargalactica
non,0.11424163678752601,fr,battlestargalactica
baltar,0.11409685156772266,fr,battlestargalactica
faire,0.11393398426475888,fr,battlestargalactica
ici,0.10962684894601912,fr,battlestargalactica
amiral,0.10730121975897895,fr,battlestargalactica
prsidente,0.10591550097902555,fr,battlestargalactica
adama,0.09877907560107396,fr,battlestargalactica
taire,0.0977309513990236,fr,battlestargalactica
devoir,0.09526973121688659,fr,battlestargalactica
oui,0.09157790094368108,fr,battlestargalactica
tre,0.08952688412523357,fr,battlestargalactica
raptor,0.08593069236082852,fr,battlestargalactica
aller,0.08183557105605543,fr,battlestargalactica
chose,0.08183557105605543,fr,battlestargalactica
kara,0.08051318063870626,fr,battlestargalactica
voir,0.07752843573731567,fr,battlestargalactica
viper,0.07285569201299635,fr,battlestargalactica
starbuck,0.0719845207194595,fr,battlestargalactica
gaeta,0.07166325092626935,fr,battlestargalactica
capricer,0.06924219515173322,fr,battlestargalactica
mme,0.06758100416784528,fr,battlestargalactica
caprica,0.06606931031667489,fr,battlestargalactica
Monsieur,0.06555335536630404,fr,battlestargalactica
pouvoir,0.06388917389463977,fr,battlestargalactica
bon,0.06163305539434751,fr,battlestargalactica
raider,0.06088409942870118,fr,battlestargalactica
pegasu,0.060526394363403166,fr,battlestargalactica
battlestar,0.06009066997682555,fr,battlestargalactica
croire,0.05814632680298676,fr,battlestargalactica
helo,0.05731132175521553,fr,battlestargalactica
thrace,0.05713691627905258,fr,battlestargalactica
prendre,0.056197860825461625,fr,battlestargalactica
avoir,0.05476214905254837,fr,battlestargalactica
boomer,0.05324088627291363,fr,battlestargalactica
tigh,0.05277901588488756,fr,battlestargalactica
roslin,0.05152761038542314,fr,battlestargalactica
dieu,0.05127542046118762,fr,battlestargalactica
vraiment,0.050660115415653365,fr,battlestargalactica
venir,0.049839708688274365,fr,battlestargalactica
besoin,0.04543002252861223,fr,battlestargalactica
trouver,0.04543002252861223,fr,battlestargalactica
temps,0.04491726832400035,fr,battlestargalactica
cally,0.04319736606360533,fr,battlestargalactica
dradi,0.04311493930208875,fr,battlestargalactica
seriestele,0.042552217851756426,fr,battlestargalactica
jamais,0.042456048141863344,fr,battlestargalactica
herer,0.04206335541667195,fr,battlestargalactica
apollo,0.04200068624334749,fr,battlestargalactica
terre,0.04197277395618738,fr,battlestargalactica
colonial,0.04196671104768995,fr,battlestargalactica
dire,0.040815234687105344,fr,battlestargalactica
passer,0.04061013300526059,fr,battlestargalactica
saul,0.03975558687166213,fr,battlestargalactica
sharon,0.03932015918583944,fr,battlestargalactica
commandant,0.03902780784053163,fr,battlestargalactica
vie,0.03896931955050259,fr,battlestargalactica
chef,0.03887345238733133,fr,battlestargalactica
ok,0.03797843956398408,fr,battlestargalactica
homme,0.03732850609574458,fr,battlestargalactica
mourir,0.03548259095914183,fr,battlestargalactica
quorum,0.035352787674841166,fr,battlestargalactica
lord,0.035118675579741625,fr,battlestargalactica
monsieur,0.03470471754686684,fr,battlestargalactica
penser,0.0343545317089957,fr,battlestargalactica
arriver,0.03425198086807333,fr,battlestargalactica
kobol,0.03389478084350577,fr,battlestargalactica
jour,0.0335341249816167,fr,battlestargalactica
capitaine,0.03343433878607259,fr,battlestargalactica
fois,0.03343157414069432,fr,battlestargalactica
mettre,0.03261116741331532,fr,battlestargalactica
saut,0.032506036104972484,fr,battlestargalactica
tyrol,0.0324421473787841,fr,battlestargalactica
colonel,0.03234829740989521,fr,battlestargalactica
fait,0.03199586236778107,fr,battlestargalactica
putain,0.031066787678493205,fr,battlestargalactica
accord,0.030867803117634946,fr,battlestargalactica
falloir,0.03056015059486782,fr,battlestargalactica
po,0.030508909899691117,fr,battlestargalactica
attendre,0.029432091344721693,fr,battlestargalactica
pilote,0.028992400888405927,fr,battlestargalactica
raptors,0.028932312360896845,fr,battlestargalactica
t,0.028919337140109816,fr,battlestargalactica
perdre,0.028509133776420316,fr,battlestargalactica
zarek,0.028392764906253563,fr,battlestargalactica
s,0.028304032094575562,fr,battlestargalactica
aimer,0.02799637957180844,fr,battlestargalactica
colonie,0.02798402482749046,fr,battlestargalactica
heure,0.027688727049041312,fr,battlestargalactica
humain,0.027316228061010896,fr,battlestargalactica
apr,0.027073422003507062,fr,battlestargalactica
lee,0.026969728142400243,fr,battlestargalactica
trs,0.026868320321662312,fr,battlestargalactica
ordre,0.0265861373309648,fr,battlestargalactica
entendre,0.025945362753360932,fr,battlestargalactica
cic,0.025918419638163197,fr,battlestargalactica
enfant,0.02584281191243856,fr,battlestargalactica
leoben,0.02576380519271157,fr,battlestargalactica
sr,0.02543260854874906,fr,battlestargalactica
arme,0.025227506866904306,fr,battlestargalactica
ftl,0.024374571390811936,fr,battlestargalactica
adamer,0.024099583172327188,fr,battlestargalactica
sortir,0.02389434593491343,fr,battlestargalactica
mort,0.023791795093991052,fr,battlestargalactica
galen,0.02372634659045404,fr,battlestargalactica
raison,0.02368924425306868,fr,battlestargalactica
cag,0.02313484547916957,fr,battlestargalactica
trop,0.02307393920753443,fr,battlestargalactica
www,0.022923073518006883,fr,battlestargalactica
monde,0.022766286684767302,fr,battlestargalactica
mission,0.02274235843974097,fr,battlestargalactica
partir,0.022048430798310675,fr,battlestargalactica
quipage,0.021924308677922933,fr,battlestargalactica
centurion,0.021866698541947636,fr,battlestargalactica
donner,0.02160667427793882,fr,battlestargalactica
question,0.0215356765936988,fr,battlestargalactica
mr,0.021433125752776422,fr,battlestargalactica
pont,0.021010347429594897,fr,battlestargalactica
moment,0.02092037154816455,fr,battlestargalactica
chance,0.02092037154816455,fr,battlestargalactica
mieux,0.020817820707242172,fr,battlestargalactica
laurer,0.020721913603908907,fr,battlestargalactica
petit,0.020612719025397422,fr,battlestargalactica
dsol,0.020510168184475045,fr,battlestargalactica
ellen,0.02040592836744341,fr,battlestargalactica
ouai,0.0203821086301389,fr,battlestargalactica
bord,0.020127777932544895,fr,battlestargalactica
être,0.020099964820785545,fr,battlestargalactica
cavil,0.019980093822919175,fr,battlestargalactica
tylium,0.019980093822919175,fr,battlestargalactica
docteur,0.019488077528088635,fr,battlestargalactica
regarder,0.01938210893432892,fr,battlestargalactica
quelqu,0.01938210893432892,fr,battlestargalactica
net,0.01937523353501077,fr,battlestargalactica
civil,0.019314657538080118,fr,battlestargalactica
problme,0.019279558093406545,fr,battlestargalactica
femme,0.01917700725248417,fr,battlestargalactica
pre,0.01917700725248417,fr,battlestargalactica
nikomagnu,0.019097782891278146,fr,battlestargalactica
essayer,0.01907445641156179,fr,battlestargalactica
rsurrection,0.01900444807944768,fr,battlestargalactica
racetrack,0.018928509937502377,fr,battlestargalactica
beaucoup,0.01876680388879467,fr,battlestargalactica
mal,0.01876680388879467,fr,battlestargalactica
revenir,0.01876680388879467,fr,battlestargalactica
lieutenant,0.01865871291180795,fr,battlestargalactica
tory,0.018577377042832768,fr,battlestargalactica
peur,0.01856170220694992,fr,battlestargalactica
m,0.01845915136602754,fr,battlestargalactica
ander,0.01839787930017244,fr,battlestargalactica
hotdog,0.01827672215338826,fr,battlestargalactica
nouveau,0.01804894800233804,fr,battlestargalactica
valerii,0.01787692605208558,fr,battlestargalactica
aider,0.01784384632049329,fr,battlestargalactica
minute,0.017781569262227164,fr,battlestargalactica
l,0.017638744638648538,fr,battlestargalactica
prsident,0.01744549713116914,fr,battlestargalactica
grand,0.017228541274959038,fr,battlestargalactica
finir,0.017125990434036665,fr,battlestargalactica
plan,0.01709181284590439,fr,battlestargalactica
sauter,0.016819023235478663,fr,battlestargalactica
connaître,0.016818337911269538,fr,battlestargalactica
hybride,0.016612287272093636,fr,battlestargalactica
tuer,0.01651068538850241,fr,battlestargalactica
picon,0.016463179266845658,fr,battlestargalactica
systme,0.016431420372107684,fr,battlestargalactica
