mot,poids_tfidf,langue,serie
s,0.591011086796632,en,betteroffted
t,0.2326696080386399,en,betteroffted
go,0.21096723678991644,en,betteroffted
know,0.20894841155747704,en,betteroffted
veridian,0.1891978196699294,en,betteroffted
m,0.16705778798435966,en,betteroffted
think,0.15544954289783317,en,betteroffted
want,0.15393542397350363,en,betteroffted
work,0.13728011580587865,en,betteroffted
te,0.13439009851119513,en,betteroffted
lem,0.13324420354992633,en,betteroffted
thing,0.12970952118423093,en,betteroffted
good,0.1241577517950226,en,betteroffted
look,0.1221389265625832,en,betteroffted
get,0.11507303824904533,en,betteroffted
right,0.11305421301660594,en,betteroffted
people,0.10447420577873852,en,betteroffted
company,0.10184249570821234,en,betteroffted
guy,0.09462939642498981,en,betteroffted
tell,0.09185654807599233,en,betteroffted
come,0.08680948499489385,en,betteroffted
need,0.0852953660705643,en,betteroffted
phil,0.0825224694846182,en,betteroffted
talk,0.08075300929757567,en,betteroffted
time,0.0736871209840378,en,betteroffted
let,0.07166829575159842,en,betteroffted
way,0.06611652636239009,en,betteroffted
pos,0.0638995669079034,en,betteroffted
try,0.0610694632812916,en,betteroffted
say,0.05905063804885221,en,betteroffted
mean,0.05905063804885221,en,betteroffted
jenkin,0.05757410395478383,en,betteroffted
maybe,0.057536519124522664,en,betteroffted
great,0.05602240020019312,en,betteroffted
love,0.055517693892083275,en,betteroffted
like,0.05450828127586358,en,betteroffted
feel,0.052994162351534035,en,betteroffted
little,0.052994162351534035,en,betteroffted
day,0.052994162351534035,en,betteroffted
problem,0.047947099270435556,en,betteroffted
thank,0.047442392962325705,en,betteroffted
man,0.047442392962325705,en,betteroffted
sorry,0.04693768665421586,en,betteroffted
ted,0.04427122511897718,en,betteroffted
new,0.04390944880555677,en,betteroffted
rise,0.041891008137618375,en,betteroffted
hear,0.04088121095689769,en,betteroffted
make,0.040376504648787837,en,betteroffted
win,0.040376504648787837,en,betteroffted
find,0.040376504648787837,en,betteroffted
help,0.039871798340677986,en,betteroffted
take,0.03886238572445829,en,betteroffted
hard,0.03835767941634845,en,betteroffted
sure,0.03835767941634845,en,betteroffted
wait,0.03835767941634845,en,betteroffted
happen,0.037348266800128746,en,betteroffted
project,0.03726736912955611,en,betteroffted
leave,0.0368435604920189,en,betteroffted
life,0.03633885418390905,en,betteroffted
friend,0.03432002895146966,en,betteroffted
year,0.03432002895146966,en,betteroffted
mordor,0.03406869187108991,en,betteroffted
lemur,0.03341954219242748,en,betteroffted
crazy,0.03333504907952527,en,betteroffted
d,0.03331061633524997,en,betteroffted
well,0.03280591002714012,en,betteroffted
office,0.031283661443862174,en,betteroffted
dynamic,0.03124805263354989,en,betteroffted
bhamba,0.031101011452591136,en,betteroffted
lab,0.03107173288622703,en,betteroffted
sex,0.03049148383327318,en,betteroffted
job,0.030282378486590877,en,betteroffted
lot,0.02927296587037118,en,betteroffted
night,0.02927296587037118,en,betteroffted
stop,0.02927296587037118,en,betteroffted
fine,0.02899933116249688,en,betteroffted
care,0.028768259562261332,en,betteroffted
spielman,0.02850926049820854,en,betteroffted
biocomputer,0.02850926049820854,en,betteroffted
idea,0.028263553254151485,en,betteroffted
money,0.028263553254151485,en,betteroffted
system,0.027841399591453857,en,betteroffted
wrong,0.027758846946041638,en,betteroffted
bad,0.027758846946041638,en,betteroffted
creamer,0.027489504065162554,en,betteroffted
have,0.02674943432982194,en,betteroffted
wasn,0.02674943432982194,en,betteroffted
see,0.02674943432982194,en,betteroffted
woman,0.025740021713602245,en,betteroffted
cubicle,0.025563141041727567,en,betteroffted
turn,0.025235315405492398,en,betteroffted
use,0.02473060909738255,en,betteroffted
start,0.0242259027892727,en,betteroffted
end,0.0242259027892727,en,betteroffted
bring,0.0242259027892727,en,betteroffted
sound,0.0242259027892727,en,betteroffted
nice,0.0242259027892727,en,betteroffted
child,0.023911729204164095,en,betteroffted
memo,0.023857951662893683,en,betteroffted
mom,0.02363892418142309,en,betteroffted
light,0.02359095781012557,en,betteroffted
give,0.023216490173053005,en,betteroffted
listen,0.023216490173053005,en,betteroffted
bulb,0.02319864320062731,en,betteroffted
big,0.022894208812497534,en,betteroffted
hate,0.022894208812497534,en,betteroffted
eat,0.022711783864943158,en,betteroffted
wife,0.022711783864943158,en,betteroffted
break,0.02238544861666426,en,betteroffted
run,0.02220707755683331,en,betteroffted
okay,0.022061586829692285,en,betteroffted
